epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696864208431,2023-10-09T15:10:08.431000,0.0,0.01,0.964,-0.087
1696864208511,2023-10-09T15:10:08.511000,0.08,0.0,0.961,-0.069
1696864208591,2023-10-09T15:10:08.591000,0.16,0.001,0.974,-0.087
1696864208671,2023-10-09T15:10:08.671000,0.24,-0.012,0.971,-0.084
1696864208751,2023-10-09T15:10:08.751000,0.32,-0.013,0.954,-0.094
1696864208831,2023-10-09T15:10:08.831000,0.4,-0.017,0.902,-0.108
1696864208911,2023-10-09T15:10:08.911000,0.48,-0.025,0.855,-0.128
1696864208991,2023-10-09T15:10:08.991000,0.56,-0.042,0.844,-0.139
1696864209071,2023-10-09T15:10:09.071000,0.64,-0.049,0.875,-0.171
1696864209151,2023-10-09T15:10:09.151000,0.72,-0.075,0.871,-0.139
1696864209231,2023-10-09T15:10:09.231000,0.8,-0.083,0.895,-0.174
1696864209311,2023-10-09T15:10:09.311000,0.88,-0.089,0.901,-0.183
1696864209391,2023-10-09T15:10:09.391000,0.96,-0.118,0.917,-0.15
1696864209471,2023-10-09T15:10:09.471000,1.04,-0.12,0.957,-0.183
1696864209551,2023-10-09T15:10:09.551000,1.12,-0.111,0.969,-0.17
1696864209631,2023-10-09T15:10:09.631000,1.2,-0.099,0.966,-0.14
1696864209711,2023-10-09T15:10:09.711000,1.28,-0.083,1.025,-0.13
1696864209791,2023-10-09T15:10:09.791000,1.36,-0.131,1.339,-0.151
1696864209871,2023-10-09T15:10:09.871000,1.44,-0.159,1.51,-0.161
1696864209951,2023-10-09T15:10:09.951000,1.52,-0.154,1.136,-0.117
1696864210031,2023-10-09T15:10:10.031000,1.6,-0.139,0.918,-0.12
1696864210111,2023-10-09T15:10:10.111000,1.68,-0.154,0.938,-0.139
1696864210191,2023-10-09T15:10:10.191000,1.76,-0.163,0.944,-0.132
1696864210271,2023-10-09T15:10:10.271000,1.84,-0.158,0.936,-0.106
1696864210351,2023-10-09T15:10:10.351000,1.92,-0.158,0.95,-0.135
1696864210431,2023-10-09T15:10:10.431000,2.0,-0.147,0.957,-0.153
1696864210511,2023-10-09T15:10:10.511000,2.08,-0.127,0.953,-0.16
1696864210591,2023-10-09T15:10:10.591000,2.16,-0.119,0.942,-0.136
1696864210671,2023-10-09T15:10:10.671000,2.24,-0.107,0.941,-0.123
1696864210751,2023-10-09T15:10:10.751000,2.32,-0.092,0.964,-0.116
1696864210831,2023-10-09T15:10:10.831000,2.4,-0.063,0.995,-0.092
1696864210911,2023-10-09T15:10:10.911000,2.48,-0.028,0.866,-0.074
1696864210991,2023-10-09T15:10:10.991000,2.56,0.009,0.683,-0.177
1696864211071,2023-10-09T15:10:11.071000,2.64,0.016,0.799,-0.154
1696864211151,2023-10-09T15:10:11.151000,2.72,0.02,1.051,-0.08
1696864211231,2023-10-09T15:10:11.231000,2.8,0.013,1.013,-0.133
1696864211311,2023-10-09T15:10:11.311000,2.88,0.001,0.921,-0.134
1696864211391,2023-10-09T15:10:11.391000,2.96,0.009,0.93,-0.114
1696864211471,2023-10-09T15:10:11.471000,3.04,-0.004,0.928,-0.135
1696864211551,2023-10-09T15:10:11.551000,3.12,-0.011,0.855,-0.174
1696864211631,2023-10-09T15:10:11.631000,3.2,-0.036,0.795,-0.17
