epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697117221400,2023-10-12T13:27:01.400000,0.0,-0.181,0.796,-0.383
1697117221480,2023-10-12T13:27:01.480000,0.08,-0.192,0.823,-0.424
1697117221560,2023-10-12T13:27:01.560000,0.16,-0.203,0.808,-0.421
1697117221640,2023-10-12T13:27:01.640000,0.24,-0.217,0.833,-0.439
1697117221720,2023-10-12T13:27:01.720000,0.32,-0.206,0.845,-0.446
1697117221800,2023-10-12T13:27:01.800000,0.4,-0.209,0.867,-0.454
1697117221880,2023-10-12T13:27:01.880000,0.48,-0.247,1.047,-0.495
1697117221960,2023-10-12T13:27:01.960000,0.56,-0.359,1.422,-0.63
1697117222040,2023-10-12T13:27:02.040000,0.64,-0.334,1.267,-0.578
1697117222120,2023-10-12T13:27:02.120000,0.72,-0.254,0.86,-0.454
1697117222200,2023-10-12T13:27:02.200000,0.8,-0.269,0.789,-0.442
1697117222280,2023-10-12T13:27:02.280000,0.88,-0.292,0.804,-0.414
1697117222360,2023-10-12T13:27:02.360000,0.96,-0.282,0.811,-0.442
1697117222440,2023-10-12T13:27:02.440000,1.04,-0.277,0.833,-0.438
1697117222520,2023-10-12T13:27:02.520000,1.12,-0.262,0.862,-0.444
1697117222600,2023-10-12T13:27:02.600000,1.2,-0.256,0.882,-0.404
1697117222680,2023-10-12T13:27:02.680000,1.28,-0.21,0.892,-0.41
1697117222760,2023-10-12T13:27:02.760000,1.36,-0.209,0.926,-0.362
1697117222840,2023-10-12T13:27:02.840000,1.44,-0.165,0.771,-0.228
1697117222920,2023-10-12T13:27:02.920000,1.52,-0.054,0.523,-0.364
1697117223000,2023-10-12T13:27:03.000000,1.6,-0.165,0.75,-0.247
1697117223080,2023-10-12T13:27:03.080000,1.68,-0.178,0.965,-0.394
1697117223160,2023-10-12T13:27:03.160000,1.76,-0.16,0.638,-0.263
1697117223240,2023-10-12T13:27:03.240000,1.84,-0.107,0.587,-0.352
1697117223320,2023-10-12T13:27:03.320000,1.92,-0.17,0.725,-0.365
1697117223400,2023-10-12T13:27:03.400000,2.0,-0.196,0.814,-0.416
1697117223480,2023-10-12T13:27:03.480000,2.08,-0.212,0.815,-0.413
1697117223560,2023-10-12T13:27:03.560000,2.16,-0.219,0.836,-0.377
1697117223640,2023-10-12T13:27:03.640000,2.24,-0.216,0.931,-0.386
1697117223720,2023-10-12T13:27:03.720000,2.32,-0.291,1.293,-0.471
1697117223800,2023-10-12T13:27:03.800000,2.4,-0.375,1.602,-0.591
1697117223880,2023-10-12T13:27:03.880000,2.48,-0.311,1.214,-0.481
1697117223960,2023-10-12T13:27:03.960000,2.56,-0.229,0.798,-0.382
1697117224040,2023-10-12T13:27:04.040000,2.64,-0.248,0.775,-0.417
1697117224120,2023-10-12T13:27:04.120000,2.72,-0.269,0.796,-0.396
1697117224200,2023-10-12T13:27:04.200000,2.8,-0.253,0.817,-0.43
1697117224280,2023-10-12T13:27:04.280000,2.88,-0.255,0.839,-0.424
1697117224360,2023-10-12T13:27:04.360000,2.96,-0.251,0.848,-0.417
1697117224440,2023-10-12T13:27:04.440000,3.04,-0.245,0.865,-0.425
1697117224520,2023-10-12T13:27:04.520000,3.12,-0.237,0.889,-0.432
1697117224600,2023-10-12T13:27:04.600000,3.2,-0.223,0.93,-0.427
1697117224680,2023-10-12T13:27:04.680000,3.28,-0.18,0.899,-0.378
1697117224760,2023-10-12T13:27:04.760000,3.36,-0.114,0.559,-0.258
1697117224840,2023-10-12T13:27:04.840000,3.44,-0.072,0.572,-0.336
1697117224920,2023-10-12T13:27:04.920000,3.52,-0.132,0.901,-0.358
1697117225000,2023-10-12T13:27:05.000000,3.6,-0.116,0.737,-0.375
1697117225080,2023-10-12T13:27:05.080000,3.68,-0.057,0.561,-0.388
1697117225160,2023-10-12T13:27:05.160000,3.76,-0.113,0.7,-0.429
1697117225240,2023-10-12T13:27:05.240000,3.84,-0.164,0.776,-0.479
1697117225320,2023-10-12T13:27:05.320000,3.92,-0.18,0.785,-0.501
1697117225400,2023-10-12T13:27:05.400000,4.0,-0.181,0.796,-0.492
1697117225480,2023-10-12T13:27:05.480000,4.08,-0.207,0.873,-0.465
1697117225560,2023-10-12T13:27:05.560000,4.16,-0.251,1.15,-0.48
1697117225640,2023-10-12T13:27:05.640000,4.24,-0.344,1.565,-0.607
1697117225720,2023-10-12T13:27:05.720000,4.32,-0.312,1.315,-0.462
1697117225800,2023-10-12T13:27:05.800000,4.4,-0.215,0.848,-0.34
1697117225880,2023-10-12T13:27:05.880000,4.48,-0.216,0.792,-0.349
1697117225960,2023-10-12T13:27:05.960000,4.56,-0.202,0.81,-0.429
1697117226040,2023-10-12T13:27:06.040000,4.64,-0.246,0.825,-0.369
1697117226120,2023-10-12T13:27:06.120000,4.72,-0.257,0.835,-0.395
1697117226200,2023-10-12T13:27:06.200000,4.8,-0.26,0.849,-0.44
1697117226280,2023-10-12T13:27:06.280000,4.88,-0.282,0.848,-0.418
1697117226360,2023-10-12T13:27:06.360000,4.96,-0.268,0.854,-0.452
1697117226440,2023-10-12T13:27:06.440000,5.04,-0.264,0.873,-0.458
1697117226520,2023-10-12T13:27:06.520000,5.12,-0.256,0.883,-0.419
1697117226600,2023-10-12T13:27:06.600000,5.2,-0.225,0.881,-0.384
1697117226680,2023-10-12T13:27:06.680000,5.28,-0.197,0.887,-0.351
1697117226760,2023-10-12T13:27:06.760000,5.36,-0.193,0.935,-0.334
1697117226840,2023-10-12T13:27:06.840000,5.44,-0.154,0.885,-0.219
1697117226920,2023-10-12T13:27:06.920000,5.52,-0.052,0.646,-0.366
1697117227000,2023-10-12T13:27:07.000000,5.6,-0.092,0.701,-0.239
1697117227080,2023-10-12T13:27:07.080000,5.68,-0.131,0.982,-0.28
1697117227160,2023-10-12T13:27:07.160000,5.76,-0.12,0.953,-0.317
1697117227240,2023-10-12T13:27:07.240000,5.84,-0.14,0.896,-0.295
1697117227320,2023-10-12T13:27:07.320000,5.92,-0.144,0.922,-0.341
1697117227400,2023-10-12T13:27:07.400000,6.0,-0.14,0.921,-0.339
1697117227480,2023-10-12T13:27:07.480000,6.08,-0.118,0.794,-0.341
1697117227560,2023-10-12T13:27:07.560000,6.16,-0.109,0.652,-0.318
1697117227640,2023-10-12T13:27:07.640000,6.24,-0.126,0.679,-0.385
1697117227720,2023-10-12T13:27:07.720000,6.32,-0.161,0.739,-0.385
1697117227800,2023-10-12T13:27:07.800000,6.4,-0.189,0.758,-0.413
1697117227880,2023-10-12T13:27:07.880000,6.48,-0.214,0.762,-0.399
1697117227960,2023-10-12T13:27:07.960000,6.56,-0.234,0.793,-0.428
1697117228040,2023-10-12T13:27:08.040000,6.64,-0.224,0.853,-0.481
1697117228120,2023-10-12T13:27:08.120000,6.72,-0.227,1.032,-0.502
1697117228200,2023-10-12T13:27:08.200000,6.8,-0.286,1.467,-0.681
1697117228280,2023-10-12T13:27:08.280000,6.88,-0.29,1.446,-0.667
1697117228360,2023-10-12T13:27:08.360000,6.96,-0.214,0.912,-0.467
1697117228440,2023-10-12T13:27:08.440000,7.04,-0.198,0.769,-0.424
1697117228520,2023-10-12T13:27:08.520000,7.12,-0.226,0.79,-0.415
1697117228600,2023-10-12T13:27:08.600000,7.2,-0.25,0.79,-0.375
1697117228680,2023-10-12T13:27:08.680000,7.28,-0.256,0.815,-0.399
1697117228760,2023-10-12T13:27:08.760000,7.36,-0.285,0.843,-0.38
1697117228840,2023-10-12T13:27:08.840000,7.44,-0.301,0.862,-0.385
1697117228920,2023-10-12T13:27:08.920000,7.52,-0.28,0.861,-0.38
1697117229000,2023-10-12T13:27:09.000000,7.6,-0.261,0.847,-0.362
1697117229080,2023-10-12T13:27:09.080000,7.68,-0.26,0.854,-0.347
1697117229160,2023-10-12T13:27:09.160000,7.76,-0.25,0.894,-0.392
1697117229240,2023-10-12T13:27:09.240000,7.84,-0.257,0.91,-0.4
1697117229320,2023-10-12T13:27:09.320000,7.92,-0.221,0.889,-0.36
1697117229400,2023-10-12T13:27:09.400000,8.0,-0.227,0.888,-0.333
1697117229480,2023-10-12T13:27:09.480000,8.08,-0.212,0.925,-0.341
1697117229560,2023-10-12T13:27:09.560000,8.16,-0.198,0.959,-0.309
1697117229640,2023-10-12T13:27:09.640000,8.24,-0.143,0.933,-0.288
1697117229720,2023-10-12T13:27:09.720000,8.32,-0.124,0.687,-0.232
