epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697116969353,2023-10-12T13:22:49.353000,0.0,-2.866,-0.61,-5.366
1697116969393,2023-10-12T13:22:49.393000,0.04,-2.5,-0.61,-3.963
1697116969433,2023-10-12T13:22:49.433000,0.08,1.707,-3.902,1.524
1697116969473,2023-10-12T13:22:49.473000,0.12,2.439,-4.939,-4.207
1697116969513,2023-10-12T13:22:49.513000,0.16,7.5,-6.037,1.768
1697116969553,2023-10-12T13:22:49.553000,0.2,3.049,-4.207,-1.037
1697116969593,2023-10-12T13:22:49.593000,0.24,-2.561,0.976,-6.402
1697116969633,2023-10-12T13:22:49.633000,0.28,1.768,3.72,3.232
1697116969673,2023-10-12T13:22:49.673000,0.32,18.049,-2.256,8.902
1697116969713,2023-10-12T13:22:49.713000,0.36,11.768,-3.72,-10.061
1697116969753,2023-10-12T13:22:49.753000,0.4,1.098,-1.646,-25.0
1697116969793,2023-10-12T13:22:49.793000,0.44,19.817,-5.732,-18.354
1697116969833,2023-10-12T13:22:49.833000,0.48,34.634,-11.28,-5.0
1697116969873,2023-10-12T13:22:49.873000,0.52,35.122,-8.537,-9.268
1697116969913,2023-10-12T13:22:49.913000,0.56,36.098,-11.951,-6.159
1697116969953,2023-10-12T13:22:49.953000,0.6,16.707,-7.866,-9.024
1697116969993,2023-10-12T13:22:49.993000,0.64,25.183,-9.939,-6.951
1697116970033,2023-10-12T13:22:50.033000,0.68,11.037,-2.744,-10.061
1697116970073,2023-10-12T13:22:50.073000,0.72,22.012,-3.659,0.366
1697116970113,2023-10-12T13:22:50.113000,0.76,16.89,-13.354,3.354
1697116970153,2023-10-12T13:22:50.153000,0.8,5.549,-9.268,6.829
1697116970193,2023-10-12T13:22:50.193000,0.84,8.049,-13.963,9.695
1697116970233,2023-10-12T13:22:50.233000,0.88,-3.841,-12.561,8.841
1697116970273,2023-10-12T13:22:50.273000,0.92,22.439,-21.098,19.512
1697116970313,2023-10-12T13:22:50.313000,0.96,7.622,-9.207,21.341
1697116970353,2023-10-12T13:22:50.353000,1.0,12.317,-11.402,19.512
1697116970393,2023-10-12T13:22:50.393000,1.04,10.671,-23.78,20.671
1697116970433,2023-10-12T13:22:50.433000,1.08,-5.61,-13.415,24.085
1697116970473,2023-10-12T13:22:50.473000,1.12,1.463,-5.61,13.11
1697116970513,2023-10-12T13:22:50.513000,1.16,5.488,4.024,2.622
1697116970553,2023-10-12T13:22:50.553000,1.2,-0.366,8.293,-10.854
1697116970593,2023-10-12T13:22:50.593000,1.24,-21.585,6.037,-35.305
1697116970633,2023-10-12T13:22:50.633000,1.28,-29.329,2.683,-39.695
1697116970673,2023-10-12T13:22:50.673000,1.32,-26.646,2.927,-30.366
1697116970713,2023-10-12T13:22:50.713000,1.36,-14.268,4.39,-22.622
1697116970753,2023-10-12T13:22:50.753000,1.4,-16.159,6.89,-22.073
1697116970793,2023-10-12T13:22:50.793000,1.44,-0.915,7.927,-7.134
1697116970833,2023-10-12T13:22:50.833000,1.48,-1.28,7.622,-9.39
1697116970873,2023-10-12T13:22:50.873000,1.52,-5.549,3.963,-10.854
1697116970913,2023-10-12T13:22:50.913000,1.56,-1.28,2.439,-6.524
1697116970953,2023-10-12T13:22:50.953000,1.6,-7.744,1.341,-7.683
1697116970993,2023-10-12T13:22:50.993000,1.64,-1.463,2.683,3.963
