epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696868664873,2023-10-09T16:24:24.873000,0.0,0.027,-1.009,-0.108
1696868664953,2023-10-09T16:24:24.953000,0.08,0.086,-1.045,-0.223
1696868665033,2023-10-09T16:24:25.033000,0.16,0.055,-1.039,-0.205
1696868665113,2023-10-09T16:24:25.113000,0.24,0.068,-1.022,-0.14
1696868665193,2023-10-09T16:24:25.193000,0.32,0.097,-1.014,-0.121
1696868665273,2023-10-09T16:24:25.273000,0.4,0.074,-1.017,-0.143
1696868665353,2023-10-09T16:24:25.353000,0.48,0.044,-1.027,-0.108
1696868665433,2023-10-09T16:24:25.433000,0.56,0.021,-1.042,-0.098
1696868665513,2023-10-09T16:24:25.513000,0.64,0.04,-1.028,-0.126
1696868665593,2023-10-09T16:24:25.593000,0.72,0.031,-1.025,-0.12
1696868665673,2023-10-09T16:24:25.673000,0.8,0.036,-1.023,-0.119
1696868665753,2023-10-09T16:24:25.753000,0.88,0.057,-1.028,-0.13
1696868665833,2023-10-09T16:24:25.833000,0.96,0.049,-1.031,-0.128
1696868665913,2023-10-09T16:24:25.913000,1.04,0.039,-1.022,-0.133
1696868665993,2023-10-09T16:24:25.993000,1.12,0.093,-1.023,-0.166
1696868666073,2023-10-09T16:24:26.073000,1.2,0.041,-1.022,-0.126
1696868666153,2023-10-09T16:24:26.153000,1.28,0.035,-1.034,-0.115
1696868666233,2023-10-09T16:24:26.233000,1.36,0.06,-1.021,-0.141
1696868666313,2023-10-09T16:24:26.313000,1.44,0.053,-1.023,-0.128
1696868666393,2023-10-09T16:24:26.393000,1.52,0.035,-1.034,-0.106
1696868666473,2023-10-09T16:24:26.473000,1.6,0.017,-1.036,-0.143
1696868666553,2023-10-09T16:24:26.553000,1.68,0.046,-1.042,-0.117
1696868666633,2023-10-09T16:24:26.633000,1.76,0.137,-1.103,-0.171
1696868666713,2023-10-09T16:24:26.713000,1.84,0.035,-1.093,-0.0
1696868666793,2023-10-09T16:24:26.793000,1.92,0.033,-0.988,-0.034
1696868666873,2023-10-09T16:24:26.873000,2.0,-0.009,-0.925,-0.206
1696868666953,2023-10-09T16:24:26.953000,2.08,0.047,-1.045,-0.052
1696868667033,2023-10-09T16:24:27.033000,2.16,0.028,-1.055,-0.03
1696868667113,2023-10-09T16:24:27.113000,2.24,0.003,-1.064,-0.056
1696868667193,2023-10-09T16:24:27.193000,2.32,0.045,-1.221,-0.072
1696868667273,2023-10-09T16:24:27.273000,2.4,0.036,-1.28,-0.052
1696868667353,2023-10-09T16:24:27.353000,2.48,0.035,-1.266,-0.047
1696868667433,2023-10-09T16:24:27.433000,2.56,0.028,-1.251,-0.072
1696868667513,2023-10-09T16:24:27.513000,2.64,0.042,-1.224,-0.08
1696868667593,2023-10-09T16:24:27.593000,2.72,0.016,-1.164,0.014
1696868667673,2023-10-09T16:24:27.673000,2.8,0.008,-1.123,-0.068
1696868667753,2023-10-09T16:24:27.753000,2.88,0.014,-1.068,0.018
