epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697225435127,2023-10-13T19:30:35.127000,0.0,0.081,-1.054,0.043
1697225435207,2023-10-13T19:30:35.207000,0.08,0.056,-1.045,0.048
1697225435287,2023-10-13T19:30:35.287000,0.16,0.089,-1.024,0.01
1697225435367,2023-10-13T19:30:35.367000,0.24,0.099,-1.04,0.045
1697225435447,2023-10-13T19:30:35.447000,0.32,-0.015,-0.958,-0.104
1697225435527,2023-10-13T19:30:35.527000,0.4,0.056,-1.005,-0.093
1697225435607,2023-10-13T19:30:35.607000,0.48,0.115,-1.084,-0.053
1697225435687,2023-10-13T19:30:35.687000,0.56,0.1,-1.026,-0.074
1697225435767,2023-10-13T19:30:35.767000,0.64,0.072,-1.009,-0.043
1697225435847,2023-10-13T19:30:35.847000,0.72,0.115,-1.035,-0.093
1697225435927,2023-10-13T19:30:35.927000,0.8,0.11,-1.003,-0.04
1697225436007,2023-10-13T19:30:36.007000,0.88,0.11,-1.064,-0.068
1697225436087,2023-10-13T19:30:36.087000,0.96,0.121,-1.084,-0.072
1697225436167,2023-10-13T19:30:36.167000,1.04,0.12,-1.154,-0.088
1697225436247,2023-10-13T19:30:36.247000,1.12,0.122,-1.165,-0.103
1697225436327,2023-10-13T19:30:36.327000,1.2,0.104,-1.172,-0.114
1697225436407,2023-10-13T19:30:36.407000,1.28,0.106,-1.167,-0.104
1697225436487,2023-10-13T19:30:36.487000,1.36,0.122,-1.161,-0.084
1697225436567,2023-10-13T19:30:36.567000,1.44,0.109,-1.131,-0.098
1697225436647,2023-10-13T19:30:36.647000,1.52,0.102,-1.126,-0.063
1697225436727,2023-10-13T19:30:36.727000,1.6,0.08,-1.081,-0.034
1697225436807,2023-10-13T19:30:36.807000,1.68,0.095,-1.05,-0.045
1697225436887,2023-10-13T19:30:36.887000,1.76,0.078,-0.95,-0.036
1697225436967,2023-10-13T19:30:36.967000,1.84,0.103,-0.836,-0.012
1697225437047,2023-10-13T19:30:37.047000,1.92,0.077,-0.674,0.097
1697225437127,2023-10-13T19:30:37.127000,2.0,0.021,-0.607,0.21
1697225437207,2023-10-13T19:30:37.207000,2.08,0.048,-0.786,0.285
1697225437287,2023-10-13T19:30:37.287000,2.16,0.075,-1.009,0.28
1697225437367,2023-10-13T19:30:37.367000,2.24,0.034,-1.022,0.231
1697225437447,2023-10-13T19:30:37.447000,2.32,0.046,-0.861,0.247
1697225437527,2023-10-13T19:30:37.527000,2.4,0.027,-0.802,0.145
1697225437607,2023-10-13T19:30:37.607000,2.48,0.05,-0.841,0.124
1697225437687,2023-10-13T19:30:37.687000,2.56,0.06,-0.885,0.11
