epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697225186798,2023-10-13T19:26:26.798000,0.0,0.067,-1.0,-0.108
1697225186878,2023-10-13T19:26:26.878000,0.08,0.072,-0.998,-0.21
1697225186958,2023-10-13T19:26:26.958000,0.16,0.113,-1.034,-0.213
1697225187038,2023-10-13T19:26:27.038000,0.24,0.094,-1.012,-0.18
1697225187118,2023-10-13T19:26:27.118000,0.32,0.071,-1.031,-0.209
1697225187198,2023-10-13T19:26:27.198000,0.4,0.082,-1.087,-0.224
1697225187278,2023-10-13T19:26:27.278000,0.48,0.103,-1.146,-0.193
1697225187358,2023-10-13T19:26:27.358000,0.56,0.116,-1.14,-0.166
1697225187438,2023-10-13T19:26:27.438000,0.64,0.106,-1.202,-0.205
1697225187518,2023-10-13T19:26:27.518000,0.72,0.1,-1.197,-0.249
1697225187598,2023-10-13T19:26:27.598000,0.8,0.112,-1.163,-0.235
1697225187678,2023-10-13T19:26:27.678000,0.88,0.094,-1.131,-0.206
1697225187758,2023-10-13T19:26:27.758000,0.96,0.099,-1.1,-0.198
1697225187838,2023-10-13T19:26:27.838000,1.04,0.087,-1.041,-0.138
1697225187918,2023-10-13T19:26:27.918000,1.12,0.086,-0.974,-0.115
1697225187998,2023-10-13T19:26:27.998000,1.2,0.045,-0.844,-0.083
1697225188078,2023-10-13T19:26:28.078000,1.28,0.055,-0.733,-0.015
1697225188158,2023-10-13T19:26:28.158000,1.36,0.034,-0.583,0.047
1697225188238,2023-10-13T19:26:28.238000,1.44,0.091,-0.664,0.224
1697225188318,2023-10-13T19:26:28.318000,1.52,0.056,-1.005,0.132
1697225188398,2023-10-13T19:26:28.398000,1.6,0.048,-1.152,0.055
1697225188478,2023-10-13T19:26:28.478000,1.68,0.041,-0.927,0.083
1697225188558,2023-10-13T19:26:28.558000,1.76,0.033,-0.745,0.041
1697225188638,2023-10-13T19:26:28.638000,1.84,0.048,-0.747,-0.033
1697225188718,2023-10-13T19:26:28.718000,1.92,0.082,-0.792,-0.054
1697225188798,2023-10-13T19:26:28.798000,2.0,0.089,-0.883,-0.127
1697225188878,2023-10-13T19:26:28.878000,2.08,0.073,-0.916,-0.188
1697225188958,2023-10-13T19:26:28.958000,2.16,0.081,-0.971,-0.183
1697225189038,2023-10-13T19:26:29.038000,2.24,0.113,-1.042,-0.199
1697225189118,2023-10-13T19:26:29.118000,2.32,0.101,-1.149,-0.244
1697225189198,2023-10-13T19:26:29.198000,2.4,0.067,-1.276,-0.253
1697225189278,2023-10-13T19:26:29.278000,2.48,0.158,-1.207,-0.301
1697225189358,2023-10-13T19:26:29.358000,2.56,0.101,-1.388,-0.365
1697225189438,2023-10-13T19:26:29.438000,2.64,0.18,-1.135,-0.126
1697225189518,2023-10-13T19:26:29.518000,2.72,0.062,-0.99,-0.194
1697225189598,2023-10-13T19:26:29.598000,2.8,0.111,-1.056,-0.186
1697225189678,2023-10-13T19:26:29.678000,2.88,0.101,-1.041,-0.181
1697225189758,2023-10-13T19:26:29.758000,2.96,0.098,-1.096,-0.321
1697225189838,2023-10-13T19:26:29.838000,3.04,0.101,-1.29,-0.275
1697225189918,2023-10-13T19:26:29.918000,3.12,0.155,-1.275,-0.262
1697225189998,2023-10-13T19:26:29.998000,3.2,0.103,-1.239,-0.237
