epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696865935055,2023-10-09T15:38:55.055000,0.0,-0.066,0.924,0.042
1696865935135,2023-10-09T15:38:55.135000,0.08,-0.059,0.878,0.052
1696865935215,2023-10-09T15:38:55.215000,0.16,-0.066,0.859,0.067
1696865935295,2023-10-09T15:38:55.295000,0.24,-0.067,1.035,0.054
1696865935375,2023-10-09T15:38:55.375000,0.32,-0.109,1.348,0.06
1696865935455,2023-10-09T15:38:55.455000,0.4,-0.135,1.432,0.021
1696865935535,2023-10-09T15:38:55.535000,0.48,-0.14,1.196,0.027
1696865935615,2023-10-09T15:38:55.615000,0.56,-0.179,0.986,0.034
1696865935695,2023-10-09T15:38:55.695000,0.64,-0.24,0.896,-0.03
1696865935775,2023-10-09T15:38:55.775000,0.72,-0.285,0.849,-0.025
1696865935855,2023-10-09T15:38:55.855000,0.8,-0.332,0.879,-0.119
1696865935935,2023-10-09T15:38:55.935000,0.88,-0.342,0.843,-0.072
1696865936015,2023-10-09T15:38:56.015000,0.96,-0.325,0.878,-0.1
1696865936095,2023-10-09T15:38:56.095000,1.04,-0.331,0.919,-0.103
1696865936175,2023-10-09T15:38:56.175000,1.12,-0.325,0.953,-0.107
1696865936255,2023-10-09T15:38:56.255000,1.2,-0.266,0.924,-0.103
1696865936335,2023-10-09T15:38:56.335000,1.28,-0.198,0.851,-0.074
1696865936415,2023-10-09T15:38:56.415000,1.36,-0.118,0.669,-0.061
1696865936495,2023-10-09T15:38:56.495000,1.44,-0.089,0.652,-0.07
1696865936575,2023-10-09T15:38:56.575000,1.52,-0.133,0.851,-0.018
1696865936655,2023-10-09T15:38:56.655000,1.6,-0.108,1.006,-0.059
1696865936735,2023-10-09T15:38:56.735000,1.68,-0.119,0.849,-0.061
1696865936815,2023-10-09T15:38:56.815000,1.76,-0.102,0.723,-0.151
1696865936895,2023-10-09T15:38:56.895000,1.84,-0.151,0.706,-0.094
1696865936975,2023-10-09T15:38:56.975000,1.92,-0.184,0.818,-0.137
1696865937055,2023-10-09T15:38:57.055000,2.0,-0.211,0.835,-0.169
1696865937135,2023-10-09T15:38:57.135000,2.08,-0.227,0.858,-0.17
1696865937215,2023-10-09T15:38:57.215000,2.16,-0.248,0.886,-0.138
1696865937295,2023-10-09T15:38:57.295000,2.24,-0.27,0.96,-0.147
1696865937375,2023-10-09T15:38:57.375000,2.32,-0.237,1.012,-0.149
1696865937455,2023-10-09T15:38:57.455000,2.4,-0.199,1.048,-0.094
1696865937535,2023-10-09T15:38:57.535000,2.48,-0.162,1.142,-0.074
1696865937615,2023-10-09T15:38:57.615000,2.56,-0.104,1.208,-0.053
1696865937695,2023-10-09T15:38:57.695000,2.64,-0.076,1.247,-0.03
1696865937775,2023-10-09T15:38:57.775000,2.72,-0.048,1.189,0.019
1696865937855,2023-10-09T15:38:57.855000,2.8,0.011,0.999,0.017
1696865937935,2023-10-09T15:38:57.935000,2.88,-0.002,0.792,0.072
1696865938015,2023-10-09T15:38:58.015000,2.96,-0.016,0.89,0.046
1696865938095,2023-10-09T15:38:58.095000,3.04,-0.041,1.25,0.048
