epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696865934768,2023-10-09T15:38:54.768000,0.0,-9.207,-1.037,-10.183
1696865934808,2023-10-09T15:38:54.808000,0.04,-8.659,-1.341,-11.037
1696865934848,2023-10-09T15:38:54.848000,0.08,-1.28,-3.049,-6.524
1696865934888,2023-10-09T15:38:54.888000,0.12,7.561,-4.024,0.854
1696865934928,2023-10-09T15:38:54.928000,0.16,3.659,-2.317,-0.244
1696865934968,2023-10-09T15:38:54.968000,0.2,-8.293,-1.159,-3.415
1696865935008,2023-10-09T15:38:55.008000,0.24,-7.5,-4.39,-2.866
1696865935048,2023-10-09T15:38:55.048000,0.28,0.793,-7.622,2.073
1696865935088,2023-10-09T15:38:55.088000,0.32,2.134,-6.829,5.244
1696865935128,2023-10-09T15:38:55.128000,0.36,1.89,-6.098,-0.854
1696865935168,2023-10-09T15:38:55.168000,0.4,4.878,-7.561,-4.024
1696865935208,2023-10-09T15:38:55.208000,0.44,7.744,-3.415,-6.951
1696865935248,2023-10-09T15:38:55.248000,0.48,9.39,-3.659,-5.122
1696865935288,2023-10-09T15:38:55.288000,0.52,9.878,-4.024,5.854
1696865935328,2023-10-09T15:38:55.328000,0.56,3.232,-1.829,5.488
1696865935368,2023-10-09T15:38:55.368000,0.6,-2.256,-3.171,-6.402
1696865935408,2023-10-09T15:38:55.408000,0.64,9.024,1.829,-21.707
1696865935448,2023-10-09T15:38:55.448000,0.68,24.451,3.049,-36.585
1696865935488,2023-10-09T15:38:55.488000,0.72,26.829,6.159,-46.89
1696865935528,2023-10-09T15:38:55.528000,0.76,25.183,11.098,-57.988
1696865935568,2023-10-09T15:38:55.568000,0.8,18.78,16.646,-57.5
1696865935608,2023-10-09T15:38:55.608000,0.84,20.366,15.305,-51.159
1696865935648,2023-10-09T15:38:55.648000,0.88,24.512,13.232,-37.378
1696865935688,2023-10-09T15:38:55.688000,0.92,25.488,5.915,-28.659
1696865935728,2023-10-09T15:38:55.728000,0.96,13.537,8.293,-26.829
1696865935768,2023-10-09T15:38:55.768000,1.0,4.939,14.695,-30.976
1696865935808,2023-10-09T15:38:55.808000,1.04,11.402,12.134,-15.732
1696865935848,2023-10-09T15:38:55.848000,1.08,11.341,-10.305,-2.561
