epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697118942767,2023-10-12T13:55:42.767000,0.0,-0.196,1.462,-0.324
1697118942847,2023-10-12T13:55:42.847000,0.08,-0.222,1.253,-0.259
1697118942927,2023-10-12T13:55:42.927000,0.16,-0.226,0.952,-0.231
1697118943007,2023-10-12T13:55:43.007000,0.24,-0.256,0.834,-0.191
1697118943087,2023-10-12T13:55:43.087000,0.32,-0.299,0.827,-0.24
1697118943167,2023-10-12T13:55:43.167000,0.4,-0.332,0.807,-0.25
1697118943247,2023-10-12T13:55:43.247000,0.48,-0.354,0.784,-0.222
1697118943327,2023-10-12T13:55:43.327000,0.56,-0.37,0.825,-0.252
1697118943407,2023-10-12T13:55:43.407000,0.64,-0.365,0.842,-0.219
1697118943487,2023-10-12T13:55:43.487000,0.72,-0.332,0.86,-0.189
1697118943567,2023-10-12T13:55:43.567000,0.8,-0.298,0.863,-0.154
1697118943647,2023-10-12T13:55:43.647000,0.88,-0.246,0.841,-0.123
1697118943727,2023-10-12T13:55:43.727000,0.96,-0.194,0.783,-0.139
1697118943807,2023-10-12T13:55:43.807000,1.04,-0.164,0.735,-0.153
1697118943887,2023-10-12T13:55:43.887000,1.12,-0.184,0.78,-0.103
1697118943967,2023-10-12T13:55:43.967000,1.2,-0.168,0.889,-0.165
1697118944047,2023-10-12T13:55:44.047000,1.28,-0.179,0.836,-0.144
1697118944127,2023-10-12T13:55:44.127000,1.36,-0.186,0.769,-0.174
1697118944207,2023-10-12T13:55:44.207000,1.44,-0.216,0.792,-0.202
1697118944287,2023-10-12T13:55:44.287000,1.52,-0.245,0.801,-0.215
1697118944367,2023-10-12T13:55:44.367000,1.6,-0.301,0.811,-0.229
1697118944447,2023-10-12T13:55:44.447000,1.68,-0.302,0.833,-0.229
1697118944527,2023-10-12T13:55:44.527000,1.76,-0.322,0.836,-0.185
1697118944607,2023-10-12T13:55:44.607000,1.84,-0.354,0.868,-0.187
1697118944687,2023-10-12T13:55:44.687000,1.92,-0.366,0.87,-0.114
1697118944767,2023-10-12T13:55:44.767000,2.0,-0.36,0.927,-0.115
1697118944847,2023-10-12T13:55:44.847000,2.08,-0.36,0.994,-0.118
1697118944927,2023-10-12T13:55:44.927000,2.16,-0.336,1.068,-0.105
1697118945007,2023-10-12T13:55:45.007000,2.24,-0.29,1.11,-0.11
1697118945087,2023-10-12T13:55:45.087000,2.32,-0.229,1.15,-0.124
1697118945167,2023-10-12T13:55:45.167000,2.4,-0.197,1.121,-0.102
1697118945247,2023-10-12T13:55:45.247000,2.48,-0.142,1.033,-0.133
1697118945327,2023-10-12T13:55:45.327000,2.56,-0.153,1.029,-0.099
1697118945407,2023-10-12T13:55:45.407000,2.64,-0.193,1.256,-0.116
1697118945487,2023-10-12T13:55:45.487000,2.72,-0.296,1.445,-0.199
1697118945567,2023-10-12T13:55:45.567000,2.8,-0.315,1.215,-0.151
1697118945647,2023-10-12T13:55:45.647000,2.88,-0.325,0.963,-0.111
1697118945727,2023-10-12T13:55:45.727000,2.96,-0.352,0.87,-0.173
1697118945807,2023-10-12T13:55:45.807000,3.04,-0.378,0.786,-0.182
1697118945887,2023-10-12T13:55:45.887000,3.12,-0.357,0.758,-0.206
1697118945967,2023-10-12T13:55:45.967000,3.2,-0.366,0.758,-0.224
1697118946047,2023-10-12T13:55:46.047000,3.28,-0.35,0.793,-0.233
1697118946127,2023-10-12T13:55:46.127000,3.36,-0.329,0.82,-0.204
1697118946207,2023-10-12T13:55:46.207000,3.44,-0.314,0.834,-0.159
1697118946287,2023-10-12T13:55:46.287000,3.52,-0.274,0.848,-0.148
1697118946367,2023-10-12T13:55:46.367000,3.6,-0.244,0.844,-0.099
1697118946447,2023-10-12T13:55:46.447000,3.68,-0.202,0.819,-0.041
1697118946527,2023-10-12T13:55:46.527000,3.76,-0.178,0.75,-0.116
1697118946607,2023-10-12T13:55:46.607000,3.84,-0.171,0.8,-0.109
1697118946687,2023-10-12T13:55:46.687000,3.92,-0.174,0.92,-0.105
1697118946767,2023-10-12T13:55:46.767000,4.0,-0.176,0.887,-0.151
1697118946847,2023-10-12T13:55:46.847000,4.08,-0.173,0.799,-0.153
1697118946927,2023-10-12T13:55:46.927000,4.16,-0.18,0.8,-0.18
1697118947007,2023-10-12T13:55:47.007000,4.24,-0.222,0.801,-0.247
1697118947087,2023-10-12T13:55:47.087000,4.32,-0.274,0.766,-0.228
1697118947167,2023-10-12T13:55:47.167000,4.4,-0.291,0.804,-0.275
1697118947247,2023-10-12T13:55:47.247000,4.48,-0.317,0.837,-0.299
1697118947327,2023-10-12T13:55:47.327000,4.56,-0.36,0.855,-0.287
1697118947407,2023-10-12T13:55:47.407000,4.64,-0.377,0.857,-0.27
1697118947487,2023-10-12T13:55:47.487000,4.72,-0.361,0.883,-0.26
1697118947567,2023-10-12T13:55:47.567000,4.8,-0.341,0.923,-0.23
1697118947647,2023-10-12T13:55:47.647000,4.88,-0.304,0.981,-0.225
1697118947727,2023-10-12T13:55:47.727000,4.96,-0.271,1.018,-0.195
1697118947807,2023-10-12T13:55:47.807000,5.04,-0.245,1.121,-0.231
1697118947887,2023-10-12T13:55:47.887000,5.12,-0.213,1.149,-0.187
1697118947967,2023-10-12T13:55:47.967000,5.2,-0.187,1.117,-0.205
1697118948047,2023-10-12T13:55:48.047000,5.28,-0.157,1.014,-0.221
1697118948127,2023-10-12T13:55:48.127000,5.36,-0.132,0.924,-0.173
1697118948207,2023-10-12T13:55:48.207000,5.44,-0.146,0.991,-0.168
1697118948287,2023-10-12T13:55:48.287000,5.52,-0.184,1.13,-0.159
1697118948367,2023-10-12T13:55:48.367000,5.6,-0.258,1.301,-0.116
1697118948447,2023-10-12T13:55:48.447000,5.68,-0.324,1.247,-0.13
1697118948527,2023-10-12T13:55:48.527000,5.76,-0.337,1.035,-0.157
1697118948607,2023-10-12T13:55:48.607000,5.84,-0.36,0.895,-0.147
1697118948687,2023-10-12T13:55:48.687000,5.92,-0.372,0.829,-0.142
1697118948767,2023-10-12T13:55:48.767000,6.0,-0.363,0.805,-0.204
1697118948847,2023-10-12T13:55:48.847000,6.08,-0.378,0.799,-0.215
1697118948927,2023-10-12T13:55:48.927000,6.16,-0.381,0.827,-0.235
1697118949007,2023-10-12T13:55:49.007000,6.24,-0.374,0.827,-0.248
1697118949087,2023-10-12T13:55:49.087000,6.32,-0.333,0.844,-0.234
1697118949167,2023-10-12T13:55:49.167000,6.4,-0.326,0.853,-0.199
1697118949247,2023-10-12T13:55:49.247000,6.48,-0.3,0.859,-0.16
1697118949327,2023-10-12T13:55:49.327000,6.56,-0.242,0.833,-0.134
1697118949407,2023-10-12T13:55:49.407000,6.64,-0.185,0.823,-0.107
1697118949487,2023-10-12T13:55:49.487000,6.72,-0.203,0.822,-0.093
1697118949567,2023-10-12T13:55:49.567000,6.8,-0.155,0.822,-0.163
1697118949647,2023-10-12T13:55:49.647000,6.88,-0.163,0.87,-0.173
1697118949727,2023-10-12T13:55:49.727000,6.96,-0.177,0.923,-0.175
1697118949807,2023-10-12T13:55:49.807000,7.04,-0.175,0.902,-0.198
1697118949887,2023-10-12T13:55:49.887000,7.12,-0.17,0.813,-0.212
1697118949967,2023-10-12T13:55:49.967000,7.2,-0.191,0.711,-0.205
1697118950047,2023-10-12T13:55:50.047000,7.28,-0.209,0.71,-0.223
1697118950127,2023-10-12T13:55:50.127000,7.36,-0.252,0.752,-0.233
1697118950207,2023-10-12T13:55:50.207000,7.44,-0.282,0.817,-0.304
1697118950287,2023-10-12T13:55:50.287000,7.52,-0.282,0.824,-0.304
1697118950367,2023-10-12T13:55:50.367000,7.6,-0.315,0.846,-0.305
1697118950447,2023-10-12T13:55:50.447000,7.68,-0.329,0.871,-0.27
1697118950527,2023-10-12T13:55:50.527000,7.76,-0.387,0.903,-0.261
1697118950607,2023-10-12T13:55:50.607000,7.84,-0.371,0.971,-0.24
1697118950687,2023-10-12T13:55:50.687000,7.92,-0.323,1.037,-0.228
1697118950767,2023-10-12T13:55:50.767000,8.0,-0.295,1.08,-0.18
1697118950847,2023-10-12T13:55:50.847000,8.08,-0.241,1.12,-0.156
1697118950927,2023-10-12T13:55:50.927000,8.16,-0.194,1.174,-0.165
1697118951007,2023-10-12T13:55:51.007000,8.24,-0.151,1.128,-0.158
1697118951087,2023-10-12T13:55:51.087000,8.32,-0.13,0.963,-0.11
1697118951167,2023-10-12T13:55:51.167000,8.4,-0.139,0.937,-0.116
1697118951247,2023-10-12T13:55:51.247000,8.48,-0.154,0.972,-0.135
1697118951327,2023-10-12T13:55:51.327000,8.56,-0.162,1.043,-0.122
1697118951407,2023-10-12T13:55:51.407000,8.64,-0.231,1.286,-0.188
1697118951487,2023-10-12T13:55:51.487000,8.72,-0.277,1.306,-0.238
1697118951567,2023-10-12T13:55:51.567000,8.8,-0.317,1.057,-0.164
1697118951647,2023-10-12T13:55:51.647000,8.88,-0.342,0.896,-0.24
1697118951727,2023-10-12T13:55:51.727000,8.96,-0.344,0.814,-0.279
1697118951807,2023-10-12T13:55:51.807000,9.04,-0.347,0.795,-0.256
1697118951887,2023-10-12T13:55:51.887000,9.12,-0.352,0.797,-0.291
1697118951967,2023-10-12T13:55:51.967000,9.2,-0.343,0.793,-0.292
1697118952047,2023-10-12T13:55:52.047000,9.28,-0.324,0.793,-0.298
1697118952127,2023-10-12T13:55:52.127000,9.36,-0.321,0.8,-0.221
1697118952207,2023-10-12T13:55:52.207000,9.44,-0.331,0.862,-0.291
1697118952287,2023-10-12T13:55:52.287000,9.52,-0.3,0.889,-0.305
1697118952367,2023-10-12T13:55:52.367000,9.6,-0.279,0.9,-0.266
1697118952447,2023-10-12T13:55:52.447000,9.68,-0.198,0.873,-0.253
1697118952527,2023-10-12T13:55:52.527000,9.76,-0.166,0.72,-0.171
1697118952607,2023-10-12T13:55:52.607000,9.84,-0.11,0.707,-0.188
1697118952687,2023-10-12T13:55:52.687000,9.92,-0.127,0.86,-0.178
1697118952767,2023-10-12T13:55:52.767000,10.0,-0.143,0.95,-0.241
1697118952847,2023-10-12T13:55:52.847000,10.08,-0.141,0.78,-0.187
1697118952927,2023-10-12T13:55:52.927000,10.16,-0.154,0.698,-0.193
1697118953007,2023-10-12T13:55:53.007000,10.24,-0.195,0.741,-0.193
1697118953087,2023-10-12T13:55:53.087000,10.32,-0.244,0.825,-0.276
1697118953167,2023-10-12T13:55:53.167000,10.4,-0.295,0.826,-0.306
1697118953247,2023-10-12T13:55:53.247000,10.48,-0.314,0.823,-0.293
1697118953327,2023-10-12T13:55:53.327000,10.56,-0.341,0.822,-0.246
1697118953407,2023-10-12T13:55:53.407000,10.64,-0.357,0.859,-0.24
1697118953487,2023-10-12T13:55:53.487000,10.72,-0.368,0.908,-0.214
1697118953567,2023-10-12T13:55:53.567000,10.8,-0.354,0.944,-0.17
1697118953647,2023-10-12T13:55:53.647000,10.88,-0.335,1.006,-0.111
1697118953727,2023-10-12T13:55:53.727000,10.96,-0.296,1.122,-0.129
