epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697118942440,2023-10-12T13:55:42.440000,0.0,3.049,-4.878,0.244
1697118942480,2023-10-12T13:55:42.480000,0.04,2.073,-4.329,-0.183
1697118942520,2023-10-12T13:55:42.520000,0.08,-2.073,-2.561,-2.622
1697118942560,2023-10-12T13:55:42.560000,0.12,-2.805,-4.207,-1.524
1697118942600,2023-10-12T13:55:42.600000,0.16,-3.476,-3.537,1.768
1697118942640,2023-10-12T13:55:42.640000,0.2,-3.415,-7.195,1.829
1697118942680,2023-10-12T13:55:42.680000,0.24,19.634,-1.707,-5.366
1697118942720,2023-10-12T13:55:42.720000,0.28,39.756,3.963,-20.061
1697118942760,2023-10-12T13:55:42.760000,0.32,38.78,-0.122,-43.963
1697118942800,2023-10-12T13:55:42.800000,0.36,24.207,7.744,-61.463
1697118942840,2023-10-12T13:55:42.840000,0.4,11.707,10.671,-64.756
1697118942880,2023-10-12T13:55:42.880000,0.44,11.098,8.415,-56.585
1697118942920,2023-10-12T13:55:42.920000,0.48,14.329,4.268,-48.841
1697118942960,2023-10-12T13:55:42.960000,0.52,9.939,3.415,-39.024
1697118943000,2023-10-12T13:55:43.000000,0.56,4.512,15.854,-22.439
1697118943040,2023-10-12T13:55:43.040000,0.6,10.854,10.915,-15.793
1697118943080,2023-10-12T13:55:43.080000,0.64,9.329,7.561,-20.427
1697118943120,2023-10-12T13:55:43.120000,0.68,8.415,0.427,-19.085
1697118943160,2023-10-12T13:55:43.160000,0.72,-0.427,-4.329,-9.329
1697118943200,2023-10-12T13:55:43.200000,0.76,-15.915,-9.939,-11.951
1697118943240,2023-10-12T13:55:43.240000,0.8,-20.488,-1.22,-5.976
1697118943280,2023-10-12T13:55:43.280000,0.84,-19.695,-4.756,4.573
1697118943320,2023-10-12T13:55:43.320000,0.88,-26.098,-5.854,9.207
1697118943360,2023-10-12T13:55:43.360000,0.92,-31.037,-1.524,13.902
1697118943400,2023-10-12T13:55:43.400000,0.96,-31.768,4.268,14.573
1697118943440,2023-10-12T13:55:43.440000,1.0,-28.476,6.22,19.756
1697118943480,2023-10-12T13:55:43.480000,1.04,-27.805,7.988,19.695
1697118943520,2023-10-12T13:55:43.520000,1.08,-20.061,3.841,24.695
1697118943560,2023-10-12T13:55:43.560000,1.12,-20.915,7.622,26.646
1697118943600,2023-10-12T13:55:43.600000,1.16,-16.707,8.841,32.561
1697118943640,2023-10-12T13:55:43.640000,1.2,-14.451,10.122,36.159
1697118943680,2023-10-12T13:55:43.680000,1.24,-5.854,2.317,38.537
1697118943720,2023-10-12T13:55:43.720000,1.28,2.073,-2.561,37.073
1697118943760,2023-10-12T13:55:43.760000,1.32,13.354,-12.622,30.732
1697118943800,2023-10-12T13:55:43.800000,1.36,18.963,-16.22,20.854
1697118943840,2023-10-12T13:55:43.840000,1.4,6.402,-5.61,2.012
1697118943880,2023-10-12T13:55:43.880000,1.44,9.817,-6.22,-8.293
