epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696867249915,2023-10-09T16:00:49.915000,0.0,-0.068,0.974,0.06
1696867249995,2023-10-09T16:00:49.995000,0.08,-0.072,0.978,0.028
1696867250075,2023-10-09T16:00:50.075000,0.16,-0.056,0.958,0.04
1696867250155,2023-10-09T16:00:50.155000,0.24,-0.041,0.955,0.053
1696867250235,2023-10-09T16:00:50.235000,0.32,-0.083,0.949,0.092
1696867250315,2023-10-09T16:00:50.315000,0.4,-0.052,0.993,0.028
1696867250395,2023-10-09T16:00:50.395000,0.48,-0.055,0.995,0.038
1696867250475,2023-10-09T16:00:50.475000,0.56,-0.069,0.98,0.057
1696867250555,2023-10-09T16:00:50.555000,0.64,-0.051,0.954,0.015
1696867250635,2023-10-09T16:00:50.635000,0.72,-0.057,0.926,0.051
1696867250715,2023-10-09T16:00:50.715000,0.8,-0.044,0.955,0.042
1696867250795,2023-10-09T16:00:50.795000,0.88,-0.052,0.984,0.055
1696867250875,2023-10-09T16:00:50.875000,0.96,-0.051,0.992,0.052
1696867250955,2023-10-09T16:00:50.955000,1.04,-0.059,0.965,0.065
1696867251035,2023-10-09T16:00:51.035000,1.12,-0.048,0.968,0.029
1696867251115,2023-10-09T16:00:51.115000,1.2,-0.045,0.945,0.029
1696867251195,2023-10-09T16:00:51.195000,1.28,-0.014,0.893,0.021
1696867251275,2023-10-09T16:00:51.275000,1.36,-0.021,1.182,0.007
1696867251355,2023-10-09T16:00:51.355000,1.44,-0.09,1.623,-0.047
1696867251435,2023-10-09T16:00:51.435000,1.52,-0.159,1.358,0.065
1696867251515,2023-10-09T16:00:51.515000,1.6,-0.162,1.052,-0.013
1696867251595,2023-10-09T16:00:51.595000,1.68,-0.219,0.893,-0.013
1696867251675,2023-10-09T16:00:51.675000,1.76,-0.29,0.866,-0.021
1696867251755,2023-10-09T16:00:51.755000,1.84,-0.304,0.859,-0.042
1696867251835,2023-10-09T16:00:51.835000,1.92,-0.282,0.818,-0.038
1696867251915,2023-10-09T16:00:51.915000,2.0,-0.27,0.811,-0.042
1696867251995,2023-10-09T16:00:51.995000,2.08,-0.232,0.81,-0.02
1696867252075,2023-10-09T16:00:52.075000,2.16,-0.174,0.84,-0.005
1696867252155,2023-10-09T16:00:52.155000,2.24,-0.146,0.696,0.011
1696867252235,2023-10-09T16:00:52.235000,2.32,-0.102,0.588,-0.083
1696867252315,2023-10-09T16:00:52.315000,2.4,-0.144,0.632,-0.08
1696867252395,2023-10-09T16:00:52.395000,2.48,-0.179,0.771,-0.114
1696867252475,2023-10-09T16:00:52.475000,2.56,-0.208,0.807,-0.128
1696867252555,2023-10-09T16:00:52.555000,2.64,-0.22,0.807,-0.161
1696867252635,2023-10-09T16:00:52.635000,2.72,-0.234,0.826,-0.178
1696867252715,2023-10-09T16:00:52.715000,2.8,-0.281,0.857,-0.182
1696867252795,2023-10-09T16:00:52.795000,2.88,-0.271,0.914,-0.163
1696867252875,2023-10-09T16:00:52.875000,2.96,-0.276,0.987,-0.138
1696867252955,2023-10-09T16:00:52.955000,3.04,-0.23,1.036,-0.087
1696867253035,2023-10-09T16:00:53.035000,3.12,-0.148,1.054,-0.068
1696867253115,2023-10-09T16:00:53.115000,3.2,-0.061,1.074,-0.034
1696867253195,2023-10-09T16:00:53.195000,3.28,-0.001,1.299,-0.067
1696867253275,2023-10-09T16:00:53.275000,3.36,-0.038,1.653,-0.02
