epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696867249827,2023-10-09T16:00:49.827000,0.0,7.622,2.195,0.732
1696867249867,2023-10-09T16:00:49.867000,0.04,-0.549,3.11,-5.61
1696867249907,2023-10-09T16:00:49.907000,0.08,-4.756,0.854,-7.988
1696867249947,2023-10-09T16:00:49.947000,0.12,-3.78,0.427,-8.537
1696867249987,2023-10-09T16:00:49.987000,0.16,-1.463,0.244,-4.634
1696867250027,2023-10-09T16:00:50.027000,0.2,-0.427,1.28,0.488
1696867250067,2023-10-09T16:00:50.067000,0.24,9.756,-3.293,7.073
1696867250107,2023-10-09T16:00:50.107000,0.28,14.085,-5.305,11.707
1696867250147,2023-10-09T16:00:50.147000,0.32,4.39,-1.402,1.707
1696867250187,2023-10-09T16:00:50.187000,0.36,-8.171,-2.561,-10.671
1696867250227,2023-10-09T16:00:50.227000,0.4,-8.902,-1.463,-5.488
1696867250267,2023-10-09T16:00:50.267000,0.44,6.28,-0.61,5.793
1696867250307,2023-10-09T16:00:50.307000,0.48,14.146,-2.256,8.537
1696867250347,2023-10-09T16:00:50.347000,0.52,8.171,-4.085,3.598
1696867250387,2023-10-09T16:00:50.387000,0.56,2.134,-4.024,-2.073
1696867250427,2023-10-09T16:00:50.427000,0.6,-4.939,-1.707,-7.561
1696867250467,2023-10-09T16:00:50.467000,0.64,-2.378,0.244,-6.098
1696867250507,2023-10-09T16:00:50.507000,0.68,9.451,-1.22,5.427
1696867250547,2023-10-09T16:00:50.547000,0.72,8.293,-1.341,12.195
1696867250587,2023-10-09T16:00:50.587000,0.76,-1.646,-1.707,5.793
1696867250627,2023-10-09T16:00:50.627000,0.8,-9.878,-0.915,0.915
1696867250667,2023-10-09T16:00:50.667000,0.84,-10.671,-3.963,0.183
1696867250707,2023-10-09T16:00:50.707000,0.88,-6.341,-5.122,0.732
1696867250747,2023-10-09T16:00:50.747000,0.92,-2.012,-4.695,0.244
1696867250787,2023-10-09T16:00:50.787000,0.96,4.207,-3.232,3.963
1696867250827,2023-10-09T16:00:50.827000,1.0,13.232,-4.146,7.378
1696867250867,2023-10-09T16:00:50.867000,1.04,14.939,-4.207,6.829
1696867250907,2023-10-09T16:00:50.907000,1.08,8.354,-2.866,2.256
1696867250947,2023-10-09T16:00:50.947000,1.12,3.476,-1.951,0.671
1696867250987,2023-10-09T16:00:50.987000,1.16,3.232,-3.537,1.463
1696867251027,2023-10-09T16:00:51.027000,1.2,4.512,-3.415,5.427
1696867251067,2023-10-09T16:00:51.067000,1.24,3.354,-2.195,3.902
1696867251107,2023-10-09T16:00:51.107000,1.28,-2.5,0.976,8.354
1696867251147,2023-10-09T16:00:51.147000,1.32,-2.439,0.793,12.805
1696867251187,2023-10-09T16:00:51.187000,1.36,-2.317,-8.963,5.732
1696867251227,2023-10-09T16:00:51.227000,1.4,-5.976,-3.293,-1.341
1696867251267,2023-10-09T16:00:51.267000,1.44,5.244,-4.024,-4.207
1696867251307,2023-10-09T16:00:51.307000,1.48,36.524,-6.646,-22.866
1696867251347,2023-10-09T16:00:51.347000,1.52,29.329,1.768,-48.354
1696867251387,2023-10-09T16:00:51.387000,1.56,1.951,24.451,-71.585
1696867251427,2023-10-09T16:00:51.427000,1.6,-11.646,37.988,-87.866
1696867251467,2023-10-09T16:00:51.467000,1.64,6.037,27.073,-84.146
1696867251507,2023-10-09T16:00:51.507000,1.68,22.622,-2.012,-62.317
1696867251547,2023-10-09T16:00:51.547000,1.72,19.268,12.561,-33.598
1696867251587,2023-10-09T16:00:51.587000,1.76,15.61,7.683,-14.329
1696867251627,2023-10-09T16:00:51.627000,1.8,13.537,9.756,-6.951
1696867251667,2023-10-09T16:00:51.667000,1.84,3.537,5.61,-5.793
1696867251707,2023-10-09T16:00:51.707000,1.88,-6.585,8.232,-9.268
1696867251747,2023-10-09T16:00:51.747000,1.92,-7.439,7.378,-0.183
1696867251787,2023-10-09T16:00:51.787000,1.96,-14.939,-0.732,4.207
1696867251827,2023-10-09T16:00:51.827000,2.0,-20.671,-3.11,7.5
1696867251867,2023-10-09T16:00:51.867000,2.04,-16.22,6.585,19.756
1696867251907,2023-10-09T16:00:51.907000,2.08,-8.841,-18.232,29.634
1696867251947,2023-10-09T16:00:51.947000,2.12,-4.329,-11.89,35.061
1696867251987,2023-10-09T16:00:51.987000,2.16,-3.598,0.122,38.537
1696867252027,2023-10-09T16:00:52.027000,2.2,-3.354,-3.232,44.817
1696867252067,2023-10-09T16:00:52.067000,2.24,-7.012,-5.915,43.354
1696867252107,2023-10-09T16:00:52.107000,2.28,-6.829,1.524,30.793
1696867252147,2023-10-09T16:00:52.147000,2.32,7.744,6.585,14.451
1696867252187,2023-10-09T16:00:52.187000,2.36,29.39,-16.159,1.341
1696867252227,2023-10-09T16:00:52.227000,2.4,43.11,-21.707,-5.305
1696867252267,2023-10-09T16:00:52.267000,2.44,41.89,-12.317,-19.634
1696867252307,2023-10-09T16:00:52.307000,2.48,43.72,-20.732,-32.256
1696867252347,2023-10-09T16:00:52.347000,2.52,46.159,-24.39,-27.317
1696867252387,2023-10-09T16:00:52.387000,2.56,35.305,-13.476,-22.256
1696867252427,2023-10-09T16:00:52.427000,2.6,21.341,4.268,-22.195
1696867252467,2023-10-09T16:00:52.467000,2.64,13.537,5.427,-22.317
1696867252507,2023-10-09T16:00:52.507000,2.68,7.805,5.244,-21.098
1696867252547,2023-10-09T16:00:52.547000,2.72,11.402,2.927,-14.329
1696867252587,2023-10-09T16:00:52.587000,2.76,17.561,-2.012,-4.451
1696867252627,2023-10-09T16:00:52.627000,2.8,12.378,-2.012,-1.646
1696867252667,2023-10-09T16:00:52.667000,2.84,7.012,-2.195,-2.866
1696867252707,2023-10-09T16:00:52.707000,2.88,2.927,-9.512,5.854
1696867252747,2023-10-09T16:00:52.747000,2.92,-2.622,-11.89,19.573
1696867252787,2023-10-09T16:00:52.787000,2.96,-14.634,-10.122,24.146
1696867252827,2023-10-09T16:00:52.827000,3.0,-24.573,-14.512,28.293
1696867252867,2023-10-09T16:00:52.867000,3.04,-28.78,-17.439,32.378
1696867252907,2023-10-09T16:00:52.907000,3.08,-49.207,-15.366,32.805
1696867252947,2023-10-09T16:00:52.947000,3.12,-50.0,-5.183,34.451
1696867252987,2023-10-09T16:00:52.987000,3.16,-43.78,-7.5,44.329
1696867253027,2023-10-09T16:00:53.027000,3.2,-41.524,-5.549,48.841
1696867253067,2023-10-09T16:00:53.067000,3.24,-31.646,-1.707,62.317
1696867253107,2023-10-09T16:00:53.107000,3.28,-23.72,-2.988,60.427
1696867253147,2023-10-09T16:00:53.147000,3.32,-7.378,-8.293,62.744
1696867253187,2023-10-09T16:00:53.187000,3.36,11.159,-18.963,35.061
1696867253227,2023-10-09T16:00:53.227000,3.4,7.866,-11.585,-18.171
1696867253267,2023-10-09T16:00:53.267000,3.44,11.22,-2.866,-43.659
1696867253307,2023-10-09T16:00:53.307000,3.48,33.415,2.256,-52.195
1696867253347,2023-10-09T16:00:53.347000,3.52,43.841,0.427,-60.122
1696867253387,2023-10-09T16:00:53.387000,3.56,50.366,4.207,-65.549
1696867253427,2023-10-09T16:00:53.427000,3.6,44.268,6.28,-58.476
1696867253467,2023-10-09T16:00:53.467000,3.64,44.939,6.768,-50.854
1696867253507,2023-10-09T16:00:53.507000,3.68,25.732,3.78,-45.793
1696867253547,2023-10-09T16:00:53.547000,3.72,12.317,7.5,-40.427
1696867253587,2023-10-09T16:00:53.587000,3.76,1.951,8.11,-31.463
1696867253627,2023-10-09T16:00:53.627000,3.8,-14.024,11.646,-24.207
1696867253667,2023-10-09T16:00:53.667000,3.84,-31.585,18.232,-23.598
1696867253707,2023-10-09T16:00:53.707000,3.88,-33.902,-8.11,-10.549
1696867253747,2023-10-09T16:00:53.747000,3.92,-42.256,17.439,-6.22
1696867253787,2023-10-09T16:00:53.787000,3.96,-35.732,14.329,7.012
1696867253827,2023-10-09T16:00:53.827000,4.0,-29.512,11.89,15.61
1696867253867,2023-10-09T16:00:53.867000,4.04,-12.805,12.5,30.671
1696867253907,2023-10-09T16:00:53.907000,4.08,2.256,-17.744,45.61
1696867253947,2023-10-09T16:00:53.947000,4.12,-13.659,-21.402,31.707
1696867253987,2023-10-09T16:00:53.987000,4.16,-25.0,5.244,30.854
1696867254027,2023-10-09T16:00:54.027000,4.2,-15.488,0.122,49.939
1696867254067,2023-10-09T16:00:54.067000,4.24,0.915,-17.134,50.122
1696867254107,2023-10-09T16:00:54.107000,4.28,15.0,-14.329,13.476
1696867254147,2023-10-09T16:00:54.147000,4.32,32.134,-10.305,-18.659
1696867254187,2023-10-09T16:00:54.187000,4.36,45.793,-2.805,-15.244
1696867254227,2023-10-09T16:00:54.227000,4.4,49.634,-9.146,-13.659
1696867254267,2023-10-09T16:00:54.267000,4.44,49.878,-13.902,-23.476
1696867254307,2023-10-09T16:00:54.307000,4.48,44.024,-14.329,-30.488
1696867254347,2023-10-09T16:00:54.347000,4.52,28.537,-6.402,-43.598
1696867254387,2023-10-09T16:00:54.387000,4.56,18.78,5.061,-39.939
1696867254427,2023-10-09T16:00:54.427000,4.6,18.963,-2.988,-18.171
1696867254467,2023-10-09T16:00:54.467000,4.64,17.683,-2.134,1.341
1696867254507,2023-10-09T16:00:54.507000,4.68,14.024,6.951,7.927
1696867254547,2023-10-09T16:00:54.547000,4.72,9.268,-6.829,18.415
1696867254587,2023-10-09T16:00:54.587000,4.76,-1.341,-12.561,24.268
1696867254627,2023-10-09T16:00:54.627000,4.8,-16.098,-6.768,24.146
1696867254667,2023-10-09T16:00:54.667000,4.84,-24.512,-8.232,21.646
