epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697476945755,2023-10-16T17:22:25.755000,0.0,1.341,1.463,0.671
1697476945795,2023-10-16T17:22:25.795000,0.04,1.098,1.098,0.976
1697476945835,2023-10-16T17:22:25.835000,0.08,0.183,-2.195,0.305
1697476945875,2023-10-16T17:22:25.875000,0.12,0.061,-2.195,0.183
1697476945915,2023-10-16T17:22:25.915000,0.16,0.305,0.915,1.159
1697476945955,2023-10-16T17:22:25.955000,0.2,0.061,-1.707,1.28
1697476945995,2023-10-16T17:22:25.995000,0.24,0.183,-1.037,0.976
1697476946035,2023-10-16T17:22:26.035000,0.28,0.305,1.768,0.305
1697476946075,2023-10-16T17:22:26.075000,0.32,0.366,-1.159,0.549
1697476946115,2023-10-16T17:22:26.115000,0.36,0.793,-1.951,0.61
1697476946155,2023-10-16T17:22:26.155000,0.4,0.915,-2.622,0.61
1697476946195,2023-10-16T17:22:26.195000,0.44,0.61,-2.805,0.976
1697476946235,2023-10-16T17:22:26.235000,0.48,0.976,-0.305,1.463
1697476946275,2023-10-16T17:22:26.275000,0.52,0.915,-1.585,0.915
1697476946315,2023-10-16T17:22:26.315000,0.56,0.854,-1.585,0.854
1697476946355,2023-10-16T17:22:26.355000,0.6,2.5,5.671,0.305
1697476946395,2023-10-16T17:22:26.395000,0.64,8.11,8.78,-2.561
1697476946435,2023-10-16T17:22:26.435000,0.68,7.988,7.195,-2.012
1697476946475,2023-10-16T17:22:26.475000,0.72,1.768,4.451,1.098
1697476946515,2023-10-16T17:22:26.515000,0.76,-1.951,-1.646,3.171
1697476946555,2023-10-16T17:22:26.555000,0.8,-0.732,-0.976,2.988
1697476946595,2023-10-16T17:22:26.595000,0.84,0.244,0.305,1.402
1697476946635,2023-10-16T17:22:26.635000,0.88,0.122,-0.915,0.122
1697476946675,2023-10-16T17:22:26.675000,0.92,0.244,-0.732,-0.549
1697476946715,2023-10-16T17:22:26.715000,0.96,0.244,1.341,0.122
1697476946755,2023-10-16T17:22:26.755000,1.0,0.427,-1.463,0.976
1697476946795,2023-10-16T17:22:26.795000,1.04,0.183,-1.768,1.159
1697476946835,2023-10-16T17:22:26.835000,1.08,0.427,-0.854,1.037
1697476946875,2023-10-16T17:22:26.875000,1.12,2.134,0.488,0.915
1697476946915,2023-10-16T17:22:26.915000,1.16,3.476,3.659,0.122
1697476946955,2023-10-16T17:22:26.955000,1.2,3.598,3.476,0.305
1697476946995,2023-10-16T17:22:26.995000,1.24,3.841,-0.915,-0.305
1697476947035,2023-10-16T17:22:27.035000,1.28,8.049,2.073,-2.195
1697476947075,2023-10-16T17:22:27.075000,1.32,10.671,5.305,-3.049
1697476947115,2023-10-16T17:22:27.115000,1.36,13.232,10.061,-4.939
1697476947155,2023-10-16T17:22:27.155000,1.4,16.585,16.524,-4.695
1697476947195,2023-10-16T17:22:27.195000,1.44,22.256,14.573,-3.902
1697476947235,2023-10-16T17:22:27.235000,1.48,24.207,2.195,-2.073
1697476947275,2023-10-16T17:22:27.275000,1.52,26.89,22.134,1.829
1697476947315,2023-10-16T17:22:27.315000,1.56,28.476,60.183,6.89
1697476947355,2023-10-16T17:22:27.355000,1.6,30.366,85.244,8.841
1697476947395,2023-10-16T17:22:27.395000,1.64,28.537,83.415,8.232
1697476947435,2023-10-16T17:22:27.435000,1.68,21.159,71.402,12.073
1697476947475,2023-10-16T17:22:27.475000,1.72,16.524,67.622,19.39
1697476947515,2023-10-16T17:22:27.515000,1.76,6.829,26.402,16.951
1697476947555,2023-10-16T17:22:27.555000,1.8,-2.073,-4.939,7.439
1697476947595,2023-10-16T17:22:27.595000,1.84,-4.207,4.634,-0.122
1697476947635,2023-10-16T17:22:27.635000,1.88,-2.988,10.976,-1.463
1697476947675,2023-10-16T17:22:27.675000,1.92,-4.817,3.11,-1.707
1697476947715,2023-10-16T17:22:27.715000,1.96,-7.134,-10.0,-1.524
1697476947755,2023-10-16T17:22:27.755000,2.0,-8.232,-18.659,0.305
1697476947795,2023-10-16T17:22:27.795000,2.04,-6.037,-7.439,-0.976
1697476947835,2023-10-16T17:22:27.835000,2.08,-2.805,-0.427,-3.72
1697476947875,2023-10-16T17:22:27.875000,2.12,-2.012,-10.549,-4.329
1697476947915,2023-10-16T17:22:27.915000,2.16,-3.171,-15.732,-2.622
1697476947955,2023-10-16T17:22:27.955000,2.2,-3.415,0.0,-1.159
1697476947995,2023-10-16T17:22:27.995000,2.24,-0.976,10.305,0.549
1697476948035,2023-10-16T17:22:28.035000,2.28,0.488,4.39,2.866
1697476948075,2023-10-16T17:22:28.075000,2.32,0.305,-0.305,2.683
1697476948115,2023-10-16T17:22:28.115000,2.36,1.098,0.61,0.671
1697476948155,2023-10-16T17:22:28.155000,2.4,3.171,2.439,-0.488
1697476948195,2023-10-16T17:22:28.195000,2.44,5.671,0.305,-1.402
1697476948235,2023-10-16T17:22:28.235000,2.48,6.768,0.122,-2.256
1697476948275,2023-10-16T17:22:28.275000,2.52,6.524,-1.098,-1.524
1697476948315,2023-10-16T17:22:28.315000,2.56,5.305,-0.854,0.305
1697476948355,2023-10-16T17:22:28.355000,2.6,4.146,0.244,0.854
1697476948395,2023-10-16T17:22:28.395000,2.64,4.024,1.707,0.305
