epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697563345756,2023-10-17T17:22:25.756000,0.0,1.341,1.463,0.671
1697563345796,2023-10-17T17:22:25.796000,0.04,1.098,1.098,0.976
1697563345836,2023-10-17T17:22:25.836000,0.08,0.183,-2.195,0.305
1697563345876,2023-10-17T17:22:25.876000,0.12,0.061,-2.195,0.183
1697563345916,2023-10-17T17:22:25.916000,0.16,0.305,0.915,1.159
1697563345956,2023-10-17T17:22:25.956000,0.2,0.061,-1.707,1.28
1697563345996,2023-10-17T17:22:25.996000,0.24,0.183,-1.037,0.976
1697563346036,2023-10-17T17:22:26.036000,0.28,0.305,1.768,0.305
1697563346076,2023-10-17T17:22:26.076000,0.32,0.366,-1.159,0.549
1697563346116,2023-10-17T17:22:26.116000,0.36,0.793,-1.951,0.61
1697563346156,2023-10-17T17:22:26.156000,0.4,0.915,-2.622,0.61
1697563346196,2023-10-17T17:22:26.196000,0.44,0.61,-2.805,0.976
1697563346236,2023-10-17T17:22:26.236000,0.48,0.976,-0.305,1.463
1697563346276,2023-10-17T17:22:26.276000,0.52,0.915,-1.585,0.915
1697563346316,2023-10-17T17:22:26.316000,0.56,0.854,-1.585,0.854
1697563346356,2023-10-17T17:22:26.356000,0.6,2.5,5.671,0.305
1697563346396,2023-10-17T17:22:26.396000,0.64,8.11,8.78,-2.561
1697563346436,2023-10-17T17:22:26.436000,0.68,7.988,7.195,-2.012
1697563346476,2023-10-17T17:22:26.476000,0.72,1.768,4.451,1.098
1697563346516,2023-10-17T17:22:26.516000,0.76,-1.951,-1.646,3.171
1697563346556,2023-10-17T17:22:26.556000,0.8,-0.732,-0.976,2.988
1697563346596,2023-10-17T17:22:26.596000,0.84,0.244,0.305,1.402
1697563346636,2023-10-17T17:22:26.636000,0.88,0.122,-0.915,0.122
1697563346676,2023-10-17T17:22:26.676000,0.92,0.244,-0.732,-0.549
1697563346716,2023-10-17T17:22:26.716000,0.96,0.244,1.341,0.122
1697563346756,2023-10-17T17:22:26.756000,1.0,0.427,-1.463,0.976
1697563346796,2023-10-17T17:22:26.796000,1.04,0.183,-1.768,1.159
1697563346836,2023-10-17T17:22:26.836000,1.08,0.427,-0.854,1.037
1697563346876,2023-10-17T17:22:26.876000,1.12,2.134,0.488,0.915
