epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697119610465,2023-10-12T14:06:50.465000,0.0,-52.988,-15.793,-12.439
1697119610505,2023-10-12T14:06:50.505000,0.04,-51.951,-17.012,-12.012
1697119610545,2023-10-12T14:06:50.545000,0.08,-47.988,-17.134,-10.244
1697119610585,2023-10-12T14:06:50.585000,0.12,-39.756,-15.854,-6.463
1697119610625,2023-10-12T14:06:50.625000,0.16,-28.354,-14.695,-7.195
1697119610665,2023-10-12T14:06:50.665000,0.2,-24.878,-6.22,-13.11
1697119610705,2023-10-12T14:06:50.705000,0.24,-20.0,-10.427,-6.585
1697119610745,2023-10-12T14:06:50.745000,0.28,-15.122,-4.939,-7.866
1697119610785,2023-10-12T14:06:50.785000,0.32,-10.793,-3.354,-3.11
1697119610825,2023-10-12T14:06:50.825000,0.36,-0.61,-8.171,-1.768
1697119610865,2023-10-12T14:06:50.865000,0.4,-2.134,-2.805,-1.585
1697119610905,2023-10-12T14:06:50.905000,0.44,-3.841,1.28,-2.988
1697119610945,2023-10-12T14:06:50.945000,0.48,0.61,-0.244,0.915
1697119610985,2023-10-12T14:06:50.985000,0.52,8.78,-4.878,4.024
1697119611025,2023-10-12T14:06:51.025000,0.56,9.268,-3.537,5.793
1697119611065,2023-10-12T14:06:51.065000,0.6,3.415,0.366,5.671
1697119611105,2023-10-12T14:06:51.105000,0.64,6.341,-1.524,5.671
1697119611145,2023-10-12T14:06:51.145000,0.68,8.841,1.341,7.683
1697119611185,2023-10-12T14:06:51.185000,0.72,10.122,-0.244,6.585
1697119611225,2023-10-12T14:06:51.225000,0.76,9.146,-3.354,7.988
1697119611265,2023-10-12T14:06:51.265000,0.8,7.195,-4.085,3.659
1697119611305,2023-10-12T14:06:51.305000,0.84,9.817,-9.634,2.683
1697119611345,2023-10-12T14:06:51.345000,0.88,11.28,-11.524,-1.768
1697119611385,2023-10-12T14:06:51.385000,0.92,12.439,-8.293,-7.073
1697119611425,2023-10-12T14:06:51.425000,0.96,18.415,-8.476,-9.451
1697119611465,2023-10-12T14:06:51.465000,1.0,18.476,-7.256,-11.646
1697119611505,2023-10-12T14:06:51.505000,1.04,20.183,-7.439,-11.28
1697119611545,2023-10-12T14:06:51.545000,1.08,22.012,-8.72,-11.524
1697119611585,2023-10-12T14:06:51.585000,1.12,24.146,-14.268,-5.244
1697119611625,2023-10-12T14:06:51.625000,1.16,23.902,-5.061,-10.549
1697119611665,2023-10-12T14:06:51.665000,1.2,19.878,-8.598,-14.024
1697119611705,2023-10-12T14:06:51.705000,1.24,22.927,-8.171,-7.317
1697119611745,2023-10-12T14:06:51.745000,1.28,26.829,-7.256,-0.671
1697119611785,2023-10-12T14:06:51.785000,1.32,25.0,-13.171,8.902
1697119611825,2023-10-12T14:06:51.825000,1.36,19.878,-9.146,11.463
1697119611865,2023-10-12T14:06:51.865000,1.4,12.988,-6.463,12.866
1697119611905,2023-10-12T14:06:51.905000,1.44,2.805,4.085,15.183
