epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697119446637,2023-10-12T14:04:06.637000,0.0,0.103,-0.944,-0.13
1697119446717,2023-10-12T14:04:06.717000,0.08,0.115,-0.906,-0.075
1697119446797,2023-10-12T14:04:06.797000,0.16,0.109,-0.957,-0.072
1697119446877,2023-10-12T14:04:06.877000,0.24,0.129,-1.127,-0.135
1697119446957,2023-10-12T14:04:06.957000,0.32,0.129,-1.221,-0.094
1697119447037,2023-10-12T14:04:07.037000,0.4,0.127,-1.278,-0.124
1697119447117,2023-10-12T14:04:07.117000,0.48,0.14,-1.313,-0.148
1697119447197,2023-10-12T14:04:07.197000,0.56,0.142,-1.294,-0.084
1697119447277,2023-10-12T14:04:07.277000,0.64,0.174,-1.271,0.036
1697119447357,2023-10-12T14:04:07.357000,0.72,0.168,-1.172,0.062
1697119447437,2023-10-12T14:04:07.437000,0.8,0.188,-1.053,0.102
1697119447517,2023-10-12T14:04:07.517000,0.88,0.138,-0.873,0.147
1697119447597,2023-10-12T14:04:07.597000,0.96,0.118,-0.688,0.159
1697119447677,2023-10-12T14:04:07.677000,1.04,0.042,-0.364,0.144
1697119447757,2023-10-12T14:04:07.757000,1.12,0.037,-0.345,0.253
1697119447837,2023-10-12T14:04:07.837000,1.2,0.101,-0.637,0.111
1697119447917,2023-10-12T14:04:07.917000,1.28,0.154,-0.911,0.144
1697119447997,2023-10-12T14:04:07.997000,1.36,0.17,-1.077,0.089
1697119448077,2023-10-12T14:04:08.077000,1.44,0.178,-1.144,0.006
1697119448157,2023-10-12T14:04:08.157000,1.52,0.146,-1.148,0.007
1697119448237,2023-10-12T14:04:08.237000,1.6,0.148,-1.192,-0.029
1697119448317,2023-10-12T14:04:08.317000,1.68,0.141,-1.267,-0.08
1697119448397,2023-10-12T14:04:08.397000,1.76,0.107,-1.325,-0.107
1697119448477,2023-10-12T14:04:08.477000,1.84,0.137,-1.354,-0.151
1697119448557,2023-10-12T14:04:08.557000,1.92,0.144,-1.339,-0.088
1697119448637,2023-10-12T14:04:08.637000,2.0,0.138,-1.267,-0.035
1697119448717,2023-10-12T14:04:08.717000,2.08,0.136,-1.173,0.037
1697119448797,2023-10-12T14:04:08.797000,2.16,0.16,-1.053,0.09
1697119448877,2023-10-12T14:04:08.877000,2.24,0.109,-0.947,0.185
1697119448957,2023-10-12T14:04:08.957000,2.32,0.074,-0.806,0.188
1697119449037,2023-10-12T14:04:09.037000,2.4,0.127,-0.587,0.145
1697119449117,2023-10-12T14:04:09.117000,2.48,0.052,-0.39,0.192
1697119449197,2023-10-12T14:04:09.197000,2.56,0.086,-0.563,0.216
1697119449277,2023-10-12T14:04:09.277000,2.64,0.124,-0.813,0.104
1697119449357,2023-10-12T14:04:09.357000,2.72,0.144,-0.972,0.121
1697119449437,2023-10-12T14:04:09.437000,2.8,0.162,-1.08,0.119
1697119449517,2023-10-12T14:04:09.517000,2.88,0.18,-1.117,0.012
1697119449597,2023-10-12T14:04:09.597000,2.96,0.143,-1.117,-0.003
1697119449677,2023-10-12T14:04:09.677000,3.04,0.132,-1.153,-0.032
1697119449757,2023-10-12T14:04:09.757000,3.12,0.126,-1.245,-0.037
1697119449837,2023-10-12T14:04:09.837000,3.2,0.105,-1.321,-0.142
1697119449917,2023-10-12T14:04:09.917000,3.28,0.108,-1.351,-0.111
1697119449997,2023-10-12T14:04:09.997000,3.36,0.12,-1.343,-0.053
1697119450077,2023-10-12T14:04:10.077000,3.44,0.137,-1.28,-0.022
1697119450157,2023-10-12T14:04:10.157000,3.52,0.139,-1.182,0.052
1697119450237,2023-10-12T14:04:10.237000,3.6,0.138,-1.092,0.123
1697119450317,2023-10-12T14:04:10.317000,3.68,0.148,-0.96,0.163
1697119450397,2023-10-12T14:04:10.397000,3.76,0.133,-0.786,0.2
1697119450477,2023-10-12T14:04:10.477000,3.84,0.081,-0.563,0.131
1697119450557,2023-10-12T14:04:10.557000,3.92,0.059,-0.423,0.261
1697119450637,2023-10-12T14:04:10.637000,4.0,0.063,-0.532,0.241
1697119450717,2023-10-12T14:04:10.717000,4.08,0.119,-0.798,0.114
1697119450797,2023-10-12T14:04:10.797000,4.16,0.157,-1.005,0.193
1697119450877,2023-10-12T14:04:10.877000,4.24,0.17,-1.101,0.087
1697119450957,2023-10-12T14:04:10.957000,4.32,0.143,-1.137,0.042
1697119451037,2023-10-12T14:04:11.037000,4.4,0.145,-1.138,-0.036
1697119451117,2023-10-12T14:04:11.117000,4.48,0.097,-1.25,-0.015
1697119451197,2023-10-12T14:04:11.197000,4.56,0.106,-1.269,-0.104
1697119451277,2023-10-12T14:04:11.277000,4.64,0.095,-1.196,-0.125
1697119451357,2023-10-12T14:04:11.357000,4.72,0.104,-1.143,-0.092
1697119451437,2023-10-12T14:04:11.437000,4.8,0.075,-0.999,-0.093
1697119451517,2023-10-12T14:04:11.517000,4.88,0.081,-0.835,-0.005
1697119451597,2023-10-12T14:04:11.597000,4.96,0.085,-0.834,-0.02
1697119451677,2023-10-12T14:04:11.677000,5.04,0.08,-0.971,-0.081
1697119451757,2023-10-12T14:04:11.757000,5.12,0.076,-1.108,-0.044
1697119451837,2023-10-12T14:04:11.837000,5.2,0.073,-1.218,-0.096
1697119451917,2023-10-12T14:04:11.917000,5.28,0.096,-1.317,-0.144
1697119451997,2023-10-12T14:04:11.997000,5.36,0.064,-1.336,-0.074
1697119452077,2023-10-12T14:04:12.077000,5.44,0.123,-1.309,-0.029
1697119452157,2023-10-12T14:04:12.157000,5.52,0.148,-1.205,0.035
1697119452237,2023-10-12T14:04:12.237000,5.6,0.172,-1.097,0.135
1697119452317,2023-10-12T14:04:12.317000,5.68,0.163,-0.949,0.155
1697119452397,2023-10-12T14:04:12.397000,5.76,0.149,-0.776,0.174
1697119452477,2023-10-12T14:04:12.477000,5.84,0.064,-0.484,0.165
1697119452557,2023-10-12T14:04:12.557000,5.92,0.051,-0.371,0.3
1697119452637,2023-10-12T14:04:12.637000,6.0,0.092,-0.556,0.157
1697119452717,2023-10-12T14:04:12.717000,6.08,0.121,-0.83,0.138
1697119452797,2023-10-12T14:04:12.797000,6.16,0.173,-1.052,0.144
