epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697119446331,2023-10-12T14:04:06.331000,0.0,1.402,-6.28,1.585
1697119446371,2023-10-12T14:04:06.371000,0.04,1.341,-5.427,0.915
1697119446411,2023-10-12T14:04:06.411000,0.08,-1.28,0.671,-1.829
1697119446451,2023-10-12T14:04:06.451000,0.12,-1.829,0.366,-0.549
1697119446491,2023-10-12T14:04:06.491000,0.16,-1.951,-2.683,1.829
1697119446531,2023-10-12T14:04:06.531000,0.2,-2.195,0.549,-1.037
1697119446571,2023-10-12T14:04:06.571000,0.24,7.378,-3.537,-0.183
1697119446611,2023-10-12T14:04:06.611000,0.28,9.451,-6.28,-0.061
1697119446651,2023-10-12T14:04:06.651000,0.32,5.122,-0.549,-1.402
1697119446691,2023-10-12T14:04:06.691000,0.36,7.866,-8.354,6.159
1697119446731,2023-10-12T14:04:06.731000,0.4,1.89,-6.951,6.341
1697119446771,2023-10-12T14:04:06.771000,0.44,1.89,2.988,0.366
1697119446811,2023-10-12T14:04:06.811000,0.48,13.232,-3.354,6.341
1697119446851,2023-10-12T14:04:06.851000,0.52,13.963,-4.39,3.72
1697119446891,2023-10-12T14:04:06.891000,0.56,9.146,0.183,4.39
1697119446931,2023-10-12T14:04:06.931000,0.6,15.915,-7.683,6.402
1697119446971,2023-10-12T14:04:06.971000,0.64,15.122,-3.841,2.378
1697119447011,2023-10-12T14:04:07.011000,0.68,16.707,-7.561,3.902
1697119447051,2023-10-12T14:04:07.051000,0.72,24.878,-14.756,4.329
1697119447091,2023-10-12T14:04:07.091000,0.76,30.854,-12.622,-5.793
1697119447131,2023-10-12T14:04:07.131000,0.8,34.207,0.244,-14.024
1697119447171,2023-10-12T14:04:07.171000,0.84,29.817,-5.183,-15.488
1697119447211,2023-10-12T14:04:07.211000,0.88,24.39,-7.317,-15.671
1697119447251,2023-10-12T14:04:07.251000,0.92,20.549,-0.854,-15.0
1697119447291,2023-10-12T14:04:07.291000,0.96,17.195,-0.976,-20.122
1697119447331,2023-10-12T14:04:07.331000,1.0,20.549,-1.463,-16.829
1697119447371,2023-10-12T14:04:07.371000,1.04,26.829,-8.415,-10.0
1697119447411,2023-10-12T14:04:07.411000,1.08,20.488,0.488,-7.805
1697119447451,2023-10-12T14:04:07.451000,1.12,20.915,-3.293,-6.646
1697119447491,2023-10-12T14:04:07.491000,1.16,22.927,-5.0,1.463
1697119447531,2023-10-12T14:04:07.531000,1.2,18.537,-5.427,8.598
1697119447571,2023-10-12T14:04:07.571000,1.24,12.5,-4.756,13.415
1697119447611,2023-10-12T14:04:07.611000,1.28,5.244,-3.78,19.024
1697119447651,2023-10-12T14:04:07.651000,1.32,-8.415,-2.805,13.659
1697119447691,2023-10-12T14:04:07.691000,1.36,-14.268,-1.951,7.012
1697119447731,2023-10-12T14:04:07.731000,1.4,-15.854,-2.439,-3.049
