epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697223848841,2023-10-13T19:04:08.841000,0.0,1.707,-2.866,0.671
1697223848881,2023-10-13T19:04:08.881000,0.04,-0.671,-2.012,1.829
1697223848921,2023-10-13T19:04:08.921000,0.08,-9.146,1.28,5.061
1697223848961,2023-10-13T19:04:08.961000,0.12,-7.5,0.427,2.439
1697223849001,2023-10-13T19:04:09.001000,0.16,1.89,-2.683,-2.256
1697223849041,2023-10-13T19:04:09.041000,0.2,2.317,-6.89,5.305
1697223849081,2023-10-13T19:04:09.081000,0.24,5.549,-6.159,6.951
1697223849121,2023-10-13T19:04:09.121000,0.28,10.183,-6.341,0.976
1697223849161,2023-10-13T19:04:09.161000,0.32,4.634,-2.439,-1.098
1697223849201,2023-10-13T19:04:09.201000,0.36,-1.585,-1.28,-0.793
1697223849241,2023-10-13T19:04:09.241000,0.4,-0.427,-1.89,0.0
1697223849281,2023-10-13T19:04:09.281000,0.44,10.183,-7.927,0.488
1697223849321,2023-10-13T19:04:09.321000,0.48,8.476,-6.768,2.012
1697223849361,2023-10-13T19:04:09.361000,0.52,3.72,-3.415,0.183
1697223849401,2023-10-13T19:04:09.401000,0.56,1.463,-2.073,-2.256
1697223849441,2023-10-13T19:04:09.441000,0.6,-5.732,0.549,0.976
1697223849481,2023-10-13T19:04:09.481000,0.64,4.024,-3.415,-2.744
1697223849521,2023-10-13T19:04:09.521000,0.68,16.341,-6.585,-3.598
1697223849561,2023-10-13T19:04:09.561000,0.72,13.902,-4.939,0.793
1697223849601,2023-10-13T19:04:09.601000,0.76,14.268,-5.732,-0.244
1697223849641,2023-10-13T19:04:09.641000,0.8,18.171,-5.61,-3.11
1697223849681,2023-10-13T19:04:09.681000,0.84,13.476,-3.963,-3.293
1697223849721,2023-10-13T19:04:09.721000,0.88,5.061,-3.476,-1.768
1697223849761,2023-10-13T19:04:09.761000,0.92,5.671,-3.232,-1.037
1697223849801,2023-10-13T19:04:09.801000,0.96,5.061,-4.024,-0.427
1697223849841,2023-10-13T19:04:09.841000,1.0,-2.866,-1.646,2.561
1697223849881,2023-10-13T19:04:09.881000,1.04,-6.707,0.061,2.5
1697223849921,2023-10-13T19:04:09.921000,1.08,-3.72,-3.415,0.061
1697223849961,2023-10-13T19:04:09.961000,1.12,-3.049,-5.976,-1.037
1697223850001,2023-10-13T19:04:10.001000,1.16,-5.915,-5.061,2.5
1697223850041,2023-10-13T19:04:10.041000,1.2,-4.268,-4.634,1.341
1697223850081,2023-10-13T19:04:10.081000,1.24,-3.659,-5.61,1.098
1697223850121,2023-10-13T19:04:10.121000,1.28,-7.561,-0.671,1.341
1697223850161,2023-10-13T19:04:10.161000,1.32,-7.866,-5.061,1.89
1697223850201,2023-10-13T19:04:10.201000,1.36,-7.866,-5.854,4.39
1697223850241,2023-10-13T19:04:10.241000,1.4,-4.451,-4.878,2.256
1697223850281,2023-10-13T19:04:10.281000,1.44,-1.402,-2.317,-3.78
1697223850321,2023-10-13T19:04:10.321000,1.48,-17.561,1.402,0.366
1697223850361,2023-10-13T19:04:10.361000,1.52,-32.683,3.415,3.841
1697223850401,2023-10-13T19:04:10.401000,1.56,-24.329,-0.549,0.976
1697223850441,2023-10-13T19:04:10.441000,1.6,-11.037,-6.585,-6.463
1697223850481,2023-10-13T19:04:10.481000,1.64,-6.89,-5.183,-4.939
1697223850521,2023-10-13T19:04:10.521000,1.68,-7.805,-3.537,0.122
1697223850561,2023-10-13T19:04:10.561000,1.72,-8.537,-2.012,-0.427
1697223850601,2023-10-13T19:04:10.601000,1.76,-1.524,-1.524,-2.256
1697223850641,2023-10-13T19:04:10.641000,1.8,-3.232,-5.793,-4.878
1697223850681,2023-10-13T19:04:10.681000,1.84,-1.951,-9.146,-2.561
1697223850721,2023-10-13T19:04:10.721000,1.88,-2.683,-9.695,-2.744
1697223850761,2023-10-13T19:04:10.761000,1.92,-3.78,-3.354,-5.427
1697223850801,2023-10-13T19:04:10.801000,1.96,-6.341,-2.378,-2.5
1697223850841,2023-10-13T19:04:10.841000,2.0,-9.329,-5.915,-0.976
1697223850881,2023-10-13T19:04:10.881000,2.04,-9.817,-10.488,-5.244
1697223850921,2023-10-13T19:04:10.921000,2.08,-13.598,-5.854,-7.256
1697223850961,2023-10-13T19:04:10.961000,2.12,-11.768,0.244,-0.671
1697223851001,2023-10-13T19:04:11.001000,2.16,-3.902,-1.159,-3.415
1697223851041,2023-10-13T19:04:11.041000,2.2,-3.171,0.549,-2.439
1697223851081,2023-10-13T19:04:11.081000,2.24,-4.634,-5.732,2.134
1697223851121,2023-10-13T19:04:11.121000,2.28,-3.841,-7.134,-1.341
1697223851161,2023-10-13T19:04:11.161000,2.32,-6.159,-4.329,-7.439
1697223851201,2023-10-13T19:04:11.201000,2.36,-15.915,-1.159,0.976
1697223851241,2023-10-13T19:04:11.241000,2.4,-9.146,-3.598,1.707
1697223851281,2023-10-13T19:04:11.281000,2.44,2.805,-2.317,-5.427
1697223851321,2023-10-13T19:04:11.321000,2.48,8.963,-6.098,-2.012
