epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697224444129,2023-10-13T19:14:04.129000,0.0,-0.016,0.621,0.737
1697224444209,2023-10-13T19:14:04.209000,0.08,-0.031,0.586,0.76
1697224444289,2023-10-13T19:14:04.289000,0.16,-0.021,0.586,0.723
1697224444369,2023-10-13T19:14:04.369000,0.24,-0.025,0.596,0.75
1697224444449,2023-10-13T19:14:04.449000,0.32,-0.034,0.61,0.767
1697224444529,2023-10-13T19:14:04.529000,0.4,-0.028,0.613,0.753
1697224444609,2023-10-13T19:14:04.609000,0.48,-0.029,0.604,0.73
1697224444689,2023-10-13T19:14:04.689000,0.56,-0.032,0.581,0.703
1697224444769,2023-10-13T19:14:04.769000,0.64,-0.021,0.567,0.658
1697224444849,2023-10-13T19:14:04.849000,0.72,-0.038,0.548,0.681
1697224444929,2023-10-13T19:14:04.929000,0.8,-0.042,0.544,0.673
1697224445009,2023-10-13T19:14:05.009000,0.88,-0.03,0.554,0.68
1697224445089,2023-10-13T19:14:05.089000,0.96,-0.05,0.552,0.734
1697224445169,2023-10-13T19:14:05.169000,1.04,-0.05,0.573,0.728
1697224445249,2023-10-13T19:14:05.249000,1.12,-0.055,0.569,0.76
1697224445329,2023-10-13T19:14:05.329000,1.2,-0.042,0.598,0.808
1697224445409,2023-10-13T19:14:05.409000,1.28,-0.069,0.594,0.844
1697224445489,2023-10-13T19:14:05.489000,1.36,-0.052,0.582,0.827
1697224445569,2023-10-13T19:14:05.569000,1.44,-0.046,0.588,0.797
1697224445649,2023-10-13T19:14:05.649000,1.52,-0.078,0.548,0.904
1697224445729,2023-10-13T19:14:05.729000,1.6,-0.061,0.546,0.843
1697224445809,2023-10-13T19:14:05.809000,1.68,-0.065,0.543,0.848
1697224445889,2023-10-13T19:14:05.889000,1.76,-0.071,0.521,0.882
1697224445969,2023-10-13T19:14:05.969000,1.84,-0.076,0.537,0.902
1697224446049,2023-10-13T19:14:06.049000,1.92,-0.084,0.556,0.919
1697224446129,2023-10-13T19:14:06.129000,2.0,-0.073,0.572,0.975
1697224446209,2023-10-13T19:14:06.209000,2.08,-0.081,0.594,0.977
1697224446289,2023-10-13T19:14:06.289000,2.16,-0.069,0.596,0.975
1697224446369,2023-10-13T19:14:06.369000,2.24,-0.068,0.572,0.973
1697224446449,2023-10-13T19:14:06.449000,2.32,-0.049,0.546,0.927
1697224446529,2023-10-13T19:14:06.529000,2.4,-0.06,0.544,0.865
1697224446609,2023-10-13T19:14:06.609000,2.48,-0.048,0.528,0.858
1697224446689,2023-10-13T19:14:06.689000,2.56,-0.054,0.528,0.84
1697224446769,2023-10-13T19:14:06.769000,2.64,-0.063,0.503,0.878
1697224446849,2023-10-13T19:14:06.849000,2.72,-0.063,0.522,0.809
1697224446929,2023-10-13T19:14:06.929000,2.8,-0.079,0.511,0.867
1697224447009,2023-10-13T19:14:07.009000,2.88,-0.073,0.52,0.871
1697224447089,2023-10-13T19:14:07.089000,2.96,-0.05,0.553,0.885
1697224447169,2023-10-13T19:14:07.169000,3.04,-0.044,0.571,0.896
1697224447249,2023-10-13T19:14:07.249000,3.12,-0.014,0.595,0.875
1697224447329,2023-10-13T19:14:07.329000,3.2,-0.032,0.583,0.92
1697224447409,2023-10-13T19:14:07.409000,3.28,-0.009,0.61,0.8
1697224447489,2023-10-13T19:14:07.489000,3.36,0.007,0.561,0.819
1697224447569,2023-10-13T19:14:07.569000,3.44,0.004,0.532,0.717
1697224447649,2023-10-13T19:14:07.649000,3.52,0.001,0.463,0.552
1697224447729,2023-10-13T19:14:07.729000,3.6,0.002,0.385,0.53
1697224447809,2023-10-13T19:14:07.809000,3.68,0.066,0.493,0.531
1697224447889,2023-10-13T19:14:07.889000,3.76,0.071,0.676,0.694
1697224447969,2023-10-13T19:14:07.969000,3.84,0.044,0.735,0.844
1697224448049,2023-10-13T19:14:08.049000,3.92,0.058,0.661,0.798
1697224448129,2023-10-13T19:14:08.129000,4.0,0.077,0.614,0.599
1697224448209,2023-10-13T19:14:08.209000,4.08,0.051,0.559,0.603
1697224448289,2023-10-13T19:14:08.289000,4.16,0.03,0.574,0.613
1697224448369,2023-10-13T19:14:08.369000,4.24,0.018,0.548,0.617
1697224448449,2023-10-13T19:14:08.449000,4.32,0.015,0.537,0.631
1697224448529,2023-10-13T19:14:08.529000,4.4,-0.001,0.58,0.673
1697224448609,2023-10-13T19:14:08.609000,4.48,-0.035,0.546,0.807
1697224448689,2023-10-13T19:14:08.689000,4.56,-0.021,0.617,0.727
1697224448769,2023-10-13T19:14:08.769000,4.64,-0.018,0.614,0.786
1697224448849,2023-10-13T19:14:08.849000,4.72,-0.022,0.579,0.875
1697224448929,2023-10-13T19:14:08.929000,4.8,-0.013,0.568,0.856
1697224449009,2023-10-13T19:14:09.009000,4.88,-0.009,0.571,0.829
1697224449089,2023-10-13T19:14:09.089000,4.96,-0.031,0.541,0.893
1697224449169,2023-10-13T19:14:09.169000,5.04,-0.033,0.526,0.874
1697224449249,2023-10-13T19:14:09.249000,5.12,-0.044,0.527,0.873
1697224449329,2023-10-13T19:14:09.329000,5.2,-0.036,0.542,0.885
1697224449409,2023-10-13T19:14:09.409000,5.28,-0.065,0.534,0.983
1697224449489,2023-10-13T19:14:09.489000,5.36,-0.076,0.574,0.996
1697224449569,2023-10-13T19:14:09.569000,5.44,-0.063,0.578,1.038
1697224449649,2023-10-13T19:14:09.649000,5.52,-0.055,0.579,1.034
1697224449729,2023-10-13T19:14:09.729000,5.6,-0.052,0.528,0.991
1697224449809,2023-10-13T19:14:09.809000,5.68,-0.036,0.491,0.935
1697224449889,2023-10-13T19:14:09.889000,5.76,-0.043,0.489,0.875
1697224449969,2023-10-13T19:14:09.969000,5.84,-0.016,0.47,0.877
1697224450049,2023-10-13T19:14:10.049000,5.92,-0.02,0.482,0.858
1697224450129,2023-10-13T19:14:10.129000,6.0,-0.011,0.473,0.862
1697224450209,2023-10-13T19:14:10.209000,6.08,-0.015,0.46,0.883
1697224450289,2023-10-13T19:14:10.289000,6.16,-0.001,0.499,0.853
1697224450369,2023-10-13T19:14:10.369000,6.24,-0.011,0.494,0.912
1697224450449,2023-10-13T19:14:10.449000,6.32,-0.011,0.519,0.952
1697224450529,2023-10-13T19:14:10.529000,6.4,0.016,0.567,0.923
1697224450609,2023-10-13T19:14:10.609000,6.48,0.011,0.554,0.957
1697224450689,2023-10-13T19:14:10.689000,6.56,0.024,0.566,0.925
1697224450769,2023-10-13T19:14:10.769000,6.64,0.038,0.544,0.846
1697224450849,2023-10-13T19:14:10.849000,6.72,0.044,0.505,0.753
1697224450929,2023-10-13T19:14:10.929000,6.8,0.034,0.482,0.596
1697224451009,2023-10-13T19:14:11.009000,6.88,0.045,0.411,0.55
1697224451089,2023-10-13T19:14:11.089000,6.96,0.048,0.456,0.548
1697224451169,2023-10-13T19:14:11.169000,7.04,0.066,0.568,0.65
1697224451249,2023-10-13T19:14:11.249000,7.12,0.085,0.714,0.736
1697224451329,2023-10-13T19:14:11.329000,7.2,0.083,0.67,0.863
1697224451409,2023-10-13T19:14:11.409000,7.28,0.057,0.587,0.692
1697224451489,2023-10-13T19:14:11.489000,7.36,0.075,0.553,0.648
1697224451569,2023-10-13T19:14:11.569000,7.44,0.061,0.643,0.685
1697224451649,2023-10-13T19:14:11.649000,7.52,0.042,0.699,0.847
1697224451729,2023-10-13T19:14:11.729000,7.6,0.043,0.653,0.801
1697224451809,2023-10-13T19:14:11.809000,7.68,0.026,0.525,0.651
1697224451889,2023-10-13T19:14:11.889000,7.76,0.03,0.453,0.522
1697224451969,2023-10-13T19:14:11.969000,7.84,0.023,0.456,0.583
1697224452049,2023-10-13T19:14:12.049000,7.92,0.018,0.516,0.62
1697224452129,2023-10-13T19:14:12.129000,8.0,0.014,0.569,0.711
1697224452209,2023-10-13T19:14:12.209000,8.08,-0.011,0.577,0.819
1697224452289,2023-10-13T19:14:12.289000,8.16,0.042,0.578,0.86
1697224452369,2023-10-13T19:14:12.369000,8.24,-0.009,0.579,0.866
1697224452449,2023-10-13T19:14:12.449000,8.32,0.027,0.583,0.847
1697224452529,2023-10-13T19:14:12.529000,8.4,-0.003,0.566,0.885
1697224452609,2023-10-13T19:14:12.609000,8.48,-0.011,0.545,0.954
1697224452689,2023-10-13T19:14:12.689000,8.56,-0.006,0.55,0.849
1697224452769,2023-10-13T19:14:12.769000,8.64,-0.038,0.535,0.868
1697224452849,2023-10-13T19:14:12.849000,8.72,-0.062,0.492,0.936
1697224452929,2023-10-13T19:14:12.929000,8.8,-0.07,0.534,0.98
1697224453009,2023-10-13T19:14:13.009000,8.88,-0.083,0.575,0.979
1697224453089,2023-10-13T19:14:13.089000,8.96,-0.091,0.559,1.056
1697224453169,2023-10-13T19:14:13.169000,9.04,-0.095,0.57,0.987
1697224453249,2023-10-13T19:14:13.249000,9.12,-0.093,0.528,1.001
1697224453329,2023-10-13T19:14:13.329000,9.2,-0.087,0.488,0.925
1697224453409,2023-10-13T19:14:13.409000,9.28,-0.09,0.472,0.909
1697224453489,2023-10-13T19:14:13.489000,9.36,-0.075,0.441,0.877
1697224453569,2023-10-13T19:14:13.569000,9.44,-0.059,0.437,0.871
1697224453649,2023-10-13T19:14:13.649000,9.52,-0.058,0.428,0.899
1697224453729,2023-10-13T19:14:13.729000,9.6,-0.049,0.45,0.859
1697224453809,2023-10-13T19:14:13.809000,9.68,-0.028,0.452,0.921
1697224453889,2023-10-13T19:14:13.889000,9.76,-0.029,0.48,0.923
1697224453969,2023-10-13T19:14:13.969000,9.84,-0.051,0.519,0.933
1697224454049,2023-10-13T19:14:14.049000,9.92,-0.026,0.578,0.909
1697224454129,2023-10-13T19:14:14.129000,10.0,-0.039,0.574,0.905
1697224454209,2023-10-13T19:14:14.209000,10.08,-0.001,0.596,0.887
1697224454289,2023-10-13T19:14:14.289000,10.16,0.008,0.612,0.795
1697224454369,2023-10-13T19:14:14.369000,10.24,-0.012,0.553,0.808
1697224454449,2023-10-13T19:14:14.449000,10.32,-0.013,0.511,0.598
1697224454529,2023-10-13T19:14:14.529000,10.4,0.021,0.384,0.484
1697224454609,2023-10-13T19:14:14.609000,10.48,0.035,0.413,0.565
1697224454689,2023-10-13T19:14:14.689000,10.56,0.073,0.602,0.613
1697224454769,2023-10-13T19:14:14.769000,10.64,0.079,0.676,0.871
1697224454849,2023-10-13T19:14:14.849000,10.72,0.072,0.663,0.813
1697224454929,2023-10-13T19:14:14.929000,10.8,0.072,0.598,0.755
1697224455009,2023-10-13T19:14:15.009000,10.88,0.067,0.605,0.726
1697224455089,2023-10-13T19:14:15.089000,10.96,0.044,0.617,0.781
1697224455169,2023-10-13T19:14:15.169000,11.04,0.039,0.622,0.768
1697224455249,2023-10-13T19:14:15.249000,11.12,0.03,0.577,0.687
1697224455329,2023-10-13T19:14:15.329000,11.2,0.021,0.518,0.66
1697224455409,2023-10-13T19:14:15.409000,11.28,0.014,0.496,0.599
1697224455489,2023-10-13T19:14:15.489000,11.36,0.027,0.473,0.614
1697224455569,2023-10-13T19:14:15.569000,11.44,0.023,0.501,0.604
1697224455649,2023-10-13T19:14:15.649000,11.52,-0.003,0.531,0.75
1697224455729,2023-10-13T19:14:15.729000,11.6,0.06,0.61,0.743
1697224455809,2023-10-13T19:14:15.809000,11.68,0.058,0.63,0.793
1697224455889,2023-10-13T19:14:15.889000,11.76,0.021,0.602,0.908
1697224455969,2023-10-13T19:14:15.969000,11.84,0.036,0.599,0.826
1697224456049,2023-10-13T19:14:16.049000,11.92,0.014,0.573,0.866
1697224456129,2023-10-13T19:14:16.129000,12.0,-0.007,0.529,0.91
1697224456209,2023-10-13T19:14:16.209000,12.08,0.008,0.554,0.84
1697224456289,2023-10-13T19:14:16.289000,12.16,-0.021,0.52,0.904
1697224456369,2023-10-13T19:14:16.369000,12.24,-0.056,0.533,0.91
1697224456449,2023-10-13T19:14:16.449000,12.32,-0.052,0.549,0.914
1697224456529,2023-10-13T19:14:16.529000,12.4,-0.081,0.561,0.93
1697224456609,2023-10-13T19:14:16.609000,12.48,-0.088,0.582,0.951
1697224456689,2023-10-13T19:14:16.689000,12.56,-0.059,0.602,0.982
1697224456769,2023-10-13T19:14:16.769000,12.64,-0.075,0.603,0.952
1697224456849,2023-10-13T19:14:16.849000,12.72,-0.066,0.556,0.978
1697224456929,2023-10-13T19:14:16.929000,12.8,-0.098,0.53,0.897
1697224457009,2023-10-13T19:14:17.009000,12.88,-0.083,0.531,0.832
1697224457089,2023-10-13T19:14:17.089000,12.96,-0.07,0.469,0.887
1697224457169,2023-10-13T19:14:17.169000,13.04,-0.097,0.469,0.84
1697224457249,2023-10-13T19:14:17.249000,13.12,-0.096,0.448,0.873
1697224457329,2023-10-13T19:14:17.329000,13.2,-0.099,0.434,0.883
1697224457409,2023-10-13T19:14:17.409000,13.28,-0.081,0.448,0.849
1697224457489,2023-10-13T19:14:17.489000,13.36,-0.07,0.448,0.842
1697224457569,2023-10-13T19:14:17.569000,13.44,-0.08,0.402,0.885
1697224457649,2023-10-13T19:14:17.649000,13.52,-0.053,0.517,0.779
1697224457729,2023-10-13T19:14:17.729000,13.6,-0.055,0.423,0.986
1697224457809,2023-10-13T19:14:17.809000,13.68,-0.038,0.516,0.853
1697224457889,2023-10-13T19:14:17.889000,13.76,-0.023,0.52,0.938
1697224457969,2023-10-13T19:14:17.969000,13.84,-0.029,0.512,0.953
1697224458049,2023-10-13T19:14:18.049000,13.92,-0.023,0.57,0.941
1697224458129,2023-10-13T19:14:18.129000,14.0,-0.053,0.644,0.871
1697224458209,2023-10-13T19:14:18.209000,14.08,-0.052,0.606,0.889
1697224458289,2023-10-13T19:14:18.289000,14.16,-0.039,0.623,0.822
1697224458369,2023-10-13T19:14:18.369000,14.24,-0.031,0.57,0.755
1697224458449,2023-10-13T19:14:18.449000,14.32,-0.021,0.531,0.67
1697224458529,2023-10-13T19:14:18.529000,14.4,0.0,0.427,0.536
1697224458609,2023-10-13T19:14:18.609000,14.48,-0.002,0.416,0.5
1697224458689,2023-10-13T19:14:18.689000,14.56,0.024,0.527,0.609
1697224458769,2023-10-13T19:14:18.769000,14.64,0.015,0.674,0.799
1697224458849,2023-10-13T19:14:18.849000,14.72,-0.003,0.67,0.887
1697224458929,2023-10-13T19:14:18.929000,14.8,0.02,0.609,0.784
1697224459009,2023-10-13T19:14:19.009000,14.88,0.037,0.603,0.702
1697224459089,2023-10-13T19:14:19.089000,14.96,0.035,0.6,0.758
1697224459169,2023-10-13T19:14:19.169000,15.04,0.048,0.648,0.731
1697224459249,2023-10-13T19:14:19.249000,15.12,0.048,0.647,0.756
1697224459329,2023-10-13T19:14:19.329000,15.2,0.052,0.638,0.698
1697224459409,2023-10-13T19:14:19.409000,15.28,0.067,0.577,0.658
1697224459489,2023-10-13T19:14:19.489000,15.36,0.064,0.549,0.587
1697224459569,2023-10-13T19:14:19.569000,15.44,0.011,0.513,0.589
1697224459649,2023-10-13T19:14:19.649000,15.52,0.07,0.536,0.569
1697224459729,2023-10-13T19:14:19.729000,15.6,0.035,0.525,0.735
1697224459809,2023-10-13T19:14:19.809000,15.68,0.084,0.587,0.741
1697224459889,2023-10-13T19:14:19.889000,15.76,0.067,0.573,0.883
1697224459969,2023-10-13T19:14:19.969000,15.84,0.054,0.622,0.791
1697224460049,2023-10-13T19:14:20.049000,15.92,0.037,0.535,0.912
1697224460129,2023-10-13T19:14:20.129000,16.0,0.033,0.592,0.804
1697224460209,2023-10-13T19:14:20.209000,16.08,-0.005,0.58,0.826
1697224460289,2023-10-13T19:14:20.289000,16.16,-0.021,0.506,0.898
1697224460369,2023-10-13T19:14:20.369000,16.24,-0.022,0.512,0.849
1697224460449,2023-10-13T19:14:20.449000,16.32,-0.045,0.493,0.861
1697224460529,2023-10-13T19:14:20.529000,16.4,-0.045,0.478,0.903
1697224460609,2023-10-13T19:14:20.609000,16.48,-0.055,0.518,0.922
1697224460689,2023-10-13T19:14:20.689000,16.56,-0.068,0.537,0.991
1697224460769,2023-10-13T19:14:20.769000,16.64,-0.059,0.592,0.996
1697224460849,2023-10-13T19:14:20.849000,16.72,-0.049,0.582,1.057
1697224460929,2023-10-13T19:14:20.929000,16.8,-0.033,0.604,0.961
1697224461009,2023-10-13T19:14:21.009000,16.88,-0.026,0.546,0.949
1697224461089,2023-10-13T19:14:21.089000,16.96,-0.032,0.514,0.898
1697224461169,2023-10-13T19:14:21.169000,17.04,-0.019,0.496,0.869
1697224461249,2023-10-13T19:14:21.249000,17.12,-0.033,0.472,0.842
1697224461329,2023-10-13T19:14:21.329000,17.2,-0.039,0.448,0.854
