epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697223849161,2023-10-13T19:04:09.161000,0.0,0.307,0.595,0.811
1697223849241,2023-10-13T19:04:09.241000,0.08,0.306,0.569,0.814
1697223849321,2023-10-13T19:04:09.321000,0.16,0.288,0.571,0.72
1697223849401,2023-10-13T19:04:09.401000,0.24,0.276,0.573,0.773
1697223849481,2023-10-13T19:04:09.481000,0.32,0.275,0.581,0.765
1697223849561,2023-10-13T19:04:09.561000,0.4,0.275,0.57,0.678
1697223849641,2023-10-13T19:04:09.641000,0.48,0.278,0.575,0.707
1697223849721,2023-10-13T19:04:09.721000,0.56,0.278,0.617,0.736
1697223849801,2023-10-13T19:04:09.801000,0.64,0.275,0.632,0.704
1697223849881,2023-10-13T19:04:09.881000,0.72,0.285,0.592,0.683
1697223849961,2023-10-13T19:04:09.961000,0.8,0.261,0.566,0.621
1697223850041,2023-10-13T19:04:10.041000,0.88,0.261,0.549,0.616
1697223850121,2023-10-13T19:04:10.121000,0.96,0.257,0.545,0.631
1697223850201,2023-10-13T19:04:10.201000,1.04,0.277,0.554,0.639
1697223850281,2023-10-13T19:04:10.281000,1.12,0.283,0.577,0.647
1697223850361,2023-10-13T19:04:10.361000,1.2,0.303,0.55,0.776
1697223850441,2023-10-13T19:04:10.441000,1.28,0.274,0.572,0.686
1697223850521,2023-10-13T19:04:10.521000,1.36,0.277,0.526,0.718
1697223850601,2023-10-13T19:04:10.601000,1.44,0.295,0.522,0.777
1697223850681,2023-10-13T19:04:10.681000,1.52,0.299,0.563,0.766
1697223850761,2023-10-13T19:04:10.761000,1.6,0.318,0.548,0.812
1697223850841,2023-10-13T19:04:10.841000,1.68,0.327,0.555,0.813
1697223850921,2023-10-13T19:04:10.921000,1.76,0.306,0.553,0.796
1697223851001,2023-10-13T19:04:11.001000,1.84,0.319,0.506,0.807
1697223851081,2023-10-13T19:04:11.081000,1.92,0.321,0.512,0.798
1697223851161,2023-10-13T19:04:11.161000,2.0,0.313,0.513,0.816
1697223851241,2023-10-13T19:04:11.241000,2.08,0.339,0.479,0.853
1697223851321,2023-10-13T19:04:11.321000,2.16,0.328,0.521,0.802
1697223851401,2023-10-13T19:04:11.401000,2.24,0.336,0.538,0.864
1697223851481,2023-10-13T19:04:11.481000,2.32,0.358,0.559,0.928
1697223851561,2023-10-13T19:04:11.561000,2.4,0.376,0.578,0.941
1697223851641,2023-10-13T19:04:11.641000,2.48,0.369,0.59,0.926
1697223851721,2023-10-13T19:04:11.721000,2.56,0.389,0.549,0.938
1697223851801,2023-10-13T19:04:11.801000,2.64,0.349,0.538,0.88
1697223851881,2023-10-13T19:04:11.881000,2.72,0.339,0.485,0.865
1697223851961,2023-10-13T19:04:11.961000,2.8,0.336,0.469,0.843
1697223852041,2023-10-13T19:04:12.041000,2.88,0.333,0.481,0.803
1697223852121,2023-10-13T19:04:12.121000,2.96,0.336,0.461,0.845
1697223852201,2023-10-13T19:04:12.201000,3.04,0.316,0.495,0.811
1697223852281,2023-10-13T19:04:12.281000,3.12,0.35,0.516,0.855
1697223852361,2023-10-13T19:04:12.361000,3.2,0.322,0.544,0.845
1697223852441,2023-10-13T19:04:12.441000,3.28,0.326,0.56,0.861
1697223852521,2023-10-13T19:04:12.521000,3.36,0.314,0.575,0.843
1697223852601,2023-10-13T19:04:12.601000,3.44,0.318,0.573,0.812
1697223852681,2023-10-13T19:04:12.681000,3.52,0.3,0.564,0.758
1697223852761,2023-10-13T19:04:12.761000,3.6,0.281,0.543,0.708
1697223852841,2023-10-13T19:04:12.841000,3.68,0.255,0.497,0.598
1697223852921,2023-10-13T19:04:12.921000,3.76,0.204,0.463,0.502
1697223853001,2023-10-13T19:04:13.001000,3.84,0.187,0.453,0.5
1697223853081,2023-10-13T19:04:13.081000,3.92,0.254,0.546,0.599
1697223853161,2023-10-13T19:04:13.161000,4.0,0.299,0.676,0.624
1697223853241,2023-10-13T19:04:13.241000,4.08,0.33,0.682,0.754
1697223853321,2023-10-13T19:04:13.321000,4.16,0.312,0.629,0.734
1697223853401,2023-10-13T19:04:13.401000,4.24,0.302,0.606,0.672
1697223853481,2023-10-13T19:04:13.481000,4.32,0.299,0.63,0.655
1697223853561,2023-10-13T19:04:13.561000,4.4,0.318,0.625,0.696
1697223853641,2023-10-13T19:04:13.641000,4.48,0.32,0.622,0.708
1697223853721,2023-10-13T19:04:13.721000,4.56,0.304,0.634,0.653
1697223853801,2023-10-13T19:04:13.801000,4.64,0.3,0.606,0.641
1697223853881,2023-10-13T19:04:13.881000,4.72,0.294,0.572,0.63
1697223853961,2023-10-13T19:04:13.961000,4.8,0.262,0.544,0.594
1697223854041,2023-10-13T19:04:14.041000,4.88,0.261,0.529,0.581
1697223854121,2023-10-13T19:04:14.121000,4.96,0.267,0.522,0.615
1697223854201,2023-10-13T19:04:14.201000,5.04,0.277,0.529,0.662
1697223854281,2023-10-13T19:04:14.281000,5.12,0.293,0.523,0.726
1697223854361,2023-10-13T19:04:14.361000,5.2,0.29,0.536,0.723
1697223854441,2023-10-13T19:04:14.441000,5.28,0.305,0.542,0.744
1697223854521,2023-10-13T19:04:14.521000,5.36,0.312,0.528,0.822
1697223854601,2023-10-13T19:04:14.601000,5.44,0.326,0.512,0.821
1697223854681,2023-10-13T19:04:14.681000,5.52,0.308,0.516,0.799
1697223854761,2023-10-13T19:04:14.761000,5.6,0.314,0.513,0.839
1697223854841,2023-10-13T19:04:14.841000,5.68,0.326,0.493,0.86
1697223854921,2023-10-13T19:04:14.921000,5.76,0.333,0.493,0.856
1697223855001,2023-10-13T19:04:15.001000,5.84,0.317,0.515,0.854
1697223855081,2023-10-13T19:04:15.081000,5.92,0.335,0.489,0.895
1697223855161,2023-10-13T19:04:15.161000,6.0,0.334,0.524,0.921
1697223855241,2023-10-13T19:04:15.241000,6.08,0.351,0.543,0.987
1697223855321,2023-10-13T19:04:15.321000,6.16,0.364,0.544,0.979
1697223855401,2023-10-13T19:04:15.401000,6.24,0.368,0.514,0.991
1697223855481,2023-10-13T19:04:15.481000,6.32,0.36,0.492,0.926
1697223855561,2023-10-13T19:04:15.561000,6.4,0.34,0.452,0.908
1697223855641,2023-10-13T19:04:15.641000,6.48,0.334,0.441,0.838
1697223855721,2023-10-13T19:04:15.721000,6.56,0.311,0.427,0.83
1697223855801,2023-10-13T19:04:15.801000,6.64,0.331,0.421,0.844
1697223855881,2023-10-13T19:04:15.881000,6.72,0.321,0.437,0.797
1697223855961,2023-10-13T19:04:15.961000,6.8,0.346,0.443,0.86
1697223856041,2023-10-13T19:04:16.041000,6.88,0.319,0.495,0.813
1697223856121,2023-10-13T19:04:16.121000,6.96,0.374,0.477,0.899
1697223856201,2023-10-13T19:04:16.201000,7.04,0.341,0.508,0.848
1697223856281,2023-10-13T19:04:16.281000,7.12,0.356,0.542,0.839
1697223856361,2023-10-13T19:04:16.361000,7.2,0.361,0.56,0.862
1697223856441,2023-10-13T19:04:16.441000,7.28,0.354,0.55,0.825
1697223856521,2023-10-13T19:04:16.521000,7.36,0.33,0.542,0.738
1697223856601,2023-10-13T19:04:16.601000,7.44,0.31,0.506,0.685
1697223856681,2023-10-13T19:04:16.681000,7.52,0.279,0.47,0.595
1697223856761,2023-10-13T19:04:16.761000,7.6,0.252,0.414,0.524
1697223856841,2023-10-13T19:04:16.841000,7.68,0.246,0.425,0.499
1697223856921,2023-10-13T19:04:16.921000,7.76,0.313,0.542,0.581
1697223857001,2023-10-13T19:04:17.001000,7.84,0.376,0.68,0.739
1697223857081,2023-10-13T19:04:17.081000,7.92,0.393,0.646,0.798
1697223857161,2023-10-13T19:04:17.161000,8.0,0.356,0.57,0.659
1697223857241,2023-10-13T19:04:17.241000,8.08,0.325,0.567,0.607
1697223857321,2023-10-13T19:04:17.321000,8.16,0.368,0.601,0.728
1697223857401,2023-10-13T19:04:17.401000,8.24,0.382,0.628,0.747
1697223857481,2023-10-13T19:04:17.481000,8.32,0.375,0.607,0.701
1697223857561,2023-10-13T19:04:17.561000,8.4,0.358,0.582,0.674
1697223857641,2023-10-13T19:04:17.641000,8.48,0.357,0.583,0.679
1697223857721,2023-10-13T19:04:17.721000,8.56,0.35,0.573,0.657
1697223857801,2023-10-13T19:04:17.801000,8.64,0.324,0.533,0.647
1697223857881,2023-10-13T19:04:17.881000,8.72,0.305,0.523,0.592
1697223857961,2023-10-13T19:04:17.961000,8.8,0.297,0.52,0.603
1697223858041,2023-10-13T19:04:18.041000,8.88,0.313,0.513,0.653
1697223858121,2023-10-13T19:04:18.121000,8.96,0.295,0.534,0.625
1697223858201,2023-10-13T19:04:18.201000,9.04,0.313,0.52,0.69
1697223858281,2023-10-13T19:04:18.281000,9.12,0.299,0.535,0.711
1697223858361,2023-10-13T19:04:18.361000,9.2,0.331,0.49,0.804
1697223858441,2023-10-13T19:04:18.441000,9.28,0.292,0.533,0.723
1697223858521,2023-10-13T19:04:18.521000,9.36,0.319,0.483,0.86
1697223858601,2023-10-13T19:04:18.601000,9.44,0.323,0.471,0.839
1697223858681,2023-10-13T19:04:18.681000,9.52,0.308,0.497,0.832
1697223858761,2023-10-13T19:04:18.761000,9.6,0.333,0.44,0.914
1697223858841,2023-10-13T19:04:18.841000,9.68,0.31,0.451,0.846
1697223858921,2023-10-13T19:04:18.921000,9.76,0.328,0.417,0.876
1697223859001,2023-10-13T19:04:19.001000,9.84,0.318,0.435,0.912
1697223859081,2023-10-13T19:04:19.081000,9.92,0.329,0.479,0.901
1697223859161,2023-10-13T19:04:19.161000,10.0,0.387,0.47,1.03
1697223859241,2023-10-13T19:04:19.241000,10.08,0.39,0.519,1.036
1697223859321,2023-10-13T19:04:19.321000,10.16,0.384,0.474,1.035
1697223859401,2023-10-13T19:04:19.401000,10.24,0.375,0.422,0.987
1697223859481,2023-10-13T19:04:19.481000,10.32,0.36,0.398,0.933
1697223859561,2023-10-13T19:04:19.561000,10.4,0.328,0.371,0.886
1697223859641,2023-10-13T19:04:19.641000,10.48,0.331,0.323,0.887
1697223859721,2023-10-13T19:04:19.721000,10.56,0.321,0.349,0.843
1697223859801,2023-10-13T19:04:19.801000,10.64,0.329,0.338,0.879
1697223859881,2023-10-13T19:04:19.881000,10.72,0.33,0.366,0.862
1697223859961,2023-10-13T19:04:19.961000,10.8,0.356,0.336,0.891
1697223860041,2023-10-13T19:04:20.041000,10.88,0.338,0.393,0.86
1697223860121,2023-10-13T19:04:20.121000,10.96,0.365,0.413,0.906
1697223860201,2023-10-13T19:04:20.201000,11.04,0.362,0.46,0.917
1697223860281,2023-10-13T19:04:20.281000,11.12,0.35,0.52,0.878
1697223860361,2023-10-13T19:04:20.361000,11.2,0.34,0.54,0.873
1697223860441,2023-10-13T19:04:20.441000,11.28,0.347,0.557,0.799
1697223860521,2023-10-13T19:04:20.521000,11.36,0.318,0.526,0.744
1697223860601,2023-10-13T19:04:20.601000,11.44,0.286,0.513,0.68
1697223860681,2023-10-13T19:04:20.681000,11.52,0.256,0.451,0.619
1697223860761,2023-10-13T19:04:20.761000,11.6,0.214,0.46,0.459
1697223860841,2023-10-13T19:04:20.841000,11.68,0.241,0.425,0.551
1697223860921,2023-10-13T19:04:20.921000,11.76,0.328,0.553,0.634
1697223861001,2023-10-13T19:04:21.001000,11.84,0.33,0.704,0.671
1697223861081,2023-10-13T19:04:21.081000,11.92,0.366,0.616,0.828
1697223861161,2023-10-13T19:04:21.161000,12.0,0.325,0.588,0.667
1697223861241,2023-10-13T19:04:21.241000,12.08,0.329,0.585,0.663
1697223861321,2023-10-13T19:04:21.321000,12.16,0.35,0.615,0.717
1697223861401,2023-10-13T19:04:21.401000,12.24,0.375,0.593,0.756
1697223861481,2023-10-13T19:04:21.481000,12.32,0.346,0.595,0.661
1697223861561,2023-10-13T19:04:21.561000,12.4,0.372,0.563,0.674
1697223861641,2023-10-13T19:04:21.641000,12.48,0.379,0.574,0.685
1697223861721,2023-10-13T19:04:21.721000,12.56,0.385,0.601,0.675
1697223861801,2023-10-13T19:04:21.801000,12.64,0.384,0.58,0.678
1697223861881,2023-10-13T19:04:21.881000,12.72,0.342,0.553,0.613
1697223861961,2023-10-13T19:04:21.961000,12.8,0.315,0.505,0.561
1697223862041,2023-10-13T19:04:22.041000,12.88,0.3,0.469,0.578
1697223862121,2023-10-13T19:04:22.121000,12.96,0.305,0.473,0.621
1697223862201,2023-10-13T19:04:22.201000,13.04,0.321,0.504,0.619
1697223862281,2023-10-13T19:04:22.281000,13.12,0.346,0.524,0.7
1697223862361,2023-10-13T19:04:22.361000,13.2,0.348,0.535,0.759
1697223862441,2023-10-13T19:04:22.441000,13.28,0.355,0.575,0.729
1697223862521,2023-10-13T19:04:22.521000,13.36,0.338,0.56,0.779
1697223862601,2023-10-13T19:04:22.601000,13.44,0.373,0.524,0.833
1697223862681,2023-10-13T19:04:22.681000,13.52,0.366,0.538,0.804
1697223862761,2023-10-13T19:04:22.761000,13.6,0.357,0.509,0.84
1697223862841,2023-10-13T19:04:22.841000,13.68,0.376,0.452,0.833
1697223862921,2023-10-13T19:04:22.921000,13.76,0.342,0.482,0.794
1697223863001,2023-10-13T19:04:23.001000,13.84,0.364,0.476,0.881
1697223863081,2023-10-13T19:04:23.081000,13.92,0.384,0.491,0.909
1697223863161,2023-10-13T19:04:23.161000,14.0,0.393,0.515,0.947
1697223863241,2023-10-13T19:04:23.241000,14.08,0.412,0.518,0.997
1697223863321,2023-10-13T19:04:23.321000,14.16,0.395,0.539,0.967
1697223863401,2023-10-13T19:04:23.401000,14.24,0.41,0.454,0.998
1697223863481,2023-10-13T19:04:23.481000,14.32,0.338,0.481,0.881
1697223863561,2023-10-13T19:04:23.561000,14.4,0.347,0.414,0.877
1697223863641,2023-10-13T19:04:23.641000,14.48,0.324,0.418,0.82
1697223863721,2023-10-13T19:04:23.721000,14.56,0.317,0.416,0.825
1697223863801,2023-10-13T19:04:23.801000,14.64,0.347,0.371,0.864
1697223863881,2023-10-13T19:04:23.881000,14.72,0.323,0.41,0.811
1697223863961,2023-10-13T19:04:23.961000,14.8,0.351,0.371,0.855
1697223864041,2023-10-13T19:04:24.041000,14.88,0.343,0.365,0.865
1697223864121,2023-10-13T19:04:24.121000,14.96,0.361,0.399,0.843
1697223864201,2023-10-13T19:04:24.201000,15.04,0.382,0.396,0.895
1697223864281,2023-10-13T19:04:24.281000,15.12,0.346,0.462,0.857
1697223864361,2023-10-13T19:04:24.361000,15.2,0.374,0.479,0.892
1697223864441,2023-10-13T19:04:24.441000,15.28,0.365,0.546,0.841
1697223864521,2023-10-13T19:04:24.521000,15.36,0.398,0.551,0.879
1697223864601,2023-10-13T19:04:24.601000,15.44,0.343,0.58,0.817
1697223864681,2023-10-13T19:04:24.681000,15.52,0.342,0.556,0.815
1697223864761,2023-10-13T19:04:24.761000,15.6,0.292,0.562,0.652
1697223864841,2023-10-13T19:04:24.841000,15.68,0.305,0.505,0.69
1697223864921,2023-10-13T19:04:24.921000,15.76,0.249,0.447,0.547
1697223865001,2023-10-13T19:04:25.001000,15.84,0.255,0.395,0.481
1697223865081,2023-10-13T19:04:25.081000,15.92,0.266,0.484,0.51
1697223865161,2023-10-13T19:04:25.161000,16.0,0.355,0.622,0.691
1697223865241,2023-10-13T19:04:25.241000,16.08,0.407,0.623,0.822
1697223865321,2023-10-13T19:04:25.321000,16.16,0.345,0.568,0.717
1697223865401,2023-10-13T19:04:25.401000,16.24,0.345,0.511,0.688
1697223865481,2023-10-13T19:04:25.481000,16.32,0.364,0.555,0.707
1697223865561,2023-10-13T19:04:25.561000,16.4,0.369,0.591,0.761
1697223865641,2023-10-13T19:04:25.641000,16.48,0.387,0.566,0.776
