epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696867544630,2023-10-09T16:05:44.630000,0.0,0.138,0.721,0.782
1696867544710,2023-10-09T16:05:44.710000,0.08,0.144,0.702,0.733
1696867544790,2023-10-09T16:05:44.790000,0.16,0.124,0.661,0.691
1696867544870,2023-10-09T16:05:44.870000,0.24,0.105,0.64,0.658
1696867544950,2023-10-09T16:05:44.950000,0.32,0.09,0.663,0.658
1696867545030,2023-10-09T16:05:45.030000,0.4,0.13,0.732,0.711
1696867545110,2023-10-09T16:05:45.110000,0.48,0.163,0.754,0.726
1696867545190,2023-10-09T16:05:45.190000,0.56,0.153,0.673,0.646
1696867545270,2023-10-09T16:05:45.270000,0.64,0.137,0.674,0.602
1696867545350,2023-10-09T16:05:45.350000,0.72,0.139,0.71,0.662
1696867545430,2023-10-09T16:05:45.430000,0.8,0.14,0.735,0.682
1696867545510,2023-10-09T16:05:45.510000,0.88,0.13,0.713,0.654
1696867545590,2023-10-09T16:05:45.590000,0.96,0.125,0.7,0.638
1696867545670,2023-10-09T16:05:45.670000,1.04,0.124,0.722,0.66
1696867545750,2023-10-09T16:05:45.750000,1.12,0.133,0.718,0.684
1696867545830,2023-10-09T16:05:45.830000,1.2,0.141,0.725,0.667
1696867545910,2023-10-09T16:05:45.910000,1.28,0.143,0.696,0.653
1696867545990,2023-10-09T16:05:45.990000,1.36,0.138,0.657,0.576
1696867546070,2023-10-09T16:05:46.070000,1.44,0.135,0.651,0.551
1696867546150,2023-10-09T16:05:46.150000,1.52,0.121,0.595,0.544
1696867546230,2023-10-09T16:05:46.230000,1.6,0.11,0.508,0.487
1696867546310,2023-10-09T16:05:46.310000,1.68,0.118,0.528,0.517
1696867546390,2023-10-09T16:05:46.390000,1.76,0.12,0.567,0.587
1696867546470,2023-10-09T16:05:46.470000,1.84,0.123,0.647,0.666
1696867546550,2023-10-09T16:05:46.550000,1.92,0.133,0.652,0.776
1696867546630,2023-10-09T16:05:46.630000,2.0,0.141,0.607,0.785
1696867546710,2023-10-09T16:05:46.710000,2.08,0.166,0.586,0.819
1696867546790,2023-10-09T16:05:46.790000,2.16,0.162,0.609,0.906
1696867546870,2023-10-09T16:05:46.870000,2.24,0.177,0.593,0.905
1696867546950,2023-10-09T16:05:46.950000,2.32,0.181,0.617,0.892
1696867547030,2023-10-09T16:05:47.030000,2.4,0.176,0.587,0.894
1696867547110,2023-10-09T16:05:47.110000,2.48,0.177,0.633,0.954
1696867547190,2023-10-09T16:05:47.190000,2.56,0.173,0.681,0.974
1696867547270,2023-10-09T16:05:47.270000,2.64,0.192,0.691,1.021
1696867547350,2023-10-09T16:05:47.350000,2.72,0.199,0.708,1.015
1696867547430,2023-10-09T16:05:47.430000,2.8,0.187,0.682,0.988
1696867547510,2023-10-09T16:05:47.510000,2.88,0.191,0.606,0.94
1696867547590,2023-10-09T16:05:47.590000,2.96,0.163,0.614,0.909
1696867547670,2023-10-09T16:05:47.670000,3.04,0.166,0.602,0.933
1696867547750,2023-10-09T16:05:47.750000,3.12,0.15,0.603,0.915
1696867547830,2023-10-09T16:05:47.830000,3.2,0.125,0.63,0.851
1696867547910,2023-10-09T16:05:47.910000,3.28,0.114,0.62,0.809
1696867547990,2023-10-09T16:05:47.990000,3.36,0.092,0.553,0.713
1696867548070,2023-10-09T16:05:48.070000,3.44,0.083,0.473,0.533
1696867548150,2023-10-09T16:05:48.150000,3.52,0.058,0.375,0.352
1696867548230,2023-10-09T16:05:48.230000,3.6,0.071,0.326,0.329
1696867548310,2023-10-09T16:05:48.310000,3.68,0.122,0.644,0.516
1696867548390,2023-10-09T16:05:48.390000,3.76,0.116,0.918,0.791
1696867548470,2023-10-09T16:05:48.470000,3.84,0.115,0.764,0.651
