epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696868374957,2023-10-09T16:19:34.957000,0.0,10.244,0.366,-0.671
1696868374997,2023-10-09T16:19:34.997000,0.04,-0.366,-0.244,-0.549
1696868375037,2023-10-09T16:19:35.037000,0.08,-0.793,0.671,1.768
1696868375077,2023-10-09T16:19:35.077000,0.12,5.183,1.402,1.646
1696868375117,2023-10-09T16:19:35.117000,0.16,4.329,3.171,-0.793
1696868375157,2023-10-09T16:19:35.157000,0.2,-2.378,3.78,1.89
1696868375197,2023-10-09T16:19:35.197000,0.24,-4.329,-0.244,6.037
1696868375237,2023-10-09T16:19:35.237000,0.28,-0.732,-4.146,2.622
1696868375277,2023-10-09T16:19:35.277000,0.32,-1.585,-4.268,1.037
1696868375317,2023-10-09T16:19:35.317000,0.36,1.89,-0.427,2.622
1696868375357,2023-10-09T16:19:35.357000,0.4,10.122,-0.427,-6.646
1696868375397,2023-10-09T16:19:35.397000,0.44,-3.293,0.122,-5.244
1696868375437,2023-10-09T16:19:35.437000,0.48,-19.207,1.646,4.634
1696868375477,2023-10-09T16:19:35.477000,0.52,-9.39,-2.256,5.671
1696868375517,2023-10-09T16:19:35.517000,0.56,7.988,-4.634,1.463
1696868375557,2023-10-09T16:19:35.557000,0.6,7.927,-5.61,1.707
1696868375597,2023-10-09T16:19:35.597000,0.64,-9.695,-4.39,3.902
1696868375637,2023-10-09T16:19:35.637000,0.68,-19.695,-1.646,2.805
1696868375677,2023-10-09T16:19:35.677000,0.72,-14.085,1.037,0.122
1696868375717,2023-10-09T16:19:35.717000,0.76,-7.805,0.183,-0.793
1696868375757,2023-10-09T16:19:35.757000,0.8,-7.866,-0.61,0.488
1696868375797,2023-10-09T16:19:35.797000,0.84,-5.793,-3.963,2.195
1696868375837,2023-10-09T16:19:35.837000,0.88,0.793,-6.037,1.28
1696868375877,2023-10-09T16:19:35.877000,0.92,-0.976,-3.902,1.829
1696868375917,2023-10-09T16:19:35.917000,0.96,-5.793,-1.524,2.378
1696868375957,2023-10-09T16:19:35.957000,1.0,-5.671,-2.561,2.561
1696868375997,2023-10-09T16:19:35.997000,1.04,-2.195,-5.061,3.171
1696868376037,2023-10-09T16:19:36.037000,1.08,-0.366,-2.805,1.951
1696868376077,2023-10-09T16:19:36.077000,1.12,0.305,-4.024,0.915
1696868376117,2023-10-09T16:19:36.117000,1.16,2.683,-3.293,0.366
1696868376157,2023-10-09T16:19:36.157000,1.2,4.085,-3.963,0.61
1696868376197,2023-10-09T16:19:36.197000,1.24,4.817,-3.841,0.244
1696868376237,2023-10-09T16:19:36.237000,1.28,8.354,-4.573,-0.793
1696868376277,2023-10-09T16:19:36.277000,1.32,11.585,-4.085,-0.549
1696868376317,2023-10-09T16:19:36.317000,1.36,9.085,-3.598,0.061
1696868376357,2023-10-09T16:19:36.357000,1.4,4.939,-3.11,-0.488
1696868376397,2023-10-09T16:19:36.397000,1.44,5.061,-4.512,-2.073
1696868376437,2023-10-09T16:19:36.437000,1.48,1.768,-3.415,-0.732
1696868376477,2023-10-09T16:19:36.477000,1.52,1.951,-3.598,0.061
1696868376517,2023-10-09T16:19:36.517000,1.56,11.646,-4.085,-1.89
1696868376557,2023-10-09T16:19:36.557000,1.6,17.805,-5.305,-3.72
1696868376597,2023-10-09T16:19:36.597000,1.64,11.341,-4.146,-0.976
1696868376637,2023-10-09T16:19:36.637000,1.68,4.756,-3.963,0.488
1696868376677,2023-10-09T16:19:36.677000,1.72,5.793,-4.024,0.0
1696868376717,2023-10-09T16:19:36.717000,1.76,8.171,-1.463,0.549
1696868376757,2023-10-09T16:19:36.757000,1.8,6.341,-1.28,1.524
1696868376797,2023-10-09T16:19:36.797000,1.84,-0.793,-0.671,5.305
1696868376837,2023-10-09T16:19:36.837000,1.88,-8.476,-1.524,4.268
1696868376877,2023-10-09T16:19:36.877000,1.92,-10.183,-0.976,0.122
1696868376917,2023-10-09T16:19:36.917000,1.96,-19.329,1.402,-1.524
1696868376957,2023-10-09T16:19:36.957000,2.0,-28.171,6.159,0.366
1696868376997,2023-10-09T16:19:36.997000,2.04,-30.244,2.378,1.707
1696868377037,2023-10-09T16:19:37.037000,2.08,-26.341,3.537,0.122
1696868377077,2023-10-09T16:19:37.077000,2.12,-19.512,3.415,-0.244
1696868377117,2023-10-09T16:19:37.117000,2.16,-11.159,-2.317,-1.646
1696868377157,2023-10-09T16:19:37.157000,2.2,-6.646,-4.695,-4.085
1696868377197,2023-10-09T16:19:37.197000,2.24,-13.11,-4.085,0.183
1696868377237,2023-10-09T16:19:37.237000,2.28,-15.793,4.268,-0.244
1696868377277,2023-10-09T16:19:37.277000,2.32,-16.951,8.72,-4.329
1696868377317,2023-10-09T16:19:37.317000,2.36,-5.061,4.146,-6.89
1696868377357,2023-10-09T16:19:37.357000,2.4,15.427,7.195,-12.561
1696868377397,2023-10-09T16:19:37.397000,2.44,10.305,3.232,-7.256
1696868377437,2023-10-09T16:19:37.437000,2.48,5.183,-3.78,2.805
1696868377477,2023-10-09T16:19:37.477000,2.52,1.829,1.524,-3.537
1696868377517,2023-10-09T16:19:37.517000,2.56,-4.329,0.854,-2.012
1696868377557,2023-10-09T16:19:37.557000,2.6,-14.695,-1.646,-2.988
1696868377597,2023-10-09T16:19:37.597000,2.64,-13.476,-5.793,-7.073
1696868377637,2023-10-09T16:19:37.637000,2.68,-18.171,-2.317,-1.28
1696868377677,2023-10-09T16:19:37.677000,2.72,-20.549,0.549,0.122
1696868377717,2023-10-09T16:19:37.717000,2.76,-19.207,2.134,1.646
1696868377757,2023-10-09T16:19:37.757000,2.8,-6.159,0.061,2.378
1696868377797,2023-10-09T16:19:37.797000,2.84,9.329,-3.537,-2.683
1696868377837,2023-10-09T16:19:37.837000,2.88,5.671,-1.768,-0.976
1696868377877,2023-10-09T16:19:37.877000,2.92,-2.927,-4.329,2.256
1696868377917,2023-10-09T16:19:37.917000,2.96,-6.28,-8.415,3.598
1696868377957,2023-10-09T16:19:37.957000,3.0,-3.232,-3.902,1.098
1696868377997,2023-10-09T16:19:37.997000,3.04,2.439,-6.951,1.22
1696868378037,2023-10-09T16:19:38.037000,3.08,4.207,1.22,2.805
1696868378077,2023-10-09T16:19:38.077000,3.12,6.402,1.585,1.585
1696868378117,2023-10-09T16:19:38.117000,3.16,12.5,-2.256,2.561
1696868378157,2023-10-09T16:19:38.157000,3.2,15.244,3.049,5.61
1696868378197,2023-10-09T16:19:38.197000,3.24,19.573,6.89,2.561
1696868378237,2023-10-09T16:19:38.237000,3.28,17.378,2.195,2.378
1696868378277,2023-10-09T16:19:38.277000,3.32,17.683,6.341,3.293
1696868378317,2023-10-09T16:19:38.317000,3.36,20.061,3.659,2.866
1696868378357,2023-10-09T16:19:38.357000,3.4,18.049,5.61,4.207
1696868378397,2023-10-09T16:19:38.397000,3.44,22.744,0.854,5.793
1696868378437,2023-10-09T16:19:38.437000,3.48,26.463,0.793,3.171
1696868378477,2023-10-09T16:19:38.477000,3.52,31.951,-6.28,0.549
1696868378517,2023-10-09T16:19:38.517000,3.56,34.756,-9.817,-0.793
1696868378557,2023-10-09T16:19:38.557000,3.6,40.976,-9.878,1.341
1696868378597,2023-10-09T16:19:38.597000,3.64,43.537,-11.159,0.671
1696868378637,2023-10-09T16:19:38.637000,3.68,37.012,-1.646,4.39
1696868378677,2023-10-09T16:19:38.677000,3.72,32.195,-1.463,1.829
1696868378717,2023-10-09T16:19:38.717000,3.76,22.622,0.122,-8.232
1696868378757,2023-10-09T16:19:38.757000,3.8,8.415,4.146,-10.732
