epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696864325287,2023-10-09T15:12:05.287000,0.0,0.031,0.974,0.026
1696864325367,2023-10-09T15:12:05.367000,0.08,0.034,0.986,0.021
1696864325447,2023-10-09T15:12:05.447000,0.16,0.0,0.927,0.018
1696864325527,2023-10-09T15:12:05.527000,0.24,0.004,0.78,-0.075
1696864325607,2023-10-09T15:12:05.607000,0.32,-0.027,0.701,-0.047
1696864325687,2023-10-09T15:12:05.687000,0.4,-0.076,0.763,-0.105
1696864325767,2023-10-09T15:12:05.767000,0.48,-0.1,0.921,-0.125
1696864325847,2023-10-09T15:12:05.847000,0.56,-0.193,0.916,-0.148
1696864325927,2023-10-09T15:12:05.927000,0.64,-0.231,0.886,-0.187
1696864326007,2023-10-09T15:12:06.007000,0.72,-0.232,0.875,-0.14
1696864326087,2023-10-09T15:12:06.087000,0.8,-0.234,0.894,-0.132
1696864326167,2023-10-09T15:12:06.167000,0.88,-0.271,0.954,-0.068
1696864326247,2023-10-09T15:12:06.247000,0.96,-0.248,0.973,-0.011
1696864326327,2023-10-09T15:12:06.327000,1.04,-0.234,1.358,-0.005
1696864326407,2023-10-09T15:12:06.407000,1.12,-0.259,1.688,0.035
1696864326487,2023-10-09T15:12:06.487000,1.2,-0.28,1.347,0.102
1696864326567,2023-10-09T15:12:06.567000,1.28,-0.109,0.867,-0.106
1696864326647,2023-10-09T15:12:06.647000,1.36,-0.247,0.866,-0.029
1696864326727,2023-10-09T15:12:06.727000,1.44,-0.216,0.922,-0.126
1696864326807,2023-10-09T15:12:06.807000,1.52,-0.272,0.916,-0.089
1696864326887,2023-10-09T15:12:06.887000,1.6,-0.235,0.921,-0.155
1696864326967,2023-10-09T15:12:06.967000,1.68,-0.294,0.933,-0.111
1696864327047,2023-10-09T15:12:07.047000,1.76,-0.25,0.906,-0.063
1696864327127,2023-10-09T15:12:07.127000,1.84,-0.254,0.959,-0.128
1696864327207,2023-10-09T15:12:07.207000,1.92,-0.275,0.961,-0.076
1696864327287,2023-10-09T15:12:07.287000,2.0,-0.227,1.026,-0.132
1696864327367,2023-10-09T15:12:07.367000,2.08,-0.202,1.025,-0.052
1696864327447,2023-10-09T15:12:07.447000,2.16,-0.1,1.033,-0.065
1696864327527,2023-10-09T15:12:07.527000,2.24,-0.131,0.73,0.109
1696864327607,2023-10-09T15:12:07.607000,2.32,0.01,0.563,-0.113
1696864327687,2023-10-09T15:12:07.687000,2.4,-0.015,0.676,-0.033
1696864327767,2023-10-09T15:12:07.767000,2.48,-0.01,1.085,0.102
1696864327847,2023-10-09T15:12:07.847000,2.56,-0.072,1.137,0.07
1696864327927,2023-10-09T15:12:07.927000,2.64,-0.06,0.959,-0.021
1696864328007,2023-10-09T15:12:08.007000,2.72,-0.061,0.778,0.025
1696864328087,2023-10-09T15:12:08.087000,2.8,-0.106,0.607,-0.069
1696864328167,2023-10-09T15:12:08.167000,2.88,-0.107,0.651,-0.062
1696864328247,2023-10-09T15:12:08.247000,2.96,-0.143,0.842,-0.1
1696864328327,2023-10-09T15:12:08.327000,3.04,-0.19,1.014,-0.212
1696864328407,2023-10-09T15:12:08.407000,3.12,-0.265,0.936,-0.115
1696864328487,2023-10-09T15:12:08.487000,3.2,-0.306,0.948,-0.079
1696864328567,2023-10-09T15:12:08.567000,3.28,-0.24,0.927,-0.097
1696864328647,2023-10-09T15:12:08.647000,3.36,-0.308,0.973,0.063
1696864328727,2023-10-09T15:12:08.727000,3.44,-0.338,1.459,-0.012
1696864328807,2023-10-09T15:12:08.807000,3.52,-0.373,1.734,-0.016
1696864328887,2023-10-09T15:12:08.887000,3.6,-0.297,1.237,0.052
1696864328967,2023-10-09T15:12:08.967000,3.68,-0.174,0.807,-0.076
1696864329047,2023-10-09T15:12:09.047000,3.76,-0.242,0.827,-0.066
1696864329127,2023-10-09T15:12:09.127000,3.84,-0.22,0.906,-0.178
1696864329207,2023-10-09T15:12:09.207000,3.92,-0.243,0.932,-0.197
1696864329287,2023-10-09T15:12:09.287000,4.0,-0.255,0.931,-0.175
1696864329367,2023-10-09T15:12:09.367000,4.08,-0.237,0.964,-0.205
1696864329447,2023-10-09T15:12:09.447000,4.16,-0.208,0.94,-0.163
1696864329527,2023-10-09T15:12:09.527000,4.24,-0.243,0.925,-0.067
1696864329607,2023-10-09T15:12:09.607000,4.32,-0.182,0.997,-0.136
1696864329687,2023-10-09T15:12:09.687000,4.4,-0.182,1.011,-0.081
1696864329767,2023-10-09T15:12:09.767000,4.48,-0.114,1.063,-0.046
1696864329847,2023-10-09T15:12:09.847000,4.56,-0.102,0.87,0.076
1696864329927,2023-10-09T15:12:09.927000,4.64,-0.029,0.472,-0.049
1696864330007,2023-10-09T15:12:10.007000,4.72,0.033,0.644,-0.087
1696864330087,2023-10-09T15:12:10.087000,4.8,-0.02,1.094,0.093
1696864330167,2023-10-09T15:12:10.167000,4.88,-0.047,1.203,0.064
1696864330247,2023-10-09T15:12:10.247000,4.96,-0.006,0.909,-0.001
1696864330327,2023-10-09T15:12:10.327000,5.04,-0.036,0.544,-0.052
1696864330407,2023-10-09T15:12:10.407000,5.12,-0.065,0.536,-0.05
1696864330487,2023-10-09T15:12:10.487000,5.2,-0.103,0.684,-0.142
1696864330567,2023-10-09T15:12:10.567000,5.28,-0.177,0.894,-0.095
