epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696864324981,2023-10-09T15:12:04.981000,0.0,11.159,-12.317,7.744
1696864325021,2023-10-09T15:12:05.021000,0.04,7.561,-9.207,9.695
1696864325061,2023-10-09T15:12:05.061000,0.08,1.28,-8.354,1.524
1696864325101,2023-10-09T15:12:05.101000,0.12,8.537,2.012,-9.329
1696864325141,2023-10-09T15:12:05.141000,0.16,-5.488,4.451,-3.354
1696864325181,2023-10-09T15:12:05.181000,0.2,-14.451,0.183,-3.902
1696864325221,2023-10-09T15:12:05.221000,0.24,-3.598,-6.22,2.561
1696864325261,2023-10-09T15:12:05.261000,0.28,1.768,-8.11,5.122
1696864325301,2023-10-09T15:12:05.301000,0.32,13.72,1.829,-1.585
1696864325341,2023-10-09T15:12:05.341000,0.36,20.793,8.902,-1.28
1696864325381,2023-10-09T15:12:05.381000,0.4,9.207,-4.024,1.28
1696864325421,2023-10-09T15:12:05.421000,0.44,-3.78,-1.585,-7.866
1696864325461,2023-10-09T15:12:05.461000,0.48,-2.683,0.427,-7.378
1696864325501,2023-10-09T15:12:05.501000,0.52,14.207,-4.329,-7.5
1696864325541,2023-10-09T15:12:05.541000,0.56,33.232,7.683,-33.171
1696864325581,2023-10-09T15:12:05.581000,0.6,22.988,7.256,-32.866
1696864325621,2023-10-09T15:12:05.621000,0.64,33.232,19.085,-50.549
1696864325661,2023-10-09T15:12:05.661000,0.68,30.915,5.793,-38.963
1696864325701,2023-10-09T15:12:05.701000,0.72,29.573,-5.732,-32.256
1696864325741,2023-10-09T15:12:05.741000,0.76,28.11,-2.622,-25.61
1696864325781,2023-10-09T15:12:05.781000,0.8,20.0,3.72,-25.244
1696864325821,2023-10-09T15:12:05.821000,0.84,9.329,22.5,-47.012
1696864325861,2023-10-09T15:12:05.861000,0.88,7.683,-0.366,-34.939
1696864325901,2023-10-09T15:12:05.901000,0.92,-1.402,2.134,-19.878
1696864325941,2023-10-09T15:12:05.941000,0.96,-9.024,-4.024,-31.098
1696864325981,2023-10-09T15:12:05.981000,1.0,-17.866,-6.707,-16.646
1696864326021,2023-10-09T15:12:06.021000,1.04,-0.976,-14.146,8.415
1696864326061,2023-10-09T15:12:06.061000,1.08,-4.268,1.768,17.195
1696864326101,2023-10-09T15:12:06.101000,1.12,-17.683,-21.463,23.598
1696864326141,2023-10-09T15:12:06.141000,1.16,-13.049,-14.878,15.549
1696864326181,2023-10-09T15:12:06.181000,1.2,-14.878,-20.671,32.927
1696864326221,2023-10-09T15:12:06.221000,1.24,-24.878,-13.72,29.268
1696864326261,2023-10-09T15:12:06.261000,1.28,-54.268,-10.061,19.024
1696864326301,2023-10-09T15:12:06.301000,1.32,-56.829,-22.134,14.268
1696864326341,2023-10-09T15:12:06.341000,1.36,-13.171,-31.402,36.037
1696864326381,2023-10-09T15:12:06.381000,1.4,28.598,-16.585,18.963
1696864326421,2023-10-09T15:12:06.421000,1.44,28.354,13.598,-14.207
1696864326461,2023-10-09T15:12:06.461000,1.48,9.634,21.28,-40.122
1696864326501,2023-10-09T15:12:06.501000,1.52,13.171,16.768,-48.841
1696864326541,2023-10-09T15:12:06.541000,1.56,35.671,7.683,-8.659
