epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696866008421,2023-10-09T15:40:08.421000,0.0,-0.16,0.958,-0.082
1696866008501,2023-10-09T15:40:08.501000,0.08,-0.157,0.938,-0.064
1696866008581,2023-10-09T15:40:08.581000,0.16,-0.151,0.937,-0.06
1696866008661,2023-10-09T15:40:08.661000,0.24,-0.151,0.965,-0.059
1696866008741,2023-10-09T15:40:08.741000,0.32,-0.17,1.03,-0.047
1696866008821,2023-10-09T15:40:08.821000,0.4,-0.181,1.143,-0.012
1696866008901,2023-10-09T15:40:08.901000,0.48,-0.272,1.326,-0.11
1696866008981,2023-10-09T15:40:08.981000,0.56,-0.369,1.272,-0.23
1696866009061,2023-10-09T15:40:09.061000,0.64,-0.324,1.013,-0.229
1696866009141,2023-10-09T15:40:09.141000,0.72,-0.315,0.736,-0.088
1696866009221,2023-10-09T15:40:09.221000,0.8,-0.367,0.756,-0.185
1696866009301,2023-10-09T15:40:09.301000,0.88,-0.321,0.767,-0.268
1696866009381,2023-10-09T15:40:09.381000,0.96,-0.299,0.72,-0.292
1696866009461,2023-10-09T15:40:09.461000,1.04,-0.347,0.742,-0.323
1696866009541,2023-10-09T15:40:09.541000,1.12,-0.367,0.829,-0.342
1696866009621,2023-10-09T15:40:09.621000,1.2,-0.414,0.875,-0.417
1696866009701,2023-10-09T15:40:09.701000,1.28,-0.404,0.939,-0.456
1696866009781,2023-10-09T15:40:09.781000,1.36,-0.372,0.939,-0.438
1696866009861,2023-10-09T15:40:09.861000,1.44,-0.347,0.968,-0.411
1696866009941,2023-10-09T15:40:09.941000,1.52,-0.325,1.028,-0.28
1696866010021,2023-10-09T15:40:10.021000,1.6,-0.249,0.87,-0.051
1696866010101,2023-10-09T15:40:10.101000,1.68,0.011,0.463,-0.167
1696866010181,2023-10-09T15:40:10.181000,1.76,-0.087,0.382,-0.248
1696866010261,2023-10-09T15:40:10.261000,1.84,-0.235,1.081,0.126
1696866010341,2023-10-09T15:40:10.341000,1.92,-0.149,1.263,-0.049
1696866010421,2023-10-09T15:40:10.421000,2.0,-0.127,0.899,-0.126
1696866010501,2023-10-09T15:40:10.501000,2.08,-0.111,0.792,-0.05
1696866010581,2023-10-09T15:40:10.581000,2.16,-0.104,0.958,-0.058
1696866010661,2023-10-09T15:40:10.661000,2.24,-0.098,1.034,-0.155
1696866010741,2023-10-09T15:40:10.741000,2.32,-0.144,0.934,-0.137
1696866010821,2023-10-09T15:40:10.821000,2.4,-0.149,0.951,-0.122
1696866010901,2023-10-09T15:40:10.901000,2.48,-0.131,0.98,-0.155
1696866010981,2023-10-09T15:40:10.981000,2.56,-0.143,0.963,-0.149
1696866011061,2023-10-09T15:40:11.061000,2.64,-0.15,0.942,-0.126
1696866011141,2023-10-09T15:40:11.141000,2.72,-0.166,0.953,-0.144
1696866011221,2023-10-09T15:40:11.221000,2.8,-0.172,0.96,-0.125
1696866011301,2023-10-09T15:40:11.301000,2.88,-0.135,0.942,-0.127
1696866011381,2023-10-09T15:40:11.381000,2.96,-0.159,0.945,-0.102
1696866011461,2023-10-09T15:40:11.461000,3.04,-0.116,0.96,-0.132
1696866011541,2023-10-09T15:40:11.541000,3.12,-0.118,0.937,-0.134
1696866011621,2023-10-09T15:40:11.621000,3.2,-0.142,0.965,-0.151
1696866011701,2023-10-09T15:40:11.701000,3.28,-0.119,0.975,-0.15
1696866011781,2023-10-09T15:40:11.781000,3.36,-0.118,0.958,-0.144
1696866011861,2023-10-09T15:40:11.861000,3.44,-0.09,0.833,-0.18
1696866011941,2023-10-09T15:40:11.941000,3.52,-0.111,0.563,-0.12
1696866012021,2023-10-09T15:40:12.021000,3.6,-0.153,0.579,-0.233
1696866012101,2023-10-09T15:40:12.101000,3.68,-0.236,0.834,-0.337
1696866012181,2023-10-09T15:40:12.181000,3.76,-0.323,0.871,-0.329
1696866012261,2023-10-09T15:40:12.261000,3.84,-0.301,0.822,-0.428
1696866012341,2023-10-09T15:40:12.341000,3.92,-0.286,0.816,-0.375
1696866012421,2023-10-09T15:40:12.421000,4.0,-0.324,0.815,-0.254
1696866012501,2023-10-09T15:40:12.501000,4.08,-0.387,0.946,-0.378
1696866012581,2023-10-09T15:40:12.581000,4.16,-0.38,0.947,-0.411
1696866012661,2023-10-09T15:40:12.661000,4.24,-0.413,0.921,-0.341
1696866012741,2023-10-09T15:40:12.741000,4.32,-0.429,1.019,-0.226
1696866012821,2023-10-09T15:40:12.821000,4.4,-0.356,1.02,-0.258
1696866012901,2023-10-09T15:40:12.901000,4.48,-0.288,0.954,-0.185
1696866012981,2023-10-09T15:40:12.981000,4.56,-0.295,0.979,-0.042
1696866013061,2023-10-09T15:40:13.061000,4.64,-0.305,1.299,-0.103
1696866013141,2023-10-09T15:40:13.141000,4.72,-0.317,1.475,-0.089
1696866013221,2023-10-09T15:40:13.221000,4.8,-0.373,1.227,-0.123
1696866013301,2023-10-09T15:40:13.301000,4.88,-0.353,1.019,-0.198
1696866013381,2023-10-09T15:40:13.381000,4.96,-0.339,0.951,-0.316
1696866013461,2023-10-09T15:40:13.461000,5.04,-0.317,0.885,-0.38
1696866013541,2023-10-09T15:40:13.541000,5.12,-0.353,0.792,-0.43
1696866013621,2023-10-09T15:40:13.621000,5.2,-0.311,0.742,-0.403
1696866013701,2023-10-09T15:40:13.701000,5.28,-0.352,0.678,-0.375
1696866013781,2023-10-09T15:40:13.781000,5.36,-0.335,0.681,-0.335
1696866013861,2023-10-09T15:40:13.861000,5.44,-0.344,0.757,-0.332
1696866013941,2023-10-09T15:40:13.941000,5.52,-0.338,0.863,-0.253
1696866014021,2023-10-09T15:40:14.021000,5.6,-0.335,0.975,-0.315
1696866014101,2023-10-09T15:40:14.101000,5.68,-0.335,0.947,-0.236
1696866014181,2023-10-09T15:40:14.181000,5.76,-0.2,0.671,0.019
1696866014261,2023-10-09T15:40:14.261000,5.84,-0.156,0.51,-0.19
1696866014341,2023-10-09T15:40:14.341000,5.92,-0.111,0.805,-0.075
1696866014421,2023-10-09T15:40:14.421000,6.0,-0.192,1.088,-0.147
1696866014501,2023-10-09T15:40:14.501000,6.08,-0.163,1.062,-0.148
1696866014581,2023-10-09T15:40:14.581000,6.16,-0.151,0.839,-0.129
1696866014661,2023-10-09T15:40:14.661000,6.24,-0.146,0.499,-0.052
1696866014741,2023-10-09T15:40:14.741000,6.32,-0.046,0.439,-0.112
1696866014821,2023-10-09T15:40:14.821000,6.4,-0.328,0.735,-0.273
1696866014901,2023-10-09T15:40:14.901000,6.48,-0.412,1.031,-0.321
1696866014981,2023-10-09T15:40:14.981000,6.56,-0.383,0.998,-0.442
1696866015061,2023-10-09T15:40:15.061000,6.64,-0.358,0.899,-0.396
1696866015141,2023-10-09T15:40:15.141000,6.72,-0.357,0.88,-0.355
1696866015221,2023-10-09T15:40:15.221000,6.8,-0.361,0.834,-0.387
1696866015301,2023-10-09T15:40:15.301000,6.88,-0.426,0.855,-0.293
1696866015381,2023-10-09T15:40:15.381000,6.96,-0.497,0.917,-0.279
