epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696866355883,2023-10-09T15:45:55.883000,0.0,0.549,2.683,10.0
1696866355923,2023-10-09T15:45:55.923000,0.04,-1.159,2.317,10.732
1696866355963,2023-10-09T15:45:55.963000,0.08,-6.829,-1.646,10.671
1696866356003,2023-10-09T15:45:56.003000,0.12,-11.524,-6.341,8.354
1696866356043,2023-10-09T15:45:56.043000,0.16,-5.549,-12.195,8.598
1696866356083,2023-10-09T15:45:56.083000,0.2,2.012,-10.61,14.085
1696866356123,2023-10-09T15:45:56.123000,0.24,4.268,-7.012,10.976
1696866356163,2023-10-09T15:45:56.163000,0.28,-2.561,-0.122,2.195
1696866356203,2023-10-09T15:45:56.203000,0.32,-8.232,7.988,-9.024
1696866356243,2023-10-09T15:45:56.243000,0.36,-3.841,10.732,-16.402
1696866356283,2023-10-09T15:45:56.283000,0.4,32.439,1.159,-23.354
1696866356323,2023-10-09T15:45:56.323000,0.44,64.878,8.78,-40.854
1696866356363,2023-10-09T15:45:56.363000,0.48,81.829,36.829,-56.768
1696866356403,2023-10-09T15:45:56.403000,0.52,83.354,43.049,-64.817
1696866356443,2023-10-09T15:45:56.443000,0.56,80.61,25.976,-72.683
1696866356483,2023-10-09T15:45:56.483000,0.6,69.756,36.829,-49.451
1696866356523,2023-10-09T15:45:56.523000,0.64,41.829,14.39,-40.732
1696866356563,2023-10-09T15:45:56.563000,0.68,34.268,56.646,-19.39
1696866356603,2023-10-09T15:45:56.603000,0.72,18.476,21.707,-8.841
1696866356643,2023-10-09T15:45:56.643000,0.76,4.207,-21.402,-13.232
1696866356683,2023-10-09T15:45:56.683000,0.8,1.89,5.549,-4.634
1696866356723,2023-10-09T15:45:56.723000,0.84,-6.22,9.817,-14.573
1696866356763,2023-10-09T15:45:56.763000,0.88,-6.524,2.744,-12.805
1696866356803,2023-10-09T15:45:56.803000,0.92,2.012,21.22,0.61
1696866356843,2023-10-09T15:45:56.843000,0.96,-0.366,22.866,-6.098
1696866356883,2023-10-09T15:45:56.883000,1.0,-4.268,21.22,-16.951
1696866356923,2023-10-09T15:45:56.923000,1.04,2.134,-10.305,-2.317
1696866356963,2023-10-09T15:45:56.963000,1.08,10.305,-26.463,13.415
1696866357003,2023-10-09T15:45:57.003000,1.12,5.915,-4.573,20.366
1696866357043,2023-10-09T15:45:57.043000,1.16,-2.195,-2.073,19.085
1696866357083,2023-10-09T15:45:57.083000,1.2,-19.451,19.512,6.89
1696866357123,2023-10-09T15:45:57.123000,1.24,-31.463,11.829,5.244
1696866357163,2023-10-09T15:45:57.163000,1.28,-38.78,0.976,15.793
1696866357203,2023-10-09T15:45:57.203000,1.32,-41.768,-15.0,19.878
1696866357243,2023-10-09T15:45:57.243000,1.36,-40.244,-22.378,27.5
1696866357283,2023-10-09T15:45:57.283000,1.4,-26.89,-24.756,37.866
1696866357323,2023-10-09T15:45:57.323000,1.44,-3.293,-28.171,48.841
1696866357363,2023-10-09T15:45:57.363000,1.48,-19.085,-10.061,53.354
1696866357403,2023-10-09T15:45:57.403000,1.52,-52.256,48.293,40.244
1696866357443,2023-10-09T15:45:57.443000,1.56,-58.476,96.28,40.793
1696866357483,2023-10-09T15:45:57.483000,1.6,-36.098,66.22,42.805
1696866357523,2023-10-09T15:45:57.523000,1.64,-10.366,27.134,21.707
1696866357563,2023-10-09T15:45:57.563000,1.68,4.024,-18.049,17.866
1696866357603,2023-10-09T15:45:57.603000,1.72,21.707,-71.159,25.854
1696866357643,2023-10-09T15:45:57.643000,1.76,17.866,-38.171,10.976
1696866357683,2023-10-09T15:45:57.683000,1.8,0.976,0.244,-1.524
1696866357723,2023-10-09T15:45:57.723000,1.84,3.72,-19.878,-1.159
1696866357763,2023-10-09T15:45:57.763000,1.88,6.037,-24.695,3.293
1696866357803,2023-10-09T15:45:57.803000,1.92,-1.28,-17.683,2.805
1696866357843,2023-10-09T15:45:57.843000,1.96,-9.024,-15.183,-6.037
1696866357883,2023-10-09T15:45:57.883000,2.0,2.622,-15.732,-26.585
1696866357923,2023-10-09T15:45:57.923000,2.04,4.817,-16.524,-24.878
1696866357963,2023-10-09T15:45:57.963000,2.08,4.146,-13.598,-20.366
1696866358003,2023-10-09T15:45:58.003000,2.12,18.476,-15.549,-21.402
1696866358043,2023-10-09T15:45:58.043000,2.16,34.695,20.732,-10.244
1696866358083,2023-10-09T15:45:58.083000,2.2,46.341,4.573,-10.488
1696866358123,2023-10-09T15:45:58.123000,2.24,39.634,12.622,-22.561
1696866358163,2023-10-09T15:45:58.163000,2.28,38.72,10.61,-44.39
1696866358203,2023-10-09T15:45:58.203000,2.32,37.256,4.146,-35.122
1696866358243,2023-10-09T15:45:58.243000,2.36,49.268,-8.171,-21.89
1696866358283,2023-10-09T15:45:58.283000,2.4,43.963,-24.512,-10.549
1696866358323,2023-10-09T15:45:58.323000,2.44,36.524,-19.146,-6.28
