epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696867168731,2023-10-09T15:59:28.731000,0.0,-0.267,0.924,-0.132
1696867168811,2023-10-09T15:59:28.811000,0.08,-0.244,0.938,-0.16
1696867168891,2023-10-09T15:59:28.891000,0.16,-0.206,0.898,-0.146
1696867168971,2023-10-09T15:59:28.971000,0.24,-0.181,0.946,-0.144
1696867169051,2023-10-09T15:59:29.051000,0.32,-0.226,1.259,-0.253
1696867169131,2023-10-09T15:59:29.131000,0.4,-0.332,1.51,-0.372
1696867169211,2023-10-09T15:59:29.211000,0.48,-0.354,1.249,-0.306
1696867169291,2023-10-09T15:59:29.291000,0.56,-0.349,0.977,-0.37
1696867169371,2023-10-09T15:59:29.371000,0.64,-0.279,0.806,-0.335
1696867169451,2023-10-09T15:59:29.451000,0.72,-0.268,0.784,-0.47
1696867169531,2023-10-09T15:59:29.531000,0.8,-0.271,0.75,-0.434
1696867169611,2023-10-09T15:59:29.611000,0.88,-0.273,0.747,-0.435
1696867169691,2023-10-09T15:59:29.691000,0.96,-0.254,0.786,-0.41
1696867169771,2023-10-09T15:59:29.771000,1.04,-0.235,0.773,-0.472
1696867169851,2023-10-09T15:59:29.851000,1.12,-0.18,0.562,-0.246
1696867169931,2023-10-09T15:59:29.931000,1.2,-0.114,0.219,-0.2
1696867170011,2023-10-09T15:59:30.011000,1.28,-0.154,0.153,-0.168
1696867170091,2023-10-09T15:59:30.091000,1.36,-0.219,0.526,-0.247
1696867170171,2023-10-09T15:59:30.171000,1.44,-0.323,0.886,-0.403
1696867170251,2023-10-09T15:59:30.251000,1.52,-0.389,0.949,-0.431
1696867170331,2023-10-09T15:59:30.331000,1.6,-0.371,0.918,-0.405
1696867170411,2023-10-09T15:59:30.411000,1.68,-0.394,0.87,-0.462
1696867170491,2023-10-09T15:59:30.491000,1.76,-0.434,0.882,-0.381
1696867170571,2023-10-09T15:59:30.571000,1.84,-0.425,0.955,-0.354
1696867170651,2023-10-09T15:59:30.651000,1.92,-0.383,0.974,-0.436
1696867170731,2023-10-09T15:59:30.731000,2.0,-0.354,0.951,-0.337
1696867170811,2023-10-09T15:59:30.811000,2.08,-0.323,1.007,-0.306
1696867170891,2023-10-09T15:59:30.891000,2.16,-0.389,1.273,-0.374
1696867170971,2023-10-09T15:59:30.971000,2.24,-0.465,1.535,-0.564
1696867171051,2023-10-09T15:59:31.051000,2.32,-0.453,1.325,-0.515
1696867171131,2023-10-09T15:59:31.131000,2.4,-0.389,1.01,-0.417
1696867171211,2023-10-09T15:59:31.211000,2.48,-0.3,0.848,-0.414
1696867171291,2023-10-09T15:59:31.291000,2.56,-0.313,0.775,-0.399
