epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696867168370,2023-10-09T15:59:28.370000,0.0,20.915,-5.427,-1.707
1696867168410,2023-10-09T15:59:28.410000,0.04,15.305,-4.695,0.976
1696867168450,2023-10-09T15:59:28.450000,0.08,-17.439,-2.927,5.366
1696867168490,2023-10-09T15:59:28.490000,0.12,-21.585,-9.695,-3.902
1696867168530,2023-10-09T15:59:28.530000,0.16,-5.732,-9.817,-11.829
1696867168570,2023-10-09T15:59:28.570000,0.2,15.244,-1.768,-3.415
1696867168610,2023-10-09T15:59:28.610000,0.24,19.268,-8.598,6.22
1696867168650,2023-10-09T15:59:28.650000,0.28,8.354,-7.378,8.598
1696867168690,2023-10-09T15:59:28.690000,0.32,5.244,-5.732,7.5
1696867168730,2023-10-09T15:59:28.730000,0.36,-0.427,-5.244,5.976
1696867168770,2023-10-09T15:59:28.770000,0.4,-4.085,-1.341,6.951
1696867168810,2023-10-09T15:59:28.810000,0.44,2.012,-2.988,11.951
1696867168850,2023-10-09T15:59:28.850000,0.48,-2.073,-4.451,9.817
1696867168890,2023-10-09T15:59:28.890000,0.52,-7.317,-6.646,3.11
1696867168930,2023-10-09T15:59:28.930000,0.56,-12.073,-5.244,3.232
1696867168970,2023-10-09T15:59:28.970000,0.6,-13.78,-6.28,2.988
1696867169010,2023-10-09T15:59:29.010000,0.64,-1.037,-4.146,-4.329
1696867169050,2023-10-09T15:59:29.050000,0.68,24.878,4.085,-14.939
1696867169090,2023-10-09T15:59:29.090000,0.72,48.659,25.244,-22.866
1696867169130,2023-10-09T15:59:29.130000,0.76,55.244,50.427,-36.646
1696867169170,2023-10-09T15:59:29.170000,0.8,41.463,67.744,-36.768
1696867169210,2023-10-09T15:59:29.210000,0.84,92.866,64.512,-28.293
1696867169250,2023-10-09T15:59:29.250000,0.88,109.695,45.976,-39.817
1696867169290,2023-10-09T15:59:29.290000,0.92,36.951,34.512,-31.402
1696867169330,2023-10-09T15:59:29.330000,0.96,6.829,-2.317,-24.573
1696867169370,2023-10-09T15:59:29.370000,1.0,33.171,0.976,-6.524
1696867169410,2023-10-09T15:59:29.410000,1.04,11.22,-11.098,-4.451
1696867169450,2023-10-09T15:59:29.450000,1.08,17.134,1.341,8.598
1696867169490,2023-10-09T15:59:29.490000,1.12,8.354,-22.622,9.939
1696867169530,2023-10-09T15:59:29.530000,1.16,-6.402,-11.951,4.695
1696867169570,2023-10-09T15:59:29.570000,1.2,-11.341,-11.341,2.256
1696867169610,2023-10-09T15:59:29.610000,1.24,-26.646,6.646,2.805
1696867169650,2023-10-09T15:59:29.650000,1.28,-41.768,35.793,-3.78
1696867169690,2023-10-09T15:59:29.690000,1.32,-43.476,-2.683,-7.073
1696867169730,2023-10-09T15:59:29.730000,1.36,-29.634,-32.988,21.037
1696867169770,2023-10-09T15:59:29.770000,1.4,-12.866,-49.573,41.402
1696867169810,2023-10-09T15:59:29.810000,1.44,-26.768,-51.28,44.146
1696867169850,2023-10-09T15:59:29.850000,1.48,-37.622,-38.049,20.793
1696867169890,2023-10-09T15:59:29.890000,1.52,-8.11,-3.415,6.524
