epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696867772746,2023-10-09T16:09:32.746000,0.0,-0.273,0.845,0.389
1696867772826,2023-10-09T16:09:32.826000,0.08,-0.293,0.868,0.344
1696867772906,2023-10-09T16:09:32.906000,0.16,-0.289,0.875,0.337
1696867772986,2023-10-09T16:09:32.986000,0.24,-0.282,0.859,0.343
1696867773066,2023-10-09T16:09:33.066000,0.32,-0.281,0.876,0.346
1696867773146,2023-10-09T16:09:33.146000,0.4,-0.268,0.868,0.351
1696867773226,2023-10-09T16:09:33.226000,0.48,-0.264,0.86,0.328
1696867773306,2023-10-09T16:09:33.306000,0.56,-0.256,0.863,0.283
1696867773386,2023-10-09T16:09:33.386000,0.64,-0.243,0.826,0.276
1696867773466,2023-10-09T16:09:33.466000,0.72,-0.215,0.734,0.25
1696867773546,2023-10-09T16:09:33.546000,0.8,-0.187,0.625,0.238
1696867773626,2023-10-09T16:09:33.626000,0.88,-0.202,0.661,0.288
1696867773706,2023-10-09T16:09:33.706000,0.96,-0.234,0.68,0.33
1696867773786,2023-10-09T16:09:33.786000,1.04,-0.246,0.751,0.379
1696867773866,2023-10-09T16:09:33.866000,1.12,-0.255,0.832,0.458
1696867773946,2023-10-09T16:09:33.946000,1.2,-0.282,0.899,0.522
1696867774026,2023-10-09T16:09:34.026000,1.28,-0.282,0.896,0.534
1696867774106,2023-10-09T16:09:34.106000,1.36,-0.294,0.877,0.554
1696867774186,2023-10-09T16:09:34.186000,1.44,-0.283,0.883,0.545
1696867774266,2023-10-09T16:09:34.266000,1.52,-0.298,0.862,0.526
1696867774346,2023-10-09T16:09:34.346000,1.6,-0.304,0.813,0.549
1696867774426,2023-10-09T16:09:34.426000,1.68,-0.293,0.848,0.553
1696867774506,2023-10-09T16:09:34.506000,1.76,-0.292,0.849,0.603
1696867774586,2023-10-09T16:09:34.586000,1.84,-0.302,0.904,0.598
1696867774666,2023-10-09T16:09:34.666000,1.92,-0.319,0.944,0.666
1696867774746,2023-10-09T16:09:34.746000,2.0,-0.375,0.938,0.677
1696867774826,2023-10-09T16:09:34.826000,2.08,-0.334,0.923,0.665
1696867774906,2023-10-09T16:09:34.906000,2.16,-0.345,0.915,0.696
1696867774986,2023-10-09T16:09:34.986000,2.24,-0.377,0.83,0.652
1696867775066,2023-10-09T16:09:35.066000,2.32,-0.405,0.867,0.584
1696867775146,2023-10-09T16:09:35.146000,2.4,-0.36,0.805,0.616
1696867775226,2023-10-09T16:09:35.226000,2.48,-0.347,0.86,0.54
1696867775306,2023-10-09T16:09:35.306000,2.56,-0.33,0.832,0.463
1696867775386,2023-10-09T16:09:35.386000,2.64,-0.277,0.748,0.434
1696867775466,2023-10-09T16:09:35.466000,2.72,-0.239,0.685,0.354
1696867775546,2023-10-09T16:09:35.546000,2.8,-0.197,0.603,0.293
1696867775626,2023-10-09T16:09:35.626000,2.88,-0.178,0.581,0.252
1696867775706,2023-10-09T16:09:35.706000,2.96,-0.188,0.633,0.26
1696867775786,2023-10-09T16:09:35.786000,3.04,-0.229,0.746,0.284
1696867775866,2023-10-09T16:09:35.866000,3.12,-0.275,0.879,0.284
1696867775946,2023-10-09T16:09:35.946000,3.2,-0.278,0.905,0.295
1696867776026,2023-10-09T16:09:36.026000,3.28,-0.254,0.861,0.301
1696867776106,2023-10-09T16:09:36.106000,3.36,-0.268,0.927,0.275
1696867776186,2023-10-09T16:09:36.186000,3.44,-0.246,0.929,0.276
1696867776266,2023-10-09T16:09:36.266000,3.52,-0.222,0.879,0.281
1696867776346,2023-10-09T16:09:36.346000,3.6,-0.226,0.877,0.291
1696867776426,2023-10-09T16:09:36.426000,3.68,-0.226,0.854,0.307
1696867776506,2023-10-09T16:09:36.506000,3.76,-0.208,0.81,0.224
1696867776586,2023-10-09T16:09:36.586000,3.84,-0.174,0.692,0.194
1696867776666,2023-10-09T16:09:36.666000,3.92,-0.169,0.666,0.185
1696867776746,2023-10-09T16:09:36.746000,4.0,-0.17,0.678,0.196
1696867776826,2023-10-09T16:09:36.826000,4.08,-0.199,0.747,0.225
1696867776906,2023-10-09T16:09:36.906000,4.16,-0.25,0.886,0.281
1696867776986,2023-10-09T16:09:36.986000,4.24,-0.275,0.942,0.338
1696867777066,2023-10-09T16:09:37.066000,4.32,-0.262,0.977,0.354
1696867777146,2023-10-09T16:09:37.146000,4.4,-0.255,0.948,0.384
1696867777226,2023-10-09T16:09:37.226000,4.48,-0.249,0.942,0.381
1696867777306,2023-10-09T16:09:37.306000,4.56,-0.246,0.93,0.422
1696867777386,2023-10-09T16:09:37.386000,4.64,-0.251,0.916,0.423
1696867777466,2023-10-09T16:09:37.466000,4.72,-0.244,0.94,0.399
1696867777546,2023-10-09T16:09:37.546000,4.8,-0.258,0.959,0.433
1696867777626,2023-10-09T16:09:37.626000,4.88,-0.296,1.031,0.476
1696867777706,2023-10-09T16:09:37.706000,4.96,-0.316,1.129,0.494
1696867777786,2023-10-09T16:09:37.786000,5.04,-0.305,1.106,0.515
1696867777866,2023-10-09T16:09:37.866000,5.12,-0.313,1.057,0.534
1696867777946,2023-10-09T16:09:37.946000,5.2,-0.309,0.983,0.539
1696867778026,2023-10-09T16:09:38.026000,5.28,-0.294,0.957,0.511
1696867778106,2023-10-09T16:09:38.106000,5.36,-0.25,0.861,0.506
1696867778186,2023-10-09T16:09:38.186000,5.44,-0.261,0.893,0.485
1696867778266,2023-10-09T16:09:38.266000,5.52,-0.276,0.86,0.523
1696867778346,2023-10-09T16:09:38.346000,5.6,-0.291,0.912,0.451
1696867778426,2023-10-09T16:09:38.426000,5.68,-0.241,0.842,0.408
1696867778506,2023-10-09T16:09:38.506000,5.76,-0.229,0.786,0.366
1696867778586,2023-10-09T16:09:38.586000,5.84,-0.197,0.72,0.312
1696867778666,2023-10-09T16:09:38.666000,5.92,-0.188,0.682,0.258
1696867778746,2023-10-09T16:09:38.746000,6.0,-0.189,0.666,0.228
1696867778826,2023-10-09T16:09:38.826000,6.08,-0.191,0.637,0.208
1696867778906,2023-10-09T16:09:38.906000,6.16,-0.205,0.687,0.238
1696867778986,2023-10-09T16:09:38.986000,6.24,-0.251,0.887,0.264
1696867779066,2023-10-09T16:09:39.066000,6.32,-0.269,0.981,0.295
1696867779146,2023-10-09T16:09:39.146000,6.4,-0.217,0.877,0.287
1696867779226,2023-10-09T16:09:39.226000,6.48,-0.208,0.883,0.274
1696867779306,2023-10-09T16:09:39.306000,6.56,-0.24,0.945,0.304
1696867779386,2023-10-09T16:09:39.386000,6.64,-0.23,0.893,0.308
1696867779466,2023-10-09T16:09:39.466000,6.72,-0.223,0.875,0.294
1696867779546,2023-10-09T16:09:39.546000,6.8,-0.233,0.916,0.307
1696867779626,2023-10-09T16:09:39.626000,6.88,-0.246,0.904,0.285
1696867779706,2023-10-09T16:09:39.706000,6.96,-0.249,0.883,0.271
1696867779786,2023-10-09T16:09:39.786000,7.04,-0.241,0.904,0.278
1696867779866,2023-10-09T16:09:39.866000,7.12,-0.233,0.888,0.26
1696867779946,2023-10-09T16:09:39.946000,7.2,-0.208,0.784,0.214
1696867780026,2023-10-09T16:09:40.026000,7.28,-0.168,0.659,0.178
1696867780106,2023-10-09T16:09:40.106000,7.36,-0.146,0.614,0.188
1696867780186,2023-10-09T16:09:40.186000,7.44,-0.161,0.656,0.213
1696867780266,2023-10-09T16:09:40.266000,7.52,-0.231,0.749,0.267
1696867780346,2023-10-09T16:09:40.346000,7.6,-0.235,0.816,0.361
1696867780426,2023-10-09T16:09:40.426000,7.68,-0.256,0.923,0.418
1696867780506,2023-10-09T16:09:40.506000,7.76,-0.267,0.951,0.46
1696867780586,2023-10-09T16:09:40.586000,7.84,-0.278,0.933,0.478
1696867780666,2023-10-09T16:09:40.666000,7.92,-0.242,0.852,0.52
1696867780746,2023-10-09T16:09:40.746000,8.0,-0.241,0.871,0.493
1696867780826,2023-10-09T16:09:40.826000,8.08,-0.243,0.867,0.504
1696867780906,2023-10-09T16:09:40.906000,8.16,-0.254,0.895,0.536
1696867780986,2023-10-09T16:09:40.986000,8.24,-0.283,0.957,0.548
1696867781066,2023-10-09T16:09:41.066000,8.32,-0.306,1.043,0.556
1696867781146,2023-10-09T16:09:41.146000,8.4,-0.33,1.146,0.602
1696867781226,2023-10-09T16:09:41.226000,8.48,-0.315,1.095,0.655
1696867781306,2023-10-09T16:09:41.306000,8.56,-0.294,1.027,0.568
1696867781386,2023-10-09T16:09:41.386000,8.64,-0.275,0.892,0.564
1696867781466,2023-10-09T16:09:41.466000,8.72,-0.269,0.875,0.557
1696867781546,2023-10-09T16:09:41.546000,8.8,-0.255,0.87,0.5
1696867781626,2023-10-09T16:09:41.626000,8.88,-0.243,0.851,0.487
1696867781706,2023-10-09T16:09:41.706000,8.96,-0.297,0.901,0.444
1696867781786,2023-10-09T16:09:41.786000,9.04,-0.285,0.887,0.431
1696867781866,2023-10-09T16:09:41.866000,9.12,-0.256,0.86,0.385
1696867781946,2023-10-09T16:09:41.946000,9.2,-0.226,0.798,0.327
1696867782026,2023-10-09T16:09:42.026000,9.28,-0.209,0.74,0.274
1696867782106,2023-10-09T16:09:42.106000,9.36,-0.196,0.736,0.258
1696867782186,2023-10-09T16:09:42.186000,9.44,-0.201,0.749,0.217
1696867782266,2023-10-09T16:09:42.266000,9.52,-0.188,0.676,0.197
1696867782346,2023-10-09T16:09:42.346000,9.6,-0.184,0.681,0.197
1696867782426,2023-10-09T16:09:42.426000,9.68,-0.228,0.835,0.211
1696867782506,2023-10-09T16:09:42.506000,9.76,-0.255,0.947,0.263
1696867782586,2023-10-09T16:09:42.586000,9.84,-0.245,0.916,0.267
1696867782666,2023-10-09T16:09:42.666000,9.92,-0.246,0.886,0.246
1696867782746,2023-10-09T16:09:42.746000,10.0,-0.25,0.918,0.251
1696867782826,2023-10-09T16:09:42.826000,10.08,-0.24,0.914,0.277
1696867782906,2023-10-09T16:09:42.906000,10.16,-0.244,0.908,0.271
1696867782986,2023-10-09T16:09:42.986000,10.24,-0.231,0.895,0.271
1696867783066,2023-10-09T16:09:43.066000,10.32,-0.24,0.919,0.258
1696867783146,2023-10-09T16:09:43.146000,10.4,-0.244,0.895,0.248
1696867783226,2023-10-09T16:09:43.226000,10.48,-0.224,0.816,0.213
1696867783306,2023-10-09T16:09:43.306000,10.56,-0.193,0.735,0.2
1696867783386,2023-10-09T16:09:43.386000,10.64,-0.179,0.638,0.183
1696867783466,2023-10-09T16:09:43.466000,10.72,-0.178,0.587,0.2
1696867783546,2023-10-09T16:09:43.546000,10.8,-0.195,0.7,0.259
1696867783626,2023-10-09T16:09:43.626000,10.88,-0.229,0.808,0.371
1696867783706,2023-10-09T16:09:43.706000,10.96,-0.27,0.857,0.438
1696867783786,2023-10-09T16:09:43.786000,11.04,-0.278,0.951,0.423
1696867783866,2023-10-09T16:09:43.866000,11.12,-0.265,0.944,0.473
1696867783946,2023-10-09T16:09:43.946000,11.2,-0.264,0.924,0.509
1696867784026,2023-10-09T16:09:44.026000,11.28,-0.263,0.887,0.546
1696867784106,2023-10-09T16:09:44.106000,11.36,-0.27,0.894,0.564
1696867784186,2023-10-09T16:09:44.186000,11.44,-0.294,0.984,0.632
1696867784266,2023-10-09T16:09:44.266000,11.52,-0.302,1.031,0.677
1696867784346,2023-10-09T16:09:44.346000,11.6,-0.327,1.042,0.679
1696867784426,2023-10-09T16:09:44.426000,11.68,-0.315,0.985,0.66
1696867784506,2023-10-09T16:09:44.506000,11.76,-0.295,0.938,0.61
1696867784586,2023-10-09T16:09:44.586000,11.84,-0.257,0.863,0.622
1696867784666,2023-10-09T16:09:44.666000,11.92,-0.248,0.806,0.572
1696867784746,2023-10-09T16:09:44.746000,12.0,-0.238,0.816,0.527
1696867784826,2023-10-09T16:09:44.826000,12.08,-0.25,0.822,0.571
1696867784906,2023-10-09T16:09:44.906000,12.16,-0.265,0.842,0.516
1696867784986,2023-10-09T16:09:44.986000,12.24,-0.287,0.838,0.477
1696867785066,2023-10-09T16:09:45.066000,12.32,-0.258,0.788,0.445
1696867785146,2023-10-09T16:09:45.146000,12.4,-0.24,0.755,0.366
1696867785226,2023-10-09T16:09:45.226000,12.48,-0.227,0.703,0.314
1696867785306,2023-10-09T16:09:45.306000,12.56,-0.229,0.71,0.294
1696867785386,2023-10-09T16:09:45.386000,12.64,-0.223,0.701,0.299
1696867785466,2023-10-09T16:09:45.466000,12.72,-0.24,0.741,0.277
1696867785546,2023-10-09T16:09:45.546000,12.8,-0.243,0.771,0.292
1696867785626,2023-10-09T16:09:45.626000,12.88,-0.255,0.837,0.316
1696867785706,2023-10-09T16:09:45.706000,12.96,-0.275,0.896,0.311
1696867785786,2023-10-09T16:09:45.786000,13.04,-0.273,0.876,0.288
1696867785866,2023-10-09T16:09:45.866000,13.12,-0.245,0.886,0.288
1696867785946,2023-10-09T16:09:45.946000,13.2,-0.263,0.915,0.281
1696867786026,2023-10-09T16:09:46.026000,13.28,-0.256,0.893,0.269
1696867786106,2023-10-09T16:09:46.106000,13.36,-0.247,0.893,0.258
1696867786186,2023-10-09T16:09:46.186000,13.44,-0.271,0.898,0.254
1696867786266,2023-10-09T16:09:46.266000,13.52,-0.297,0.854,0.277
1696867786346,2023-10-09T16:09:46.346000,13.6,-0.196,0.963,0.29
1696867786426,2023-10-09T16:09:46.426000,13.68,-0.283,0.873,0.251
1696867786506,2023-10-09T16:09:46.506000,13.76,-0.271,0.873,0.251
1696867786586,2023-10-09T16:09:46.586000,13.84,-0.198,0.758,0.256
1696867786666,2023-10-09T16:09:46.666000,13.92,-0.188,0.658,0.205
1696867786746,2023-10-09T16:09:46.746000,14.0,-0.169,0.636,0.226
1696867786826,2023-10-09T16:09:46.826000,14.08,-0.2,0.639,0.266
1696867786906,2023-10-09T16:09:46.906000,14.16,-0.212,0.705,0.347
1696867786986,2023-10-09T16:09:46.986000,14.24,-0.238,0.836,0.418
1696867787066,2023-10-09T16:09:47.066000,14.32,-0.229,0.867,0.515
1696867787146,2023-10-09T16:09:47.146000,14.4,-0.242,0.918,0.545
1696867787226,2023-10-09T16:09:47.226000,14.48,-0.26,0.91,0.507
1696867787306,2023-10-09T16:09:47.306000,14.56,-0.249,0.885,0.509
1696867787386,2023-10-09T16:09:47.386000,14.64,-0.241,0.86,0.548
1696867787466,2023-10-09T16:09:47.466000,14.72,-0.264,0.933,0.601
1696867787546,2023-10-09T16:09:47.546000,14.8,-0.278,1.019,0.676
1696867787626,2023-10-09T16:09:47.626000,14.88,-0.292,1.075,0.681
1696867787706,2023-10-09T16:09:47.706000,14.96,-0.297,1.049,0.661
1696867787786,2023-10-09T16:09:47.786000,15.04,-0.287,1.01,0.665
1696867787866,2023-10-09T16:09:47.866000,15.12,-0.288,0.987,0.594
1696867787946,2023-10-09T16:09:47.946000,15.2,-0.29,0.889,0.562
1696867788026,2023-10-09T16:09:48.026000,15.28,-0.302,0.867,0.542
1696867788106,2023-10-09T16:09:48.106000,15.36,-0.277,0.898,0.515
1696867788186,2023-10-09T16:09:48.186000,15.44,-0.28,0.886,0.455
1696867788266,2023-10-09T16:09:48.266000,15.52,-0.262,0.866,0.396
1696867788346,2023-10-09T16:09:48.346000,15.6,-0.239,0.81,0.32
1696867788426,2023-10-09T16:09:48.426000,15.68,-0.207,0.71,0.255
1696867788506,2023-10-09T16:09:48.506000,15.76,-0.183,0.669,0.207
1696867788586,2023-10-09T16:09:48.586000,15.84,-0.184,0.633,0.193
1696867788666,2023-10-09T16:09:48.666000,15.92,-0.177,0.603,0.223
1696867788746,2023-10-09T16:09:48.746000,16.0,-0.231,0.781,0.217
1696867788826,2023-10-09T16:09:48.826000,16.08,-0.279,0.926,0.277
1696867788906,2023-10-09T16:09:48.906000,16.16,-0.272,0.937,0.29
1696867788986,2023-10-09T16:09:48.986000,16.24,-0.243,0.893,0.296
1696867789066,2023-10-09T16:09:49.066000,16.32,-0.241,0.873,0.294
1696867789146,2023-10-09T16:09:49.146000,16.4,-0.23,0.889,0.291
1696867789226,2023-10-09T16:09:49.226000,16.48,-0.211,0.902,0.327
1696867789306,2023-10-09T16:09:49.306000,16.56,-0.262,0.907,0.302
1696867789386,2023-10-09T16:09:49.386000,16.64,-0.23,0.85,0.305
1696867789466,2023-10-09T16:09:49.466000,16.72,-0.273,0.895,0.32
1696867789546,2023-10-09T16:09:49.546000,16.8,-0.256,0.951,0.253
1696867789626,2023-10-09T16:09:49.626000,16.88,-0.224,0.869,0.306
1696867789706,2023-10-09T16:09:49.706000,16.96,-0.224,0.883,0.265
1696867789786,2023-10-09T16:09:49.786000,17.04,-0.198,0.814,0.257
1696867789866,2023-10-09T16:09:49.866000,17.12,-0.175,0.738,0.213
1696867789946,2023-10-09T16:09:49.946000,17.2,-0.164,0.636,0.23
1696867790026,2023-10-09T16:09:50.026000,17.28,-0.159,0.625,0.272
1696867790106,2023-10-09T16:09:50.106000,17.36,-0.181,0.696,0.321
1696867790186,2023-10-09T16:09:50.186000,17.44,-0.188,0.797,0.373
1696867790266,2023-10-09T16:09:50.266000,17.52,-0.198,0.86,0.449
1696867790346,2023-10-09T16:09:50.346000,17.6,-0.206,0.843,0.509
1696867790426,2023-10-09T16:09:50.426000,17.68,-0.213,0.915,0.538
1696867790506,2023-10-09T16:09:50.506000,17.76,-0.219,0.892,0.602
1696867790586,2023-10-09T16:09:50.586000,17.84,-0.238,0.827,0.587
1696867790666,2023-10-09T16:09:50.666000,17.92,-0.245,0.823,0.607
1696867790746,2023-10-09T16:09:50.746000,18.0,-0.228,0.898,0.682
1696867790826,2023-10-09T16:09:50.826000,18.08,-0.263,0.979,0.773
1696867790906,2023-10-09T16:09:50.906000,18.16,-0.3,1.008,0.765
1696867790986,2023-10-09T16:09:50.986000,18.24,-0.306,0.982,0.75
1696867791066,2023-10-09T16:09:51.066000,18.32,-0.249,0.931,0.755
1696867791146,2023-10-09T16:09:51.146000,18.4,-0.226,0.935,0.688
1696867791226,2023-10-09T16:09:51.226000,18.48,-0.222,0.854,0.621
1696867791306,2023-10-09T16:09:51.306000,18.56,-0.248,0.789,0.672
1696867791386,2023-10-09T16:09:51.386000,18.64,-0.219,0.81,0.643
1696867791466,2023-10-09T16:09:51.466000,18.72,-0.21,0.833,0.583
