epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696867772748,2023-10-09T16:09:32.748000,0.0,6.89,-1.463,1.585
1696867772788,2023-10-09T16:09:32.788000,0.04,6.402,-5.976,-0.061
1696867772828,2023-10-09T16:09:32.828000,0.08,4.451,-9.268,0.427
1696867772868,2023-10-09T16:09:32.868000,0.12,2.988,-4.512,-2.073
1696867772908,2023-10-09T16:09:32.908000,0.16,4.451,-8.354,-2.256
1696867772948,2023-10-09T16:09:32.948000,0.2,5.671,-4.207,1.646
1696867772988,2023-10-09T16:09:32.988000,0.24,10.0,-5.915,1.585
1696867773028,2023-10-09T16:09:33.028000,0.28,9.756,-1.341,3.171
1696867773068,2023-10-09T16:09:33.068000,0.32,6.707,-2.195,2.134
1696867773108,2023-10-09T16:09:33.108000,0.36,3.598,-2.195,1.28
1696867773148,2023-10-09T16:09:33.148000,0.4,2.317,-2.073,0.366
1696867773188,2023-10-09T16:09:33.188000,0.44,4.695,-1.28,2.317
1696867773228,2023-10-09T16:09:33.228000,0.48,6.951,-0.366,6.402
1696867773268,2023-10-09T16:09:33.268000,0.52,11.341,-5.061,5.671
1696867773308,2023-10-09T16:09:33.308000,0.56,13.537,-3.841,3.841
1696867773348,2023-10-09T16:09:33.348000,0.6,7.561,-7.195,2.866
1696867773388,2023-10-09T16:09:33.388000,0.64,-6.402,-6.646,2.134
1696867773428,2023-10-09T16:09:33.428000,0.68,-11.89,-11.829,-2.927
1696867773468,2023-10-09T16:09:33.468000,0.72,-12.744,-14.512,-8.232
1696867773508,2023-10-09T16:09:33.508000,0.76,-7.012,-14.451,-2.378
1696867773548,2023-10-09T16:09:33.548000,0.8,-2.561,-19.085,-2.012
1696867773588,2023-10-09T16:09:33.588000,0.84,-6.22,-17.988,-4.329
1696867773628,2023-10-09T16:09:33.628000,0.88,-14.939,-10.183,-9.268
1696867773668,2023-10-09T16:09:33.668000,0.92,-22.988,-12.5,-11.707
1696867773708,2023-10-09T16:09:33.708000,0.96,-29.512,-18.476,-9.024
1696867773748,2023-10-09T16:09:33.748000,1.0,-26.707,-25.366,-7.622
1696867773788,2023-10-09T16:09:33.788000,1.04,-22.134,-18.354,-10.793
1696867773828,2023-10-09T16:09:33.828000,1.08,-17.012,-10.183,-6.159
1696867773868,2023-10-09T16:09:33.868000,1.12,-13.78,-10.854,-0.915
1696867773908,2023-10-09T16:09:33.908000,1.16,-4.512,-7.439,-6.585
1696867773948,2023-10-09T16:09:33.948000,1.2,-4.146,-5.61,-7.805
1696867773988,2023-10-09T16:09:33.988000,1.24,4.512,-14.268,-2.439
1696867774028,2023-10-09T16:09:34.028000,1.28,7.5,-9.756,-2.866
1696867774068,2023-10-09T16:09:34.068000,1.32,-8.354,-7.622,-5.915
1696867774108,2023-10-09T16:09:34.108000,1.36,-24.207,-9.756,-3.537
1696867774148,2023-10-09T16:09:34.148000,1.4,-16.037,-9.39,-1.951
1696867774188,2023-10-09T16:09:34.188000,1.44,-0.366,-4.268,-4.207
1696867774228,2023-10-09T16:09:34.228000,1.48,3.171,-7.317,-8.293
1696867774268,2023-10-09T16:09:34.268000,1.52,-3.049,-7.378,-4.695
1696867774308,2023-10-09T16:09:34.308000,1.56,-14.634,-5.244,-3.598
1696867774348,2023-10-09T16:09:34.348000,1.6,-7.012,-0.61,-2.5
1696867774388,2023-10-09T16:09:34.388000,1.64,7.683,-5.793,-1.22
1696867774428,2023-10-09T16:09:34.428000,1.68,4.207,-3.049,1.28
1696867774468,2023-10-09T16:09:34.468000,1.72,-1.829,-8.476,-2.744
1696867774508,2023-10-09T16:09:34.508000,1.76,-1.037,-5.183,-2.561
1696867774548,2023-10-09T16:09:34.548000,1.8,1.707,-2.012,0.549
1696867774588,2023-10-09T16:09:34.588000,1.84,3.659,0.854,4.146
1696867774628,2023-10-09T16:09:34.628000,1.88,-12.317,25.427,5.793
1696867774668,2023-10-09T16:09:34.668000,1.92,-19.878,10.732,0.671
1696867774708,2023-10-09T16:09:34.708000,1.96,-22.866,-5.732,-1.159
1696867774748,2023-10-09T16:09:34.748000,2.0,-10.976,-4.695,-3.049
1696867774788,2023-10-09T16:09:34.788000,2.04,1.22,-0.854,-0.305
1696867774828,2023-10-09T16:09:34.828000,2.08,6.585,6.22,6.22
1696867774868,2023-10-09T16:09:34.868000,2.12,3.78,32.317,1.463
1696867774908,2023-10-09T16:09:34.908000,2.16,-8.598,41.707,-3.902
1696867774948,2023-10-09T16:09:34.948000,2.2,-9.512,25.61,7.012
1696867774988,2023-10-09T16:09:34.988000,2.24,5.122,11.585,10.793
1696867775028,2023-10-09T16:09:35.028000,2.28,25.793,14.329,2.683
1696867775068,2023-10-09T16:09:35.068000,2.32,31.768,8.78,1.524
1696867775108,2023-10-09T16:09:35.108000,2.36,17.5,6.098,8.232
1696867775148,2023-10-09T16:09:35.148000,2.4,11.159,1.585,6.646
1696867775188,2023-10-09T16:09:35.188000,2.44,15.549,-0.61,6.585
1696867775228,2023-10-09T16:09:35.228000,2.48,16.098,-0.671,9.329
1696867775268,2023-10-09T16:09:35.268000,2.52,15.244,1.768,7.317
1696867775308,2023-10-09T16:09:35.308000,2.56,14.085,-0.122,2.256
1696867775348,2023-10-09T16:09:35.348000,2.6,13.171,-1.89,6.22
1696867775388,2023-10-09T16:09:35.388000,2.64,12.927,1.037,9.512
1696867775428,2023-10-09T16:09:35.428000,2.68,15.183,-6.768,6.28
1696867775468,2023-10-09T16:09:35.468000,2.72,17.5,-2.561,5.549
1696867775508,2023-10-09T16:09:35.508000,2.76,19.817,0.732,6.646
1696867775548,2023-10-09T16:09:35.548000,2.8,22.561,1.402,5.976
1696867775588,2023-10-09T16:09:35.588000,2.84,26.402,1.402,8.598
1696867775628,2023-10-09T16:09:35.628000,2.88,29.695,-1.89,7.988
1696867775668,2023-10-09T16:09:35.668000,2.92,24.451,-3.72,6.28
1696867775708,2023-10-09T16:09:35.708000,2.96,19.817,-4.146,4.878
1696867775748,2023-10-09T16:09:35.748000,3.0,12.561,-2.805,4.634
1696867775788,2023-10-09T16:09:35.788000,3.04,10.061,-2.073,7.134
1696867775828,2023-10-09T16:09:35.828000,3.08,13.902,-5.0,8.232
1696867775868,2023-10-09T16:09:35.868000,3.12,17.561,-2.866,5.61
1696867775908,2023-10-09T16:09:35.908000,3.16,19.085,-0.122,4.085
1696867775948,2023-10-09T16:09:35.948000,3.2,12.561,-0.061,5.915
1696867775988,2023-10-09T16:09:35.988000,3.24,-0.488,-1.341,9.939
1696867776028,2023-10-09T16:09:36.028000,3.28,-9.634,-0.854,5.976
1696867776068,2023-10-09T16:09:36.068000,3.32,-6.585,-1.159,1.951
1696867776108,2023-10-09T16:09:36.108000,3.36,1.037,-3.963,3.232
1696867776148,2023-10-09T16:09:36.148000,3.4,10.061,-4.451,3.72
1696867776188,2023-10-09T16:09:36.188000,3.44,15.549,-2.683,0.183
1696867776228,2023-10-09T16:09:36.228000,3.48,8.293,-2.561,4.207
1696867776268,2023-10-09T16:09:36.268000,3.52,-18.659,-1.89,1.89
1696867776308,2023-10-09T16:09:36.308000,3.56,-29.39,6.159,-1.098
1696867776348,2023-10-09T16:09:36.348000,3.6,-11.159,4.695,2.378
1696867776388,2023-10-09T16:09:36.388000,3.64,-1.585,3.537,7.622
1696867776428,2023-10-09T16:09:36.428000,3.68,10.976,-2.988,2.988
1696867776468,2023-10-09T16:09:36.468000,3.72,22.927,-9.085,-1.463
1696867776508,2023-10-09T16:09:36.508000,3.76,20.488,0.854,-0.793
1696867776548,2023-10-09T16:09:36.548000,3.8,20.061,-10.671,-3.841
1696867776588,2023-10-09T16:09:36.588000,3.84,10.183,-14.573,-2.561
1696867776628,2023-10-09T16:09:36.628000,3.88,3.841,-16.28,-1.463
1696867776668,2023-10-09T16:09:36.668000,3.92,-7.683,-10.427,-4.634
1696867776708,2023-10-09T16:09:36.708000,3.96,-5.244,-9.634,-6.037
1696867776748,2023-10-09T16:09:36.748000,4.0,-2.195,-7.866,-1.524
1696867776788,2023-10-09T16:09:36.788000,4.04,-7.134,-10.671,0.549
1696867776828,2023-10-09T16:09:36.828000,4.08,-4.939,-4.573,-6.159
1696867776868,2023-10-09T16:09:36.868000,4.12,-13.902,-6.951,-6.159
1696867776908,2023-10-09T16:09:36.908000,4.16,-19.878,-12.683,-2.866
1696867776948,2023-10-09T16:09:36.948000,4.2,-18.537,-14.024,-5.61
1696867776988,2023-10-09T16:09:36.988000,4.24,-14.146,-19.451,-6.463
1696867777028,2023-10-09T16:09:37.028000,4.28,-7.073,-13.72,-0.671
1696867777068,2023-10-09T16:09:37.068000,4.32,-0.854,-9.146,1.037
1696867777108,2023-10-09T16:09:37.108000,4.36,-6.585,-10.366,2.5
1696867777148,2023-10-09T16:09:37.148000,4.4,-3.537,-7.866,6.463
1696867777188,2023-10-09T16:09:37.188000,4.44,2.988,-5.61,-0.488
1696867777228,2023-10-09T16:09:37.228000,4.48,2.195,-4.817,-6.829
1696867777268,2023-10-09T16:09:37.268000,4.52,-4.451,-8.476,-2.073
1696867777308,2023-10-09T16:09:37.308000,4.56,-9.939,-2.927,-0.671
1696867777348,2023-10-09T16:09:37.348000,4.6,-6.585,-3.232,0.244
1696867777388,2023-10-09T16:09:37.388000,4.64,4.085,-5.915,-0.305
1696867777428,2023-10-09T16:09:37.428000,4.68,8.72,-7.378,-1.037
1696867777468,2023-10-09T16:09:37.468000,4.72,7.927,-6.159,-3.659
1696867777508,2023-10-09T16:09:37.508000,4.76,5.488,-4.024,-5.854
1696867777548,2023-10-09T16:09:37.548000,4.8,-2.134,-6.098,-4.39
1696867777588,2023-10-09T16:09:37.588000,4.84,-10.122,-7.195,-1.463
1696867777628,2023-10-09T16:09:37.628000,4.88,-9.268,-4.146,-1.098
1696867777668,2023-10-09T16:09:37.668000,4.92,-5.61,-2.988,-3.415
1696867777708,2023-10-09T16:09:37.708000,4.96,-2.012,0.061,-1.646
1696867777748,2023-10-09T16:09:37.748000,5.0,-4.634,-0.366,-3.78
1696867777788,2023-10-09T16:09:37.788000,5.04,-11.28,-5.793,-5.488
1696867777828,2023-10-09T16:09:37.828000,5.08,-16.707,-6.159,-4.817
1696867777868,2023-10-09T16:09:37.868000,5.12,-18.72,-4.878,-2.683
1696867777908,2023-10-09T16:09:37.908000,5.16,-19.939,-8.11,0.732
1696867777948,2023-10-09T16:09:37.948000,5.2,-7.256,-1.585,0.183
1696867777988,2023-10-09T16:09:37.988000,5.24,11.646,3.963,-3.293
1696867778028,2023-10-09T16:09:38.028000,5.28,13.841,3.902,0.183
1696867778068,2023-10-09T16:09:38.068000,5.32,8.537,0.122,6.341
1696867778108,2023-10-09T16:09:38.108000,5.36,10.305,2.988,1.524
