epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697117377648,2023-10-12T13:29:37.648000,0.0,-1.524,-5.183,-8.415
1697117377688,2023-10-12T13:29:37.688000,0.04,-0.854,-2.866,-8.11
1697117377728,2023-10-12T13:29:37.728000,0.08,-5.976,2.622,-1.951
1697117377768,2023-10-12T13:29:37.768000,0.12,0.732,2.561,-6.829
1697117377808,2023-10-12T13:29:37.808000,0.16,2.927,-4.695,-2.256
1697117377848,2023-10-12T13:29:37.848000,0.2,7.866,-4.939,-2.134
1697117377888,2023-10-12T13:29:37.888000,0.24,7.256,-1.28,-11.951
1697117377928,2023-10-12T13:29:37.928000,0.28,6.22,-0.915,-9.573
1697117377968,2023-10-12T13:29:37.968000,0.32,13.963,-0.671,-15.793
1697117378008,2023-10-12T13:29:38.008000,0.36,19.573,-7.805,-10.671
1697117378048,2023-10-12T13:29:38.048000,0.4,22.134,-4.268,-12.622
1697117378088,2023-10-12T13:29:38.088000,0.44,11.098,1.89,-12.195
1697117378128,2023-10-12T13:29:38.128000,0.48,18.293,-0.427,-17.317
1697117378168,2023-10-12T13:29:38.168000,0.52,15.61,-7.988,-12.988
1697117378208,2023-10-12T13:29:38.208000,0.56,9.634,-10.305,-11.707
1697117378248,2023-10-12T13:29:38.248000,0.6,7.744,-4.695,-18.11
1697117378288,2023-10-12T13:29:38.288000,0.64,14.634,-5.61,-17.866
1697117378328,2023-10-12T13:29:38.328000,0.68,16.22,-8.049,-12.439
1697117378368,2023-10-12T13:29:38.368000,0.72,21.341,-8.354,-3.78
1697117378408,2023-10-12T13:29:38.408000,0.76,25.549,-12.988,7.012
1697117378448,2023-10-12T13:29:38.448000,0.8,14.146,-4.817,-8.598
1697117378488,2023-10-12T13:29:38.488000,0.84,-0.854,-5.0,-14.268
1697117378528,2023-10-12T13:29:38.528000,0.88,-5.793,-6.646,-7.378
1697117378568,2023-10-12T13:29:38.568000,0.92,4.024,-8.171,-3.415
1697117378608,2023-10-12T13:29:38.608000,0.96,16.28,-9.756,0.122
1697117378648,2023-10-12T13:29:38.648000,1.0,7.927,-12.988,3.232
1697117378688,2023-10-12T13:29:38.688000,1.04,-0.732,-4.024,-11.037
1697117378728,2023-10-12T13:29:38.728000,1.08,-10.427,-7.134,-11.159
1697117378768,2023-10-12T13:29:38.768000,1.12,-11.707,-8.11,4.024
1697117378808,2023-10-12T13:29:38.808000,1.16,-2.5,-7.988,8.902
1697117378848,2023-10-12T13:29:38.848000,1.2,-6.341,-6.22,14.756
1697117378888,2023-10-12T13:29:38.888000,1.24,-16.524,-3.598,12.195
1697117378928,2023-10-12T13:29:38.928000,1.28,-31.646,-5.061,4.817
1697117378968,2023-10-12T13:29:38.968000,1.32,-29.024,-12.805,18.78
1697117379008,2023-10-12T13:29:39.008000,1.36,-6.829,-12.866,24.085
1697117379048,2023-10-12T13:29:39.048000,1.4,11.098,-6.402,13.049
1697117379088,2023-10-12T13:29:39.088000,1.44,16.829,-0.61,1.159
1697117379128,2023-10-12T13:29:39.128000,1.48,18.293,-1.951,-21.28
1697117379168,2023-10-12T13:29:39.168000,1.52,14.817,-7.073,-32.134
1697117379208,2023-10-12T13:29:39.208000,1.56,19.207,-6.768,-34.451
1697117379248,2023-10-12T13:29:39.248000,1.6,23.598,-3.11,-16.159
1697117379288,2023-10-12T13:29:39.288000,1.64,25.122,1.098,-20.0
1697117379328,2023-10-12T13:29:39.328000,1.68,17.622,-9.512,-13.415
1697117379368,2023-10-12T13:29:39.368000,1.72,7.927,-11.463,-8.354
1697117379408,2023-10-12T13:29:39.408000,1.76,5.366,2.744,-8.415
1697117379448,2023-10-12T13:29:39.448000,1.8,2.256,-0.976,0.061
1697117379488,2023-10-12T13:29:39.488000,1.84,4.268,0.549,13.11
1697117379528,2023-10-12T13:29:39.528000,1.88,-3.476,3.598,12.378
1697117379568,2023-10-12T13:29:39.568000,1.92,-18.171,13.354,8.11
1697117379608,2023-10-12T13:29:39.608000,1.96,-27.439,11.646,7.439
1697117379648,2023-10-12T13:29:39.648000,2.0,-23.232,7.927,20.244
1697117379688,2023-10-12T13:29:39.688000,2.04,-20.61,7.866,23.841
1697117379728,2023-10-12T13:29:39.728000,2.08,-24.146,10.244,29.329
1697117379768,2023-10-12T13:29:39.768000,2.12,-33.476,8.963,26.829
