epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697117531998,2023-10-12T13:32:11.998000,0.0,-0.045,0.869,-0.041
1697117532078,2023-10-12T13:32:12.078000,0.08,-0.058,0.872,-0.033
1697117532158,2023-10-12T13:32:12.158000,0.16,-0.074,0.905,-0.052
1697117532238,2023-10-12T13:32:12.238000,0.24,-0.103,0.911,-0.066
1697117532318,2023-10-12T13:32:12.318000,0.32,-0.141,0.929,-0.07
1697117532398,2023-10-12T13:32:12.398000,0.4,-0.161,0.951,-0.116
1697117532478,2023-10-12T13:32:12.478000,0.48,-0.2,0.941,-0.098
1697117532558,2023-10-12T13:32:12.558000,0.56,-0.205,0.945,-0.13
1697117532638,2023-10-12T13:32:12.638000,0.64,-0.223,0.942,-0.109
1697117532718,2023-10-12T13:32:12.718000,0.72,-0.233,0.963,-0.104
1697117532798,2023-10-12T13:32:12.798000,0.8,-0.227,0.929,-0.081
1697117532878,2023-10-12T13:32:12.878000,0.88,-0.224,0.937,-0.084
1697117532958,2023-10-12T13:32:12.958000,0.96,-0.205,0.93,-0.088
1697117533038,2023-10-12T13:32:13.038000,1.04,-0.189,0.913,-0.034
1697117533118,2023-10-12T13:32:13.118000,1.12,-0.177,0.892,-0.001
1697117533198,2023-10-12T13:32:13.198000,1.2,-0.217,1.115,-0.023
1697117533278,2023-10-12T13:32:13.278000,1.28,-0.287,1.524,0.097
1697117533358,2023-10-12T13:32:13.358000,1.36,-0.293,1.362,0.094
1697117533438,2023-10-12T13:32:13.438000,1.44,-0.234,1.006,0.028
1697117533518,2023-10-12T13:32:13.518000,1.52,-0.244,0.986,-0.015
1697117533598,2023-10-12T13:32:13.598000,1.6,-0.286,0.989,-0.008
1697117533678,2023-10-12T13:32:13.678000,1.68,-0.276,0.981,0.017
1697117533758,2023-10-12T13:32:13.758000,1.76,-0.24,0.942,-0.012
1697117533838,2023-10-12T13:32:13.838000,1.84,-0.18,0.895,-0.044
1697117533918,2023-10-12T13:32:13.918000,1.92,-0.111,0.823,-0.0
1697117533998,2023-10-12T13:32:13.998000,2.0,-0.044,0.77,-0.009
1697117534078,2023-10-12T13:32:14.078000,2.08,-0.063,0.688,0.004
1697117534158,2023-10-12T13:32:14.158000,2.16,-0.037,0.713,-0.15
1697117534238,2023-10-12T13:32:14.238000,2.24,0.002,0.95,-0.039
1697117534318,2023-10-12T13:32:14.318000,2.32,0.03,1.135,-0.034
1697117534398,2023-10-12T13:32:14.398000,2.4,-0.021,1.006,-0.028
1697117534478,2023-10-12T13:32:14.478000,2.48,0.019,0.903,-0.08
1697117534558,2023-10-12T13:32:14.558000,2.56,0.021,0.924,-0.04
1697117534638,2023-10-12T13:32:14.638000,2.64,0.007,0.979,-0.012
1697117534718,2023-10-12T13:32:14.718000,2.72,-0.02,0.976,-0.023
1697117534798,2023-10-12T13:32:14.798000,2.8,-0.041,0.908,-0.058
1697117534878,2023-10-12T13:32:14.878000,2.88,-0.049,0.854,-0.05
1697117534958,2023-10-12T13:32:14.958000,2.96,-0.067,0.852,-0.096
1697117535038,2023-10-12T13:32:15.038000,3.04,-0.083,0.872,-0.083
1697117535118,2023-10-12T13:32:15.118000,3.12,-0.124,0.878,-0.098
1697117535198,2023-10-12T13:32:15.198000,3.2,-0.155,0.891,-0.113
1697117535278,2023-10-12T13:32:15.278000,3.28,-0.151,0.896,-0.092
1697117535358,2023-10-12T13:32:15.358000,3.36,-0.179,0.915,-0.094
1697117535438,2023-10-12T13:32:15.438000,3.44,-0.221,0.934,-0.088
1697117535518,2023-10-12T13:32:15.518000,3.52,-0.191,0.984,-0.096
1697117535598,2023-10-12T13:32:15.598000,3.6,-0.208,0.985,-0.072
1697117535678,2023-10-12T13:32:15.678000,3.68,-0.202,1.031,-0.057
1697117535758,2023-10-12T13:32:15.758000,3.76,-0.259,1.395,0.0
1697117535838,2023-10-12T13:32:15.838000,3.84,-0.274,1.521,0.065
1697117535918,2023-10-12T13:32:15.918000,3.92,-0.245,1.183,0.04
1697117535998,2023-10-12T13:32:15.998000,4.0,-0.222,0.987,-0.012
1697117536078,2023-10-12T13:32:16.078000,4.08,-0.259,0.983,-0.024
1697117536158,2023-10-12T13:32:16.158000,4.16,-0.26,0.965,-0.053
1697117536238,2023-10-12T13:32:16.238000,4.24,-0.248,0.93,-0.01
1697117536318,2023-10-12T13:32:16.318000,4.32,-0.171,0.908,-0.084
1697117536398,2023-10-12T13:32:16.398000,4.4,-0.146,0.91,0.015
1697117536478,2023-10-12T13:32:16.478000,4.48,-0.089,0.871,-0.04
1697117536558,2023-10-12T13:32:16.558000,4.56,-0.02,0.689,0.051
1697117536638,2023-10-12T13:32:16.638000,4.64,-0.032,0.615,-0.15
1697117536718,2023-10-12T13:32:16.718000,4.72,0.017,0.795,-0.049
1697117536798,2023-10-12T13:32:16.798000,4.8,0.038,1.102,0.007
1697117536878,2023-10-12T13:32:16.878000,4.88,0.01,1.081,0.025
1697117536958,2023-10-12T13:32:16.958000,4.96,0.001,0.963,-0.026
1697117537038,2023-10-12T13:32:17.038000,5.04,0.009,0.934,-0.011
1697117537118,2023-10-12T13:32:17.118000,5.12,0.012,0.973,0.009
1697117537198,2023-10-12T13:32:17.198000,5.2,0.011,1.004,0.008
1697117537278,2023-10-12T13:32:17.278000,5.28,-0.003,0.975,0.014
1697117537358,2023-10-12T13:32:17.358000,5.36,-0.005,0.958,-0.002
1697117537438,2023-10-12T13:32:17.438000,5.44,-0.002,0.976,0.008
1697117537518,2023-10-12T13:32:17.518000,5.52,-0.012,0.977,0.019
1697117537598,2023-10-12T13:32:17.598000,5.6,-0.02,0.939,0.009
1697117537678,2023-10-12T13:32:17.678000,5.68,-0.029,0.889,-0.013
1697117537758,2023-10-12T13:32:17.758000,5.76,-0.064,0.845,-0.038
1697117537838,2023-10-12T13:32:17.838000,5.84,-0.069,0.87,-0.062
1697117537918,2023-10-12T13:32:17.918000,5.92,-0.112,0.847,-0.042
1697117537998,2023-10-12T13:32:17.998000,6.0,-0.141,0.88,-0.1
1697117538078,2023-10-12T13:32:18.078000,6.08,-0.172,0.876,-0.146
1697117538158,2023-10-12T13:32:18.158000,6.16,-0.197,0.932,-0.134
1697117538238,2023-10-12T13:32:18.238000,6.24,-0.222,0.941,-0.063
1697117538318,2023-10-12T13:32:18.318000,6.32,-0.218,0.935,-0.168
1697117538398,2023-10-12T13:32:18.398000,6.4,-0.21,0.958,-0.144
1697117538478,2023-10-12T13:32:18.478000,6.48,-0.199,0.97,-0.108
1697117538558,2023-10-12T13:32:18.558000,6.56,-0.23,1.224,-0.083
1697117538638,2023-10-12T13:32:18.638000,6.64,-0.305,1.583,-0.057
1697117538718,2023-10-12T13:32:18.718000,6.72,-0.289,1.307,-0.065
1697117538798,2023-10-12T13:32:18.798000,6.8,-0.247,0.956,-0.029
1697117538878,2023-10-12T13:32:18.878000,6.88,-0.263,0.939,-0.058
1697117538958,2023-10-12T13:32:18.958000,6.96,-0.272,0.975,-0.111
1697117539038,2023-10-12T13:32:19.038000,7.04,-0.276,0.969,-0.082
1697117539118,2023-10-12T13:32:19.118000,7.12,-0.226,0.948,-0.067
1697117539198,2023-10-12T13:32:19.198000,7.2,-0.189,0.902,-0.08
1697117539278,2023-10-12T13:32:19.278000,7.28,-0.111,0.9,-0.119
1697117539358,2023-10-12T13:32:19.358000,7.36,-0.043,0.866,-0.069
1697117539438,2023-10-12T13:32:19.438000,7.44,-0.006,0.72,-0.01
1697117539518,2023-10-12T13:32:19.518000,7.52,-0.018,0.664,-0.067
1697117539598,2023-10-12T13:32:19.598000,7.6,-0.016,0.867,-0.11
1697117539678,2023-10-12T13:32:19.678000,7.68,0.027,1.07,-0.029
1697117539758,2023-10-12T13:32:19.758000,7.76,0.031,1.043,0.0
1697117539838,2023-10-12T13:32:19.838000,7.84,0.048,0.972,-0.02
1697117539918,2023-10-12T13:32:19.918000,7.92,0.048,0.944,-0.039
1697117539998,2023-10-12T13:32:19.998000,8.0,0.045,0.944,-0.009
1697117540078,2023-10-12T13:32:20.078000,8.08,0.047,0.986,-0.028
1697117540158,2023-10-12T13:32:20.158000,8.16,0.035,0.999,-0.014
1697117540238,2023-10-12T13:32:20.238000,8.24,0.007,0.976,-0.015
1697117540318,2023-10-12T13:32:20.318000,8.32,0.013,0.978,-0.023
1697117540398,2023-10-12T13:32:20.398000,8.4,-0.004,0.971,0.013
1697117540478,2023-10-12T13:32:20.478000,8.48,-0.003,0.897,-0.043
1697117540558,2023-10-12T13:32:20.558000,8.56,-0.032,0.822,-0.031
1697117540638,2023-10-12T13:32:20.638000,8.64,-0.061,0.837,-0.069
1697117540718,2023-10-12T13:32:20.718000,8.72,-0.081,0.877,-0.059
1697117540798,2023-10-12T13:32:20.798000,8.8,-0.116,0.865,-0.045
1697117540878,2023-10-12T13:32:20.878000,8.88,-0.152,0.868,-0.102
1697117540958,2023-10-12T13:32:20.958000,8.96,-0.185,0.863,-0.091
1697117541038,2023-10-12T13:32:21.038000,9.04,-0.21,0.926,-0.112
1697117541118,2023-10-12T13:32:21.118000,9.12,-0.245,0.949,-0.058
1697117541198,2023-10-12T13:32:21.198000,9.2,-0.232,0.964,-0.122
1697117541278,2023-10-12T13:32:21.278000,9.28,-0.23,0.996,-0.091
1697117541358,2023-10-12T13:32:21.358000,9.36,-0.277,1.313,-0.067
1697117541438,2023-10-12T13:32:21.438000,9.44,-0.321,1.601,0.012
1697117541518,2023-10-12T13:32:21.518000,9.52,-0.282,1.295,-0.034
1697117541598,2023-10-12T13:32:21.598000,9.6,-0.221,0.993,-0.086
1697117541678,2023-10-12T13:32:21.678000,9.68,-0.244,0.979,-0.111
