epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697118687607,2023-10-12T13:51:27.607000,0.0,0.047,1.118,0.385
1697118687687,2023-10-12T13:51:27.687000,0.08,0.025,1.57,0.512
1697118687767,2023-10-12T13:51:27.767000,0.16,-0.059,1.722,0.542
1697118687847,2023-10-12T13:51:27.847000,0.24,-0.202,1.443,0.367
1697118687927,2023-10-12T13:51:27.927000,0.32,-0.21,1.03,0.261
1697118688007,2023-10-12T13:51:28.007000,0.4,-0.211,0.826,0.176
1697118688087,2023-10-12T13:51:28.087000,0.48,-0.222,0.732,0.109
1697118688167,2023-10-12T13:51:28.167000,0.56,-0.225,0.733,0.093
1697118688247,2023-10-12T13:51:28.247000,0.64,-0.077,0.546,0.184
1697118688327,2023-10-12T13:51:28.327000,0.72,-0.146,0.295,-0.188
1697118688407,2023-10-12T13:51:28.407000,0.8,-0.061,0.586,0.22
1697118688487,2023-10-12T13:51:28.487000,0.88,0.04,0.936,0.082
1697118688567,2023-10-12T13:51:28.567000,0.96,0.046,1.022,0.107
1697118688647,2023-10-12T13:51:28.647000,1.04,0.023,0.964,0.056
1697118688727,2023-10-12T13:51:28.727000,1.12,0.014,0.937,0.157
1697118688807,2023-10-12T13:51:28.807000,1.2,0.008,0.982,0.12
1697118688887,2023-10-12T13:51:28.887000,1.28,0.022,0.965,0.137
1697118688967,2023-10-12T13:51:28.967000,1.36,0.009,0.929,0.123
1697118689047,2023-10-12T13:51:29.047000,1.44,0.047,0.966,0.09
1697118689127,2023-10-12T13:51:29.127000,1.52,0.028,0.955,0.076
1697118689207,2023-10-12T13:51:29.207000,1.6,-0.01,0.857,0.049
1697118689287,2023-10-12T13:51:29.287000,1.68,-0.036,0.769,0.052
1697118689367,2023-10-12T13:51:29.367000,1.76,-0.044,0.765,0.023
1697118689447,2023-10-12T13:51:29.447000,1.84,-0.108,0.83,0.093
1697118689527,2023-10-12T13:51:29.527000,1.92,-0.218,0.861,0.121
1697118689607,2023-10-12T13:51:29.607000,2.0,-0.246,0.908,0.096
1697118689687,2023-10-12T13:51:29.687000,2.08,-0.309,0.895,0.14
1697118689767,2023-10-12T13:51:29.767000,2.16,-0.32,0.91,0.101
1697118689847,2023-10-12T13:51:29.847000,2.24,-0.339,0.951,0.159
1697118689927,2023-10-12T13:51:29.927000,2.32,-0.353,0.99,0.153
1697118690007,2023-10-12T13:51:30.007000,2.4,-0.317,1.004,0.113
1697118690087,2023-10-12T13:51:30.087000,2.48,-0.301,1.013,0.15
1697118690167,2023-10-12T13:51:30.167000,2.56,-0.227,0.98,0.112
1697118690247,2023-10-12T13:51:30.247000,2.64,-0.16,1.0,0.102
1697118690327,2023-10-12T13:51:30.327000,2.72,-0.12,1.006,0.155
1697118690407,2023-10-12T13:51:30.407000,2.8,-0.041,1.033,0.151
1697118690487,2023-10-12T13:51:30.487000,2.88,-0.05,1.118,0.238
1697118690567,2023-10-12T13:51:30.567000,2.96,0.013,1.127,0.232
1697118690647,2023-10-12T13:51:30.647000,3.04,0.051,1.015,0.18
1697118690727,2023-10-12T13:51:30.727000,3.12,0.039,0.923,0.173
1697118690807,2023-10-12T13:51:30.807000,3.2,0.021,0.919,0.173
1697118690887,2023-10-12T13:51:30.887000,3.28,0.024,0.937,0.183
1697118690967,2023-10-12T13:51:30.967000,3.36,0.024,1.168,0.202
1697118691047,2023-10-12T13:51:31.047000,3.44,-0.078,1.471,0.293
1697118691127,2023-10-12T13:51:31.127000,3.52,-0.186,1.403,0.214
1697118691207,2023-10-12T13:51:31.207000,3.6,-0.266,1.126,0.226
1697118691287,2023-10-12T13:51:31.287000,3.68,-0.332,1.012,0.094
1697118691367,2023-10-12T13:51:31.367000,3.76,-0.337,0.902,0.08
1697118691447,2023-10-12T13:51:31.447000,3.84,-0.305,0.845,0.066
1697118691527,2023-10-12T13:51:31.527000,3.92,-0.258,0.806,0.066
1697118691607,2023-10-12T13:51:31.607000,4.0,-0.146,0.763,0.104
1697118691687,2023-10-12T13:51:31.687000,4.08,-0.045,0.517,0.085
1697118691767,2023-10-12T13:51:31.767000,4.16,-0.067,0.476,-0.136
1697118691847,2023-10-12T13:51:31.847000,4.24,-0.037,0.813,0.197
1697118691927,2023-10-12T13:51:31.927000,4.32,0.046,1.051,0.108
1697118692007,2023-10-12T13:51:32.007000,4.4,-0.017,0.99,0.182
1697118692087,2023-10-12T13:51:32.087000,4.48,-0.021,0.914,0.075
1697118692167,2023-10-12T13:51:32.167000,4.56,-0.021,0.946,0.095
1697118692247,2023-10-12T13:51:32.247000,4.64,-0.035,0.982,0.122
1697118692327,2023-10-12T13:51:32.327000,4.72,-0.058,0.942,0.077
1697118692407,2023-10-12T13:51:32.407000,4.8,-0.077,0.843,0.039
1697118692487,2023-10-12T13:51:32.487000,4.88,-0.09,0.777,0.02
1697118692567,2023-10-12T13:51:32.567000,4.96,-0.107,0.826,0.012
1697118692647,2023-10-12T13:51:32.647000,5.04,-0.17,0.839,0.065
1697118692727,2023-10-12T13:51:32.727000,5.12,-0.205,0.896,-0.024
1697118692807,2023-10-12T13:51:32.807000,5.2,-0.254,0.892,-0.012
1697118692887,2023-10-12T13:51:32.887000,5.28,-0.304,0.88,0.033
1697118692967,2023-10-12T13:51:32.967000,5.36,-0.279,0.866,-0.008
1697118693047,2023-10-12T13:51:33.047000,5.44,-0.297,0.93,-0.011
1697118693127,2023-10-12T13:51:33.127000,5.52,-0.311,0.989,0.015
1697118693207,2023-10-12T13:51:33.207000,5.6,-0.288,1.001,0.065
1697118693287,2023-10-12T13:51:33.287000,5.68,-0.291,1.02,0.072
1697118693367,2023-10-12T13:51:33.367000,5.76,-0.223,1.041,0.099
1697118693447,2023-10-12T13:51:33.447000,5.84,-0.149,1.017,0.104
1697118693527,2023-10-12T13:51:33.527000,5.92,-0.092,1.037,0.116
1697118693607,2023-10-12T13:51:33.607000,6.0,-0.048,1.127,0.175
1697118693687,2023-10-12T13:51:33.687000,6.08,-0.009,1.188,0.206
1697118693767,2023-10-12T13:51:33.767000,6.16,0.013,1.088,0.223
1697118693847,2023-10-12T13:51:33.847000,6.24,0.036,0.929,0.177
1697118693927,2023-10-12T13:51:33.927000,6.32,0.025,0.885,0.183
1697118694007,2023-10-12T13:51:34.007000,6.4,0.014,0.901,0.197
1697118694087,2023-10-12T13:51:34.087000,6.48,0.033,0.97,0.188
1697118694167,2023-10-12T13:51:34.167000,6.56,-0.023,1.35,0.27
1697118694247,2023-10-12T13:51:34.247000,6.64,-0.16,1.554,0.31
1697118694327,2023-10-12T13:51:34.327000,6.72,-0.189,1.254,0.209
1697118694407,2023-10-12T13:51:34.407000,6.8,-0.228,1.021,0.187
1697118694487,2023-10-12T13:51:34.487000,6.88,-0.339,0.883,0.131
1697118694567,2023-10-12T13:51:34.567000,6.96,-0.353,0.835,0.039
1697118694647,2023-10-12T13:51:34.647000,7.04,-0.309,0.776,0.106
1697118694727,2023-10-12T13:51:34.727000,7.12,-0.272,0.798,0.056
