epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697118687323,2023-10-12T13:51:27.323000,0.0,7.561,-1.22,1.341
1697118687363,2023-10-12T13:51:27.363000,0.04,7.073,-1.829,0.976
1697118687403,2023-10-12T13:51:27.403000,0.08,2.256,1.22,-2.561
1697118687443,2023-10-12T13:51:27.443000,0.12,-1.28,1.768,-8.841
1697118687483,2023-10-12T13:51:27.483000,0.16,-0.549,1.402,-8.902
1697118687523,2023-10-12T13:51:27.523000,0.2,-2.683,4.085,0.366
1697118687563,2023-10-12T13:51:27.563000,0.24,-6.768,-2.561,4.085
1697118687603,2023-10-12T13:51:27.603000,0.28,-7.622,0.488,0.793
1697118687643,2023-10-12T13:51:27.643000,0.32,2.195,1.341,-6.524
1697118687683,2023-10-12T13:51:27.683000,0.36,18.171,3.598,-15.0
1697118687723,2023-10-12T13:51:27.723000,0.4,38.476,12.622,-31.402
1697118687763,2023-10-12T13:51:27.763000,0.44,60.488,28.171,-66.646
1697118687803,2023-10-12T13:51:27.803000,0.48,72.988,42.988,-90.732
1697118687843,2023-10-12T13:51:27.843000,0.52,79.512,62.439,-95.427
1697118687883,2023-10-12T13:51:27.883000,0.56,63.415,47.195,-99.268
1697118687923,2023-10-12T13:51:27.923000,0.6,25.366,30.366,-89.451
1697118687963,2023-10-12T13:51:27.963000,0.64,-17.561,67.622,-50.305
1697118688003,2023-10-12T13:51:28.003000,0.68,-52.988,70.244,-14.085
1697118688043,2023-10-12T13:51:28.043000,0.72,-70.793,56.22,20.122
1697118688083,2023-10-12T13:51:28.083000,0.76,-80.671,41.402,42.927
1697118688123,2023-10-12T13:51:28.123000,0.8,-82.134,48.537,64.573
1697118688163,2023-10-12T13:51:28.163000,0.84,-81.402,52.5,89.146
1697118688203,2023-10-12T13:51:28.203000,0.88,-75.61,33.659,112.622
1697118688243,2023-10-12T13:51:28.243000,0.92,-27.134,27.439,129.268
1697118688283,2023-10-12T13:51:28.283000,0.96,77.073,-56.28,99.573
1697118688323,2023-10-12T13:51:28.323000,1.0,103.171,-98.293,55.061
1697118688363,2023-10-12T13:51:28.363000,1.04,35.671,-9.512,37.317
1697118688403,2023-10-12T13:51:28.403000,1.08,10.427,12.805,13.415
1697118688443,2023-10-12T13:51:28.443000,1.12,15.732,-13.171,7.012
1697118688483,2023-10-12T13:51:28.483000,1.16,14.817,-22.134,-10.366
1697118688523,2023-10-12T13:51:28.523000,1.2,-4.573,5.854,-4.939
1697118688563,2023-10-12T13:51:28.563000,1.24,-3.537,2.012,9.207
1697118688603,2023-10-12T13:51:28.603000,1.28,3.537,-12.317,5.671
1697118688643,2023-10-12T13:51:28.643000,1.32,-2.5,-4.207,-5.061
1697118688683,2023-10-12T13:51:28.683000,1.36,-11.159,14.512,-5.732
1697118688723,2023-10-12T13:51:28.723000,1.4,-0.61,13.11,-1.22
1697118688763,2023-10-12T13:51:28.763000,1.44,11.951,-4.085,-6.037
1697118688803,2023-10-12T13:51:28.803000,1.48,12.805,-2.317,-0.793
1697118688843,2023-10-12T13:51:28.843000,1.52,13.659,-1.22,5.488
1697118688883,2023-10-12T13:51:28.883000,1.56,12.866,-3.72,7.012
1697118688923,2023-10-12T13:51:28.923000,1.6,6.89,-3.232,4.878
1697118688963,2023-10-12T13:51:28.963000,1.64,4.085,-1.341,0.366
1697118689003,2023-10-12T13:51:29.003000,1.68,4.268,-3.963,0.976
1697118689043,2023-10-12T13:51:29.043000,1.72,1.829,-2.073,-0.671
1697118689083,2023-10-12T13:51:29.083000,1.76,-1.768,-9.024,-4.939
1697118689123,2023-10-12T13:51:29.123000,1.8,-4.268,-7.988,-17.744
1697118689163,2023-10-12T13:51:29.163000,1.84,-11.524,-8.415,-32.744
1697118689203,2023-10-12T13:51:29.203000,1.88,-13.232,-7.134,-37.256
1697118689243,2023-10-12T13:51:29.243000,1.92,-14.634,0.305,-45.305
1697118689283,2023-10-12T13:51:29.283000,1.96,-2.622,2.195,-53.293
