epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697225838295,2023-10-13T19:37:18.295000,0.0,0.014,-0.957,-0.215
1697225838375,2023-10-13T19:37:18.375000,0.08,-0.033,-0.873,-0.363
1697225838455,2023-10-13T19:37:18.455000,0.16,0.041,-1.0,-0.182
1697225838535,2023-10-13T19:37:18.535000,0.24,0.147,-1.07,-0.197
1697225838615,2023-10-13T19:37:18.615000,0.32,0.11,-1.007,-0.336
1697225838695,2023-10-13T19:37:18.695000,0.4,0.12,-1.111,-0.134
1697225838775,2023-10-13T19:37:18.775000,0.48,0.179,-1.146,-0.289
1697225838855,2023-10-13T19:37:18.855000,0.56,-0.026,-0.896,-0.204
1697225838935,2023-10-13T19:37:18.935000,0.64,0.01,-1.002,-0.139
1697225839015,2023-10-13T19:37:19.015000,0.72,0.075,-1.221,-0.112
1697225839095,2023-10-13T19:37:19.095000,0.8,0.101,-1.256,-0.126
1697225839175,2023-10-13T19:37:19.175000,0.88,0.064,-1.241,-0.102
1697225839255,2023-10-13T19:37:19.255000,0.96,0.049,-1.221,-0.122
1697225839335,2023-10-13T19:37:19.335000,1.04,0.076,-1.194,-0.134
1697225839415,2023-10-13T19:37:19.415000,1.12,0.061,-1.117,-0.112
1697225839495,2023-10-13T19:37:19.495000,1.2,0.041,-1.075,-0.11
1697225839575,2023-10-13T19:37:19.575000,1.28,0.033,-1.047,-0.091
1697225839655,2023-10-13T19:37:19.655000,1.36,0.016,-0.985,-0.048
1697225839735,2023-10-13T19:37:19.735000,1.44,0.054,-0.926,-0.056
1697225839815,2023-10-13T19:37:19.815000,1.52,0.054,-0.794,-0.023
1697225839895,2023-10-13T19:37:19.895000,1.6,0.029,-0.545,0.199
1697225839975,2023-10-13T19:37:19.975000,1.68,0.117,-0.627,0.288
1697225840055,2023-10-13T19:37:20.055000,1.76,0.02,-0.843,0.24
1697225840135,2023-10-13T19:37:20.135000,1.84,0.042,-1.035,0.33
1697225840215,2023-10-13T19:37:20.215000,1.92,0.042,-0.921,0.306
1697225840295,2023-10-13T19:37:20.295000,2.0,0.071,-0.806,0.227
1697225840375,2023-10-13T19:37:20.375000,2.08,0.082,-0.827,0.174
1697225840455,2023-10-13T19:37:20.455000,2.16,0.013,-0.889,0.128
1697225840535,2023-10-13T19:37:20.535000,2.24,0.047,-0.951,0.072
1697225840615,2023-10-13T19:37:20.615000,2.32,0.099,-1.004,0.027
1697225840695,2023-10-13T19:37:20.695000,2.4,0.031,-1.022,-0.049
1697225840775,2023-10-13T19:37:20.775000,2.48,0.091,-1.059,-0.072
1697225840855,2023-10-13T19:37:20.855000,2.56,0.048,-1.06,0.008
1697225840935,2023-10-13T19:37:20.935000,2.64,0.066,-1.007,-0.094
1697225841015,2023-10-13T19:37:21.015000,2.72,0.067,-1.01,-0.017
1697225841095,2023-10-13T19:37:21.095000,2.8,0.033,-1.011,-0.051
1697225841175,2023-10-13T19:37:21.175000,2.88,0.038,-1.04,-0.066
1697225841255,2023-10-13T19:37:21.255000,2.96,0.041,-1.084,-0.025
1697225841335,2023-10-13T19:37:21.335000,3.04,0.038,-1.11,-0.051
1697225841415,2023-10-13T19:37:21.415000,3.12,0.015,-1.17,-0.041
1697225841495,2023-10-13T19:37:21.495000,3.2,0.013,-1.142,-0.112
1697225841575,2023-10-13T19:37:21.575000,3.28,0.249,-1.521,-0.033
1697225841655,2023-10-13T19:37:21.655000,3.36,0.061,-1.042,-0.164
1697225841735,2023-10-13T19:37:21.735000,3.44,0.018,-1.212,-0.021
1697225841815,2023-10-13T19:37:21.815000,3.52,0.05,-1.343,-0.079
1697225841895,2023-10-13T19:37:21.895000,3.6,0.051,-1.287,-0.093
1697225841975,2023-10-13T19:37:21.975000,3.68,0.057,-1.229,-0.06
1697225842055,2023-10-13T19:37:22.055000,3.76,0.048,-1.184,-0.123
1697225842135,2023-10-13T19:37:22.135000,3.84,0.055,-1.131,-0.077
1697225842215,2023-10-13T19:37:22.215000,3.92,0.044,-1.079,-0.06
1697225842295,2023-10-13T19:37:22.295000,4.0,0.09,-1.028,-0.012
1697225842375,2023-10-13T19:37:22.375000,4.08,0.013,-0.86,-0.024
1697225842455,2023-10-13T19:37:22.455000,4.16,0.048,-0.663,0.048
1697225842535,2023-10-13T19:37:22.535000,4.24,0.084,-0.462,0.182
1697225842615,2023-10-13T19:37:22.615000,4.32,0.052,-0.607,0.292
1697225842695,2023-10-13T19:37:22.695000,4.4,0.001,-0.926,0.233
1697225842775,2023-10-13T19:37:22.775000,4.48,0.036,-1.027,0.35
1697225842855,2023-10-13T19:37:22.855000,4.56,0.019,-0.895,0.343
1697225842935,2023-10-13T19:37:22.935000,4.64,0.04,-0.818,0.254
1697225843015,2023-10-13T19:37:23.015000,4.72,0.042,-0.839,0.186
1697225843095,2023-10-13T19:37:23.095000,4.8,0.046,-0.89,0.126
1697225843175,2023-10-13T19:37:23.175000,4.88,0.069,-0.942,0.054
1697225843255,2023-10-13T19:37:23.255000,4.96,0.036,-0.977,0.035
1697225843335,2023-10-13T19:37:23.335000,5.04,0.031,-1.022,-0.032
1697225843415,2023-10-13T19:37:23.415000,5.12,0.061,-1.012,-0.026
1697225843495,2023-10-13T19:37:23.495000,5.2,0.055,-1.001,-0.068
1697225843575,2023-10-13T19:37:23.575000,5.28,0.027,-1.031,-0.064
1697225843655,2023-10-13T19:37:23.655000,5.36,0.062,-1.02,-0.041
1697225843735,2023-10-13T19:37:23.735000,5.44,0.046,-1.042,-0.077
1697225843815,2023-10-13T19:37:23.815000,5.52,0.057,-1.096,-0.005
1697225843895,2023-10-13T19:37:23.895000,5.6,-0.018,-1.17,-0.079
1697225843975,2023-10-13T19:37:23.975000,5.68,0.139,-1.106,-0.063
1697225844055,2023-10-13T19:37:24.055000,5.76,0.039,-1.334,-0.078
1697225844135,2023-10-13T19:37:24.135000,5.84,0.18,-1.501,-0.086
1697225844215,2023-10-13T19:37:24.215000,5.92,0.154,-1.089,-0.056
1697225844295,2023-10-13T19:37:24.295000,6.0,0.013,-1.223,-0.062
1697225844375,2023-10-13T19:37:24.375000,6.08,0.045,-1.3,-0.052
1697225844455,2023-10-13T19:37:24.455000,6.16,0.064,-1.235,-0.061
1697225844535,2023-10-13T19:37:24.535000,6.24,0.072,-1.167,-0.063
1697225844615,2023-10-13T19:37:24.615000,6.32,0.039,-1.149,-0.072
1697225844695,2023-10-13T19:37:24.695000,6.4,0.07,-1.097,-0.045
1697225844775,2023-10-13T19:37:24.775000,6.48,0.025,-1.045,-0.022
1697225844855,2023-10-13T19:37:24.855000,6.56,0.04,-0.958,-0.004
1697225844935,2023-10-13T19:37:24.935000,6.64,0.065,-0.871,0.055
1697225845015,2023-10-13T19:37:25.015000,6.72,0.03,-0.815,0.042
1697225845095,2023-10-13T19:37:25.095000,6.8,0.048,-0.622,0.155
1697225845175,2023-10-13T19:37:25.175000,6.88,0.088,-0.596,0.376
1697225845255,2023-10-13T19:37:25.255000,6.96,0.052,-0.788,0.265
1697225845335,2023-10-13T19:37:25.335000,7.04,0.061,-0.938,0.351
1697225845415,2023-10-13T19:37:25.415000,7.12,0.061,-0.966,0.459
1697225845495,2023-10-13T19:37:25.495000,7.2,0.024,-0.903,0.346
1697225845575,2023-10-13T19:37:25.575000,7.28,0.079,-0.841,0.232
1697225845655,2023-10-13T19:37:25.655000,7.36,0.058,-0.854,0.185
1697225845735,2023-10-13T19:37:25.735000,7.44,0.041,-0.899,0.145
1697225845815,2023-10-13T19:37:25.815000,7.52,0.039,-0.935,0.053
1697225845895,2023-10-13T19:37:25.895000,7.6,0.039,-0.979,0.004
1697225845975,2023-10-13T19:37:25.975000,7.68,0.007,-0.994,-0.029
1697225846055,2023-10-13T19:37:26.055000,7.76,0.057,-1.013,-0.022
1697225846135,2023-10-13T19:37:26.135000,7.84,0.037,-0.971,-0.076
1697225846215,2023-10-13T19:37:26.215000,7.92,0.019,-1.022,-0.056
1697225846295,2023-10-13T19:37:26.295000,8.0,0.023,-1.019,-0.065
1697225846375,2023-10-13T19:37:26.375000,8.08,0.032,-1.07,-0.096
1697225846455,2023-10-13T19:37:26.455000,8.16,0.027,-1.086,-0.059
1697225846535,2023-10-13T19:37:26.535000,8.24,0.01,-1.132,-0.063
1697225846615,2023-10-13T19:37:26.615000,8.32,0.011,-1.176,-0.097
1697225846695,2023-10-13T19:37:26.695000,8.4,0.031,-1.373,-0.193
1697225846775,2023-10-13T19:37:26.775000,8.48,0.3,-1.459,-0.085
1697225846855,2023-10-13T19:37:26.855000,8.56,-0.025,-1.055,-0.186
1697225846935,2023-10-13T19:37:26.935000,8.64,-0.007,-1.306,-0.04
1697225847015,2023-10-13T19:37:27.015000,8.72,0.045,-1.261,-0.042
1697225847095,2023-10-13T19:37:27.095000,8.8,0.02,-1.195,-0.109
1697225847175,2023-10-13T19:37:27.175000,8.88,0.028,-1.184,-0.077
1697225847255,2023-10-13T19:37:27.255000,8.96,0.04,-1.141,-0.063
1697225847335,2023-10-13T19:37:27.335000,9.04,0.024,-1.098,-0.089
1697225847415,2023-10-13T19:37:27.415000,9.12,0.005,-1.013,-0.055
1697225847495,2023-10-13T19:37:27.495000,9.2,0.03,-0.944,0.013
1697225847575,2023-10-13T19:37:27.575000,9.28,0.052,-0.875,-0.04
1697225847655,2023-10-13T19:37:27.655000,9.36,0.04,-0.746,0.051
1697225847735,2023-10-13T19:37:27.735000,9.44,0.043,-0.568,0.199
1697225847815,2023-10-13T19:37:27.815000,9.52,0.089,-0.688,0.268
1697225847895,2023-10-13T19:37:27.895000,9.6,0.04,-0.879,0.297
1697225847975,2023-10-13T19:37:27.975000,9.68,0.034,-0.993,0.385
1697225848055,2023-10-13T19:37:28.055000,9.76,0.043,-0.958,0.408
1697225848135,2023-10-13T19:37:28.135000,9.84,0.042,-0.853,0.265
1697225848215,2023-10-13T19:37:28.215000,9.92,0.083,-0.793,0.215
1697225848295,2023-10-13T19:37:28.295000,10.0,0.037,-0.836,0.135
1697225848375,2023-10-13T19:37:28.375000,10.08,0.034,-0.903,0.102
1697225848455,2023-10-13T19:37:28.455000,10.16,0.039,-0.968,0.031
1697225848535,2023-10-13T19:37:28.535000,10.24,0.067,-1.034,0.033
1697225848615,2023-10-13T19:37:28.615000,10.32,0.01,-1.036,-0.063
1697225848695,2023-10-13T19:37:28.695000,10.4,0.02,-1.011,-0.054
1697225848775,2023-10-13T19:37:28.775000,10.48,0.015,-0.998,-0.07
1697225848855,2023-10-13T19:37:28.855000,10.56,0.031,-1.013,-0.083
1697225848935,2023-10-13T19:37:28.935000,10.64,-0.002,-1.049,-0.095
1697225849015,2023-10-13T19:37:29.015000,10.72,0.006,-1.054,-0.059
1697225849095,2023-10-13T19:37:29.095000,10.8,0.015,-1.076,-0.077
1697225849175,2023-10-13T19:37:29.175000,10.88,0.023,-1.149,-0.037
1697225849255,2023-10-13T19:37:29.255000,10.96,0.088,-1.111,-0.098
1697225849335,2023-10-13T19:37:29.335000,11.04,0.099,-1.583,-0.103
1697225849415,2023-10-13T19:37:29.415000,11.12,0.191,-1.463,-0.125
1697225849495,2023-10-13T19:37:29.495000,11.2,-0.038,-1.134,-0.063
1697225849575,2023-10-13T19:37:29.575000,11.28,0.038,-1.235,-0.017
1697225849655,2023-10-13T19:37:29.655000,11.36,0.04,-1.191,-0.045
1697225849735,2023-10-13T19:37:29.735000,11.44,0.018,-1.148,-0.076
1697225849815,2023-10-13T19:37:29.815000,11.52,0.025,-1.13,-0.049
1697225849895,2023-10-13T19:37:29.895000,11.6,0.021,-1.054,-0.07
1697225849975,2023-10-13T19:37:29.975000,11.68,0.045,-1.023,-0.05
1697225850055,2023-10-13T19:37:30.055000,11.76,0.034,-0.97,-0.029
1697225850135,2023-10-13T19:37:30.135000,11.84,0.039,-0.886,0.1
1697225850215,2023-10-13T19:37:30.215000,11.92,0.073,-0.798,0.062
1697225850295,2023-10-13T19:37:30.295000,12.0,0.056,-0.738,0.16
1697225850375,2023-10-13T19:37:30.375000,12.08,0.022,-0.725,0.268
1697225850455,2023-10-13T19:37:30.455000,12.16,0.047,-0.817,0.332
1697225850535,2023-10-13T19:37:30.535000,12.24,0.053,-0.877,0.323
1697225850615,2023-10-13T19:37:30.615000,12.32,0.041,-0.923,0.418
1697225850695,2023-10-13T19:37:30.695000,12.4,0.013,-0.928,0.379
