epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697225295467,2023-10-13T19:28:15.467000,0.0,-0.61,12.561,1.524
1697225295507,2023-10-13T19:28:15.507000,0.04,-0.305,14.268,1.829
1697225295547,2023-10-13T19:28:15.547000,0.08,1.707,10.671,1.463
1697225295587,2023-10-13T19:28:15.587000,0.12,4.451,11.707,-0.976
1697225295627,2023-10-13T19:28:15.627000,0.16,8.171,4.512,-4.512
1697225295667,2023-10-13T19:28:15.667000,0.2,10.671,-4.634,-5.305
1697225295707,2023-10-13T19:28:15.707000,0.24,7.5,-1.159,-3.537
1697225295747,2023-10-13T19:28:15.747000,0.28,6.402,-6.402,-2.622
1697225295787,2023-10-13T19:28:15.787000,0.32,9.146,-13.659,-3.11
1697225295827,2023-10-13T19:28:15.827000,0.36,7.744,-5.0,-2.927
1697225295867,2023-10-13T19:28:15.867000,0.4,6.524,-7.5,-5.61
1697225295907,2023-10-13T19:28:15.907000,0.44,7.134,-13.232,-4.329
1697225295947,2023-10-13T19:28:15.947000,0.48,3.598,5.732,-0.183
1697225295987,2023-10-13T19:28:15.987000,0.52,8.72,-0.61,-0.61
1697225296027,2023-10-13T19:28:16.027000,0.56,18.293,5.61,1.098
1697225296067,2023-10-13T19:28:16.067000,0.6,19.756,15.854,4.207
1697225296107,2023-10-13T19:28:16.107000,0.64,21.768,5.0,6.707
1697225296147,2023-10-13T19:28:16.147000,0.68,20.732,-12.134,6.89
1697225296187,2023-10-13T19:28:16.187000,0.72,15.183,-5.854,9.146
1697225296227,2023-10-13T19:28:16.227000,0.76,15.427,-3.354,9.39
1697225296267,2023-10-13T19:28:16.267000,0.8,16.524,-10.854,10.427
1697225296307,2023-10-13T19:28:16.307000,0.84,21.037,-15.732,-2.805
1697225296347,2023-10-13T19:28:16.347000,0.88,13.598,-7.195,-2.561
1697225296387,2023-10-13T19:28:16.387000,0.92,11.89,-12.561,4.695
1697225296427,2023-10-13T19:28:16.427000,0.96,12.988,-15.0,-0.488
1697225296467,2023-10-13T19:28:16.467000,1.0,3.659,-4.817,-2.805
1697225296507,2023-10-13T19:28:16.507000,1.04,6.829,-8.902,1.402
1697225296547,2023-10-13T19:28:16.547000,1.08,10.793,-20.305,-2.866
1697225296587,2023-10-13T19:28:16.587000,1.12,5.732,-2.5,-2.5
1697225296627,2023-10-13T19:28:16.627000,1.16,10.122,-0.488,-0.793
1697225296667,2023-10-13T19:28:16.667000,1.2,14.39,-11.402,-0.183
1697225296707,2023-10-13T19:28:16.707000,1.24,15.0,-12.317,4.146
1697225296747,2023-10-13T19:28:16.747000,1.28,17.927,-13.11,3.963
1697225296787,2023-10-13T19:28:16.787000,1.32,17.683,-5.915,-0.915
1697225296827,2023-10-13T19:28:16.827000,1.36,20.305,-7.378,-1.951
1697225296867,2023-10-13T19:28:16.867000,1.4,27.317,-17.195,-5.0
1697225296907,2023-10-13T19:28:16.907000,1.44,26.098,-10.366,-1.951
1697225296947,2023-10-13T19:28:16.947000,1.48,25.793,0.61,0.183
1697225296987,2023-10-13T19:28:16.987000,1.52,38.72,-2.317,1.707
1697225297027,2023-10-13T19:28:17.027000,1.56,52.317,-5.793,-3.171
1697225297067,2023-10-13T19:28:17.067000,1.6,61.646,-17.317,-10.549
1697225297107,2023-10-13T19:28:17.107000,1.64,63.049,-10.732,-6.037
1697225297147,2023-10-13T19:28:17.147000,1.68,68.232,-20.305,4.939
1697225297187,2023-10-13T19:28:17.187000,1.72,73.049,-22.561,8.598
1697225297227,2023-10-13T19:28:17.227000,1.76,73.598,-24.207,6.951
1697225297267,2023-10-13T19:28:17.267000,1.8,57.622,-4.878,7.134
1697225297307,2023-10-13T19:28:17.307000,1.84,43.537,-2.927,4.39
1697225297347,2023-10-13T19:28:17.347000,1.88,26.585,5.793,7.622
1697225297387,2023-10-13T19:28:17.387000,1.92,16.646,3.537,4.939
1697225297427,2023-10-13T19:28:17.427000,1.96,10.61,-0.305,3.659
1697225297467,2023-10-13T19:28:17.467000,2.0,0.793,0.671,3.354
1697225297507,2023-10-13T19:28:17.507000,2.04,-6.341,2.622,0.427
1697225297547,2023-10-13T19:28:17.547000,2.08,-8.171,-1.768,-0.427
1697225297587,2023-10-13T19:28:17.587000,2.12,-13.049,-0.854,-2.073
1697225297627,2023-10-13T19:28:17.627000,2.16,-20.183,7.683,-2.256
1697225297667,2023-10-13T19:28:17.667000,2.2,-22.134,0.061,-0.549
1697225297707,2023-10-13T19:28:17.707000,2.24,-27.317,1.098,0.366
1697225297747,2023-10-13T19:28:17.747000,2.28,-32.439,1.463,2.622
1697225297787,2023-10-13T19:28:17.787000,2.32,-30.61,-15.122,1.524
1697225297827,2023-10-13T19:28:17.827000,2.36,-35.244,-17.683,-1.646
1697225297867,2023-10-13T19:28:17.867000,2.4,-43.598,-9.695,-1.341
1697225297907,2023-10-13T19:28:17.907000,2.44,-47.317,-17.622,-1.22
1697225297947,2023-10-13T19:28:17.947000,2.48,-51.646,-11.22,-0.976
1697225297987,2023-10-13T19:28:17.987000,2.52,-48.232,-16.585,-1.768
1697225298027,2023-10-13T19:28:18.027000,2.56,-53.11,-2.073,-0.61
1697225298067,2023-10-13T19:28:18.067000,2.6,-50.915,-3.476,0.549
1697225298107,2023-10-13T19:28:18.107000,2.64,-48.354,1.402,1.524
1697225298147,2023-10-13T19:28:18.147000,2.68,-34.39,-9.878,5.183
1697225298187,2023-10-13T19:28:18.187000,2.72,-26.829,-5.671,4.573
1697225298227,2023-10-13T19:28:18.227000,2.76,-15.0,-18.537,5.61
1697225298267,2023-10-13T19:28:18.267000,2.8,-16.402,-1.89,2.805
1697225298307,2023-10-13T19:28:18.307000,2.84,-6.768,-6.646,3.415
1697225298347,2023-10-13T19:28:18.347000,2.88,-4.573,-0.976,9.573
1697225298387,2023-10-13T19:28:18.387000,2.92,-0.244,-10.732,7.744
1697225298427,2023-10-13T19:28:18.427000,2.96,2.134,-6.646,3.11
1697225298467,2023-10-13T19:28:18.467000,3.0,6.585,3.963,2.256
1697225298507,2023-10-13T19:28:18.507000,3.04,8.78,-2.439,1.098
1697225298547,2023-10-13T19:28:18.547000,3.08,5.732,5.549,4.878
1697225298587,2023-10-13T19:28:18.587000,3.12,8.902,3.049,2.744
1697225298627,2023-10-13T19:28:18.627000,3.16,12.866,-0.976,4.39
1697225298667,2023-10-13T19:28:18.667000,3.2,11.159,-2.744,8.415
1697225298707,2023-10-13T19:28:18.707000,3.24,1.463,22.134,5.61
1697225298747,2023-10-13T19:28:18.747000,3.28,2.134,9.756,5.793
1697225298787,2023-10-13T19:28:18.787000,3.32,2.134,5.793,4.573
1697225298827,2023-10-13T19:28:18.827000,3.36,0.61,5.0,-0.793
1697225298867,2023-10-13T19:28:18.867000,3.4,-3.902,12.866,-1.22
1697225298907,2023-10-13T19:28:18.907000,3.44,-4.268,-0.183,0.366
1697225298947,2023-10-13T19:28:18.947000,3.48,-8.841,-17.195,-3.537
1697225298987,2023-10-13T19:28:18.987000,3.52,-12.988,-7.744,-12.561
1697225299027,2023-10-13T19:28:19.027000,3.56,-16.402,30.488,-0.488
1697225299067,2023-10-13T19:28:19.067000,3.6,10.915,-35.915,-21.098
1697225299107,2023-10-13T19:28:19.107000,3.64,4.878,-9.207,-6.341
1697225299147,2023-10-13T19:28:19.147000,3.68,-16.646,44.756,11.707
1697225299187,2023-10-13T19:28:19.187000,3.72,-5.915,17.866,5.671
1697225299227,2023-10-13T19:28:19.227000,3.76,2.927,-7.5,-4.817
1697225299267,2023-10-13T19:28:19.267000,3.8,10.976,-25.61,-9.817
1697225299307,2023-10-13T19:28:19.307000,3.84,-0.183,4.939,0.183
1697225299347,2023-10-13T19:28:19.347000,3.88,-5.244,33.415,10.976
1697225299387,2023-10-13T19:28:19.387000,3.92,5.915,18.354,8.72
1697225299427,2023-10-13T19:28:19.427000,3.96,11.341,-9.512,5.793
1697225299467,2023-10-13T19:28:19.467000,4.0,-2.195,17.805,10.732
1697225299507,2023-10-13T19:28:19.507000,4.04,3.902,0.244,6.951
1697225299547,2023-10-13T19:28:19.547000,4.08,7.134,-18.598,-1.402
1697225299587,2023-10-13T19:28:19.587000,4.12,-4.512,-10.0,-2.073
1697225299627,2023-10-13T19:28:19.627000,4.16,-7.195,-1.402,-3.476
1697225299667,2023-10-13T19:28:19.667000,4.2,-8.476,2.5,-2.378
1697225299707,2023-10-13T19:28:19.707000,4.24,-3.476,-1.28,-2.866
1697225299747,2023-10-13T19:28:19.747000,4.28,1.22,-5.061,-5.915
1697225299787,2023-10-13T19:28:19.787000,4.32,-0.427,2.5,-3.78
1697225299827,2023-10-13T19:28:19.827000,4.36,9.512,-6.585,-5.671
1697225299867,2023-10-13T19:28:19.867000,4.4,8.78,-1.829,-3.598
1697225299907,2023-10-13T19:28:19.907000,4.44,12.5,-4.878,-4.512
1697225299947,2023-10-13T19:28:19.947000,4.48,18.902,-7.134,-5.122
1697225299987,2023-10-13T19:28:19.987000,4.52,16.585,1.646,-0.183
1697225300027,2023-10-13T19:28:20.027000,4.56,27.561,1.707,-3.171
1697225300067,2023-10-13T19:28:20.067000,4.6,37.256,4.024,-5.549
1697225300107,2023-10-13T19:28:20.107000,4.64,37.683,9.512,-2.622
1697225300147,2023-10-13T19:28:20.147000,4.68,48.598,-4.451,-5.061
1697225300187,2023-10-13T19:28:20.187000,4.72,60.793,-12.073,-7.134
1697225300227,2023-10-13T19:28:20.227000,4.76,68.841,-27.317,-3.476
1697225300267,2023-10-13T19:28:20.267000,4.8,70.915,-30.244,1.341
1697225300307,2023-10-13T19:28:20.307000,4.84,67.5,-21.829,1.341
1697225300347,2023-10-13T19:28:20.347000,4.88,63.049,-12.256,2.012
1697225300387,2023-10-13T19:28:20.387000,4.92,48.598,2.256,6.89
1697225300427,2023-10-13T19:28:20.427000,4.96,38.11,0.671,8.72
1697225300467,2023-10-13T19:28:20.467000,5.0,28.232,0.0,5.732
1697225300507,2023-10-13T19:28:20.507000,5.04,15.61,4.939,2.561
1697225300547,2023-10-13T19:28:20.547000,5.08,13.902,-4.207,0.549
1697225300587,2023-10-13T19:28:20.587000,5.12,4.573,-2.378,2.683
1697225300627,2023-10-13T19:28:20.627000,5.16,-0.854,-3.598,4.146
1697225300667,2023-10-13T19:28:20.667000,5.2,-8.415,-5.122,5.366
1697225300707,2023-10-13T19:28:20.707000,5.24,-17.073,-3.78,6.402
1697225300747,2023-10-13T19:28:20.747000,5.28,-26.89,-1.22,1.829
1697225300787,2023-10-13T19:28:20.787000,5.32,-30.854,-2.988,4.085
1697225300827,2023-10-13T19:28:20.827000,5.36,-32.378,-10.732,1.707
1697225300867,2023-10-13T19:28:20.867000,5.4,-39.939,-3.293,0.549
1697225300907,2023-10-13T19:28:20.907000,5.44,-42.195,-6.28,2.134
1697225300947,2023-10-13T19:28:20.947000,5.48,-39.329,-23.902,2.683
1697225300987,2023-10-13T19:28:20.987000,5.52,-50.427,-4.268,-0.488
1697225301027,2023-10-13T19:28:21.027000,5.56,-51.22,-4.451,-1.037
1697225301067,2023-10-13T19:28:21.067000,5.6,-52.256,-5.549,3.232
1697225301107,2023-10-13T19:28:21.107000,5.64,-49.085,-2.683,6.463
1697225301147,2023-10-13T19:28:21.147000,5.68,-43.537,-2.195,4.207
1697225301187,2023-10-13T19:28:21.187000,5.72,-32.073,-9.39,5.061
1697225301227,2023-10-13T19:28:21.227000,5.76,-29.756,3.963,2.622
1697225301267,2023-10-13T19:28:21.267000,5.8,-21.646,-6.402,3.72
1697225301307,2023-10-13T19:28:21.307000,5.84,-21.22,-5.366,6.463
1697225301347,2023-10-13T19:28:21.347000,5.88,-15.122,-3.841,3.963
1697225301387,2023-10-13T19:28:21.387000,5.92,-10.915,-3.78,3.841
1697225301427,2023-10-13T19:28:21.427000,5.96,-0.732,-18.11,5.915
1697225301467,2023-10-13T19:28:21.467000,6.0,-7.317,-4.512,8.049
1697225301507,2023-10-13T19:28:21.507000,6.04,-2.622,-11.22,3.598
1697225301547,2023-10-13T19:28:21.547000,6.08,-0.305,-4.878,-1.768
1697225301587,2023-10-13T19:28:21.587000,6.12,3.232,-8.598,4.268
1697225301627,2023-10-13T19:28:21.627000,6.16,-6.28,20.488,7.622
1697225301667,2023-10-13T19:28:21.667000,6.2,6.707,3.841,-4.39
1697225301707,2023-10-13T19:28:21.707000,6.24,10.183,3.049,-2.927
1697225301747,2023-10-13T19:28:21.747000,6.28,6.341,-0.732,5.305
1697225301787,2023-10-13T19:28:21.787000,6.32,0.427,11.341,5.549
1697225301827,2023-10-13T19:28:21.827000,6.36,-2.744,19.085,-1.098
