epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697225295831,2023-10-13T19:28:15.831000,0.0,0.036,-1.0,-0.27
1697225295911,2023-10-13T19:28:15.911000,0.08,0.003,-0.979,-0.267
1697225295991,2023-10-13T19:28:15.991000,0.16,0.046,-1.008,-0.276
1697225296071,2023-10-13T19:28:16.071000,0.24,0.105,-1.063,-0.232
1697225296151,2023-10-13T19:28:16.151000,0.32,0.012,-1.041,-0.276
1697225296231,2023-10-13T19:28:16.231000,0.4,0.002,-0.967,-0.198
1697225296311,2023-10-13T19:28:16.311000,0.48,-0.026,-1.103,-0.152
1697225296391,2023-10-13T19:28:16.391000,0.56,0.007,-1.262,-0.151
1697225296471,2023-10-13T19:28:16.471000,0.64,0.016,-1.296,-0.117
1697225296551,2023-10-13T19:28:16.551000,0.72,0.02,-1.278,-0.16
1697225296631,2023-10-13T19:28:16.631000,0.8,0.029,-1.226,-0.132
1697225296711,2023-10-13T19:28:16.711000,0.88,0.019,-1.171,-0.15
1697225296791,2023-10-13T19:28:16.791000,0.96,0.005,-1.118,-0.104
1697225296871,2023-10-13T19:28:16.871000,1.04,0.009,-1.023,-0.078
1697225296951,2023-10-13T19:28:16.951000,1.12,0.026,-0.938,-0.04
1697225297031,2023-10-13T19:28:17.031000,1.2,-0.002,-0.85,-0.017
1697225297111,2023-10-13T19:28:17.111000,1.28,-0.01,-0.755,0.02
1697225297191,2023-10-13T19:28:17.191000,1.36,0.079,-0.661,0.133
1697225297271,2023-10-13T19:28:17.271000,1.44,0.059,-0.676,0.243
1697225297351,2023-10-13T19:28:17.351000,1.52,0.035,-0.822,0.339
1697225297431,2023-10-13T19:28:17.431000,1.6,0.011,-0.97,0.363
1697225297511,2023-10-13T19:28:17.511000,1.68,0.011,-0.953,0.403
1697225297591,2023-10-13T19:28:17.591000,1.76,0.032,-0.908,0.379
1697225297671,2023-10-13T19:28:17.671000,1.84,0.02,-0.891,0.417
1697225297751,2023-10-13T19:28:17.751000,1.92,0.024,-0.929,0.396
1697225297831,2023-10-13T19:28:17.831000,2.0,-0.013,-0.919,0.277
1697225297911,2023-10-13T19:28:17.911000,2.08,0.022,-0.872,0.246
1697225297991,2023-10-13T19:28:17.991000,2.16,0.01,-0.854,0.19
1697225298071,2023-10-13T19:28:18.071000,2.24,0.03,-0.87,0.144
1697225298151,2023-10-13T19:28:18.151000,2.32,0.016,-0.917,0.064
1697225298231,2023-10-13T19:28:18.231000,2.4,0.008,-1.011,0.022
1697225298311,2023-10-13T19:28:18.311000,2.48,0.009,-1.0,0.022
1697225298391,2023-10-13T19:28:18.391000,2.56,0.034,-0.957,-0.04
1697225298471,2023-10-13T19:28:18.471000,2.64,-0.031,-1.028,-0.015
1697225298551,2023-10-13T19:28:18.551000,2.72,0.009,-1.042,-0.055
1697225298631,2023-10-13T19:28:18.631000,2.8,-0.014,-1.024,-0.079
1697225298711,2023-10-13T19:28:18.711000,2.88,0.017,-1.021,-0.019
1697225298791,2023-10-13T19:28:18.791000,2.96,-0.005,-1.066,-0.062
1697225298871,2023-10-13T19:28:18.871000,3.04,-0.029,-1.103,-0.057
1697225298951,2023-10-13T19:28:18.951000,3.12,-0.025,-1.137,-0.05
1697225299031,2023-10-13T19:28:19.031000,3.2,-0.022,-1.222,-0.003
1697225299111,2023-10-13T19:28:19.111000,3.28,0.048,-1.62,-0.172
1697225299191,2023-10-13T19:28:19.191000,3.36,0.068,-0.796,0.019
1697225299271,2023-10-13T19:28:19.271000,3.44,-0.092,-1.097,-0.152
1697225299351,2023-10-13T19:28:19.351000,3.52,0.092,-1.021,0.069
1697225299431,2023-10-13T19:28:19.431000,3.6,0.032,-1.162,-0.121
1697225299511,2023-10-13T19:28:19.511000,3.68,-0.053,-1.257,-0.095
1697225299591,2023-10-13T19:28:19.591000,3.76,-0.037,-1.388,-0.059
1697225299671,2023-10-13T19:28:19.671000,3.84,0.0,-1.285,-0.041
1697225299751,2023-10-13T19:28:19.751000,3.92,-0.021,-1.23,-0.086
1697225299831,2023-10-13T19:28:19.831000,4.0,-0.003,-1.167,-0.068
1697225299911,2023-10-13T19:28:19.911000,4.08,-0.004,-1.097,-0.067
1697225299991,2023-10-13T19:28:19.991000,4.16,-0.002,-1.025,-0.035
1697225300071,2023-10-13T19:28:20.071000,4.24,-0.008,-0.934,-0.01
1697225300151,2023-10-13T19:28:20.151000,4.32,0.016,-0.829,0.026
1697225300231,2023-10-13T19:28:20.231000,4.4,-0.001,-0.75,0.02
1697225300311,2023-10-13T19:28:20.311000,4.48,0.068,-0.664,0.141
1697225300391,2023-10-13T19:28:20.391000,4.56,0.09,-0.667,0.333
1697225300471,2023-10-13T19:28:20.471000,4.64,0.056,-0.848,0.352
1697225300551,2023-10-13T19:28:20.551000,4.72,0.018,-0.977,0.333
1697225300631,2023-10-13T19:28:20.631000,4.8,0.051,-0.939,0.371
1697225300711,2023-10-13T19:28:20.711000,4.88,0.06,-0.907,0.421
1697225300791,2023-10-13T19:28:20.791000,4.96,0.027,-0.927,0.405
1697225300871,2023-10-13T19:28:20.871000,5.04,0.034,-0.898,0.332
1697225300951,2023-10-13T19:28:20.951000,5.12,0.041,-0.847,0.231
1697225301031,2023-10-13T19:28:21.031000,5.2,0.013,-0.816,0.22
1697225301111,2023-10-13T19:28:21.111000,5.28,0.054,-0.888,0.147
1697225301191,2023-10-13T19:28:21.191000,5.36,0.024,-0.942,0.083
1697225301271,2023-10-13T19:28:21.271000,5.44,0.01,-0.998,0.083
1697225301351,2023-10-13T19:28:21.351000,5.52,-0.001,-1.022,0.057
1697225301431,2023-10-13T19:28:21.431000,5.6,-0.003,-1.018,-0.034
1697225301511,2023-10-13T19:28:21.511000,5.68,-0.014,-0.951,-0.015
1697225301591,2023-10-13T19:28:21.591000,5.76,0.01,-0.977,-0.027
1697225301671,2023-10-13T19:28:21.671000,5.84,0.007,-0.989,-0.039
1697225301751,2023-10-13T19:28:21.751000,5.92,-0.032,-1.05,-0.092
