epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697225838012,2023-10-13T19:37:18.012000,0.0,34.268,-240.244,7.683
1697225838052,2023-10-13T19:37:18.052000,0.04,37.195,-239.451,8.049
1697225838092,2023-10-13T19:37:18.092000,0.08,21.402,-128.049,10.366
1697225838132,2023-10-13T19:37:18.132000,0.12,7.073,-59.695,5.122
1697225838172,2023-10-13T19:37:18.172000,0.16,20.366,-56.524,8.902
1697225838212,2023-10-13T19:37:18.212000,0.2,9.268,-23.841,14.39
1697225838252,2023-10-13T19:37:18.252000,0.24,-7.134,12.866,-2.5
1697225838292,2023-10-13T19:37:18.292000,0.28,-13.049,-9.39,-7.378
1697225838332,2023-10-13T19:37:18.332000,0.32,-21.524,-29.817,6.585
1697225838372,2023-10-13T19:37:18.372000,0.36,-30.366,-33.537,6.22
1697225838412,2023-10-13T19:37:18.412000,0.4,-29.39,1.89,-1.037
1697225838452,2023-10-13T19:37:18.452000,0.44,-18.659,25.976,4.329
1697225838492,2023-10-13T19:37:18.492000,0.48,-8.72,22.012,4.512
1697225838532,2023-10-13T19:37:18.532000,0.52,8.72,-15.793,-4.085
1697225838572,2023-10-13T19:37:18.572000,0.56,14.451,-28.049,-0.793
1697225838612,2023-10-13T19:37:18.612000,0.6,13.963,-7.744,1.28
1697225838652,2023-10-13T19:37:18.652000,0.64,24.756,-7.256,-5.793
1697225838692,2023-10-13T19:37:18.692000,0.68,41.402,-45.366,-10.793
1697225838732,2023-10-13T19:37:18.732000,0.72,68.232,-4.634,-9.756
1697225838772,2023-10-13T19:37:18.772000,0.76,45.183,88.598,14.695
1697225838812,2023-10-13T19:37:18.812000,0.8,32.256,31.28,23.171
1697225838852,2023-10-13T19:37:18.852000,0.84,-0.976,31.341,18.78
1697225838892,2023-10-13T19:37:18.892000,0.88,0.732,11.28,11.951
1697225838932,2023-10-13T19:37:18.932000,0.92,22.622,-28.354,6.22
1697225838972,2023-10-13T19:37:18.972000,0.96,18.11,-22.927,1.707
1697225839012,2023-10-13T19:37:19.012000,1.0,9.146,-1.768,-1.28
1697225839052,2023-10-13T19:37:19.052000,1.04,10.0,-5.793,-3.354
1697225839092,2023-10-13T19:37:19.092000,1.08,7.134,-19.329,-3.354
1697225839132,2023-10-13T19:37:19.132000,1.12,3.415,-15.61,-4.451
1697225839172,2023-10-13T19:37:19.172000,1.16,-5.854,0.0,-2.622
1697225839212,2023-10-13T19:37:19.212000,1.2,0.793,-12.378,-7.744
1697225839252,2023-10-13T19:37:19.252000,1.24,-2.439,-18.11,-1.951
1697225839292,2023-10-13T19:37:19.292000,1.28,-6.341,-8.049,2.744
1697225839332,2023-10-13T19:37:19.332000,1.32,-0.732,-13.902,2.012
1697225839372,2023-10-13T19:37:19.372000,1.36,-1.524,-7.439,7.805
1697225839412,2023-10-13T19:37:19.412000,1.4,0.305,-3.171,6.89
1697225839452,2023-10-13T19:37:19.452000,1.44,4.878,-0.976,5.427
1697225839492,2023-10-13T19:37:19.492000,1.48,14.268,2.927,4.329
1697225839532,2023-10-13T19:37:19.532000,1.52,17.744,-5.671,1.037
1697225839572,2023-10-13T19:37:19.572000,1.56,19.024,-5.976,4.268
1697225839612,2023-10-13T19:37:19.612000,1.6,24.024,-2.5,1.768
1697225839652,2023-10-13T19:37:19.652000,1.64,28.963,2.5,-7.988
1697225839692,2023-10-13T19:37:19.692000,1.68,32.683,8.171,-4.024
1697225839732,2023-10-13T19:37:19.732000,1.72,54.024,-5.549,0.61
1697225839772,2023-10-13T19:37:19.772000,1.76,76.646,-24.024,-1.463
1697225839812,2023-10-13T19:37:19.812000,1.8,84.146,-28.72,10.488
1697225839852,2023-10-13T19:37:19.852000,1.84,87.988,-23.049,3.963
1697225839892,2023-10-13T19:37:19.892000,1.88,84.39,-18.72,1.159
1697225839932,2023-10-13T19:37:19.932000,1.92,66.829,-2.256,6.524
1697225839972,2023-10-13T19:37:19.972000,1.96,41.402,16.28,2.134
1697225840012,2023-10-13T19:37:20.012000,2.0,21.037,6.402,-0.793
1697225840052,2023-10-13T19:37:20.052000,2.04,4.024,-1.463,2.439
1697225840092,2023-10-13T19:37:20.092000,2.08,-7.012,-2.256,-1.89
1697225840132,2023-10-13T19:37:20.132000,2.12,-19.024,-9.207,0.671
1697225840172,2023-10-13T19:37:20.172000,2.16,-33.049,-6.524,-1.037
1697225840212,2023-10-13T19:37:20.212000,2.2,-41.22,-12.256,-4.634
1697225840252,2023-10-13T19:37:20.252000,2.24,-53.476,-4.207,-9.695
1697225840292,2023-10-13T19:37:20.292000,2.28,-52.744,-1.28,-2.439
1697225840332,2023-10-13T19:37:20.332000,2.32,-48.659,-5.549,0.061
1697225840372,2023-10-13T19:37:20.372000,2.36,-56.646,3.841,-0.183
1697225840412,2023-10-13T19:37:20.412000,2.4,-56.098,-5.305,-6.098
1697225840452,2023-10-13T19:37:20.452000,2.44,-53.78,-11.037,-7.012
1697225840492,2023-10-13T19:37:20.492000,2.48,-50.427,-3.72,-8.72
1697225840532,2023-10-13T19:37:20.532000,2.52,-40.183,-13.659,-0.976
1697225840572,2023-10-13T19:37:20.572000,2.56,-41.28,6.159,8.11
1697225840612,2023-10-13T19:37:20.612000,2.6,-29.573,-11.098,3.354
1697225840652,2023-10-13T19:37:20.652000,2.64,-28.537,4.451,-0.854
1697225840692,2023-10-13T19:37:20.692000,2.68,0.671,-10.305,1.585
1697225840732,2023-10-13T19:37:20.732000,2.72,3.963,-5.915,5.305
1697225840772,2023-10-13T19:37:20.772000,2.76,13.415,-15.915,7.195
1697225840812,2023-10-13T19:37:20.812000,2.8,0.976,6.341,-3.354
1697225840852,2023-10-13T19:37:20.852000,2.84,17.683,-9.329,6.646
1697225840892,2023-10-13T19:37:20.892000,2.88,16.585,-3.293,4.268
1697225840932,2023-10-13T19:37:20.932000,2.92,14.024,3.902,5.61
1697225840972,2023-10-13T19:37:20.972000,2.96,18.415,-6.402,8.476
1697225841012,2023-10-13T19:37:21.012000,3.0,5.0,18.537,8.659
1697225841052,2023-10-13T19:37:21.052000,3.04,9.512,3.598,7.744
1697225841092,2023-10-13T19:37:21.092000,3.08,5.976,7.134,8.537
1697225841132,2023-10-13T19:37:21.132000,3.12,9.085,3.598,8.11
1697225841172,2023-10-13T19:37:21.172000,3.16,2.561,-0.427,7.256
1697225841212,2023-10-13T19:37:21.212000,3.2,-2.622,4.634,1.037
1697225841252,2023-10-13T19:37:21.252000,3.24,-5.0,3.598,4.329
1697225841292,2023-10-13T19:37:21.292000,3.28,-9.573,10.427,1.159
1697225841332,2023-10-13T19:37:21.332000,3.32,-9.756,0.61,-6.646
1697225841372,2023-10-13T19:37:21.372000,3.36,-6.89,-10.0,-19.024
1697225841412,2023-10-13T19:37:21.412000,3.4,-14.573,0.854,-10.854
1697225841452,2023-10-13T19:37:21.452000,3.44,-8.963,-3.415,-8.72
1697225841492,2023-10-13T19:37:21.492000,3.48,-11.402,-2.195,-0.549
1697225841532,2023-10-13T19:37:21.532000,3.52,2.195,-17.561,-8.11
1697225841572,2023-10-13T19:37:21.572000,3.56,-7.805,30.732,5.915
1697225841612,2023-10-13T19:37:21.612000,3.6,5.305,3.902,13.476
1697225841652,2023-10-13T19:37:21.652000,3.64,12.378,0.0,1.707
1697225841692,2023-10-13T19:37:21.692000,3.68,2.683,-4.024,-0.061
