epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697119047302,2023-10-12T13:57:27.302000,0.0,0.003,1.021,0.399
1697119047382,2023-10-12T13:57:27.382000,0.08,0.034,1.276,0.407
1697119047462,2023-10-12T13:57:27.462000,0.16,0.053,1.547,0.51
1697119047542,2023-10-12T13:57:27.542000,0.24,-0.052,1.591,0.572
1697119047622,2023-10-12T13:57:27.622000,0.32,-0.21,1.312,0.349
1697119047702,2023-10-12T13:57:27.702000,0.4,-0.235,0.964,0.197
1697119047782,2023-10-12T13:57:27.782000,0.48,-0.251,0.779,0.177
1697119047862,2023-10-12T13:57:27.862000,0.56,-0.334,0.755,0.068
1697119047942,2023-10-12T13:57:27.942000,0.64,-0.334,0.712,0.124
1697119048022,2023-10-12T13:57:28.022000,0.72,-0.238,0.648,0.179
1697119048102,2023-10-12T13:57:28.102000,0.8,-0.149,0.557,0.033
1697119048182,2023-10-12T13:57:28.182000,0.88,-0.123,0.527,-0.073
1697119048262,2023-10-12T13:57:28.262000,0.96,-0.123,0.679,0.102
1697119048342,2023-10-12T13:57:28.342000,1.04,-0.061,1.007,0.011
1697119048422,2023-10-12T13:57:28.422000,1.12,-0.01,1.038,0.21
1697119048502,2023-10-12T13:57:28.502000,1.2,-0.05,0.865,-0.025
1697119048582,2023-10-12T13:57:28.582000,1.28,-0.094,0.964,0.223
1697119048662,2023-10-12T13:57:28.662000,1.36,-0.068,1.023,0.162
1697119048742,2023-10-12T13:57:28.742000,1.44,-0.098,0.932,0.185
1697119048822,2023-10-12T13:57:28.822000,1.52,-0.098,0.948,0.159
1697119048902,2023-10-12T13:57:28.902000,1.6,-0.103,0.952,0.183
1697119048982,2023-10-12T13:57:28.982000,1.68,-0.123,0.867,0.128
1697119049062,2023-10-12T13:57:29.062000,1.76,-0.141,0.825,0.1
1697119049142,2023-10-12T13:57:29.142000,1.84,-0.171,0.846,0.106
1697119049222,2023-10-12T13:57:29.222000,1.92,-0.195,0.903,0.05
1697119049302,2023-10-12T13:57:29.302000,2.0,-0.258,0.832,0.017
1697119049382,2023-10-12T13:57:29.382000,2.08,-0.298,0.807,0.042
1697119049462,2023-10-12T13:57:29.462000,2.16,-0.294,0.808,0.0
1697119049542,2023-10-12T13:57:29.542000,2.24,-0.34,0.824,0.064
1697119049622,2023-10-12T13:57:29.622000,2.32,-0.356,0.846,0.092
1697119049702,2023-10-12T13:57:29.702000,2.4,-0.369,0.867,0.093
1697119049782,2023-10-12T13:57:29.782000,2.48,-0.382,0.931,0.127
1697119049862,2023-10-12T13:57:29.862000,2.56,-0.398,0.966,0.091
1697119049942,2023-10-12T13:57:29.942000,2.64,-0.342,1.006,0.155
1697119050022,2023-10-12T13:57:30.022000,2.72,-0.268,0.987,0.206
1697119050102,2023-10-12T13:57:30.102000,2.8,-0.188,1.024,0.127
1697119050182,2023-10-12T13:57:30.182000,2.88,-0.116,1.038,0.187
1697119050262,2023-10-12T13:57:30.262000,2.96,-0.05,1.026,0.235
1697119050342,2023-10-12T13:57:30.342000,3.04,-0.01,1.055,0.25
1697119050422,2023-10-12T13:57:30.422000,3.12,0.05,1.049,0.244
1697119050502,2023-10-12T13:57:30.502000,3.2,0.047,1.081,0.208
1697119050582,2023-10-12T13:57:30.582000,3.28,0.043,1.042,0.207
1697119050662,2023-10-12T13:57:30.662000,3.36,0.053,0.898,0.168
1697119050742,2023-10-12T13:57:30.742000,3.44,0.051,0.997,0.135
1697119050822,2023-10-12T13:57:30.822000,3.52,0.026,1.409,0.257
1697119050902,2023-10-12T13:57:30.902000,3.6,-0.151,1.599,0.269
1697119050982,2023-10-12T13:57:30.982000,3.68,-0.247,1.257,0.157
1697119051062,2023-10-12T13:57:31.062000,3.76,-0.253,0.955,0.229
1697119051142,2023-10-12T13:57:31.142000,3.84,-0.292,0.872,0.081
1697119051222,2023-10-12T13:57:31.222000,3.92,-0.293,0.805,0.006
1697119051302,2023-10-12T13:57:31.302000,4.0,-0.233,0.775,0.051
1697119051382,2023-10-12T13:57:31.382000,4.08,-0.209,0.805,0.072
1697119051462,2023-10-12T13:57:31.462000,4.16,-0.108,0.778,0.068
1697119051542,2023-10-12T13:57:31.542000,4.24,-0.1,0.594,-0.021
1697119051622,2023-10-12T13:57:31.622000,4.32,-0.15,0.574,-0.022
