epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697118874516,2023-10-12T13:54:34.516000,0.0,-7.561,-5.976,-2.866
1697118874556,2023-10-12T13:54:34.556000,0.04,-8.11,-5.915,-3.415
1697118874596,2023-10-12T13:54:34.596000,0.08,-8.537,-1.341,0.732
1697118874636,2023-10-12T13:54:34.636000,0.12,-6.037,-5.427,-1.22
1697118874676,2023-10-12T13:54:34.676000,0.16,-1.098,-4.878,-9.512
1697118874716,2023-10-12T13:54:34.716000,0.2,-2.988,-3.659,-8.902
1697118874756,2023-10-12T13:54:34.756000,0.24,1.707,-6.768,-6.707
1697118874796,2023-10-12T13:54:34.796000,0.28,-3.476,-3.354,-3.049
1697118874836,2023-10-12T13:54:34.836000,0.32,-14.451,5.732,-5.732
1697118874876,2023-10-12T13:54:34.876000,0.36,-2.561,6.768,-5.976
1697118874916,2023-10-12T13:54:34.916000,0.4,1.463,10.732,-17.744
1697118874956,2023-10-12T13:54:34.956000,0.44,0.488,14.695,-33.963
1697118874996,2023-10-12T13:54:34.996000,0.48,13.841,14.024,-50.671
1697118875036,2023-10-12T13:54:35.036000,0.52,35.244,25.488,-76.341
1697118875076,2023-10-12T13:54:35.076000,0.56,52.866,48.963,-103.232
1697118875116,2023-10-12T13:54:35.116000,0.6,50.549,67.744,-113.049
1697118875156,2023-10-12T13:54:35.156000,0.64,42.256,67.683,-93.659
1697118875196,2023-10-12T13:54:35.196000,0.68,15.793,90.244,-39.207
1697118875236,2023-10-12T13:54:35.236000,0.72,-2.927,50.854,-11.402
1697118875276,2023-10-12T13:54:35.276000,0.76,-25.549,46.524,5.915
1697118875316,2023-10-12T13:54:35.316000,0.8,-25.244,36.341,23.354
1697118875356,2023-10-12T13:54:35.356000,0.84,-14.939,34.085,39.146
1697118875396,2023-10-12T13:54:35.396000,0.88,-12.134,23.11,53.902
1697118875436,2023-10-12T13:54:35.436000,0.92,-8.415,23.902,62.073
1697118875476,2023-10-12T13:54:35.476000,0.96,-2.927,4.085,65.0
1697118875516,2023-10-12T13:54:35.516000,1.0,-5.488,-0.488,77.256
1697118875556,2023-10-12T13:54:35.556000,1.04,-6.585,2.988,88.598
1697118875596,2023-10-12T13:54:35.596000,1.08,15.0,-1.646,84.39
1697118875636,2023-10-12T13:54:35.636000,1.12,16.829,2.683,79.695
1697118875676,2023-10-12T13:54:35.676000,1.16,24.39,-17.073,48.293
1697118875716,2023-10-12T13:54:35.716000,1.2,5.366,5.549,13.902
1697118875756,2023-10-12T13:54:35.756000,1.24,8.476,-1.646,-0.244
1697118875796,2023-10-12T13:54:35.796000,1.28,26.951,-18.537,-6.585
1697118875836,2023-10-12T13:54:35.836000,1.32,23.537,-33.11,-18.963
1697118875876,2023-10-12T13:54:35.876000,1.36,7.927,-8.293,-19.146
1697118875916,2023-10-12T13:54:35.916000,1.4,-10.488,16.89,15.427
1697118875956,2023-10-12T13:54:35.956000,1.44,-7.5,6.89,18.171
1697118875996,2023-10-12T13:54:35.996000,1.48,-5.366,-3.293,5.488
1697118876036,2023-10-12T13:54:36.036000,1.52,-5.0,-0.61,-8.415
1697118876076,2023-10-12T13:54:36.076000,1.56,-0.732,-3.049,-16.341
1697118876116,2023-10-12T13:54:36.116000,1.6,-0.61,-0.061,-5.671
1697118876156,2023-10-12T13:54:36.156000,1.64,4.268,-2.378,-2.134
1697118876196,2023-10-12T13:54:36.196000,1.68,2.744,2.195,-5.366
1697118876236,2023-10-12T13:54:36.236000,1.72,2.622,0.671,-7.134
1697118876276,2023-10-12T13:54:36.276000,1.76,6.951,-4.207,-6.098
1697118876316,2023-10-12T13:54:36.316000,1.8,4.573,0.183,-3.415
1697118876356,2023-10-12T13:54:36.356000,1.84,12.317,-13.537,-11.585
1697118876396,2023-10-12T13:54:36.396000,1.88,4.939,-20.122,-14.39
1697118876436,2023-10-12T13:54:36.436000,1.92,10.976,-21.341,-40.244
1697118876476,2023-10-12T13:54:36.476000,1.96,1.463,-7.561,-33.476
1697118876516,2023-10-12T13:54:36.516000,2.0,7.073,-9.756,-37.317
