epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697118874877,2023-10-12T13:54:34.877000,0.0,-0.009,1.245,0.535
1697118874957,2023-10-12T13:54:34.957000,0.08,-0.108,1.579,0.67
1697118875037,2023-10-12T13:54:35.037000,0.16,-0.137,1.517,0.593
1697118875117,2023-10-12T13:54:35.117000,0.24,-0.201,1.141,0.487
1697118875197,2023-10-12T13:54:35.197000,0.32,-0.268,0.883,0.227
1697118875277,2023-10-12T13:54:35.277000,0.4,-0.298,0.672,0.199
1697118875357,2023-10-12T13:54:35.357000,0.48,-0.297,0.609,0.2
1697118875437,2023-10-12T13:54:35.437000,0.56,-0.302,0.715,0.144
1697118875517,2023-10-12T13:54:35.517000,0.64,-0.249,0.776,0.172
1697118875597,2023-10-12T13:54:35.597000,0.72,-0.146,0.788,0.157
1697118875677,2023-10-12T13:54:35.677000,0.8,-0.053,0.571,0.018
1697118875757,2023-10-12T13:54:35.757000,0.88,-0.11,0.456,0.039
1697118875837,2023-10-12T13:54:35.837000,0.96,-0.062,0.859,-0.003
1697118875917,2023-10-12T13:54:35.917000,1.04,-0.043,1.269,0.286
1697118875997,2023-10-12T13:54:35.997000,1.12,-0.037,0.991,0.089
1697118876077,2023-10-12T13:54:36.077000,1.2,-0.085,0.798,0.032
1697118876157,2023-10-12T13:54:36.157000,1.28,-0.057,0.98,0.173
1697118876237,2023-10-12T13:54:36.237000,1.36,-0.083,1.023,0.139
1697118876317,2023-10-12T13:54:36.317000,1.44,-0.088,0.945,0.125
1697118876397,2023-10-12T13:54:36.397000,1.52,-0.096,0.882,0.099
1697118876477,2023-10-12T13:54:36.477000,1.6,-0.146,0.835,0.089
1697118876557,2023-10-12T13:54:36.557000,1.68,-0.116,0.853,0.079
1697118876637,2023-10-12T13:54:36.637000,1.76,-0.182,0.852,0.029
1697118876717,2023-10-12T13:54:36.717000,1.84,-0.217,0.851,0.061
1697118876797,2023-10-12T13:54:36.797000,1.92,-0.26,0.855,-0.033
1697118876877,2023-10-12T13:54:36.877000,2.0,-0.295,0.959,0.02
1697118876957,2023-10-12T13:54:36.957000,2.08,-0.343,0.865,0.1
1697118877037,2023-10-12T13:54:37.037000,2.16,-0.304,0.857,0.034
1697118877117,2023-10-12T13:54:37.117000,2.24,-0.322,0.829,0.078
1697118877197,2023-10-12T13:54:37.197000,2.32,-0.344,0.877,0.129
1697118877277,2023-10-12T13:54:37.277000,2.4,-0.359,0.94,0.167
1697118877357,2023-10-12T13:54:37.357000,2.48,-0.351,0.961,0.195
1697118877437,2023-10-12T13:54:37.437000,2.56,-0.316,0.989,0.153
1697118877517,2023-10-12T13:54:37.517000,2.64,-0.251,0.984,0.138
1697118877597,2023-10-12T13:54:37.597000,2.72,-0.207,0.988,0.133
1697118877677,2023-10-12T13:54:37.677000,2.8,-0.168,1.014,0.138
1697118877757,2023-10-12T13:54:37.757000,2.88,-0.144,1.03,0.252
1697118877837,2023-10-12T13:54:37.837000,2.96,-0.106,1.052,0.241
1697118877917,2023-10-12T13:54:37.917000,3.04,-0.038,1.046,0.235
1697118877997,2023-10-12T13:54:37.997000,3.12,-0.025,1.096,0.272
1697118878077,2023-10-12T13:54:38.077000,3.2,-0.007,0.985,0.251
1697118878157,2023-10-12T13:54:38.157000,3.28,0.004,0.852,0.169
1697118878237,2023-10-12T13:54:38.237000,3.36,0.003,1.148,0.168
1697118878317,2023-10-12T13:54:38.317000,3.44,-0.125,1.535,0.292
1697118878397,2023-10-12T13:54:38.397000,3.52,-0.252,1.457,0.231
1697118878477,2023-10-12T13:54:38.477000,3.6,-0.28,1.118,0.096
1697118878557,2023-10-12T13:54:38.557000,3.68,-0.273,0.943,0.111
1697118878637,2023-10-12T13:54:38.637000,3.76,-0.314,0.905,0.037
1697118878717,2023-10-12T13:54:38.717000,3.84,-0.295,0.844,-0.057
1697118878797,2023-10-12T13:54:38.797000,3.92,-0.246,0.788,-0.009
1697118878877,2023-10-12T13:54:38.877000,4.0,-0.19,0.777,0.069
1697118878957,2023-10-12T13:54:38.957000,4.08,-0.102,0.556,0.027
1697118879037,2023-10-12T13:54:39.037000,4.16,-0.125,0.491,-0.156
1697118879117,2023-10-12T13:54:39.117000,4.24,-0.102,0.793,0.044
1697118879197,2023-10-12T13:54:39.197000,4.32,-0.03,1.066,0.094
1697118879277,2023-10-12T13:54:39.277000,4.4,-0.056,1.011,0.116
1697118879357,2023-10-12T13:54:39.357000,4.48,-0.076,0.907,-0.001
1697118879437,2023-10-12T13:54:39.437000,4.56,-0.076,0.963,0.096
1697118879517,2023-10-12T13:54:39.517000,4.64,-0.081,0.967,0.051
1697118879597,2023-10-12T13:54:39.597000,4.72,-0.125,0.895,0.07
1697118879677,2023-10-12T13:54:39.677000,4.8,-0.121,0.826,0.017
1697118879757,2023-10-12T13:54:39.757000,4.88,-0.16,0.792,0.035
1697118879837,2023-10-12T13:54:39.837000,4.96,-0.199,0.823,0.063
