epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697119046896,2023-10-12T13:57:26.896000,0.0,5.183,-9.451,2.805
1697119046936,2023-10-12T13:57:26.936000,0.04,4.939,-7.439,3.537
1697119046976,2023-10-12T13:57:26.976000,0.08,0.671,-4.756,6.829
1697119047016,2023-10-12T13:57:27.016000,0.12,-11.463,-3.354,13.598
1697119047056,2023-10-12T13:57:27.056000,0.16,-16.341,-3.963,16.22
1697119047096,2023-10-12T13:57:27.096000,0.2,-1.402,-0.549,16.037
1697119047136,2023-10-12T13:57:27.136000,0.24,16.707,-6.524,16.768
1697119047176,2023-10-12T13:57:27.176000,0.28,26.463,-11.951,13.537
1697119047216,2023-10-12T13:57:27.216000,0.32,17.561,-14.451,8.476
1697119047256,2023-10-12T13:57:27.256000,0.36,8.963,-6.646,6.707
1697119047296,2023-10-12T13:57:27.296000,0.4,10.854,-12.561,11.22
1697119047336,2023-10-12T13:57:27.336000,0.44,9.634,-15.549,9.878
1697119047376,2023-10-12T13:57:27.376000,0.48,3.72,-12.866,-1.341
1697119047416,2023-10-12T13:57:27.416000,0.52,9.329,-8.293,-11.28
1697119047456,2023-10-12T13:57:27.456000,0.56,9.512,5.732,-24.451
1697119047496,2023-10-12T13:57:27.496000,0.6,17.256,14.939,-44.085
1697119047536,2023-10-12T13:57:27.536000,0.64,36.646,36.037,-79.329
1697119047576,2023-10-12T13:57:27.576000,0.68,63.293,42.195,-115.549
1697119047616,2023-10-12T13:57:27.616000,0.72,75.915,55.732,-128.902
1697119047656,2023-10-12T13:57:27.656000,0.76,57.866,78.902,-115.366
1697119047696,2023-10-12T13:57:27.696000,0.8,28.598,57.744,-94.756
1697119047736,2023-10-12T13:57:27.736000,0.84,-11.646,42.683,-65.305
1697119047776,2023-10-12T13:57:27.776000,0.88,-44.695,36.89,-38.171
1697119047816,2023-10-12T13:57:27.816000,0.92,-58.78,29.512,-3.049
1697119047856,2023-10-12T13:57:27.856000,0.96,-59.024,30.915,31.951
1697119047896,2023-10-12T13:57:27.896000,1.0,-64.817,41.646,60.122
1697119047936,2023-10-12T13:57:27.936000,1.04,-67.927,47.256,72.378
1697119047976,2023-10-12T13:57:27.976000,1.08,-64.451,57.561,87.927
1697119048016,2023-10-12T13:57:28.016000,1.12,-49.634,45.915,99.085
1697119048056,2023-10-12T13:57:28.056000,1.16,4.573,13.902,101.829
1697119048096,2023-10-12T13:57:28.096000,1.2,50.732,-23.841,93.049
1697119048136,2023-10-12T13:57:28.136000,1.24,63.78,-38.72,78.72
1697119048176,2023-10-12T13:57:28.176000,1.28,63.659,-56.22,52.927
1697119048216,2023-10-12T13:57:28.216000,1.32,22.744,4.939,31.646
1697119048256,2023-10-12T13:57:28.256000,1.36,13.11,3.171,11.037
1697119048296,2023-10-12T13:57:28.296000,1.4,11.28,-13.049,-0.854
1697119048336,2023-10-12T13:57:28.336000,1.44,3.293,-15.671,-6.585
1697119048376,2023-10-12T13:57:28.376000,1.48,-24.39,20.488,-8.78
1697119048416,2023-10-12T13:57:28.416000,1.52,-30.549,27.195,0.0
1697119048456,2023-10-12T13:57:28.456000,1.56,-1.829,-9.085,-3.78
1697119048496,2023-10-12T13:57:28.496000,1.6,-2.561,-7.134,-9.756
1697119048536,2023-10-12T13:57:28.536000,1.64,-17.744,4.634,-15.305
1697119048576,2023-10-12T13:57:28.576000,1.68,-18.841,10.427,-10.793
1697119048616,2023-10-12T13:57:28.616000,1.72,-8.537,6.22,-2.5
1697119048656,2023-10-12T13:57:28.656000,1.76,-2.317,6.768,-1.768
1697119048696,2023-10-12T13:57:28.696000,1.8,-3.537,2.012,-4.817
1697119048736,2023-10-12T13:57:28.736000,1.84,1.402,-6.646,-12.378
1697119048776,2023-10-12T13:57:28.776000,1.88,10.061,-1.463,-5.244
1697119048816,2023-10-12T13:57:28.816000,1.92,19.268,-6.951,3.902
1697119048856,2023-10-12T13:57:28.856000,1.96,13.537,-3.171,0.793
1697119048896,2023-10-12T13:57:28.896000,2.0,9.573,-0.732,-5.061
1697119048936,2023-10-12T13:57:28.936000,2.04,8.537,-7.378,-12.744
1697119048976,2023-10-12T13:57:28.976000,2.08,1.646,-7.439,-26.768
1697119049016,2023-10-12T13:57:29.016000,2.12,4.451,-4.451,-38.476
1697119049056,2023-10-12T13:57:29.056000,2.16,12.439,-8.11,-37.988
1697119049096,2023-10-12T13:57:29.096000,2.2,12.439,-11.341,-40.183
1697119049136,2023-10-12T13:57:29.136000,2.24,9.329,-5.305,-43.598
1697119049176,2023-10-12T13:57:29.176000,2.28,13.171,-7.073,-37.5
1697119049216,2023-10-12T13:57:29.216000,2.32,23.11,-10.671,-35.549
1697119049256,2023-10-12T13:57:29.256000,2.36,33.72,-13.476,-30.427
1697119049296,2023-10-12T13:57:29.296000,2.4,18.659,-12.012,-22.073
1697119049336,2023-10-12T13:57:29.336000,2.44,11.037,-7.622,-31.341
1697119049376,2023-10-12T13:57:29.376000,2.48,6.037,-6.341,-26.159
1697119049416,2023-10-12T13:57:29.416000,2.52,13.902,-12.378,-19.817
1697119049456,2023-10-12T13:57:29.456000,2.56,16.585,-22.256,-6.89
1697119049496,2023-10-12T13:57:29.496000,2.6,4.268,-25.366,-13.963
1697119049536,2023-10-12T13:57:29.536000,2.64,-5.915,-11.524,-16.098
1697119049576,2023-10-12T13:57:29.576000,2.68,-5.671,-11.89,-11.22
1697119049616,2023-10-12T13:57:29.616000,2.72,-7.012,-14.024,-12.439
1697119049656,2023-10-12T13:57:29.656000,2.76,-8.902,-10.793,1.037
1697119049696,2023-10-12T13:57:29.696000,2.8,-2.866,-15.305,4.329
1697119049736,2023-10-12T13:57:29.736000,2.84,-3.78,-13.598,15.549
1697119049776,2023-10-12T13:57:29.776000,2.88,8.354,-26.585,25.061
1697119049816,2023-10-12T13:57:29.816000,2.92,10.488,-3.415,36.22
1697119049856,2023-10-12T13:57:29.856000,2.96,13.049,-28.841,46.463
1697119049896,2023-10-12T13:57:29.896000,3.0,7.195,-41.098,45.915
1697119049936,2023-10-12T13:57:29.936000,3.04,-6.768,-25.427,42.561
1697119049976,2023-10-12T13:57:29.976000,3.08,-25.793,-25.549,43.354
1697119050016,2023-10-12T13:57:30.016000,3.12,-31.707,-17.927,37.317
1697119050056,2023-10-12T13:57:30.056000,3.16,-28.354,-19.024,45.183
1697119050096,2023-10-12T13:57:30.096000,3.2,-17.134,-25.0,44.207
1697119050136,2023-10-12T13:57:30.136000,3.24,-14.756,-18.476,49.512
1697119050176,2023-10-12T13:57:30.176000,3.28,-9.268,-30.976,47.561
1697119050216,2023-10-12T13:57:30.216000,3.32,-10.427,-22.561,43.354
1697119050256,2023-10-12T13:57:30.256000,3.36,-7.988,-15.427,41.28
1697119050296,2023-10-12T13:57:30.296000,3.4,-7.134,-15.488,31.159
1697119050336,2023-10-12T13:57:30.336000,3.44,-10.671,-15.915,20.61
1697119050376,2023-10-12T13:57:30.376000,3.48,2.5,-14.756,22.988
1697119050416,2023-10-12T13:57:30.416000,3.52,20.793,-14.146,16.524
1697119050456,2023-10-12T13:57:30.456000,3.56,30.244,-13.232,10.061
1697119050496,2023-10-12T13:57:30.496000,3.6,21.707,-16.098,0.671
1697119050536,2023-10-12T13:57:30.536000,3.64,12.927,-11.829,-6.463
1697119050576,2023-10-12T13:57:30.576000,3.68,6.037,-9.878,-4.634
1697119050616,2023-10-12T13:57:30.616000,3.72,-4.39,-7.195,-2.195
1697119050656,2023-10-12T13:57:30.656000,3.76,-7.012,-3.171,-0.061
1697119050696,2023-10-12T13:57:30.696000,3.8,-7.317,-9.085,0.305
1697119050736,2023-10-12T13:57:30.736000,3.84,-13.72,-12.317,-24.817
1697119050776,2023-10-12T13:57:30.776000,3.88,-16.463,-13.841,-54.451
1697119050816,2023-10-12T13:57:30.816000,3.92,12.805,1.646,-61.646
1697119050856,2023-10-12T13:57:30.856000,3.96,45.366,13.11,-92.012
1697119050896,2023-10-12T13:57:30.896000,4.0,44.451,17.012,-113.415
1697119050936,2023-10-12T13:57:30.936000,4.04,43.963,6.829,-100.671
1697119050976,2023-10-12T13:57:30.976000,4.08,49.695,22.012,-70.915
1697119051016,2023-10-12T13:57:31.016000,4.12,24.207,11.22,-50.671
1697119051056,2023-10-12T13:57:31.056000,4.16,-3.963,23.11,-46.829
1697119051096,2023-10-12T13:57:31.096000,4.2,-14.146,73.354,-17.622
1697119051136,2023-10-12T13:57:31.136000,4.24,-2.988,24.939,-9.512
1697119051176,2023-10-12T13:57:31.176000,4.28,-14.634,65.549,7.378
1697119051216,2023-10-12T13:57:31.216000,4.32,-26.829,65.793,16.707
1697119051256,2023-10-12T13:57:31.256000,4.36,-30.0,41.768,32.5
1697119051296,2023-10-12T13:57:31.296000,4.4,-42.5,41.646,35.671
