epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697206130153,2023-10-13T14:08:50.153000,0.0,-47.012,-2.073,-13.902
1697206130193,2023-10-13T14:08:50.193000,0.04,-46.037,-3.963,-10.0
1697206130233,2023-10-13T14:08:50.233000,0.08,-47.195,-5.122,-9.817
1697206130273,2023-10-13T14:08:50.273000,0.12,-51.646,-0.183,-10.244
1697206130313,2023-10-13T14:08:50.313000,0.16,-49.207,-0.732,-11.463
1697206130353,2023-10-13T14:08:50.353000,0.2,-42.561,-5.793,-8.049
1697206130393,2023-10-13T14:08:50.393000,0.24,-35.854,-10.549,-9.085
1697206130433,2023-10-13T14:08:50.433000,0.28,-32.927,-12.622,-8.902
1697206130473,2023-10-13T14:08:50.473000,0.32,-28.72,-7.927,-5.366
1697206130513,2023-10-13T14:08:50.513000,0.36,-22.805,-15.305,-6.402
1697206130553,2023-10-13T14:08:50.553000,0.4,-18.476,-7.439,-8.232
1697206130593,2023-10-13T14:08:50.593000,0.44,-10.488,-7.622,-3.841
1697206130633,2023-10-13T14:08:50.633000,0.48,-5.427,-9.573,-2.622
1697206130673,2023-10-13T14:08:50.673000,0.52,-1.28,-13.293,-2.622
1697206130713,2023-10-13T14:08:50.713000,0.56,-2.5,-5.549,0.366
1697206130753,2023-10-13T14:08:50.753000,0.6,1.402,-5.305,1.768
1697206130793,2023-10-13T14:08:50.793000,0.64,-0.061,2.256,4.512
1697206130833,2023-10-13T14:08:50.833000,0.68,4.207,-5.549,4.268
1697206130873,2023-10-13T14:08:50.873000,0.72,5.244,-0.793,4.085
1697206130913,2023-10-13T14:08:50.913000,0.76,1.28,2.439,2.927
1697206130953,2023-10-13T14:08:50.953000,0.8,7.805,-3.476,4.634
1697206130993,2023-10-13T14:08:50.993000,0.84,6.768,4.878,5.488
1697206131033,2023-10-13T14:08:51.033000,0.88,5.793,2.317,3.78
1697206131073,2023-10-13T14:08:51.073000,0.92,0.183,4.39,7.317
1697206131113,2023-10-13T14:08:51.113000,0.96,8.598,-13.354,0.366
1697206131153,2023-10-13T14:08:51.153000,1.0,8.232,-6.524,-1.829
1697206131193,2023-10-13T14:08:51.193000,1.04,9.939,-8.415,-3.963
1697206131233,2023-10-13T14:08:51.233000,1.08,20.732,-8.598,-11.28
1697206131273,2023-10-13T14:08:51.273000,1.12,31.829,-13.963,-15.366
1697206131313,2023-10-13T14:08:51.313000,1.16,36.22,-27.378,-22.073
1697206131353,2023-10-13T14:08:51.353000,1.2,39.817,-48.902,-30.366
1697206131393,2023-10-13T14:08:51.393000,1.24,33.476,-50.549,-38.232
1697206131433,2023-10-13T14:08:51.433000,1.28,34.085,-40.305,-37.622
1697206131473,2023-10-13T14:08:51.473000,1.32,37.805,-38.293,-35.549
1697206131513,2023-10-13T14:08:51.513000,1.36,38.232,-23.72,-32.805
1697206131553,2023-10-13T14:08:51.553000,1.4,39.939,-22.683,-27.866
1697206131593,2023-10-13T14:08:51.593000,1.44,38.11,-24.39,-20.976
1697206131633,2023-10-13T14:08:51.633000,1.48,42.134,-22.622,-6.646
1697206131673,2023-10-13T14:08:51.673000,1.52,41.829,-29.634,12.195
1697206131713,2023-10-13T14:08:51.713000,1.56,30.244,-8.049,19.451
1697206131753,2023-10-13T14:08:51.753000,1.6,32.256,3.11,14.39
1697206131793,2023-10-13T14:08:51.793000,1.64,21.951,0.0,-4.878
1697206131833,2023-10-13T14:08:51.833000,1.68,2.927,13.902,-8.171
1697206131873,2023-10-13T14:08:51.873000,1.72,-5.488,26.22,3.11
1697206131913,2023-10-13T14:08:51.913000,1.76,-21.951,27.5,12.439
1697206131953,2023-10-13T14:08:51.953000,1.8,-32.744,21.951,25.61
1697206131993,2023-10-13T14:08:51.993000,1.84,-47.439,20.0,21.707
1697206132033,2023-10-13T14:08:52.033000,1.88,-60.915,17.744,23.537
1697206132073,2023-10-13T14:08:52.073000,1.92,-60.61,19.817,20.488
1697206132113,2023-10-13T14:08:52.113000,1.96,-53.476,14.39,18.963
1697206132153,2023-10-13T14:08:52.153000,2.0,-37.683,13.171,24.939
1697206132193,2023-10-13T14:08:52.193000,2.04,-27.378,3.11,20.366
1697206132233,2023-10-13T14:08:52.233000,2.08,-32.866,3.598,18.537
1697206132273,2023-10-13T14:08:52.273000,2.12,-21.89,-2.561,12.622
1697206132313,2023-10-13T14:08:52.313000,2.16,-26.22,11.768,8.049
1697206132353,2023-10-13T14:08:52.353000,2.2,-17.378,6.159,6.829
1697206132393,2023-10-13T14:08:52.393000,2.24,-14.146,4.878,3.049
1697206132433,2023-10-13T14:08:52.433000,2.28,-7.866,2.256,2.622
1697206132473,2023-10-13T14:08:52.473000,2.32,-7.012,5.854,0.305
1697206132513,2023-10-13T14:08:52.513000,2.36,-3.902,-0.061,2.195
1697206132553,2023-10-13T14:08:52.553000,2.4,-4.207,6.159,5.61
1697206132593,2023-10-13T14:08:52.593000,2.44,-2.378,8.11,3.476
1697206132633,2023-10-13T14:08:52.633000,2.48,3.293,7.622,4.695
1697206132673,2023-10-13T14:08:52.673000,2.52,11.463,-4.573,4.085
1697206132713,2023-10-13T14:08:52.713000,2.56,9.695,3.72,-1.524
1697206132753,2023-10-13T14:08:52.753000,2.6,9.878,12.317,-10.671
1697206132793,2023-10-13T14:08:52.793000,2.64,17.195,5.976,-21.402
1697206132833,2023-10-13T14:08:52.833000,2.68,21.89,-5.976,-23.78
1697206132873,2023-10-13T14:08:52.873000,2.72,44.207,-24.024,-29.451
1697206132913,2023-10-13T14:08:52.913000,2.76,49.207,-24.39,-30.488
1697206132953,2023-10-13T14:08:52.953000,2.8,59.756,-16.646,-33.72
1697206132993,2023-10-13T14:08:52.993000,2.84,68.537,-24.024,-34.329
1697206133033,2023-10-13T14:08:53.033000,2.88,70.976,-39.634,-28.049
1697206133073,2023-10-13T14:08:53.073000,2.92,68.72,-59.39,-32.805
1697206133113,2023-10-13T14:08:53.113000,2.96,62.805,-46.463,-38.841
1697206133153,2023-10-13T14:08:53.153000,3.0,54.268,-32.866,-34.512
1697206133193,2023-10-13T14:08:53.193000,3.04,31.463,-30.0,-24.878
1697206133233,2023-10-13T14:08:53.233000,3.08,-5.793,17.561,-5.61
1697206133273,2023-10-13T14:08:53.273000,3.12,7.378,36.524,6.951
1697206133313,2023-10-13T14:08:53.313000,3.16,47.927,10.61,-10.244
1697206133353,2023-10-13T14:08:53.353000,3.2,6.89,70.793,1.037
1697206133393,2023-10-13T14:08:53.393000,3.24,-51.707,80.244,10.183
1697206133433,2023-10-13T14:08:53.433000,3.28,-29.939,-26.585,43.537
1697206133473,2023-10-13T14:08:53.473000,3.32,-22.439,-47.134,68.841
1697206133513,2023-10-13T14:08:53.513000,3.36,-40.122,10.061,44.451
1697206133553,2023-10-13T14:08:53.553000,3.4,-75.732,16.037,19.878
1697206133593,2023-10-13T14:08:53.593000,3.44,-78.537,17.866,19.329
1697206133633,2023-10-13T14:08:53.633000,3.48,-65.671,18.171,21.585
1697206133673,2023-10-13T14:08:53.673000,3.52,-52.622,6.951,23.537
1697206133713,2023-10-13T14:08:53.713000,3.56,-49.573,19.268,12.866
1697206133753,2023-10-13T14:08:53.753000,3.6,-37.073,-0.366,18.659
