epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697119537530,2023-10-12T14:05:37.530000,0.0,-0.015,-0.938,0.052
1697119537610,2023-10-12T14:05:37.610000,0.08,-0.031,-0.979,0.017
1697119537690,2023-10-12T14:05:37.690000,0.16,-0.036,-1.036,-0.042
1697119537770,2023-10-12T14:05:37.770000,0.24,-0.021,-1.044,-0.023
1697119537850,2023-10-12T14:05:37.850000,0.32,-0.021,-1.053,-0.04
1697119537930,2023-10-12T14:05:37.930000,0.4,-0.021,-1.062,-0.055
1697119538010,2023-10-12T14:05:38.010000,0.48,-0.037,-1.068,-0.076
1697119538090,2023-10-12T14:05:38.090000,0.56,-0.012,-1.057,-0.031
1697119538170,2023-10-12T14:05:38.170000,0.64,-0.024,-1.088,-0.068
1697119538250,2023-10-12T14:05:38.250000,0.72,-0.041,-1.161,-0.059
1697119538330,2023-10-12T14:05:38.330000,0.8,-0.041,-1.274,-0.1
1697119538410,2023-10-12T14:05:38.410000,0.88,-0.046,-1.404,-0.087
1697119538490,2023-10-12T14:05:38.490000,0.96,-0.02,-1.501,-0.081
1697119538570,2023-10-12T14:05:38.570000,1.04,0.001,-1.497,-0.042
1697119538650,2023-10-12T14:05:38.650000,1.12,0.051,-1.379,0.021
1697119538730,2023-10-12T14:05:38.730000,1.2,0.161,-1.142,0.108
1697119538810,2023-10-12T14:05:38.810000,1.28,0.2,-0.866,0.208
1697119538890,2023-10-12T14:05:38.890000,1.36,0.152,-0.515,0.126
1697119538970,2023-10-12T14:05:38.970000,1.44,0.076,-0.124,0.12
1697119539050,2023-10-12T14:05:39.050000,1.52,0.041,-0.154,0.164
1697119539130,2023-10-12T14:05:39.130000,1.6,0.117,-0.616,0.138
1697119539210,2023-10-12T14:05:39.210000,1.68,0.193,-1.021,0.271
1697119539290,2023-10-12T14:05:39.290000,1.76,0.096,-1.177,0.238
1697119539370,2023-10-12T14:05:39.370000,1.84,0.015,-1.215,0.08
1697119539450,2023-10-12T14:05:39.450000,1.92,0.009,-1.122,0.054
1697119539530,2023-10-12T14:05:39.530000,2.0,0.026,-1.081,0.036
1697119539610,2023-10-12T14:05:39.610000,2.08,-0.028,-1.072,0.032
1697119539690,2023-10-12T14:05:39.690000,2.16,-0.039,-1.18,-0.024
1697119539770,2023-10-12T14:05:39.770000,2.24,-0.042,-1.371,-0.021
1697119539850,2023-10-12T14:05:39.850000,2.32,-0.048,-1.523,-0.049
1697119539930,2023-10-12T14:05:39.930000,2.4,-0.041,-1.507,-0.023
1697119540010,2023-10-12T14:05:40.010000,2.48,-0.021,-1.366,-0.012
1697119540090,2023-10-12T14:05:40.090000,2.56,0.089,-1.175,0.09
1697119540170,2023-10-12T14:05:40.170000,2.64,0.204,-1.021,0.249
1697119540250,2023-10-12T14:05:40.250000,2.72,0.068,-0.68,0.17
1697119540330,2023-10-12T14:05:40.330000,2.8,0.083,-0.189,0.115
1697119540410,2023-10-12T14:05:40.410000,2.88,0.064,-0.117,0.185
1697119540490,2023-10-12T14:05:40.490000,2.96,0.12,-0.518,0.172
1697119540570,2023-10-12T14:05:40.570000,3.04,0.147,-0.913,0.25
1697119540650,2023-10-12T14:05:40.650000,3.12,0.101,-1.136,0.202
1697119540730,2023-10-12T14:05:40.730000,3.2,-0.003,-1.212,0.049
1697119540810,2023-10-12T14:05:40.810000,3.28,-0.032,-1.198,0.009
1697119540890,2023-10-12T14:05:40.890000,3.36,-0.03,-1.166,-0.021
1697119540970,2023-10-12T14:05:40.970000,3.44,-0.065,-1.128,-0.03
1697119541050,2023-10-12T14:05:41.050000,3.52,-0.042,-1.121,-0.021
1697119541130,2023-10-12T14:05:41.130000,3.6,-0.011,-1.229,-0.014
1697119541210,2023-10-12T14:05:41.210000,3.68,-0.068,-1.354,-0.021
1697119541290,2023-10-12T14:05:41.290000,3.76,-0.052,-1.435,-0.067
1697119541370,2023-10-12T14:05:41.370000,3.84,-0.034,-1.374,-0.007
1697119541450,2023-10-12T14:05:41.450000,3.92,0.003,-1.265,0.063
