epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697206130150,2023-10-13T14:08:50.150000,0.0,-0.012,-0.865,0.187
1697206130230,2023-10-13T14:08:50.230000,0.08,0.005,-0.887,0.101
1697206130310,2023-10-13T14:08:50.310000,0.16,0.013,-0.929,0.102
1697206130390,2023-10-13T14:08:50.390000,0.24,0.015,-0.99,0.028
1697206130470,2023-10-13T14:08:50.470000,0.32,0.027,-1.009,-0.001
1697206130550,2023-10-13T14:08:50.550000,0.4,0.015,-1.016,-0.025
1697206130630,2023-10-13T14:08:50.630000,0.48,0.032,-1.048,-0.067
1697206130710,2023-10-13T14:08:50.710000,0.56,0.021,-1.024,-0.072
1697206130790,2023-10-13T14:08:50.790000,0.64,0.043,-1.025,-0.079
1697206130870,2023-10-13T14:08:50.870000,0.72,0.03,-1.073,-0.126
1697206130950,2023-10-13T14:08:50.950000,0.8,0.015,-1.096,-0.106
1697206131030,2023-10-13T14:08:51.030000,0.88,0.035,-1.156,-0.125
1697206131110,2023-10-13T14:08:51.110000,0.96,0.031,-1.283,-0.151
1697206131190,2023-10-13T14:08:51.190000,1.04,0.024,-1.403,-0.168
1697206131270,2023-10-13T14:08:51.270000,1.12,0.062,-1.485,-0.183
1697206131350,2023-10-13T14:08:51.350000,1.2,0.044,-1.459,-0.173
1697206131430,2023-10-13T14:08:51.430000,1.28,0.136,-1.338,-0.041
1697206131510,2023-10-13T14:08:51.510000,1.36,0.187,-1.191,0.126
1697206131590,2023-10-13T14:08:51.590000,1.44,0.207,-0.974,0.145
1697206131670,2023-10-13T14:08:51.670000,1.52,0.148,-0.687,0.109
1697206131750,2023-10-13T14:08:51.750000,1.6,0.087,-0.26,0.101
1697206131830,2023-10-13T14:08:51.830000,1.68,0.041,-0.11,0.161
1697206131910,2023-10-13T14:08:51.910000,1.76,0.119,-0.473,0.174
1697206131990,2023-10-13T14:08:51.990000,1.84,0.228,-0.913,0.262
1697206132070,2023-10-13T14:08:52.070000,1.92,0.17,-1.123,0.198
1697206132150,2023-10-13T14:08:52.150000,2.0,0.137,-1.189,0.076
1697206132230,2023-10-13T14:08:52.230000,2.08,0.092,-1.178,0.007
1697206132310,2023-10-13T14:08:52.310000,2.16,0.07,-1.146,-0.014
1697206132390,2023-10-13T14:08:52.390000,2.24,0.06,-1.082,-0.047
1697206132470,2023-10-13T14:08:52.470000,2.32,0.022,-1.043,-0.07
1697206132550,2023-10-13T14:08:52.550000,2.4,0.041,-1.05,-0.061
1697206132630,2023-10-13T14:08:52.630000,2.48,0.039,-1.123,-0.094
1697206132710,2023-10-13T14:08:52.710000,2.56,0.031,-1.31,-0.148
1697206132790,2023-10-13T14:08:52.790000,2.64,0.061,-1.454,-0.104
1697206132870,2023-10-13T14:08:52.870000,2.72,0.072,-1.482,-0.128
1697206132950,2023-10-13T14:08:52.950000,2.8,0.168,-1.397,-0.018
1697206133030,2023-10-13T14:08:53.030000,2.88,0.191,-1.262,0.067
1697206133110,2023-10-13T14:08:53.110000,2.96,0.208,-1.061,0.19
1697206133190,2023-10-13T14:08:53.190000,3.04,0.239,-0.799,0.246
1697206133270,2023-10-13T14:08:53.270000,3.12,-0.001,-0.344,0.085
