epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697205937168,2023-10-13T14:05:37.168000,0.0,-26.098,-10.976,-0.427
1697205937208,2023-10-13T14:05:37.208000,0.04,-27.317,-7.988,-1.28
1697205937248,2023-10-13T14:05:37.248000,0.08,-34.695,3.598,-2.012
1697205937288,2023-10-13T14:05:37.288000,0.12,-39.268,1.707,-4.085
1697205937328,2023-10-13T14:05:37.328000,0.16,-39.695,-3.659,-5.732
1697205937368,2023-10-13T14:05:37.368000,0.2,-37.744,-3.659,-6.159
1697205937408,2023-10-13T14:05:37.408000,0.24,-38.171,-5.793,-6.402
1697205937448,2023-10-13T14:05:37.448000,0.28,-40.793,-3.049,-6.402
1697205937488,2023-10-13T14:05:37.488000,0.32,-36.402,-5.976,-1.768
1697205937528,2023-10-13T14:05:37.528000,0.36,-34.085,-4.329,-3.476
1697205937568,2023-10-13T14:05:37.568000,0.4,-30.061,-7.195,-4.024
1697205937608,2023-10-13T14:05:37.608000,0.44,-27.744,3.354,-4.39
1697205937648,2023-10-13T14:05:37.648000,0.48,-16.341,-11.585,-4.817
1697205937688,2023-10-13T14:05:37.688000,0.52,-12.561,-10.122,-2.744
1697205937728,2023-10-13T14:05:37.728000,0.56,-6.159,-9.756,-0.549
1697205937768,2023-10-13T14:05:37.768000,0.6,-3.11,-4.512,-2.317
1697205937808,2023-10-13T14:05:37.808000,0.64,1.402,-7.622,-3.049
1697205937848,2023-10-13T14:05:37.848000,0.68,3.902,-2.073,-1.159
1697205937888,2023-10-13T14:05:37.888000,0.72,5.061,1.707,-0.244
1697205937928,2023-10-13T14:05:37.928000,0.76,7.561,1.341,-0.732
1697205937968,2023-10-13T14:05:37.968000,0.8,10.0,-4.939,2.439
1697205938008,2023-10-13T14:05:38.008000,0.84,10.244,-4.634,1.402
1697205938048,2023-10-13T14:05:38.048000,0.88,0.854,4.085,1.524
1697205938088,2023-10-13T14:05:38.088000,0.92,1.037,7.622,6.22
1697205938128,2023-10-13T14:05:38.128000,0.96,0.976,8.11,9.634
1697205938168,2023-10-13T14:05:38.168000,1.0,3.598,3.049,3.354
1697205938208,2023-10-13T14:05:38.208000,1.04,2.5,8.537,2.012
1697205938248,2023-10-13T14:05:38.248000,1.08,4.024,4.39,4.756
1697205938288,2023-10-13T14:05:38.288000,1.12,10.488,0.244,2.683
1697205938328,2023-10-13T14:05:38.328000,1.16,13.11,0.122,-3.11
1697205938368,2023-10-13T14:05:38.368000,1.2,13.659,-2.744,-10.915
1697205938408,2023-10-13T14:05:38.408000,1.24,20.793,-5.244,-13.11
1697205938448,2023-10-13T14:05:38.448000,1.28,28.476,-8.476,-17.927
1697205938488,2023-10-13T14:05:38.488000,1.32,31.341,-10.061,-25.366
1697205938528,2023-10-13T14:05:38.528000,1.36,31.951,-22.378,-34.39
1697205938568,2023-10-13T14:05:38.568000,1.4,30.305,-36.098,-35.122
1697205938608,2023-10-13T14:05:38.608000,1.44,36.89,-38.963,-36.524
1697205938648,2023-10-13T14:05:38.648000,1.48,42.744,-46.89,-33.476
1697205938688,2023-10-13T14:05:38.688000,1.52,42.378,-52.866,-33.598
1697205938728,2023-10-13T14:05:38.728000,1.56,32.012,-54.878,-35.793
1697205938768,2023-10-13T14:05:38.768000,1.6,28.232,-37.805,-23.902
1697205938808,2023-10-13T14:05:38.808000,1.64,18.78,-35.671,-9.817
1697205938848,2023-10-13T14:05:38.848000,1.68,19.817,-37.927,17.378
1697205938888,2023-10-13T14:05:38.888000,1.72,10.0,-19.878,38.902
1697205938928,2023-10-13T14:05:38.928000,1.76,15.183,2.378,38.537
1697205938968,2023-10-13T14:05:38.968000,1.8,15.0,-5.61,21.22
1697205939008,2023-10-13T14:05:39.008000,1.84,1.646,8.232,0.061
1697205939048,2023-10-13T14:05:39.048000,1.88,-6.646,27.927,1.037
