epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697119300179,2023-10-12T14:01:40.179000,0.0,-0.037,-0.854,0.271
1697119300259,2023-10-12T14:01:40.259000,0.08,-0.046,-0.903,0.217
1697119300339,2023-10-12T14:01:40.339000,0.16,-0.039,-0.865,0.131
1697119300419,2023-10-12T14:01:40.419000,0.24,0.019,-0.888,0.096
1697119300499,2023-10-12T14:01:40.499000,0.32,-0.011,-0.973,0.01
1697119300579,2023-10-12T14:01:40.579000,0.4,-0.033,-1.042,-0.015
1697119300659,2023-10-12T14:01:40.659000,0.48,-0.017,-1.053,-0.042
1697119300739,2023-10-12T14:01:40.739000,0.56,-0.02,-1.04,-0.043
1697119300819,2023-10-12T14:01:40.819000,0.64,-0.041,-1.074,-0.04
1697119300899,2023-10-12T14:01:40.899000,0.72,-0.018,-1.104,-0.078
1697119300979,2023-10-12T14:01:40.979000,0.8,-0.034,-1.118,-0.069
1697119301059,2023-10-12T14:01:41.059000,0.88,-0.025,-1.199,-0.078
1697119301139,2023-10-12T14:01:41.139000,0.96,-0.065,-1.36,-0.106
1697119301219,2023-10-12T14:01:41.219000,1.04,-0.064,-1.471,-0.118
1697119301299,2023-10-12T14:01:41.299000,1.12,-0.016,-1.491,-0.093
1697119301379,2023-10-12T14:01:41.379000,1.2,0.078,-1.422,-0.095
1697119301459,2023-10-12T14:01:41.459000,1.28,0.114,-1.322,0.034
1697119301539,2023-10-12T14:01:41.539000,1.36,0.188,-1.124,0.163
1697119301619,2023-10-12T14:01:41.619000,1.44,0.23,-0.77,0.18
1697119301699,2023-10-12T14:01:41.699000,1.52,0.09,-0.263,0.154
1697119301779,2023-10-12T14:01:41.779000,1.6,0.007,-0.029,0.231
1697119301859,2023-10-12T14:01:41.859000,1.68,0.145,-0.39,0.124
1697119301939,2023-10-12T14:01:41.939000,1.76,0.182,-0.858,0.225
1697119302019,2023-10-12T14:01:42.019000,1.84,0.178,-1.079,0.233
1697119302099,2023-10-12T14:01:42.099000,1.92,0.106,-1.113,0.12
1697119302179,2023-10-12T14:01:42.179000,2.0,0.068,-1.14,0.047
1697119302259,2023-10-12T14:01:42.259000,2.08,0.001,-1.123,0.019
1697119302339,2023-10-12T14:01:42.339000,2.16,0.008,-1.068,-0.005
1697119302419,2023-10-12T14:01:42.419000,2.24,0.002,-1.087,-0.019
1697119302499,2023-10-12T14:01:42.499000,2.32,-0.032,-1.251,-0.029
1697119302579,2023-10-12T14:01:42.579000,2.4,-0.022,-1.468,-0.066
1697119302659,2023-10-12T14:01:42.659000,2.48,-0.032,-1.58,-0.086
1697119302739,2023-10-12T14:01:42.739000,2.56,0.053,-1.511,0.006
1697119302819,2023-10-12T14:01:42.819000,2.64,0.114,-1.32,0.098
1697119302899,2023-10-12T14:01:42.899000,2.72,0.166,-1.014,0.208
1697119302979,2023-10-12T14:01:42.979000,2.8,0.125,-0.487,0.151
1697119303059,2023-10-12T14:01:43.059000,2.88,-0.0,-0.07,0.22
1697119303139,2023-10-12T14:01:43.139000,2.96,0.036,-0.249,0.133
1697119303219,2023-10-12T14:01:43.219000,3.04,0.137,-0.701,0.17
1697119303299,2023-10-12T14:01:43.299000,3.12,0.119,-0.987,0.214
1697119303379,2023-10-12T14:01:43.379000,3.2,0.121,-1.096,0.144
1697119303459,2023-10-12T14:01:43.459000,3.28,0.095,-1.127,0.088
1697119303539,2023-10-12T14:01:43.539000,3.36,0.004,-1.151,-0.017
1697119303619,2023-10-12T14:01:43.619000,3.44,-0.018,-1.158,-0.019
1697119303699,2023-10-12T14:01:43.699000,3.52,-0.005,-1.166,-0.081
1697119303779,2023-10-12T14:01:43.779000,3.6,-0.024,-1.272,-0.069
1697119303859,2023-10-12T14:01:43.859000,3.68,-0.034,-1.416,-0.081
1697119303939,2023-10-12T14:01:43.939000,3.76,0.033,-1.471,-0.086
1697119304019,2023-10-12T14:01:44.019000,3.84,0.008,-1.421,-0.082
1697119304099,2023-10-12T14:01:44.099000,3.92,0.063,-1.347,-0.001
1697119304179,2023-10-12T14:01:44.179000,4.0,0.139,-1.156,0.134
1697119304259,2023-10-12T14:01:44.259000,4.08,0.196,-0.899,0.243
1697119304339,2023-10-12T14:01:44.339000,4.16,0.136,-0.574,0.159
1697119304419,2023-10-12T14:01:44.419000,4.24,0.049,-0.133,0.133
1697119304499,2023-10-12T14:01:44.499000,4.32,0.014,-0.183,0.165
1697119304579,2023-10-12T14:01:44.579000,4.4,0.146,-0.699,0.163
1697119304659,2023-10-12T14:01:44.659000,4.48,0.176,-1.079,0.174
1697119304739,2023-10-12T14:01:44.739000,4.56,0.108,-1.131,0.147
1697119304819,2023-10-12T14:01:44.819000,4.64,0.08,-1.173,0.031
1697119304899,2023-10-12T14:01:44.899000,4.72,0.033,-1.138,-0.047
1697119304979,2023-10-12T14:01:44.979000,4.8,0.041,-1.138,-0.012
1697119305059,2023-10-12T14:01:45.059000,4.88,0.004,-1.192,-0.065
1697119305139,2023-10-12T14:01:45.139000,4.96,-0.009,-1.323,-0.082
1697119305219,2023-10-12T14:01:45.219000,5.04,0.007,-1.477,-0.051
1697119305299,2023-10-12T14:01:45.299000,5.12,0.026,-1.504,-0.069
1697119305379,2023-10-12T14:01:45.379000,5.2,0.117,-1.391,0.004
1697119305459,2023-10-12T14:01:45.459000,5.28,0.179,-1.233,0.143
1697119305539,2023-10-12T14:01:45.539000,5.36,0.242,-1.055,0.189
1697119305619,2023-10-12T14:01:45.619000,5.44,0.154,-0.756,0.243
1697119305699,2023-10-12T14:01:45.699000,5.52,0.027,-0.314,0.164
1697119305779,2023-10-12T14:01:45.779000,5.6,0.012,-0.127,0.144
1697119305859,2023-10-12T14:01:45.859000,5.68,0.09,-0.482,0.157
1697119305939,2023-10-12T14:01:45.939000,5.76,0.131,-0.88,0.233
1697119306019,2023-10-12T14:01:46.019000,5.84,0.16,-1.048,0.236
1697119306099,2023-10-12T14:01:46.099000,5.92,0.125,-1.126,0.136
1697119306179,2023-10-12T14:01:46.179000,6.0,0.064,-1.125,0.082
1697119306259,2023-10-12T14:01:46.259000,6.08,0.057,-1.078,-0.016
1697119306339,2023-10-12T14:01:46.339000,6.16,-0.017,-1.124,-0.02
1697119306419,2023-10-12T14:01:46.419000,6.24,-0.064,-1.191,-0.073
1697119306499,2023-10-12T14:01:46.499000,6.32,-0.037,-1.276,-0.065
1697119306579,2023-10-12T14:01:46.579000,6.4,-0.059,-1.416,-0.072
1697119306659,2023-10-12T14:01:46.659000,6.48,-0.038,-1.482,-0.103
1697119306739,2023-10-12T14:01:46.739000,6.56,0.012,-1.417,-0.047
1697119306819,2023-10-12T14:01:46.819000,6.64,0.091,-1.231,0.087
1697119306899,2023-10-12T14:01:46.899000,6.72,0.144,-1.137,0.169
1697119306979,2023-10-12T14:01:46.979000,6.8,0.168,-0.977,0.219
1697119307059,2023-10-12T14:01:47.059000,6.88,0.129,-0.694,0.211
1697119307139,2023-10-12T14:01:47.139000,6.96,0.047,-0.255,0.151
1697119307219,2023-10-12T14:01:47.219000,7.04,0.043,-0.186,0.16
1697119307299,2023-10-12T14:01:47.299000,7.12,0.141,-0.667,0.212
1697119307379,2023-10-12T14:01:47.379000,7.2,0.126,-0.966,0.245
1697119307459,2023-10-12T14:01:47.459000,7.28,0.11,-1.071,0.175
1697119307539,2023-10-12T14:01:47.539000,7.36,0.073,-1.125,0.134
1697119307619,2023-10-12T14:01:47.619000,7.44,0.055,-1.149,0.037
1697119307699,2023-10-12T14:01:47.699000,7.52,-0.044,-1.15,-0.111
1697119307779,2023-10-12T14:01:47.779000,7.6,-0.095,-1.165,-0.094
1697119307859,2023-10-12T14:01:47.859000,7.68,-0.063,-1.276,-0.079
1697119307939,2023-10-12T14:01:47.939000,7.76,-0.079,-1.441,-0.096
1697119308019,2023-10-12T14:01:48.019000,7.84,-0.053,-1.499,-0.042
1697119308099,2023-10-12T14:01:48.099000,7.92,-0.002,-1.412,-0.068
1697119308179,2023-10-12T14:01:48.179000,8.0,0.076,-1.306,0.105
1697119308259,2023-10-12T14:01:48.259000,8.08,0.124,-1.106,0.167
1697119308339,2023-10-12T14:01:48.339000,8.16,0.152,-0.822,0.219
1697119308419,2023-10-12T14:01:48.419000,8.24,0.059,-0.352,0.145
1697119308499,2023-10-12T14:01:48.499000,8.32,0.025,-0.097,0.184
1697119308579,2023-10-12T14:01:48.579000,8.4,0.107,-0.402,0.155
1697119308659,2023-10-12T14:01:48.659000,8.48,0.134,-0.801,0.266
1697119308739,2023-10-12T14:01:48.739000,8.56,0.181,-1.042,0.248
1697119308819,2023-10-12T14:01:48.819000,8.64,0.139,-1.117,0.149
1697119308899,2023-10-12T14:01:48.899000,8.72,0.035,-1.175,0.08
1697119308979,2023-10-12T14:01:48.979000,8.8,-0.068,-1.24,0.068
1697119309059,2023-10-12T14:01:49.059000,8.88,0.01,-1.169,0.056
1697119309139,2023-10-12T14:01:49.139000,8.96,0.045,-1.067,-0.009
1697119309219,2023-10-12T14:01:49.219000,9.04,0.276,-1.098,-0.157
1697119309299,2023-10-12T14:01:49.299000,9.12,-0.1,-1.356,0.158
1697119309379,2023-10-12T14:01:49.379000,9.2,-0.069,-1.602,0.021
1697119309459,2023-10-12T14:01:49.459000,9.28,0.045,-1.527,-0.018
1697119309539,2023-10-12T14:01:49.539000,9.36,0.134,-1.375,0.027
1697119309619,2023-10-12T14:01:49.619000,9.44,0.179,-1.146,0.147
1697119309699,2023-10-12T14:01:49.699000,9.52,0.172,-0.883,0.265
1697119309779,2023-10-12T14:01:49.779000,9.6,0.122,-0.46,0.18
1697119309859,2023-10-12T14:01:49.859000,9.68,0.056,-0.11,0.143
1697119309939,2023-10-12T14:01:49.939000,9.76,0.081,-0.245,0.075
1697119310019,2023-10-12T14:01:50.019000,9.84,0.176,-0.713,0.175
1697119310099,2023-10-12T14:01:50.099000,9.92,0.133,-1.024,0.259
1697119310179,2023-10-12T14:01:50.179000,10.0,0.073,-1.129,0.197
1697119310259,2023-10-12T14:01:50.259000,10.08,0.066,-1.154,0.043
1697119310339,2023-10-12T14:01:50.339000,10.16,-0.003,-1.116,0.046
1697119310419,2023-10-12T14:01:50.419000,10.24,-0.034,-1.163,0.022
1697119310499,2023-10-12T14:01:50.499000,10.32,-0.048,-1.203,-0.141
1697119310579,2023-10-12T14:01:50.579000,10.4,-0.07,-1.264,-0.077
1697119310659,2023-10-12T14:01:50.659000,10.48,-0.043,-1.371,-0.047
1697119310739,2023-10-12T14:01:50.739000,10.56,-0.04,-1.5,-0.086
1697119310819,2023-10-12T14:01:50.819000,10.64,-0.0,-1.485,-0.007
1697119310899,2023-10-12T14:01:50.899000,10.72,0.1,-1.423,0.07
1697119310979,2023-10-12T14:01:50.979000,10.8,0.167,-1.219,0.147
1697119311059,2023-10-12T14:01:51.059000,10.88,0.257,-0.787,0.237
1697119311139,2023-10-12T14:01:51.139000,10.96,0.106,-0.313,0.191
1697119311219,2023-10-12T14:01:51.219000,11.04,0.024,0.011,0.122
1697119311299,2023-10-12T14:01:51.299000,11.12,0.127,-0.25,0.117
