epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697205699894,2023-10-13T14:01:39.894000,0.0,-6.89,-0.305,-3.841
1697205699934,2023-10-13T14:01:39.934000,0.04,-7.439,0.122,-4.024
1697205699974,2023-10-13T14:01:39.974000,0.08,-10.488,-0.671,-6.768
1697205700014,2023-10-13T14:01:40.014000,0.12,-15.488,4.39,-7.256
1697205700054,2023-10-13T14:01:40.054000,0.16,-22.927,0.549,-5.488
1697205700094,2023-10-13T14:01:40.094000,0.2,-30.183,-6.22,-5.488
1697205700134,2023-10-13T14:01:40.134000,0.24,-40.854,-4.146,-6.098
1697205700174,2023-10-13T14:01:40.174000,0.28,-49.634,-2.988,-7.5
1697205700214,2023-10-13T14:01:40.214000,0.32,-55.366,-11.22,-10.488
1697205700254,2023-10-13T14:01:40.254000,0.36,-54.695,-7.439,-14.512
1697205700294,2023-10-13T14:01:40.294000,0.4,-58.171,-7.256,-11.646
1697205700334,2023-10-13T14:01:40.334000,0.44,-58.72,-12.561,-9.085
1697205700374,2023-10-13T14:01:40.374000,0.48,-54.756,-3.11,-3.963
1697205700414,2023-10-13T14:01:40.414000,0.52,-47.134,-1.524,2.317
1697205700454,2023-10-13T14:01:40.454000,0.56,-35.183,-5.427,2.805
1697205700494,2023-10-13T14:01:40.494000,0.6,-31.341,-0.732,-1.22
1697205700534,2023-10-13T14:01:40.534000,0.64,-24.39,-0.976,1.585
1697205700574,2023-10-13T14:01:40.574000,0.68,-19.146,-6.707,-0.854
1697205700614,2023-10-13T14:01:40.614000,0.72,-12.439,-11.707,-1.341
1697205700654,2023-10-13T14:01:40.654000,0.76,-7.256,-2.988,1.28
1697205700694,2023-10-13T14:01:40.694000,0.8,-2.561,-6.28,4.024
1697205700734,2023-10-13T14:01:40.734000,0.84,-1.829,-1.951,2.622
1697205700774,2023-10-13T14:01:40.774000,0.88,1.463,-1.89,0.183
1697205700814,2023-10-13T14:01:40.814000,0.92,2.256,2.195,2.378
1697205700854,2023-10-13T14:01:40.854000,0.96,7.439,3.659,5.915
1697205700894,2023-10-13T14:01:40.894000,1.0,8.171,4.268,4.573
1697205700934,2023-10-13T14:01:40.934000,1.04,10.366,-3.659,4.39
1697205700974,2023-10-13T14:01:40.974000,1.08,10.427,3.354,5.183
1697205701014,2023-10-13T14:01:41.014000,1.12,9.756,7.683,4.756
1697205701054,2023-10-13T14:01:41.054000,1.16,9.207,0.183,6.524
1697205701094,2023-10-13T14:01:41.094000,1.2,11.037,-3.963,1.585
1697205701134,2023-10-13T14:01:41.134000,1.24,13.598,-8.354,-4.634
1697205701174,2023-10-13T14:01:41.174000,1.28,13.659,-9.817,-9.451
1697205701214,2023-10-13T14:01:41.214000,1.32,9.817,-20.488,-13.232
1697205701254,2023-10-13T14:01:41.254000,1.36,16.524,-15.061,-28.415
1697205701294,2023-10-13T14:01:41.294000,1.4,34.024,-4.939,-39.878
1697205701334,2023-10-13T14:01:41.334000,1.44,41.402,-24.451,-28.598
1697205701374,2023-10-13T14:01:41.374000,1.48,47.866,-36.402,-32.744
1697205701414,2023-10-13T14:01:41.414000,1.52,45.61,-32.866,-44.146
1697205701454,2023-10-13T14:01:41.454000,1.56,39.329,-40.915,-43.171
1697205701494,2023-10-13T14:01:41.494000,1.6,33.963,-38.354,-45.366
1697205701534,2023-10-13T14:01:41.534000,1.64,28.537,-35.061,-29.817
1697205701574,2023-10-13T14:01:41.574000,1.68,32.927,-34.268,-9.207
1697205701614,2023-10-13T14:01:41.614000,1.72,32.5,-31.707,10.732
1697205701654,2023-10-13T14:01:41.654000,1.76,18.72,-10.061,21.22
1697205701694,2023-10-13T14:01:41.694000,1.8,11.098,-5.366,2.805
1697205701734,2023-10-13T14:01:41.734000,1.84,4.39,-10.0,-12.134
1697205701774,2023-10-13T14:01:41.774000,1.88,2.256,-12.805,-8.11
1697205701814,2023-10-13T14:01:41.814000,1.92,2.317,18.293,9.268
1697205701854,2023-10-13T14:01:41.854000,1.96,-2.378,20.793,19.634
1697205701894,2023-10-13T14:01:41.894000,2.0,-22.134,17.195,25.488
1697205701934,2023-10-13T14:01:41.934000,2.04,-30.549,16.463,25.122
1697205701974,2023-10-13T14:01:41.974000,2.08,-42.622,15.671,28.72
1697205702014,2023-10-13T14:01:42.014000,2.12,-44.39,19.817,26.768
1697205702054,2023-10-13T14:01:42.054000,2.16,-50.427,8.476,25.61
1697205702094,2023-10-13T14:01:42.094000,2.2,-44.817,8.963,27.744
1697205702134,2023-10-13T14:01:42.134000,2.24,-37.195,7.378,19.451
1697205702174,2023-10-13T14:01:42.174000,2.28,-29.146,9.878,17.439
1697205702214,2023-10-13T14:01:42.214000,2.32,-17.378,2.805,10.976
1697205702254,2023-10-13T14:01:42.254000,2.36,-14.39,3.11,9.39
1697205702294,2023-10-13T14:01:42.294000,2.4,-7.195,7.256,9.756
1697205702334,2023-10-13T14:01:42.334000,2.44,-2.378,-2.317,13.841
1697205702374,2023-10-13T14:01:42.374000,2.48,0.671,4.085,15.122
1697205702414,2023-10-13T14:01:42.414000,2.52,0.244,6.037,10.61
1697205702454,2023-10-13T14:01:42.454000,2.56,2.805,12.256,7.195
1697205702494,2023-10-13T14:01:42.494000,2.6,8.232,6.402,5.427
1697205702534,2023-10-13T14:01:42.534000,2.64,11.463,4.756,-0.244
1697205702574,2023-10-13T14:01:42.574000,2.68,17.195,2.134,-5.488
1697205702614,2023-10-13T14:01:42.614000,2.72,28.11,-4.512,-16.341
1697205702654,2023-10-13T14:01:42.654000,2.76,40.122,-22.195,-19.634
1697205702694,2023-10-13T14:01:42.694000,2.8,50.366,-17.439,-26.646
1697205702734,2023-10-13T14:01:42.734000,2.84,56.159,-16.098,-38.841
1697205702774,2023-10-13T14:01:42.774000,2.88,54.451,-23.232,-41.22
1697205702814,2023-10-13T14:01:42.814000,2.92,47.683,-22.683,-37.988
1697205702854,2023-10-13T14:01:42.854000,2.96,39.634,-28.659,-26.707
1697205702894,2023-10-13T14:01:42.894000,3.0,25.671,-33.841,-11.951
1697205702934,2023-10-13T14:01:42.934000,3.04,17.561,-26.951,16.707
1697205702974,2023-10-13T14:01:42.974000,3.08,16.341,-15.549,34.085
1697205703014,2023-10-13T14:01:43.014000,3.12,4.634,-15.671,17.378
1697205703054,2023-10-13T14:01:43.054000,3.16,-10.244,-15.122,-7.561
1697205703094,2023-10-13T14:01:43.094000,3.2,-13.659,-6.28,-17.134
1697205703134,2023-10-13T14:01:43.134000,3.24,-7.988,14.39,-0.915
1697205703174,2023-10-13T14:01:43.174000,3.28,-15.488,14.573,11.707
1697205703214,2023-10-13T14:01:43.214000,3.32,-27.317,20.732,15.732
1697205703254,2023-10-13T14:01:43.254000,3.36,-33.232,15.732,17.5
