epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697205700180,2023-10-13T14:01:40.180000,0.0,-0.037,-0.854,0.271
1697205700260,2023-10-13T14:01:40.260000,0.08,-0.046,-0.903,0.217
1697205700340,2023-10-13T14:01:40.340000,0.16,-0.039,-0.865,0.131
1697205700420,2023-10-13T14:01:40.420000,0.24,0.019,-0.888,0.096
1697205700500,2023-10-13T14:01:40.500000,0.32,-0.011,-0.973,0.01
1697205700580,2023-10-13T14:01:40.580000,0.4,-0.033,-1.042,-0.015
1697205700660,2023-10-13T14:01:40.660000,0.48,-0.017,-1.053,-0.042
1697205700740,2023-10-13T14:01:40.740000,0.56,-0.02,-1.04,-0.043
1697205700820,2023-10-13T14:01:40.820000,0.64,-0.041,-1.074,-0.04
1697205700900,2023-10-13T14:01:40.900000,0.72,-0.018,-1.104,-0.078
1697205700980,2023-10-13T14:01:40.980000,0.8,-0.034,-1.118,-0.069
1697205701060,2023-10-13T14:01:41.060000,0.88,-0.025,-1.199,-0.078
1697205701140,2023-10-13T14:01:41.140000,0.96,-0.065,-1.36,-0.106
1697205701220,2023-10-13T14:01:41.220000,1.04,-0.064,-1.471,-0.118
1697205701300,2023-10-13T14:01:41.300000,1.12,-0.016,-1.491,-0.093
1697205701380,2023-10-13T14:01:41.380000,1.2,0.078,-1.422,-0.095
1697205701460,2023-10-13T14:01:41.460000,1.28,0.114,-1.322,0.034
1697205701540,2023-10-13T14:01:41.540000,1.36,0.188,-1.124,0.163
1697205701620,2023-10-13T14:01:41.620000,1.44,0.23,-0.77,0.18
1697205701700,2023-10-13T14:01:41.700000,1.52,0.09,-0.263,0.154
1697205701780,2023-10-13T14:01:41.780000,1.6,0.007,-0.029,0.231
1697205701860,2023-10-13T14:01:41.860000,1.68,0.145,-0.39,0.124
1697205701940,2023-10-13T14:01:41.940000,1.76,0.182,-0.858,0.225
1697205702020,2023-10-13T14:01:42.020000,1.84,0.178,-1.079,0.233
1697205702100,2023-10-13T14:01:42.100000,1.92,0.106,-1.113,0.12
1697205702180,2023-10-13T14:01:42.180000,2.0,0.068,-1.14,0.047
1697205702260,2023-10-13T14:01:42.260000,2.08,0.001,-1.123,0.019
1697205702340,2023-10-13T14:01:42.340000,2.16,0.008,-1.068,-0.005
1697205702420,2023-10-13T14:01:42.420000,2.24,0.002,-1.087,-0.019
1697205702500,2023-10-13T14:01:42.500000,2.32,-0.032,-1.251,-0.029
1697205702580,2023-10-13T14:01:42.580000,2.4,-0.022,-1.468,-0.066
1697205702660,2023-10-13T14:01:42.660000,2.48,-0.032,-1.58,-0.086
1697205702740,2023-10-13T14:01:42.740000,2.56,0.053,-1.511,0.006
1697205702820,2023-10-13T14:01:42.820000,2.64,0.114,-1.32,0.098
1697205702900,2023-10-13T14:01:42.900000,2.72,0.166,-1.014,0.208
1697205702980,2023-10-13T14:01:42.980000,2.8,0.125,-0.487,0.151
1697205703060,2023-10-13T14:01:43.060000,2.88,-0.0,-0.07,0.22
1697205703140,2023-10-13T14:01:43.140000,2.96,0.036,-0.249,0.133
1697205703220,2023-10-13T14:01:43.220000,3.04,0.137,-0.701,0.17
1697205703300,2023-10-13T14:01:43.300000,3.12,0.119,-0.987,0.214
1697205703380,2023-10-13T14:01:43.380000,3.2,0.121,-1.096,0.144
1697205703460,2023-10-13T14:01:43.460000,3.28,0.095,-1.127,0.088
1697205703540,2023-10-13T14:01:43.540000,3.36,0.004,-1.151,-0.017
1697205703620,2023-10-13T14:01:43.620000,3.44,-0.018,-1.158,-0.019
1697205703700,2023-10-13T14:01:43.700000,3.52,-0.005,-1.166,-0.081
1697205703780,2023-10-13T14:01:43.780000,3.6,-0.024,-1.272,-0.069
1697205703860,2023-10-13T14:01:43.860000,3.68,-0.034,-1.416,-0.081
1697205703940,2023-10-13T14:01:43.940000,3.76,0.033,-1.471,-0.086
1697205704020,2023-10-13T14:01:44.020000,3.84,0.008,-1.421,-0.082
1697205704100,2023-10-13T14:01:44.100000,3.92,0.063,-1.347,-0.001
1697205704180,2023-10-13T14:01:44.180000,4.0,0.139,-1.156,0.134
1697205704260,2023-10-13T14:01:44.260000,4.08,0.196,-0.899,0.243
1697205704340,2023-10-13T14:01:44.340000,4.16,0.136,-0.574,0.159
1697205704420,2023-10-13T14:01:44.420000,4.24,0.049,-0.133,0.133
1697205704500,2023-10-13T14:01:44.500000,4.32,0.014,-0.183,0.165
1697205704580,2023-10-13T14:01:44.580000,4.4,0.146,-0.699,0.163
1697205704660,2023-10-13T14:01:44.660000,4.48,0.176,-1.079,0.174
1697205704740,2023-10-13T14:01:44.740000,4.56,0.108,-1.131,0.147
1697205704820,2023-10-13T14:01:44.820000,4.64,0.08,-1.173,0.031
1697205704900,2023-10-13T14:01:44.900000,4.72,0.033,-1.138,-0.047
1697205704980,2023-10-13T14:01:44.980000,4.8,0.041,-1.138,-0.012
