epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697119299893,2023-10-12T14:01:39.893000,0.0,-6.89,-0.305,-3.841
1697119299933,2023-10-12T14:01:39.933000,0.04,-7.439,0.122,-4.024
1697119299973,2023-10-12T14:01:39.973000,0.08,-10.488,-0.671,-6.768
1697119300013,2023-10-12T14:01:40.013000,0.12,-15.488,4.39,-7.256
1697119300053,2023-10-12T14:01:40.053000,0.16,-22.927,0.549,-5.488
1697119300093,2023-10-12T14:01:40.093000,0.2,-30.183,-6.22,-5.488
1697119300133,2023-10-12T14:01:40.133000,0.24,-40.854,-4.146,-6.098
1697119300173,2023-10-12T14:01:40.173000,0.28,-49.634,-2.988,-7.5
1697119300213,2023-10-12T14:01:40.213000,0.32,-55.366,-11.22,-10.488
1697119300253,2023-10-12T14:01:40.253000,0.36,-54.695,-7.439,-14.512
1697119300293,2023-10-12T14:01:40.293000,0.4,-58.171,-7.256,-11.646
1697119300333,2023-10-12T14:01:40.333000,0.44,-58.72,-12.561,-9.085
1697119300373,2023-10-12T14:01:40.373000,0.48,-54.756,-3.11,-3.963
1697119300413,2023-10-12T14:01:40.413000,0.52,-47.134,-1.524,2.317
1697119300453,2023-10-12T14:01:40.453000,0.56,-35.183,-5.427,2.805
1697119300493,2023-10-12T14:01:40.493000,0.6,-31.341,-0.732,-1.22
1697119300533,2023-10-12T14:01:40.533000,0.64,-24.39,-0.976,1.585
1697119300573,2023-10-12T14:01:40.573000,0.68,-19.146,-6.707,-0.854
1697119300613,2023-10-12T14:01:40.613000,0.72,-12.439,-11.707,-1.341
1697119300653,2023-10-12T14:01:40.653000,0.76,-7.256,-2.988,1.28
1697119300693,2023-10-12T14:01:40.693000,0.8,-2.561,-6.28,4.024
1697119300733,2023-10-12T14:01:40.733000,0.84,-1.829,-1.951,2.622
1697119300773,2023-10-12T14:01:40.773000,0.88,1.463,-1.89,0.183
1697119300813,2023-10-12T14:01:40.813000,0.92,2.256,2.195,2.378
1697119300853,2023-10-12T14:01:40.853000,0.96,7.439,3.659,5.915
1697119300893,2023-10-12T14:01:40.893000,1.0,8.171,4.268,4.573
1697119300933,2023-10-12T14:01:40.933000,1.04,10.366,-3.659,4.39
1697119300973,2023-10-12T14:01:40.973000,1.08,10.427,3.354,5.183
1697119301013,2023-10-12T14:01:41.013000,1.12,9.756,7.683,4.756
1697119301053,2023-10-12T14:01:41.053000,1.16,9.207,0.183,6.524
1697119301093,2023-10-12T14:01:41.093000,1.2,11.037,-3.963,1.585
1697119301133,2023-10-12T14:01:41.133000,1.24,13.598,-8.354,-4.634
1697119301173,2023-10-12T14:01:41.173000,1.28,13.659,-9.817,-9.451
1697119301213,2023-10-12T14:01:41.213000,1.32,9.817,-20.488,-13.232
1697119301253,2023-10-12T14:01:41.253000,1.36,16.524,-15.061,-28.415
1697119301293,2023-10-12T14:01:41.293000,1.4,34.024,-4.939,-39.878
1697119301333,2023-10-12T14:01:41.333000,1.44,41.402,-24.451,-28.598
1697119301373,2023-10-12T14:01:41.373000,1.48,47.866,-36.402,-32.744
1697119301413,2023-10-12T14:01:41.413000,1.52,45.61,-32.866,-44.146
1697119301453,2023-10-12T14:01:41.453000,1.56,39.329,-40.915,-43.171
1697119301493,2023-10-12T14:01:41.493000,1.6,33.963,-38.354,-45.366
1697119301533,2023-10-12T14:01:41.533000,1.64,28.537,-35.061,-29.817
1697119301573,2023-10-12T14:01:41.573000,1.68,32.927,-34.268,-9.207
1697119301613,2023-10-12T14:01:41.613000,1.72,32.5,-31.707,10.732
1697119301653,2023-10-12T14:01:41.653000,1.76,18.72,-10.061,21.22
1697119301693,2023-10-12T14:01:41.693000,1.8,11.098,-5.366,2.805
1697119301733,2023-10-12T14:01:41.733000,1.84,4.39,-10.0,-12.134
1697119301773,2023-10-12T14:01:41.773000,1.88,2.256,-12.805,-8.11
1697119301813,2023-10-12T14:01:41.813000,1.92,2.317,18.293,9.268
1697119301853,2023-10-12T14:01:41.853000,1.96,-2.378,20.793,19.634
1697119301893,2023-10-12T14:01:41.893000,2.0,-22.134,17.195,25.488
1697119301933,2023-10-12T14:01:41.933000,2.04,-30.549,16.463,25.122
1697119301973,2023-10-12T14:01:41.973000,2.08,-42.622,15.671,28.72
1697119302013,2023-10-12T14:01:42.013000,2.12,-44.39,19.817,26.768
1697119302053,2023-10-12T14:01:42.053000,2.16,-50.427,8.476,25.61
1697119302093,2023-10-12T14:01:42.093000,2.2,-44.817,8.963,27.744
1697119302133,2023-10-12T14:01:42.133000,2.24,-37.195,7.378,19.451
1697119302173,2023-10-12T14:01:42.173000,2.28,-29.146,9.878,17.439
1697119302213,2023-10-12T14:01:42.213000,2.32,-17.378,2.805,10.976
1697119302253,2023-10-12T14:01:42.253000,2.36,-14.39,3.11,9.39
1697119302293,2023-10-12T14:01:42.293000,2.4,-7.195,7.256,9.756
1697119302333,2023-10-12T14:01:42.333000,2.44,-2.378,-2.317,13.841
1697119302373,2023-10-12T14:01:42.373000,2.48,0.671,4.085,15.122
1697119302413,2023-10-12T14:01:42.413000,2.52,0.244,6.037,10.61
1697119302453,2023-10-12T14:01:42.453000,2.56,2.805,12.256,7.195
1697119302493,2023-10-12T14:01:42.493000,2.6,8.232,6.402,5.427
1697119302533,2023-10-12T14:01:42.533000,2.64,11.463,4.756,-0.244
1697119302573,2023-10-12T14:01:42.573000,2.68,17.195,2.134,-5.488
1697119302613,2023-10-12T14:01:42.613000,2.72,28.11,-4.512,-16.341
1697119302653,2023-10-12T14:01:42.653000,2.76,40.122,-22.195,-19.634
1697119302693,2023-10-12T14:01:42.693000,2.8,50.366,-17.439,-26.646
1697119302733,2023-10-12T14:01:42.733000,2.84,56.159,-16.098,-38.841
1697119302773,2023-10-12T14:01:42.773000,2.88,54.451,-23.232,-41.22
1697119302813,2023-10-12T14:01:42.813000,2.92,47.683,-22.683,-37.988
1697119302853,2023-10-12T14:01:42.853000,2.96,39.634,-28.659,-26.707
1697119302893,2023-10-12T14:01:42.893000,3.0,25.671,-33.841,-11.951
1697119302933,2023-10-12T14:01:42.933000,3.04,17.561,-26.951,16.707
1697119302973,2023-10-12T14:01:42.973000,3.08,16.341,-15.549,34.085
1697119303013,2023-10-12T14:01:43.013000,3.12,4.634,-15.671,17.378
1697119303053,2023-10-12T14:01:43.053000,3.16,-10.244,-15.122,-7.561
1697119303093,2023-10-12T14:01:43.093000,3.2,-13.659,-6.28,-17.134
1697119303133,2023-10-12T14:01:43.133000,3.24,-7.988,14.39,-0.915
1697119303173,2023-10-12T14:01:43.173000,3.28,-15.488,14.573,11.707
1697119303213,2023-10-12T14:01:43.213000,3.32,-27.317,20.732,15.732
1697119303253,2023-10-12T14:01:43.253000,3.36,-33.232,15.732,17.5
1697119303293,2023-10-12T14:01:43.293000,3.4,-47.012,15.61,23.11
1697119303333,2023-10-12T14:01:43.333000,3.44,-47.561,8.293,23.841
1697119303373,2023-10-12T14:01:43.373000,3.48,-48.537,6.402,26.646
1697119303413,2023-10-12T14:01:43.413000,3.52,-53.171,18.354,23.354
1697119303453,2023-10-12T14:01:43.453000,3.56,-38.963,6.951,29.39
1697119303493,2023-10-12T14:01:43.493000,3.6,-34.146,0.305,28.293
1697119303533,2023-10-12T14:01:43.533000,3.64,-27.256,-1.159,22.988
1697119303573,2023-10-12T14:01:43.573000,3.68,-18.841,5.122,10.427
1697119303613,2023-10-12T14:01:43.613000,3.72,-14.085,12.134,0.732
1697119303653,2023-10-12T14:01:43.653000,3.76,-0.549,2.195,2.256
1697119303693,2023-10-12T14:01:43.693000,3.8,4.695,7.439,2.195
1697119303733,2023-10-12T14:01:43.733000,3.84,8.476,5.366,-0.549
1697119303773,2023-10-12T14:01:43.773000,3.88,8.232,9.573,-3.963
1697119303813,2023-10-12T14:01:43.813000,3.92,7.561,5.915,-9.329
1697119303853,2023-10-12T14:01:43.853000,3.96,8.659,4.451,-11.768
1697119303893,2023-10-12T14:01:43.893000,4.0,13.841,13.902,-7.805
1697119303933,2023-10-12T14:01:43.933000,4.04,22.561,23.11,-13.841
1697119303973,2023-10-12T14:01:43.973000,4.08,34.817,5.671,-24.817
1697119304013,2023-10-12T14:01:44.013000,4.12,51.89,-6.037,-31.28
1697119304053,2023-10-12T14:01:44.053000,4.16,60.427,-13.841,-41.28
1697119304093,2023-10-12T14:01:44.093000,4.2,61.341,-25.366,-35.061
1697119304133,2023-10-12T14:01:44.133000,4.24,54.268,-35.427,-35.366
1697119304173,2023-10-12T14:01:44.173000,4.28,35.488,-26.646,-29.695
1697119304213,2023-10-12T14:01:44.213000,4.32,18.476,-12.256,-20.427
1697119304253,2023-10-12T14:01:44.253000,4.36,10.427,-27.378,-12.683
1697119304293,2023-10-12T14:01:44.293000,4.4,3.049,-27.256,8.476
1697119304333,2023-10-12T14:01:44.333000,4.44,2.927,-17.744,25.305
1697119304373,2023-10-12T14:01:44.373000,4.48,5.122,-17.805,26.89
1697119304413,2023-10-12T14:01:44.413000,4.52,10.0,-17.622,13.963
1697119304453,2023-10-12T14:01:44.453000,4.56,-5.366,-9.939,-6.89
1697119304493,2023-10-12T14:01:44.493000,4.6,-12.134,7.561,-10.732
1697119304533,2023-10-12T14:01:44.533000,4.64,-20.061,11.768,-0.366
1697119304573,2023-10-12T14:01:44.573000,4.68,-20.488,6.646,15.0
1697119304613,2023-10-12T14:01:44.613000,4.72,-28.415,10.549,27.927
1697119304653,2023-10-12T14:01:44.653000,4.76,-37.317,6.829,25.671
1697119304693,2023-10-12T14:01:44.693000,4.8,-48.78,9.451,28.537
1697119304733,2023-10-12T14:01:44.733000,4.84,-50.976,16.951,21.402
1697119304773,2023-10-12T14:01:44.773000,4.88,-36.341,4.39,35.122
1697119304813,2023-10-12T14:01:44.813000,4.92,-35.305,4.451,25.488
1697119304853,2023-10-12T14:01:44.853000,4.96,-25.183,12.195,14.939
1697119304893,2023-10-12T14:01:44.893000,5.0,-11.707,8.537,16.585
1697119304933,2023-10-12T14:01:44.933000,5.04,-12.378,0.366,12.256
1697119304973,2023-10-12T14:01:44.973000,5.08,-7.683,10.549,11.89
1697119305013,2023-10-12T14:01:45.013000,5.12,4.695,2.683,9.695
1697119305053,2023-10-12T14:01:45.053000,5.16,7.5,6.524,-2.866
1697119305093,2023-10-12T14:01:45.093000,5.2,12.195,7.988,-5.671
1697119305133,2023-10-12T14:01:45.133000,5.24,17.073,-1.89,-7.195
1697119305173,2023-10-12T14:01:45.173000,5.28,17.744,-4.939,-10.854
1697119305213,2023-10-12T14:01:45.213000,5.32,20.976,-7.5,-24.207
1697119305253,2023-10-12T14:01:45.253000,5.36,27.256,-4.939,-31.159
1697119305293,2023-10-12T14:01:45.293000,5.4,42.012,-18.841,-31.28
1697119305333,2023-10-12T14:01:45.333000,5.44,51.402,-17.805,-32.073
1697119305373,2023-10-12T14:01:45.373000,5.48,50.671,-16.951,-31.89
1697119305413,2023-10-12T14:01:45.413000,5.52,43.78,-18.902,-30.671
1697119305453,2023-10-12T14:01:45.453000,5.56,40.61,-16.463,-20.488
1697119305493,2023-10-12T14:01:45.493000,5.6,33.841,-8.171,-9.695
1697119305533,2023-10-12T14:01:45.533000,5.64,24.39,-15.488,0.61
1697119305573,2023-10-12T14:01:45.573000,5.68,9.329,0.61,15.732
1697119305613,2023-10-12T14:01:45.613000,5.72,11.829,-7.378,30.793
1697119305653,2023-10-12T14:01:45.653000,5.76,12.195,1.524,36.037
1697119305693,2023-10-12T14:01:45.693000,5.8,17.439,-22.439,21.829
1697119305733,2023-10-12T14:01:45.733000,5.84,11.951,-19.634,1.585
1697119305773,2023-10-12T14:01:45.773000,5.88,9.512,-14.268,-8.537
1697119305813,2023-10-12T14:01:45.813000,5.92,4.939,-17.012,-9.146
1697119305853,2023-10-12T14:01:45.853000,5.96,-7.439,0.793,-2.195
1697119305893,2023-10-12T14:01:45.893000,6.0,-25.0,9.207,-5.854
1697119305933,2023-10-12T14:01:45.933000,6.04,-40.732,10.732,-1.22
1697119305973,2023-10-12T14:01:45.973000,6.08,-44.939,9.634,6.098
1697119306013,2023-10-12T14:01:46.013000,6.12,-58.11,9.268,13.598
1697119306053,2023-10-12T14:01:46.053000,6.16,-54.634,9.024,15.305
1697119306093,2023-10-12T14:01:46.093000,6.2,-40.122,1.159,29.756
1697119306133,2023-10-12T14:01:46.133000,6.24,-46.22,11.829,33.841
1697119306173,2023-10-12T14:01:46.173000,6.28,-40.549,4.085,17.683
1697119306213,2023-10-12T14:01:46.213000,6.32,-29.634,9.512,36.585
1697119306253,2023-10-12T14:01:46.253000,6.36,-24.573,-3.598,37.317
1697119306293,2023-10-12T14:01:46.293000,6.4,-19.939,0.488,28.659
1697119306333,2023-10-12T14:01:46.333000,6.44,-13.293,7.012,17.256
1697119306373,2023-10-12T14:01:46.373000,6.48,-2.805,0.793,4.573
1697119306413,2023-10-12T14:01:46.413000,6.52,7.5,0.549,7.195
1697119306453,2023-10-12T14:01:46.453000,6.56,11.951,0.305,6.402
1697119306493,2023-10-12T14:01:46.493000,6.6,14.634,1.646,-1.585
1697119306533,2023-10-12T14:01:46.533000,6.64,16.159,2.744,-7.256
1697119306573,2023-10-12T14:01:46.573000,6.68,21.585,-3.72,-14.695
1697119306613,2023-10-12T14:01:46.613000,6.72,25.976,-4.207,-21.098
1697119306653,2023-10-12T14:01:46.653000,6.76,34.39,-17.683,-26.402
1697119306693,2023-10-12T14:01:46.693000,6.8,43.963,-17.988,-27.195
1697119306733,2023-10-12T14:01:46.733000,6.84,50.122,-21.951,-22.988
1697119306773,2023-10-12T14:01:46.773000,6.88,48.293,-24.512,-27.5
1697119306813,2023-10-12T14:01:46.813000,6.92,34.512,-18.049,-41.22
1697119306853,2023-10-12T14:01:46.853000,6.96,33.659,-19.817,-35.305
1697119306893,2023-10-12T14:01:46.893000,7.0,32.805,-14.39,-25.732
1697119306933,2023-10-12T14:01:46.933000,7.04,23.78,-2.744,-17.317
1697119306973,2023-10-12T14:01:46.973000,7.08,12.744,-2.317,-9.39
1697119307013,2023-10-12T14:01:47.013000,7.12,3.11,-7.683,5.122
1697119307053,2023-10-12T14:01:47.053000,7.16,-1.22,-7.317,21.098
1697119307093,2023-10-12T14:01:47.093000,7.2,0.671,-8.476,19.817
1697119307133,2023-10-12T14:01:47.133000,7.24,5.61,-17.378,2.561
1697119307173,2023-10-12T14:01:47.173000,7.28,-0.244,-8.841,-5.305
1697119307213,2023-10-12T14:01:47.213000,7.32,4.695,3.659,-1.951
1697119307253,2023-10-12T14:01:47.253000,7.36,-4.756,11.402,8.415
1697119307293,2023-10-12T14:01:47.293000,7.4,-10.122,10.976,13.171
1697119307333,2023-10-12T14:01:47.333000,7.44,-30.61,11.768,17.012
1697119307373,2023-10-12T14:01:47.373000,7.48,-36.28,14.634,21.22
1697119307413,2023-10-12T14:01:47.413000,7.52,-44.024,8.049,24.207
1697119307453,2023-10-12T14:01:47.453000,7.56,-44.451,15.0,31.159
