epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697223991816,2023-10-13T19:06:31.816000,0.0,0.441,0.654,0.609
1697223991896,2023-10-13T19:06:31.896000,0.08,0.413,0.658,0.557
1697223991976,2023-10-13T19:06:31.976000,0.16,0.428,0.661,0.569
1697223992056,2023-10-13T19:06:32.056000,0.24,0.442,0.66,0.605
1697223992136,2023-10-13T19:06:32.136000,0.32,0.418,0.67,0.545
1697223992216,2023-10-13T19:06:32.216000,0.4,0.437,0.646,0.594
1697223992296,2023-10-13T19:06:32.296000,0.48,0.359,0.596,0.465
1697223992376,2023-10-13T19:06:32.376000,0.56,0.381,0.57,0.503
1697223992456,2023-10-13T19:06:32.456000,0.64,0.357,0.574,0.482
1697223992536,2023-10-13T19:06:32.536000,0.72,0.392,0.606,0.533
1697223992616,2023-10-13T19:06:32.616000,0.8,0.387,0.623,0.52
1697223992696,2023-10-13T19:06:32.696000,0.88,0.425,0.662,0.526
1697223992776,2023-10-13T19:06:32.776000,0.96,0.453,0.666,0.588
1697223992856,2023-10-13T19:06:32.856000,1.04,0.458,0.679,0.561
1697223992936,2023-10-13T19:06:32.936000,1.12,0.455,0.688,0.542
1697223993016,2023-10-13T19:06:33.016000,1.2,0.475,0.685,0.633
1697223993096,2023-10-13T19:06:33.096000,1.28,0.478,0.678,0.613
1697223993176,2023-10-13T19:06:33.176000,1.36,0.441,0.641,0.556
1697223993256,2023-10-13T19:06:33.256000,1.44,0.474,0.633,0.63
1697223993336,2023-10-13T19:06:33.336000,1.52,0.468,0.645,0.636
1697223993416,2023-10-13T19:06:33.416000,1.6,0.468,0.625,0.642
1697223993496,2023-10-13T19:06:33.496000,1.68,0.457,0.613,0.632
1697223993576,2023-10-13T19:06:33.576000,1.76,0.458,0.608,0.652
1697223993656,2023-10-13T19:06:33.656000,1.84,0.534,0.67,0.713
1697223993736,2023-10-13T19:06:33.736000,1.92,0.567,0.709,0.762
1697223993816,2023-10-13T19:06:33.816000,2.0,0.595,0.751,0.833
1697223993896,2023-10-13T19:06:33.896000,2.08,0.557,0.732,0.806
1697223993976,2023-10-13T19:06:33.976000,2.16,0.559,0.68,0.812
1697223994056,2023-10-13T19:06:34.056000,2.24,0.485,0.624,0.729
1697223994136,2023-10-13T19:06:34.136000,2.32,0.493,0.561,0.747
1697223994216,2023-10-13T19:06:34.216000,2.4,0.457,0.542,0.714
1697223994296,2023-10-13T19:06:34.296000,2.48,0.475,0.535,0.829
1697223994376,2023-10-13T19:06:34.376000,2.56,0.438,0.552,0.816
1697223994456,2023-10-13T19:06:34.456000,2.64,0.458,0.588,0.824
1697223994536,2023-10-13T19:06:34.536000,2.72,0.468,0.608,0.824
1697223994616,2023-10-13T19:06:34.616000,2.8,0.424,0.561,0.72
1697223994696,2023-10-13T19:06:34.696000,2.88,0.309,0.375,0.485
1697223994776,2023-10-13T19:06:34.776000,2.96,0.223,0.22,0.3
1697223994856,2023-10-13T19:06:34.856000,3.04,0.262,0.29,0.339
1697223994936,2023-10-13T19:06:34.936000,3.12,0.299,0.551,0.414
1697223995016,2023-10-13T19:06:35.016000,3.2,0.504,0.75,0.792
1697223995096,2023-10-13T19:06:35.096000,3.28,0.5,0.732,0.823
