epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697224648028,2023-10-13T19:17:28.028000,0.0,-3.354,-8.049,-3.232
1697224648068,2023-10-13T19:17:28.068000,0.04,-5.549,-5.732,-1.829
1697224648108,2023-10-13T19:17:28.108000,0.08,-15.061,1.402,6.037
1697224648148,2023-10-13T19:17:28.148000,0.12,-9.695,-0.244,4.451
1697224648188,2023-10-13T19:17:28.188000,0.16,-11.463,-2.134,0.732
1697224648228,2023-10-13T19:17:28.228000,0.2,-20.061,1.159,7.012
1697224648268,2023-10-13T19:17:28.268000,0.24,-9.512,-3.598,3.049
1697224648308,2023-10-13T19:17:28.308000,0.28,-2.866,-7.561,1.463
1697224648348,2023-10-13T19:17:28.348000,0.32,-0.854,-8.049,1.402
1697224648388,2023-10-13T19:17:28.388000,0.36,4.695,-6.951,-1.768
1697224648428,2023-10-13T19:17:28.428000,0.4,4.39,-6.768,-4.573
1697224648468,2023-10-13T19:17:28.468000,0.44,-0.427,-5.976,-3.049
1697224648508,2023-10-13T19:17:28.508000,0.48,-3.902,-7.195,-0.549
1697224648548,2023-10-13T19:17:28.548000,0.52,0.183,-7.256,-2.317
1697224648588,2023-10-13T19:17:28.588000,0.56,-2.317,-4.695,-7.378
1697224648628,2023-10-13T19:17:28.628000,0.6,-8.963,-3.72,-2.805
1697224648668,2023-10-13T19:17:28.668000,0.64,-15.549,-6.585,3.659
1697224648708,2023-10-13T19:17:28.708000,0.68,-1.951,-9.512,-6.829
1697224648748,2023-10-13T19:17:28.748000,0.72,7.256,-9.573,-10.793
1697224648788,2023-10-13T19:17:28.788000,0.76,-0.366,-3.78,-3.354
1697224648828,2023-10-13T19:17:28.828000,0.8,-4.573,-5.793,0.122
1697224648868,2023-10-13T19:17:28.868000,0.84,-0.183,-5.427,-4.512
1697224648908,2023-10-13T19:17:28.908000,0.88,3.049,-6.646,-7.317
1697224648948,2023-10-13T19:17:28.948000,0.92,-9.634,-0.671,0.671
1697224648988,2023-10-13T19:17:28.988000,0.96,-12.256,-3.232,1.22
1697224649028,2023-10-13T19:17:29.028000,1.0,-7.927,-3.354,-1.159
