epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697224316160,2023-10-13T19:11:56.160000,0.0,0.333,0.546,0.675
1697224316240,2023-10-13T19:11:56.240000,0.08,0.397,0.596,0.766
1697224316320,2023-10-13T19:11:56.320000,0.16,0.412,0.584,0.802
1697224316400,2023-10-13T19:11:56.400000,0.24,0.375,0.559,0.674
1697224316480,2023-10-13T19:11:56.480000,0.32,0.341,0.536,0.674
1697224316560,2023-10-13T19:11:56.560000,0.4,0.352,0.604,0.744
1697224316640,2023-10-13T19:11:56.640000,0.48,0.331,0.636,0.645
1697224316720,2023-10-13T19:11:56.720000,0.56,0.36,0.674,0.75
1697224316800,2023-10-13T19:11:56.800000,0.64,0.338,0.65,0.667
1697224316880,2023-10-13T19:11:56.880000,0.72,0.33,0.612,0.605
1697224316960,2023-10-13T19:11:56.960000,0.8,0.342,0.635,0.586
1697224317040,2023-10-13T19:11:57.040000,0.88,0.405,0.676,0.727
1697224317120,2023-10-13T19:11:57.120000,0.96,0.36,0.665,0.634
1697224317200,2023-10-13T19:11:57.200000,1.04,0.365,0.64,0.69
1697224317280,2023-10-13T19:11:57.280000,1.12,0.324,0.623,0.579
1697224317360,2023-10-13T19:11:57.360000,1.2,0.351,0.658,0.622
1697224317440,2023-10-13T19:11:57.440000,1.28,0.365,0.683,0.659
1697224317520,2023-10-13T19:11:57.520000,1.36,0.368,0.673,0.647
1697224317600,2023-10-13T19:11:57.600000,1.44,0.354,0.651,0.602
1697224317680,2023-10-13T19:11:57.680000,1.52,0.375,0.648,0.625
1697224317760,2023-10-13T19:11:57.760000,1.6,0.386,0.66,0.65
1697224317840,2023-10-13T19:11:57.840000,1.68,0.38,0.652,0.625
1697224317920,2023-10-13T19:11:57.920000,1.76,0.376,0.629,0.635
1697224318000,2023-10-13T19:11:58.000000,1.84,0.356,0.601,0.621
1697224318080,2023-10-13T19:11:58.080000,1.92,0.325,0.568,0.573
1697224318160,2023-10-13T19:11:58.160000,2.0,0.317,0.543,0.571
1697224318240,2023-10-13T19:11:58.240000,2.08,0.318,0.547,0.597
1697224318320,2023-10-13T19:11:58.320000,2.16,0.337,0.548,0.661
1697224318400,2023-10-13T19:11:58.400000,2.24,0.33,0.565,0.569
1697224318480,2023-10-13T19:11:58.480000,2.32,0.356,0.578,0.675
1697224318560,2023-10-13T19:11:58.560000,2.4,0.371,0.606,0.677
1697224318640,2023-10-13T19:11:58.640000,2.48,0.392,0.623,0.692
1697224318720,2023-10-13T19:11:58.720000,2.56,0.366,0.619,0.667
1697224318800,2023-10-13T19:11:58.800000,2.64,0.387,0.629,0.679
1697224318880,2023-10-13T19:11:58.880000,2.72,0.368,0.626,0.67
1697224318960,2023-10-13T19:11:58.960000,2.8,0.393,0.66,0.697
1697224319040,2023-10-13T19:11:59.040000,2.88,0.401,0.642,0.697
1697224319120,2023-10-13T19:11:59.120000,2.96,0.402,0.631,0.672
1697224319200,2023-10-13T19:11:59.200000,3.04,0.386,0.61,0.645
1697224319280,2023-10-13T19:11:59.280000,3.12,0.409,0.606,0.728
1697224319360,2023-10-13T19:11:59.360000,3.2,0.391,0.617,0.679
1697224319440,2023-10-13T19:11:59.440000,3.28,0.403,0.604,0.723
1697224319520,2023-10-13T19:11:59.520000,3.36,0.436,0.621,0.786
1697224319600,2023-10-13T19:11:59.600000,3.44,0.455,0.658,0.81
1697224319680,2023-10-13T19:11:59.680000,3.52,0.497,0.677,0.934
1697224319760,2023-10-13T19:11:59.760000,3.6,0.481,0.667,0.909
1697224319840,2023-10-13T19:11:59.840000,3.68,0.462,0.603,0.871
1697224319920,2023-10-13T19:11:59.920000,3.76,0.442,0.552,0.868
1697224320000,2023-10-13T19:12:00.000000,3.84,0.402,0.508,0.837
1697224320080,2023-10-13T19:12:00.080000,3.92,0.363,0.476,0.783
1697224320160,2023-10-13T19:12:00.160000,4.0,0.382,0.456,0.858
1697224320240,2023-10-13T19:12:00.240000,4.08,0.357,0.47,0.844
1697224320320,2023-10-13T19:12:00.320000,4.16,0.419,0.49,0.983
1697224320400,2023-10-13T19:12:00.400000,4.24,0.384,0.515,0.934
1697224320480,2023-10-13T19:12:00.480000,4.32,0.419,0.548,0.964
1697224320560,2023-10-13T19:12:00.560000,4.4,0.334,0.491,0.781
1697224320640,2023-10-13T19:12:00.640000,4.48,0.214,0.32,0.487
1697224320720,2023-10-13T19:12:00.720000,4.56,0.153,0.176,0.276
1697224320800,2023-10-13T19:12:00.800000,4.64,0.244,0.291,0.338
1697224320880,2023-10-13T19:12:00.880000,4.72,0.264,0.605,0.566
1697224320960,2023-10-13T19:12:00.960000,4.8,0.421,0.841,0.819
1697224321040,2023-10-13T19:12:01.040000,4.88,0.468,0.738,0.934
1697224321120,2023-10-13T19:12:01.120000,4.96,0.306,0.526,0.502
1697224321200,2023-10-13T19:12:01.200000,5.04,0.327,0.537,0.55
1697224321280,2023-10-13T19:12:01.280000,5.12,0.348,0.657,0.65
1697224321360,2023-10-13T19:12:01.360000,5.2,0.413,0.677,0.79
1697224321440,2023-10-13T19:12:01.440000,5.28,0.356,0.599,0.594
1697224321520,2023-10-13T19:12:01.520000,5.36,0.367,0.55,0.656
1697224321600,2023-10-13T19:12:01.600000,5.44,0.341,0.6,0.535
1697224321680,2023-10-13T19:12:01.680000,5.52,0.372,0.632,0.617
1697224321760,2023-10-13T19:12:01.760000,5.6,0.341,0.549,0.613
1697224321840,2023-10-13T19:12:01.840000,5.68,0.309,0.495,0.477
1697224321920,2023-10-13T19:12:01.920000,5.76,0.292,0.467,0.486
1697224322000,2023-10-13T19:12:02.000000,5.84,0.371,0.533,0.556
1697224322080,2023-10-13T19:12:02.080000,5.92,0.423,0.611,0.669
1697224322160,2023-10-13T19:12:02.160000,6.0,0.438,0.642,0.663
1697224322240,2023-10-13T19:12:02.240000,6.08,0.441,0.666,0.689
1697224322320,2023-10-13T19:12:02.320000,6.16,0.44,0.632,0.714
1697224322400,2023-10-13T19:12:02.400000,6.24,0.434,0.646,0.718
1697224322480,2023-10-13T19:12:02.480000,6.32,0.409,0.644,0.677
1697224322560,2023-10-13T19:12:02.560000,6.4,0.464,0.609,0.796
1697224322640,2023-10-13T19:12:02.640000,6.48,0.428,0.62,0.732
1697224322720,2023-10-13T19:12:02.720000,6.56,0.434,0.581,0.748
1697224322800,2023-10-13T19:12:02.800000,6.64,0.417,0.583,0.758
1697224322880,2023-10-13T19:12:02.880000,6.72,0.476,0.603,0.837
1697224322960,2023-10-13T19:12:02.960000,6.8,0.496,0.628,0.87
1697224323040,2023-10-13T19:12:03.040000,6.88,0.512,0.631,0.938
1697224323120,2023-10-13T19:12:03.120000,6.96,0.457,0.61,0.856
1697224323200,2023-10-13T19:12:03.200000,7.04,0.483,0.561,0.915
1697224323280,2023-10-13T19:12:03.280000,7.12,0.387,0.525,0.751
1697224323360,2023-10-13T19:12:03.360000,7.2,0.395,0.503,0.77
1697224323440,2023-10-13T19:12:03.440000,7.28,0.388,0.503,0.831
1697224323520,2023-10-13T19:12:03.520000,7.36,0.368,0.523,0.786
1697224323600,2023-10-13T19:12:03.600000,7.44,0.382,0.548,0.834
1697224323680,2023-10-13T19:12:03.680000,7.52,0.412,0.591,0.92
1697224323760,2023-10-13T19:12:03.760000,7.6,0.446,0.649,0.968
1697224323840,2023-10-13T19:12:03.840000,7.68,0.41,0.67,0.92
1697224323920,2023-10-13T19:12:03.920000,7.76,0.343,0.558,0.78
1697224324000,2023-10-13T19:12:04.000000,7.84,0.163,0.287,0.392
1697224324080,2023-10-13T19:12:04.080000,7.92,0.192,0.107,0.357
1697224324160,2023-10-13T19:12:04.160000,8.0,0.18,0.268,0.173
1697224324240,2023-10-13T19:12:04.240000,8.08,0.303,0.588,0.704
1697224324320,2023-10-13T19:12:04.320000,8.16,0.376,0.77,0.834
1697224324400,2023-10-13T19:12:04.400000,8.24,0.482,0.672,0.956
1697224324480,2023-10-13T19:12:04.480000,8.32,0.305,0.51,0.552
1697224324560,2023-10-13T19:12:04.560000,8.4,0.311,0.555,0.546
1697224324640,2023-10-13T19:12:04.640000,8.48,0.348,0.651,0.66
1697224324720,2023-10-13T19:12:04.720000,8.56,0.395,0.67,0.696
1697224324800,2023-10-13T19:12:04.800000,8.64,0.406,0.652,0.644
1697224324880,2023-10-13T19:12:04.880000,8.72,0.395,0.665,0.639
1697224324960,2023-10-13T19:12:04.960000,8.8,0.396,0.702,0.625
1697224325040,2023-10-13T19:12:05.040000,8.88,0.4,0.699,0.606
1697224325120,2023-10-13T19:12:05.120000,8.96,0.406,0.666,0.611
1697224325200,2023-10-13T19:12:05.200000,9.04,0.383,0.667,0.541
1697224325280,2023-10-13T19:12:05.280000,9.12,0.382,0.679,0.531
1697224325360,2023-10-13T19:12:05.360000,9.2,0.384,0.659,0.535
1697224325440,2023-10-13T19:12:05.440000,9.28,0.309,0.584,0.405
1697224325520,2023-10-13T19:12:05.520000,9.36,0.365,0.508,0.541
1697224325600,2023-10-13T19:12:05.600000,9.44,0.323,0.499,0.483
1697224325680,2023-10-13T19:12:05.680000,9.52,0.357,0.573,0.504
1697224325760,2023-10-13T19:12:05.760000,9.6,0.39,0.612,0.589
1697224325840,2023-10-13T19:12:05.840000,9.68,0.419,0.632,0.643
1697224325920,2023-10-13T19:12:05.920000,9.76,0.436,0.651,0.706
1697224326000,2023-10-13T19:12:06.000000,9.84,0.433,0.612,0.728
1697224326080,2023-10-13T19:12:06.080000,9.92,0.433,0.604,0.726
1697224326160,2023-10-13T19:12:06.160000,10.0,0.43,0.577,0.721
1697224326240,2023-10-13T19:12:06.240000,10.08,0.484,0.553,0.805
1697224326320,2023-10-13T19:12:06.320000,10.16,0.43,0.541,0.714
1697224326400,2023-10-13T19:12:06.400000,10.24,0.487,0.529,0.814
1697224326480,2023-10-13T19:12:06.480000,10.32,0.479,0.552,0.808
1697224326560,2023-10-13T19:12:06.560000,10.4,0.489,0.562,0.84
1697224326640,2023-10-13T19:12:06.640000,10.48,0.528,0.591,0.898
1697224326720,2023-10-13T19:12:06.720000,10.56,0.526,0.583,0.909
1697224326800,2023-10-13T19:12:06.800000,10.64,0.526,0.564,0.907
1697224326880,2023-10-13T19:12:06.880000,10.72,0.495,0.524,0.853
1697224326960,2023-10-13T19:12:06.960000,10.8,0.461,0.491,0.835
1697224327040,2023-10-13T19:12:07.040000,10.88,0.46,0.485,0.823
1697224327120,2023-10-13T19:12:07.120000,10.96,0.395,0.456,0.747
1697224327200,2023-10-13T19:12:07.200000,11.04,0.406,0.46,0.781
1697224327280,2023-10-13T19:12:07.280000,11.12,0.425,0.482,0.829
1697224327360,2023-10-13T19:12:07.360000,11.2,0.434,0.522,0.871
1697224327440,2023-10-13T19:12:07.440000,11.28,0.447,0.595,0.901
1697224327520,2023-10-13T19:12:07.520000,11.36,0.455,0.639,0.957
1697224327600,2023-10-13T19:12:07.600000,11.44,0.427,0.67,0.83
1697224327680,2023-10-13T19:12:07.680000,11.52,0.33,0.516,0.609
1697224327760,2023-10-13T19:12:07.760000,11.6,0.191,0.192,0.476
1697224327840,2023-10-13T19:12:07.840000,11.68,0.127,0.192,0.063
1697224327920,2023-10-13T19:12:07.920000,11.76,0.269,0.414,0.349
1697224328000,2023-10-13T19:12:08.000000,11.84,0.372,0.759,0.807
1697224328080,2023-10-13T19:12:08.080000,11.92,0.483,0.813,0.957
1697224328160,2023-10-13T19:12:08.160000,12.0,0.365,0.595,0.68
1697224328240,2023-10-13T19:12:08.240000,12.08,0.278,0.46,0.511
1697224328320,2023-10-13T19:12:08.320000,12.16,0.29,0.607,0.598
1697224328400,2023-10-13T19:12:08.400000,12.24,0.388,0.699,0.813
1697224328480,2023-10-13T19:12:08.480000,12.32,0.385,0.655,0.72
1697224328560,2023-10-13T19:12:08.560000,12.4,0.352,0.562,0.602
1697224328640,2023-10-13T19:12:08.640000,12.48,0.354,0.585,0.623
1697224328720,2023-10-13T19:12:08.720000,12.56,0.401,0.641,0.705
1697224328800,2023-10-13T19:12:08.800000,12.64,0.4,0.657,0.701
1697224328880,2023-10-13T19:12:08.880000,12.72,0.397,0.62,0.683
1697224328960,2023-10-13T19:12:08.960000,12.8,0.371,0.616,0.598
1697224329040,2023-10-13T19:12:09.040000,12.88,0.385,0.631,0.622
1697224329120,2023-10-13T19:12:09.120000,12.96,0.373,0.618,0.565
1697224329200,2023-10-13T19:12:09.200000,13.04,0.311,0.521,0.49
1697224329280,2023-10-13T19:12:09.280000,13.12,0.297,0.447,0.496
1697224329360,2023-10-13T19:12:09.360000,13.2,0.298,0.474,0.447
1697224329440,2023-10-13T19:12:09.440000,13.28,0.311,0.549,0.48
1697224329520,2023-10-13T19:12:09.520000,13.36,0.412,0.7,0.589
1697224329600,2023-10-13T19:12:09.600000,13.44,0.466,0.696,0.758
1697224329680,2023-10-13T19:12:09.680000,13.52,0.431,0.702,0.655
1697224329760,2023-10-13T19:12:09.760000,13.6,0.449,0.641,0.661
1697224329840,2023-10-13T19:12:09.840000,13.68,0.437,0.641,0.708
1697224329920,2023-10-13T19:12:09.920000,13.76,0.462,0.65,0.709
1697224330000,2023-10-13T19:12:10.000000,13.84,0.446,0.638,0.708
1697224330080,2023-10-13T19:12:10.080000,13.92,0.462,0.618,0.76
1697224330160,2023-10-13T19:12:10.160000,14.0,0.441,0.587,0.715
1697224330240,2023-10-13T19:12:10.240000,14.08,0.457,0.583,0.727
1697224330320,2023-10-13T19:12:10.320000,14.16,0.502,0.606,0.817
1697224330400,2023-10-13T19:12:10.400000,14.24,0.516,0.64,0.871
1697224330480,2023-10-13T19:12:10.480000,14.32,0.546,0.638,0.957
1697224330560,2023-10-13T19:12:10.560000,14.4,0.504,0.59,0.862
1697224330640,2023-10-13T19:12:10.640000,14.48,0.46,0.528,0.816
1697224330720,2023-10-13T19:12:10.720000,14.56,0.457,0.483,0.83
1697224330800,2023-10-13T19:12:10.800000,14.64,0.434,0.461,0.817
1697224330880,2023-10-13T19:12:10.880000,14.72,0.415,0.439,0.788
