epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697224315834,2023-10-13T19:11:55.834000,0.0,-22.5,2.622,7.012
1697224315874,2023-10-13T19:11:55.874000,0.04,-22.805,2.927,7.073
1697224315914,2023-10-13T19:11:55.914000,0.08,-17.439,2.561,3.293
1697224315954,2023-10-13T19:11:55.954000,0.12,-3.049,-1.829,-1.402
1697224315994,2023-10-13T19:11:55.994000,0.16,-3.293,-0.549,1.22
1697224316034,2023-10-13T19:11:56.034000,0.2,-4.634,-1.829,2.988
1697224316074,2023-10-13T19:11:56.074000,0.24,-2.805,-3.415,4.695
1697224316114,2023-10-13T19:11:56.114000,0.28,3.72,-5.183,5.671
1697224316154,2023-10-13T19:11:56.154000,0.32,10.793,-8.841,3.476
1697224316194,2023-10-13T19:11:56.194000,0.36,9.573,-7.073,6.28
1697224316234,2023-10-13T19:11:56.234000,0.4,10.366,-5.183,4.512
1697224316274,2023-10-13T19:11:56.274000,0.44,5.854,-3.171,2.866
1697224316314,2023-10-13T19:11:56.314000,0.48,5.671,-1.951,2.073
1697224316354,2023-10-13T19:11:56.354000,0.52,16.22,-7.195,0.0
1697224316394,2023-10-13T19:11:56.394000,0.56,19.573,-10.183,0.366
1697224316434,2023-10-13T19:11:56.434000,0.6,17.561,-6.951,1.341
1697224316474,2023-10-13T19:11:56.474000,0.64,10.854,0.183,-4.573
1697224316514,2023-10-13T19:11:56.514000,0.68,-0.61,0.854,-3.659
1697224316554,2023-10-13T19:11:56.554000,0.72,-4.817,-1.951,7.805
1697224316594,2023-10-13T19:11:56.594000,0.76,11.768,-6.89,2.012
1697224316634,2023-10-13T19:11:56.634000,0.8,21.098,-8.415,-3.11
1697224316674,2023-10-13T19:11:56.674000,0.84,8.902,-2.378,-2.012
1697224316714,2023-10-13T19:11:56.714000,0.88,6.28,-3.171,-1.829
1697224316754,2023-10-13T19:11:56.754000,0.92,2.012,-1.585,-1.707
1697224316794,2023-10-13T19:11:56.794000,0.96,-1.037,-0.244,-0.976
1697224316834,2023-10-13T19:11:56.834000,1.0,-0.732,-2.073,3.232
1697224316874,2023-10-13T19:11:56.874000,1.04,6.28,-4.024,1.341
1697224316914,2023-10-13T19:11:56.914000,1.08,9.024,-6.707,3.232
1697224316954,2023-10-13T19:11:56.954000,1.12,17.378,-7.439,-5.671
1697224316994,2023-10-13T19:11:56.994000,1.16,8.902,-2.439,-2.378
1697224317034,2023-10-13T19:11:57.034000,1.2,-0.122,-0.854,7.317
1697224317074,2023-10-13T19:11:57.074000,1.24,15.488,-5.122,-4.085
1697224317114,2023-10-13T19:11:57.114000,1.28,13.354,-4.451,-6.28
1697224317154,2023-10-13T19:11:57.154000,1.32,-5.0,1.646,1.951
1697224317194,2023-10-13T19:11:57.194000,1.36,-6.402,0.061,1.951
1697224317234,2023-10-13T19:11:57.234000,1.4,3.963,-3.11,0.793
1697224317274,2023-10-13T19:11:57.274000,1.44,10.305,-4.878,1.22
1697224317314,2023-10-13T19:11:57.314000,1.48,13.415,-6.402,-1.159
1697224317354,2023-10-13T19:11:57.354000,1.52,0.732,-2.5,3.11
