epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697477059568,2023-10-16T17:24:19.568000,0.0,0.039,0.967,-0.08
1697477059648,2023-10-16T17:24:19.648000,0.08,0.035,0.97,-0.079
1697477059728,2023-10-16T17:24:19.728000,0.16,0.029,0.968,-0.079
1697477059808,2023-10-16T17:24:19.808000,0.24,0.031,0.979,-0.075
1697477059888,2023-10-16T17:24:19.888000,0.32,0.035,0.979,-0.072
1697477059968,2023-10-16T17:24:19.968000,0.4,0.038,0.97,-0.078
1697477060048,2023-10-16T17:24:20.048000,0.48,0.034,0.963,-0.081
1697477060128,2023-10-16T17:24:20.128000,0.56,0.034,0.975,-0.084
1697477060208,2023-10-16T17:24:20.208000,0.64,0.032,0.985,-0.081
1697477060288,2023-10-16T17:24:20.288000,0.72,0.035,0.979,-0.082
1697477060368,2023-10-16T17:24:20.368000,0.8,0.038,0.965,-0.085
1697477060448,2023-10-16T17:24:20.448000,0.88,0.034,0.958,-0.083
1697477060528,2023-10-16T17:24:20.528000,0.96,0.039,0.978,-0.086
1697477060608,2023-10-16T17:24:20.608000,1.04,0.037,0.983,-0.081
1697477060688,2023-10-16T17:24:20.688000,1.12,0.032,0.971,-0.08
1697477060768,2023-10-16T17:24:20.768000,1.2,0.037,0.962,-0.085
1697477060848,2023-10-16T17:24:20.848000,1.28,0.038,0.96,-0.083
1697477060928,2023-10-16T17:24:20.928000,1.36,0.026,0.977,-0.08
1697477061008,2023-10-16T17:24:21.008000,1.44,0.028,0.999,-0.083
1697477061088,2023-10-16T17:24:21.088000,1.52,0.03,0.975,-0.079
1697477061168,2023-10-16T17:24:21.168000,1.6,0.031,0.95,-0.099
1697477061248,2023-10-16T17:24:21.248000,1.68,0.021,0.906,-0.091
1697477061328,2023-10-16T17:24:21.328000,1.76,0.02,0.858,-0.135
1697477061408,2023-10-16T17:24:21.408000,1.84,-0.002,0.835,-0.143
1697477061488,2023-10-16T17:24:21.488000,1.92,-0.016,0.849,-0.171
1697477061568,2023-10-16T17:24:21.568000,2.0,-0.032,0.857,-0.195
1697477061648,2023-10-16T17:24:21.648000,2.08,-0.059,0.908,-0.208
1697477061728,2023-10-16T17:24:21.728000,2.16,-0.083,0.935,-0.253
1697477061808,2023-10-16T17:24:21.808000,2.24,-0.081,0.939,-0.253
1697477061888,2023-10-16T17:24:21.888000,2.32,-0.085,0.949,-0.244
1697477061968,2023-10-16T17:24:21.968000,2.4,-0.08,0.955,-0.223
1697477062048,2023-10-16T17:24:22.048000,2.48,-0.075,0.987,-0.195
1697477062128,2023-10-16T17:24:22.128000,2.56,-0.042,0.999,-0.184
1697477062208,2023-10-16T17:24:22.208000,2.64,-0.052,1.097,-0.097
1697477062288,2023-10-16T17:24:22.288000,2.72,-0.073,1.518,-0.08
