epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697476334175,2023-10-16T17:12:14.175000,0.0,4.451,-6.098,0.244
1697476334215,2023-10-16T17:12:14.215000,0.04,3.659,-6.037,0.732
1697476334255,2023-10-16T17:12:14.255000,0.08,1.402,-3.902,0.915
1697476334295,2023-10-16T17:12:14.295000,0.12,0.305,-2.195,-0.915
1697476334335,2023-10-16T17:12:14.335000,0.16,-1.463,-1.524,-0.61
1697476334375,2023-10-16T17:12:14.375000,0.2,-2.012,-0.427,-1.098
1697476334415,2023-10-16T17:12:14.415000,0.24,-0.854,-0.61,-1.585
1697476334455,2023-10-16T17:12:14.455000,0.28,-0.671,-1.646,0.61
1697476334495,2023-10-16T17:12:14.495000,0.32,0.976,-2.561,0.793
1697476334535,2023-10-16T17:12:14.535000,0.36,-0.915,-0.305,-0.671
1697476334575,2023-10-16T17:12:14.575000,0.4,-2.866,1.89,-0.793
1697476334615,2023-10-16T17:12:14.615000,0.44,-1.28,-0.793,0.427
1697476334655,2023-10-16T17:12:14.655000,0.48,-0.671,-2.073,0.183
1697476334695,2023-10-16T17:12:14.695000,0.52,0.671,-3.293,0.732
1697476334735,2023-10-16T17:12:14.735000,0.56,-0.061,-3.72,1.524
1697476334775,2023-10-16T17:12:14.775000,0.6,-0.061,-2.134,0.915
1697476334815,2023-10-16T17:12:14.815000,0.64,-0.183,-1.829,0.244
1697476334855,2023-10-16T17:12:14.855000,0.68,-0.305,-2.866,-0.061
1697476334895,2023-10-16T17:12:14.895000,0.72,-0.732,-3.841,1.768
1697476334935,2023-10-16T17:12:14.935000,0.76,-0.366,-1.585,0.305
1697476334975,2023-10-16T17:12:14.975000,0.8,-0.915,-0.305,-0.549
1697476335015,2023-10-16T17:12:15.015000,0.84,-0.427,-2.256,-1.22
1697476335055,2023-10-16T17:12:15.055000,0.88,0.793,-4.878,0.671
1697476335095,2023-10-16T17:12:15.095000,0.92,0.61,-3.537,0.0
1697476335135,2023-10-16T17:12:15.135000,0.96,0.976,-3.78,-0.305
1697476335175,2023-10-16T17:12:15.175000,1.0,0.549,-2.988,-0.244
1697476335215,2023-10-16T17:12:15.215000,1.04,0.183,-2.927,0.0
1697476335255,2023-10-16T17:12:15.255000,1.08,-0.854,-0.793,0.244
1697476335295,2023-10-16T17:12:15.295000,1.12,-0.183,-2.195,0.0
1697476335335,2023-10-16T17:12:15.335000,1.16,0.183,-2.195,0.305
1697476335375,2023-10-16T17:12:15.375000,1.2,-0.61,-2.195,0.427
1697476335415,2023-10-16T17:12:15.415000,1.24,-0.732,-1.707,0.61
1697476335455,2023-10-16T17:12:15.455000,1.28,-0.427,-1.707,-0.183
1697476335495,2023-10-16T17:12:15.495000,1.32,0.671,-3.232,-1.159
1697476335535,2023-10-16T17:12:15.535000,1.36,0.671,-3.841,-1.524
1697476335575,2023-10-16T17:12:15.575000,1.4,1.037,-2.622,-2.195
1697476335615,2023-10-16T17:12:15.615000,1.44,2.012,-3.171,-1.524
1697476335655,2023-10-16T17:12:15.655000,1.48,1.22,-2.256,-0.488
1697476335695,2023-10-16T17:12:15.695000,1.52,0.549,-2.561,0.366
1697476335735,2023-10-16T17:12:15.735000,1.56,-0.732,-1.159,0.427
1697476335775,2023-10-16T17:12:15.775000,1.6,-0.549,-0.488,-0.549
1697476335815,2023-10-16T17:12:15.815000,1.64,0.0,-1.829,-1.159
1697476335855,2023-10-16T17:12:15.855000,1.68,0.427,-2.683,-0.488
1697476335895,2023-10-16T17:12:15.895000,1.72,0.976,-3.171,-0.244
1697476335935,2023-10-16T17:12:15.935000,1.76,2.073,-4.329,-0.427
1697476335975,2023-10-16T17:12:15.975000,1.8,1.585,-4.268,-0.183
1697476336015,2023-10-16T17:12:16.015000,1.84,0.793,-3.293,-1.646
1697476336055,2023-10-16T17:12:16.055000,1.88,-0.549,-2.256,0.305
1697476336095,2023-10-16T17:12:16.095000,1.92,-0.488,-1.341,0.793
1697476336135,2023-10-16T17:12:16.135000,1.96,-0.61,-0.366,0.183
1697476336175,2023-10-16T17:12:16.175000,2.0,-0.366,-0.671,-0.366
1697476336215,2023-10-16T17:12:16.215000,2.04,1.098,-2.744,-0.488
1697476336255,2023-10-16T17:12:16.255000,2.08,0.793,-2.988,-0.976
1697476336295,2023-10-16T17:12:16.295000,2.12,1.159,-1.22,-1.951
1697476336335,2023-10-16T17:12:16.335000,2.16,1.159,-2.317,-1.22
1697476336375,2023-10-16T17:12:16.375000,2.2,1.524,-2.256,-2.073
1697476336415,2023-10-16T17:12:16.415000,2.24,2.744,-2.927,-2.073
1697476336455,2023-10-16T17:12:16.455000,2.28,1.585,-2.988,-0.122
1697476336495,2023-10-16T17:12:16.495000,2.32,-0.549,-2.317,0.366
1697476336535,2023-10-16T17:12:16.535000,2.36,-1.646,-0.976,0.305
1697476336575,2023-10-16T17:12:16.575000,2.4,-2.805,1.463,-0.488
1697476336615,2023-10-16T17:12:16.615000,2.44,0.488,-2.195,-0.732
