epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697477588086,2023-10-16T17:33:08.086000,0.0,1.646,-0.671,4.329
1697477588126,2023-10-16T17:33:08.126000,0.04,1.646,-1.951,4.207
1697477588166,2023-10-16T17:33:08.166000,0.08,1.402,0.732,1.89
1697477588206,2023-10-16T17:33:08.206000,0.12,2.195,0.183,0.549
1697477588246,2023-10-16T17:33:08.246000,0.16,4.39,-5.427,1.829
1697477588286,2023-10-16T17:33:08.286000,0.2,-2.134,1.768,-0.122
1697477588326,2023-10-16T17:33:08.326000,0.24,3.902,-6.402,-2.256
1697477588366,2023-10-16T17:33:08.366000,0.28,0.549,-2.683,0.793
1697477588406,2023-10-16T17:33:08.406000,0.32,-2.988,3.537,0.122
1697477588446,2023-10-16T17:33:08.446000,0.36,-0.793,0.427,-0.244
1697477588486,2023-10-16T17:33:08.486000,0.4,0.122,-3.354,0.0
1697477588526,2023-10-16T17:33:08.526000,0.44,-1.037,0.488,-3.415
1697477588566,2023-10-16T17:33:08.566000,0.48,-2.195,1.585,-1.951
1697477588606,2023-10-16T17:33:08.606000,0.52,1.768,0.732,-2.195
1697477588646,2023-10-16T17:33:08.646000,0.56,1.829,2.683,-2.134
1697477588686,2023-10-16T17:33:08.686000,0.6,2.073,-2.866,-0.427
1697477588726,2023-10-16T17:33:08.726000,0.64,-1.768,-0.976,0.61
1697477588766,2023-10-16T17:33:08.766000,0.68,-1.829,-0.244,-0.183
1697477588806,2023-10-16T17:33:08.806000,0.72,-1.646,-7.866,1.463
1697477588846,2023-10-16T17:33:08.846000,0.76,-0.915,-7.012,4.024
1697477588886,2023-10-16T17:33:08.886000,0.8,1.341,-3.537,2.317
1697477588926,2023-10-16T17:33:08.926000,0.84,3.354,-2.439,2.5
1697477588966,2023-10-16T17:33:08.966000,0.88,4.024,-3.293,0.549
1697477589006,2023-10-16T17:33:09.006000,0.92,1.524,-1.89,1.585
1697477589046,2023-10-16T17:33:09.046000,0.96,2.805,-0.427,1.159
1697477589086,2023-10-16T17:33:09.086000,1.0,1.341,-1.89,0.915
1697477589126,2023-10-16T17:33:09.126000,1.04,2.317,-4.695,2.805
1697477589166,2023-10-16T17:33:09.166000,1.08,1.829,-2.317,3.476
1697477589206,2023-10-16T17:33:09.206000,1.12,0.0,0.488,0.671
1697477589246,2023-10-16T17:33:09.246000,1.16,1.22,-3.537,2.317
1697477589286,2023-10-16T17:33:09.286000,1.2,1.341,-4.207,3.415
1697477589326,2023-10-16T17:33:09.326000,1.24,1.037,-1.098,1.22
1697477589366,2023-10-16T17:33:09.366000,1.28,3.11,-2.622,0.427
1697477589406,2023-10-16T17:33:09.406000,1.32,2.744,1.646,-0.366
1697477589446,2023-10-16T17:33:09.446000,1.36,-3.171,13.537,1.28
