epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697477449220,2023-10-16T17:30:49.220000,0.0,-0.051,-1.026,-0.088
1697477449300,2023-10-16T17:30:49.300000,0.08,-0.054,-1.038,-0.093
1697477449380,2023-10-16T17:30:49.380000,0.16,-0.052,-1.034,-0.095
1697477449460,2023-10-16T17:30:49.460000,0.24,-0.063,-1.011,-0.095
1697477449540,2023-10-16T17:30:49.540000,0.32,-0.052,-1.017,-0.09
1697477449620,2023-10-16T17:30:49.620000,0.4,-0.061,-1.023,-0.104
1697477449700,2023-10-16T17:30:49.700000,0.48,-0.063,-1.042,-0.074
1697477449780,2023-10-16T17:30:49.780000,0.56,-0.056,-1.051,-0.107
1697477449860,2023-10-16T17:30:49.860000,0.64,-0.059,-1.028,-0.086
1697477449940,2023-10-16T17:30:49.940000,0.72,-0.058,-1.009,-0.075
1697477450020,2023-10-16T17:30:50.020000,0.8,-0.047,-1.011,-0.096
1697477450100,2023-10-16T17:30:50.100000,0.88,-0.06,-1.006,-0.083
1697477450180,2023-10-16T17:30:50.180000,0.96,-0.055,-1.038,-0.101
1697477450260,2023-10-16T17:30:50.260000,1.04,-0.059,-1.057,-0.091
1697477450340,2023-10-16T17:30:50.340000,1.12,-0.063,-1.041,-0.099
1697477450420,2023-10-16T17:30:50.420000,1.2,-0.063,-1.027,-0.087
1697477450500,2023-10-16T17:30:50.500000,1.28,-0.059,-1.035,-0.084
1697477450580,2023-10-16T17:30:50.580000,1.36,-0.061,-1.047,-0.089
1697477450660,2023-10-16T17:30:50.660000,1.44,-0.059,-1.008,-0.075
1697477450740,2023-10-16T17:30:50.740000,1.52,-0.049,-0.939,-0.067
1697477450820,2023-10-16T17:30:50.820000,1.6,-0.038,-0.908,-0.054
1697477450900,2023-10-16T17:30:50.900000,1.68,-0.049,-0.952,-0.059
1697477450980,2023-10-16T17:30:50.980000,1.76,-0.059,-1.065,-0.102
1697477451060,2023-10-16T17:30:51.060000,1.84,-0.072,-1.187,-0.097
1697477451140,2023-10-16T17:30:51.140000,1.92,-0.077,-1.3,-0.162
1697477451220,2023-10-16T17:30:51.220000,2.0,-0.077,-1.397,-0.151
1697477451300,2023-10-16T17:30:51.300000,2.08,-0.031,-1.411,-0.03
1697477451380,2023-10-16T17:30:51.380000,2.16,0.08,-1.323,-0.005
1697477451460,2023-10-16T17:30:51.460000,2.24,0.109,-1.156,0.091
1697477451540,2023-10-16T17:30:51.540000,2.32,0.099,-0.919,0.139
1697477451620,2023-10-16T17:30:51.620000,2.4,0.091,-0.715,0.122
1697477451700,2023-10-16T17:30:51.700000,2.48,-0.011,-0.428,0.127
1697477451780,2023-10-16T17:30:51.780000,2.56,-0.042,-0.349,0.222
1697477451860,2023-10-16T17:30:51.860000,2.64,0.013,-0.528,0.115
1697477451940,2023-10-16T17:30:51.940000,2.72,0.046,-0.886,0.123
1697477452020,2023-10-16T17:30:52.020000,2.8,0.051,-1.008,0.117
1697477452100,2023-10-16T17:30:52.100000,2.88,0.06,-1.113,0.096
1697477452180,2023-10-16T17:30:52.180000,2.96,0.041,-1.116,0.034
1697477452260,2023-10-16T17:30:52.260000,3.04,0.017,-1.131,0.001
1697477452340,2023-10-16T17:30:52.340000,3.12,-0.033,-1.149,-0.038
1697477452420,2023-10-16T17:30:52.420000,3.2,-0.076,-1.236,-0.141
1697477452500,2023-10-16T17:30:52.500000,3.28,-0.059,-1.237,-0.166
1697477452580,2023-10-16T17:30:52.580000,3.36,-0.048,-1.136,-0.125
1697477452660,2023-10-16T17:30:52.660000,3.44,-0.049,-1.044,-0.103
1697477452740,2023-10-16T17:30:52.740000,3.52,-0.056,-1.071,-0.095
1697477452820,2023-10-16T17:30:52.820000,3.6,-0.067,-1.218,-0.126
1697477452900,2023-10-16T17:30:52.900000,3.68,-0.063,-1.383,-0.117
1697477452980,2023-10-16T17:30:52.980000,3.76,-0.021,-1.417,-0.032
1697477453060,2023-10-16T17:30:53.060000,3.84,0.047,-1.329,0.027
1697477453140,2023-10-16T17:30:53.140000,3.92,0.041,-1.08,0.098
1697477453220,2023-10-16T17:30:53.220000,4.0,0.08,-0.823,0.188
1697477453300,2023-10-16T17:30:53.300000,4.08,0.015,-0.576,0.174
1697477453380,2023-10-16T17:30:53.380000,4.16,-0.047,-0.316,0.11
1697477453460,2023-10-16T17:30:53.460000,4.24,-0.012,-0.419,0.245
1697477453540,2023-10-16T17:30:53.540000,4.32,0.019,-0.742,0.159
1697477453620,2023-10-16T17:30:53.620000,4.4,0.045,-0.985,0.111
1697477453700,2023-10-16T17:30:53.700000,4.48,0.054,-1.098,0.119
1697477453780,2023-10-16T17:30:53.780000,4.56,0.048,-1.099,0.088
1697477453860,2023-10-16T17:30:53.860000,4.64,0.013,-1.136,0.019
1697477453940,2023-10-16T17:30:53.940000,4.72,-0.034,-1.205,0.017
1697477454020,2023-10-16T17:30:54.020000,4.8,-0.056,-1.238,-0.042
1697477454100,2023-10-16T17:30:54.100000,4.88,-0.089,-1.251,-0.2
1697477454180,2023-10-16T17:30:54.180000,4.96,-0.058,-1.128,-0.11
1697477454260,2023-10-16T17:30:54.260000,5.04,-0.051,-1.006,-0.059
1697477454340,2023-10-16T17:30:54.340000,5.12,-0.061,-0.955,-0.126
1697477454420,2023-10-16T17:30:54.420000,5.2,-0.049,-0.994,-0.061
1697477454500,2023-10-16T17:30:54.500000,5.28,-0.069,-1.091,-0.065
1697477454580,2023-10-16T17:30:54.580000,5.36,-0.084,-1.271,-0.178
1697477454660,2023-10-16T17:30:54.660000,5.44,-0.054,-1.393,-0.144
1697477454740,2023-10-16T17:30:54.740000,5.52,-0.014,-1.388,-0.052
1697477454820,2023-10-16T17:30:54.820000,5.6,0.082,-1.309,0.003
1697477454900,2023-10-16T17:30:54.900000,5.68,0.087,-1.096,0.114
1697477454980,2023-10-16T17:30:54.980000,5.76,0.066,-0.871,0.161
1697477455060,2023-10-16T17:30:55.060000,5.84,0.016,-0.61,0.106
1697477455140,2023-10-16T17:30:55.140000,5.92,0.012,-0.331,0.137
1697477455220,2023-10-16T17:30:55.220000,6.0,0.024,-0.442,0.236
1697477455300,2023-10-16T17:30:55.300000,6.08,0.047,-0.698,0.083
1697477455380,2023-10-16T17:30:55.380000,6.16,0.07,-0.961,0.129
1697477455460,2023-10-16T17:30:55.460000,6.24,0.094,-1.096,0.11
1697477455540,2023-10-16T17:30:55.540000,6.32,0.052,-1.118,0.059
1697477455620,2023-10-16T17:30:55.620000,6.4,0.016,-1.152,0.05
1697477455700,2023-10-16T17:30:55.700000,6.48,-0.016,-1.22,-0.088
1697477455780,2023-10-16T17:30:55.780000,6.56,-0.077,-1.286,-0.112
1697477455860,2023-10-16T17:30:55.860000,6.64,-0.068,-1.243,-0.137
1697477455940,2023-10-16T17:30:55.940000,6.72,-0.061,-1.102,-0.093
1697477456020,2023-10-16T17:30:56.020000,6.8,-0.034,-0.984,-0.063
1697477456100,2023-10-16T17:30:56.100000,6.88,-0.04,-0.898,-0.047
1697477456180,2023-10-16T17:30:56.180000,6.96,-0.038,-0.97,-0.037
1697477456260,2023-10-16T17:30:56.260000,7.04,-0.065,-1.159,-0.113
1697477456340,2023-10-16T17:30:56.340000,7.12,-0.08,-1.337,-0.168
1697477456420,2023-10-16T17:30:56.420000,7.2,-0.041,-1.418,-0.117
1697477456500,2023-10-16T17:30:56.500000,7.28,0.001,-1.352,-0.021
1697477456580,2023-10-16T17:30:56.580000,7.36,0.06,-1.262,0.045
1697477456660,2023-10-16T17:30:56.660000,7.44,0.077,-1.049,0.128
1697477456740,2023-10-16T17:30:56.740000,7.52,0.065,-0.79,0.128
1697477456820,2023-10-16T17:30:56.820000,7.6,-0.023,-0.413,0.075
1697477456900,2023-10-16T17:30:56.900000,7.68,0.036,-0.385,0.222
1697477456980,2023-10-16T17:30:56.980000,7.76,0.01,-0.561,0.124
1697477457060,2023-10-16T17:30:57.060000,7.84,0.053,-0.869,0.028
1697477457140,2023-10-16T17:30:57.140000,7.92,0.078,-1.072,0.072
1697477457220,2023-10-16T17:30:57.220000,8.0,0.082,-1.096,0.071
1697477457300,2023-10-16T17:30:57.300000,8.08,0.056,-1.081,0.031
1697477457380,2023-10-16T17:30:57.380000,8.16,0.038,-1.128,0.024
1697477457460,2023-10-16T17:30:57.460000,8.24,0.003,-1.247,-0.048
1697477457540,2023-10-16T17:30:57.540000,8.32,-0.056,-1.294,-0.149
1697477457620,2023-10-16T17:30:57.620000,8.4,-0.055,-1.225,-0.113
1697477457700,2023-10-16T17:30:57.700000,8.48,-0.041,-1.117,-0.102
1697477457780,2023-10-16T17:30:57.780000,8.56,-0.046,-0.981,-0.038
1697477457860,2023-10-16T17:30:57.860000,8.64,-0.04,-0.913,-0.047
1697477457940,2023-10-16T17:30:57.940000,8.72,-0.0,-0.945,-0.032
1697477458020,2023-10-16T17:30:58.020000,8.8,-0.033,-1.05,-0.077
1697477458100,2023-10-16T17:30:58.100000,8.88,-0.067,-1.243,-0.141
1697477458180,2023-10-16T17:30:58.180000,8.96,-0.071,-1.399,-0.141
1697477458260,2023-10-16T17:30:58.260000,9.04,0.0,-1.404,-0.066
1697477458340,2023-10-16T17:30:58.340000,9.12,0.06,-1.311,-0.04
1697477458420,2023-10-16T17:30:58.420000,9.2,0.05,-1.117,0.115
1697477458500,2023-10-16T17:30:58.500000,9.28,0.046,-0.91,0.167
1697477458580,2023-10-16T17:30:58.580000,9.36,0.05,-0.655,0.111
1697477458660,2023-10-16T17:30:58.660000,9.44,-0.001,-0.379,0.128
1697477458740,2023-10-16T17:30:58.740000,9.52,-0.03,-0.422,0.238
1697477458820,2023-10-16T17:30:58.820000,9.6,0.055,-0.68,0.117
1697477458900,2023-10-16T17:30:58.900000,9.68,0.07,-0.902,0.122
1697477458980,2023-10-16T17:30:58.980000,9.76,0.08,-1.088,0.122
1697477459060,2023-10-16T17:30:59.060000,9.84,0.055,-1.112,0.063
1697477459140,2023-10-16T17:30:59.140000,9.92,0.035,-1.15,-0.004
1697477459220,2023-10-16T17:30:59.220000,10.0,-0.019,-1.232,-0.052
1697477459300,2023-10-16T17:30:59.300000,10.08,-0.049,-1.275,-0.133
1697477459380,2023-10-16T17:30:59.380000,10.16,-0.086,-1.249,-0.099
1697477459460,2023-10-16T17:30:59.460000,10.24,-0.055,-1.111,-0.164
1697477459540,2023-10-16T17:30:59.540000,10.32,-0.028,-1.027,-0.086
1697477459620,2023-10-16T17:30:59.620000,10.4,-0.035,-0.954,-0.1
1697477459700,2023-10-16T17:30:59.700000,10.48,-0.029,-0.92,-0.067
1697477459780,2023-10-16T17:30:59.780000,10.56,-0.01,-0.965,-0.105
1697477459860,2023-10-16T17:30:59.860000,10.64,-0.076,-1.075,-0.089
1697477459940,2023-10-16T17:30:59.940000,10.72,-0.051,-1.182,-0.123
1697477460020,2023-10-16T17:31:00.020000,10.8,-0.063,-1.257,-0.126
1697477460100,2023-10-16T17:31:00.100000,10.88,-0.096,-1.322,-0.18
1697477460180,2023-10-16T17:31:00.180000,10.96,-0.019,-1.385,-0.08
1697477460260,2023-10-16T17:31:00.260000,11.04,0.031,-1.26,-0.018
