epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697475831632,2023-10-16T17:03:51.632000,0.0,0.095,0.726,0.645
1697475831712,2023-10-16T17:03:51.712000,0.08,0.1,0.735,0.655
1697475831792,2023-10-16T17:03:51.792000,0.16,0.102,0.736,0.647
1697475831872,2023-10-16T17:03:51.872000,0.24,0.097,0.738,0.629
1697475831952,2023-10-16T17:03:51.952000,0.32,0.102,0.733,0.634
1697475832032,2023-10-16T17:03:52.032000,0.4,0.102,0.749,0.619
1697475832112,2023-10-16T17:03:52.112000,0.48,0.104,0.74,0.625
1697475832192,2023-10-16T17:03:52.192000,0.56,0.093,0.728,0.586
1697475832272,2023-10-16T17:03:52.272000,0.64,0.091,0.68,0.555
1697475832352,2023-10-16T17:03:52.352000,0.72,0.089,0.644,0.536
1697475832432,2023-10-16T17:03:52.432000,0.8,0.064,0.583,0.512
1697475832512,2023-10-16T17:03:52.512000,0.88,0.053,0.533,0.481
1697475832592,2023-10-16T17:03:52.592000,0.96,0.064,0.542,0.509
1697475832672,2023-10-16T17:03:52.672000,1.04,0.067,0.64,0.592
1697475832752,2023-10-16T17:03:52.752000,1.12,0.072,0.717,0.696
1697475832832,2023-10-16T17:03:52.832000,1.2,0.072,0.722,0.699
1697475832912,2023-10-16T17:03:52.912000,1.28,0.073,0.717,0.699
1697475832992,2023-10-16T17:03:52.992000,1.36,0.068,0.758,0.745
1697475833072,2023-10-16T17:03:53.072000,1.44,0.078,0.774,0.788
1697475833152,2023-10-16T17:03:53.152000,1.52,0.082,0.774,0.776
1697475833232,2023-10-16T17:03:53.232000,1.6,0.086,0.79,0.806
1697475833312,2023-10-16T17:03:53.312000,1.68,0.084,0.822,0.864
1697475833392,2023-10-16T17:03:53.392000,1.76,0.079,0.847,0.887
1697475833472,2023-10-16T17:03:53.472000,1.84,0.083,0.876,0.906
1697475833552,2023-10-16T17:03:53.552000,1.92,0.082,0.866,0.904
1697475833632,2023-10-16T17:03:53.632000,2.0,0.073,0.833,0.837
1697475833712,2023-10-16T17:03:53.712000,2.08,0.072,0.802,0.807
1697475833792,2023-10-16T17:03:53.792000,2.16,0.073,0.786,0.78
1697475833872,2023-10-16T17:03:53.872000,2.24,0.063,0.757,0.767
1697475833952,2023-10-16T17:03:53.952000,2.32,0.052,0.744,0.746
1697475834032,2023-10-16T17:03:54.032000,2.4,0.052,0.733,0.683
1697475834112,2023-10-16T17:03:54.112000,2.48,0.054,0.698,0.628
1697475834192,2023-10-16T17:03:54.192000,2.56,0.055,0.673,0.556
1697475834272,2023-10-16T17:03:54.272000,2.64,0.058,0.612,0.459
1697475834352,2023-10-16T17:03:54.352000,2.72,0.051,0.546,0.358
1697475834432,2023-10-16T17:03:54.432000,2.8,0.057,0.535,0.335
1697475834512,2023-10-16T17:03:54.512000,2.88,0.079,0.666,0.411
1697475834592,2023-10-16T17:03:54.592000,2.96,0.082,0.868,0.5
1697475834672,2023-10-16T17:03:54.672000,3.04,0.083,0.873,0.567
1697475834752,2023-10-16T17:03:54.752000,3.12,0.078,0.805,0.512
1697475834832,2023-10-16T17:03:54.832000,3.2,0.071,0.813,0.499
1697475834912,2023-10-16T17:03:54.912000,3.28,0.071,0.828,0.521
1697475834992,2023-10-16T17:03:54.992000,3.36,0.074,0.827,0.517
1697475835072,2023-10-16T17:03:55.072000,3.44,0.077,0.812,0.499
1697475835152,2023-10-16T17:03:55.152000,3.52,0.079,0.779,0.471
1697475835232,2023-10-16T17:03:55.232000,3.6,0.057,0.698,0.409
1697475835312,2023-10-16T17:03:55.312000,3.68,0.033,0.565,0.347
1697475835392,2023-10-16T17:03:55.392000,3.76,0.046,0.587,0.365
1697475835472,2023-10-16T17:03:55.472000,3.84,0.044,0.689,0.454
1697475835552,2023-10-16T17:03:55.552000,3.92,0.078,0.689,0.521
1697475835632,2023-10-16T17:03:55.632000,4.0,0.071,0.712,0.556
1697475835712,2023-10-16T17:03:55.712000,4.08,0.063,0.764,0.616
1697475835792,2023-10-16T17:03:55.792000,4.16,0.076,0.818,0.688
1697475835872,2023-10-16T17:03:55.872000,4.24,0.052,0.827,0.746
1697475835952,2023-10-16T17:03:55.952000,4.32,0.029,0.843,0.716
1697475836032,2023-10-16T17:03:56.032000,4.4,0.047,0.84,0.791
1697475836112,2023-10-16T17:03:56.112000,4.48,0.066,0.911,0.856
1697475836192,2023-10-16T17:03:56.192000,4.56,0.079,0.926,0.887
1697475836272,2023-10-16T17:03:56.272000,4.64,0.054,0.928,0.872
1697475836352,2023-10-16T17:03:56.352000,4.72,0.056,0.93,0.877
1697475836432,2023-10-16T17:03:56.432000,4.8,0.056,0.863,0.866
1697475836512,2023-10-16T17:03:56.512000,4.88,0.082,0.818,0.764
1697475836592,2023-10-16T17:03:56.592000,4.96,0.083,0.793,0.735
1697475836672,2023-10-16T17:03:56.672000,5.04,0.077,0.782,0.755
1697475836752,2023-10-16T17:03:56.752000,5.12,0.064,0.798,0.674
1697475836832,2023-10-16T17:03:56.832000,5.2,0.061,0.788,0.657
1697475836912,2023-10-16T17:03:56.912000,5.28,0.06,0.719,0.609
1697475836992,2023-10-16T17:03:56.992000,5.36,0.048,0.643,0.48
1697475837072,2023-10-16T17:03:57.072000,5.44,0.045,0.542,0.359
1697475837152,2023-10-16T17:03:57.152000,5.52,0.033,0.469,0.301
