epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697475831268,2023-10-16T17:03:51.268000,0.0,-3.476,-0.549,3.171
1697475831308,2023-10-16T17:03:51.308000,0.04,-3.598,-1.22,2.866
1697475831348,2023-10-16T17:03:51.348000,0.08,-3.293,-1.951,2.561
1697475831388,2023-10-16T17:03:51.388000,0.12,-2.744,-0.305,1.585
1697475831428,2023-10-16T17:03:51.428000,0.16,-1.22,-1.463,0.854
1697475831468,2023-10-16T17:03:51.468000,0.2,0.305,-2.012,-0.122
1697475831508,2023-10-16T17:03:51.508000,0.24,-0.671,-1.524,0.549
1697475831548,2023-10-16T17:03:51.548000,0.28,0.854,-2.317,1.098
1697475831588,2023-10-16T17:03:51.588000,0.32,1.646,-2.988,0.671
1697475831628,2023-10-16T17:03:51.628000,0.36,2.195,-3.72,0.793
1697475831668,2023-10-16T17:03:51.668000,0.4,3.476,-3.049,0.427
1697475831708,2023-10-16T17:03:51.708000,0.44,1.89,-2.927,2.622
1697475831748,2023-10-16T17:03:51.748000,0.48,0.732,-2.256,1.89
1697475831788,2023-10-16T17:03:51.788000,0.52,5.122,-3.232,1.037
1697475831828,2023-10-16T17:03:51.828000,0.56,11.402,-4.512,-1.402
1697475831868,2023-10-16T17:03:51.868000,0.6,11.341,-4.268,-0.732
1697475831908,2023-10-16T17:03:51.908000,0.64,7.805,-3.902,0.854
1697475831948,2023-10-16T17:03:51.948000,0.68,7.317,-2.5,-0.183
1697475831988,2023-10-16T17:03:51.988000,0.72,8.476,-3.78,-0.671
1697475832028,2023-10-16T17:03:52.028000,0.76,4.268,-2.073,0.0
1697475832068,2023-10-16T17:03:52.068000,0.8,-4.207,1.524,3.171
1697475832108,2023-10-16T17:03:52.108000,0.84,-12.561,5.244,3.902
1697475832148,2023-10-16T17:03:52.148000,0.88,-9.573,3.11,0.366
1697475832188,2023-10-16T17:03:52.188000,0.92,-0.366,-2.195,0.671
1697475832228,2023-10-16T17:03:52.228000,0.96,1.037,-4.817,0.61
1697475832268,2023-10-16T17:03:52.268000,1.0,-1.524,-2.744,0.183
1697475832308,2023-10-16T17:03:52.308000,1.04,2.805,-5.366,-0.854
1697475832348,2023-10-16T17:03:52.348000,1.08,1.341,-2.317,-5.061
1697475832388,2023-10-16T17:03:52.388000,1.12,-4.329,-1.037,-6.585
1697475832428,2023-10-16T17:03:52.428000,1.16,-10.488,-1.829,-2.805
1697475832468,2023-10-16T17:03:52.468000,1.2,-9.085,2.256,-0.122
1697475832508,2023-10-16T17:03:52.508000,1.24,-9.207,5.488,-2.988
1697475832548,2023-10-16T17:03:52.548000,1.28,-15.61,6.585,2.012
1697475832588,2023-10-16T17:03:52.588000,1.32,-10.671,2.134,0.854
1697475832628,2023-10-16T17:03:52.628000,1.36,-6.585,0.061,-1.402
1697475832668,2023-10-16T17:03:52.668000,1.4,-6.037,-0.976,1.037
1697475832708,2023-10-16T17:03:52.708000,1.44,-6.707,9.268,-1.159
1697475832748,2023-10-16T17:03:52.748000,1.48,-6.829,4.268,-2.988
1697475832788,2023-10-16T17:03:52.788000,1.52,-9.329,-0.732,-5.488
1697475832828,2023-10-16T17:03:52.828000,1.56,-7.744,-0.854,-5.488
1697475832868,2023-10-16T17:03:52.868000,1.6,-3.171,-3.537,-1.402
1697475832908,2023-10-16T17:03:52.908000,1.64,5.183,-6.524,-2.134
1697475832948,2023-10-16T17:03:52.948000,1.68,5.671,-6.707,-3.11
1697475832988,2023-10-16T17:03:52.988000,1.72,-0.305,-6.707,-3.902
1697475833028,2023-10-16T17:03:53.028000,1.76,-3.963,-1.037,-2.378
1697475833068,2023-10-16T17:03:53.068000,1.8,-6.951,-0.854,0.061
1697475833108,2023-10-16T17:03:53.108000,1.84,-5.671,-4.146,1.463
1697475833148,2023-10-16T17:03:53.148000,1.88,-0.122,-9.939,0.854
1697475833188,2023-10-16T17:03:53.188000,1.92,-2.866,-5.793,-0.061
1697475833228,2023-10-16T17:03:53.228000,1.96,-4.573,-0.915,0.305
1697475833268,2023-10-16T17:03:53.268000,2.0,-7.256,4.573,-1.037
1697475833308,2023-10-16T17:03:53.308000,2.04,-5.488,4.878,-3.902
1697475833348,2023-10-16T17:03:53.348000,2.08,-0.915,-1.707,-0.915
1697475833388,2023-10-16T17:03:53.388000,2.12,7.012,-3.78,-0.915
1697475833428,2023-10-16T17:03:53.428000,2.16,15.549,-6.098,-1.341
1697475833468,2023-10-16T17:03:53.468000,2.2,18.841,-7.073,-1.768
1697475833508,2023-10-16T17:03:53.508000,2.24,15.183,2.744,-3.11
1697475833548,2023-10-16T17:03:53.548000,2.28,10.183,-0.732,-2.317
1697475833588,2023-10-16T17:03:53.588000,2.32,4.268,-0.976,1.585
1697475833628,2023-10-16T17:03:53.628000,2.36,2.012,-5.488,1.524
1697475833668,2023-10-16T17:03:53.668000,2.4,-4.634,-4.573,3.902
1697475833708,2023-10-16T17:03:53.708000,2.44,-11.646,1.463,3.293
1697475833748,2023-10-16T17:03:53.748000,2.48,-6.159,0.854,0.976
1697475833788,2023-10-16T17:03:53.788000,2.52,7.988,-3.354,-1.524
1697475833828,2023-10-16T17:03:53.828000,2.56,14.329,-0.549,-2.805
1697475833868,2023-10-16T17:03:53.868000,2.6,14.756,-4.207,-0.549
1697475833908,2023-10-16T17:03:53.908000,2.64,15.976,-9.207,2.561
1697475833948,2023-10-16T17:03:53.948000,2.68,18.293,-4.939,2.378
1697475833988,2023-10-16T17:03:53.988000,2.72,23.171,-3.659,3.11
1697475834028,2023-10-16T17:03:54.028000,2.76,24.146,-3.537,3.72
1697475834068,2023-10-16T17:03:54.068000,2.8,20.427,1.768,5.305
