epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697474748168,2023-10-16T16:45:48.168000,0.0,0.136,0.744,0.585
1697474748248,2023-10-16T16:45:48.248000,0.08,0.134,0.75,0.597
1697474748328,2023-10-16T16:45:48.328000,0.16,0.134,0.759,0.604
1697474748408,2023-10-16T16:45:48.408000,0.24,0.134,0.768,0.605
1697474748488,2023-10-16T16:45:48.488000,0.32,0.134,0.757,0.592
1697474748568,2023-10-16T16:45:48.568000,0.4,0.139,0.754,0.593
1697474748648,2023-10-16T16:45:48.648000,0.48,0.146,0.773,0.604
1697474748728,2023-10-16T16:45:48.728000,0.56,0.149,0.769,0.609
1697474748808,2023-10-16T16:45:48.808000,0.64,0.141,0.759,0.589
1697474748888,2023-10-16T16:45:48.888000,0.72,0.14,0.767,0.602
1697474748968,2023-10-16T16:45:48.968000,0.8,0.141,0.77,0.612
1697474749048,2023-10-16T16:45:49.048000,0.88,0.133,0.756,0.593
1697474749128,2023-10-16T16:45:49.128000,0.96,0.127,0.748,0.61
1697474749208,2023-10-16T16:45:49.208000,1.04,0.128,0.762,0.595
1697474749288,2023-10-16T16:45:49.288000,1.12,0.133,0.743,0.617
1697474749368,2023-10-16T16:45:49.368000,1.2,0.135,0.749,0.603
1697474749448,2023-10-16T16:45:49.448000,1.28,0.133,0.758,0.604
1697474749528,2023-10-16T16:45:49.528000,1.36,0.134,0.756,0.602
1697474749608,2023-10-16T16:45:49.608000,1.44,0.139,0.758,0.597
1697474749688,2023-10-16T16:45:49.688000,1.52,0.145,0.763,0.603
1697474749768,2023-10-16T16:45:49.768000,1.6,0.15,0.772,0.597
1697474749848,2023-10-16T16:45:49.848000,1.68,0.159,0.779,0.619
1697474749928,2023-10-16T16:45:49.928000,1.76,0.141,0.759,0.602
1697474750008,2023-10-16T16:45:50.008000,1.84,0.127,0.753,0.563
1697474750088,2023-10-16T16:45:50.088000,1.92,0.132,0.767,0.606
1697474750168,2023-10-16T16:45:50.168000,2.0,0.133,0.771,0.618
1697474750248,2023-10-16T16:45:50.248000,2.08,0.123,0.756,0.588
1697474750328,2023-10-16T16:45:50.328000,2.16,0.124,0.749,0.59
1697474750408,2023-10-16T16:45:50.408000,2.24,0.129,0.768,0.603
1697474750488,2023-10-16T16:45:50.488000,2.32,0.131,0.77,0.605
1697474750568,2023-10-16T16:45:50.568000,2.4,0.134,0.765,0.585
1697474750648,2023-10-16T16:45:50.648000,2.48,0.138,0.762,0.594
