epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697474747773,2023-10-16T16:45:47.773000,0.0,-2.073,-0.549,-0.305
1697474747813,2023-10-16T16:45:47.813000,0.04,-1.707,-1.22,0.061
1697474747853,2023-10-16T16:45:47.853000,0.08,0.122,-2.561,0.244
1697474747893,2023-10-16T16:45:47.893000,0.12,1.829,-2.988,-1.341
1697474747933,2023-10-16T16:45:47.933000,0.16,6.098,-2.439,-2.195
1697474747973,2023-10-16T16:45:47.973000,0.2,3.354,-2.439,-0.61
1697474748013,2023-10-16T16:45:48.013000,0.24,-1.707,-0.915,1.646
1697474748053,2023-10-16T16:45:48.053000,0.28,-1.341,-0.732,0.732
1697474748093,2023-10-16T16:45:48.093000,0.32,0.671,-1.768,-1.524
1697474748133,2023-10-16T16:45:48.133000,0.36,1.037,-1.951,-0.732
1697474748173,2023-10-16T16:45:48.173000,0.4,1.524,-2.988,-1.463
1697474748213,2023-10-16T16:45:48.213000,0.44,3.537,-3.171,-0.488
1697474748253,2023-10-16T16:45:48.253000,0.48,2.744,-2.683,0.671
1697474748293,2023-10-16T16:45:48.293000,0.52,1.829,-3.354,0.793
1697474748333,2023-10-16T16:45:48.333000,0.56,1.159,-3.11,1.037
1697474748373,2023-10-16T16:45:48.373000,0.6,0.732,-2.561,0.732
1697474748413,2023-10-16T16:45:48.413000,0.64,0.122,-2.988,0.366
1697474748453,2023-10-16T16:45:48.453000,0.68,1.28,-2.561,0.244
1697474748493,2023-10-16T16:45:48.493000,0.72,1.402,-3.354,0.854
1697474748533,2023-10-16T16:45:48.533000,0.76,0.183,-2.927,1.037
1697474748573,2023-10-16T16:45:48.573000,0.8,2.317,-3.537,1.89
1697474748613,2023-10-16T16:45:48.613000,0.84,4.634,-3.72,0.183
1697474748653,2023-10-16T16:45:48.653000,0.88,3.171,-2.439,0.427
1697474748693,2023-10-16T16:45:48.693000,0.92,-1.22,-1.402,0.061
1697474748733,2023-10-16T16:45:48.733000,0.96,-1.646,-2.439,-0.122
1697474748773,2023-10-16T16:45:48.773000,1.0,-0.427,-2.134,-1.768
1697474748813,2023-10-16T16:45:48.813000,1.04,1.159,-2.927,-1.707
1697474748853,2023-10-16T16:45:48.853000,1.08,1.829,-1.524,-0.061
1697474748893,2023-10-16T16:45:48.893000,1.12,1.585,-1.646,0.244
1697474748933,2023-10-16T16:45:48.933000,1.16,-0.61,-0.854,-1.341
1697474748973,2023-10-16T16:45:48.973000,1.2,-2.866,-0.61,-2.622
1697474749013,2023-10-16T16:45:49.013000,1.24,-3.354,-0.61,-1.341
1697474749053,2023-10-16T16:45:49.053000,1.28,-4.878,-2.561,0.488
1697474749093,2023-10-16T16:45:49.093000,1.32,-11.646,-1.463,2.012
1697474749133,2023-10-16T16:45:49.133000,1.36,-8.598,-0.427,1.585
1697474749173,2023-10-16T16:45:49.173000,1.4,6.098,-2.195,-1.951
1697474749213,2023-10-16T16:45:49.213000,1.44,12.561,-3.537,-2.195
1697474749253,2023-10-16T16:45:49.253000,1.48,5.244,-2.561,0.244
1697474749293,2023-10-16T16:45:49.293000,1.52,1.463,-1.646,0.671
1697474749333,2023-10-16T16:45:49.333000,1.56,3.049,-3.293,1.341
1697474749373,2023-10-16T16:45:49.373000,1.6,6.646,-3.293,-1.037
1697474749413,2023-10-16T16:45:49.413000,1.64,5.61,-4.146,-0.549
1697474749453,2023-10-16T16:45:49.453000,1.68,0.732,-2.561,0.671
1697474749493,2023-10-16T16:45:49.493000,1.72,-0.427,-2.5,2.378
1697474749533,2023-10-16T16:45:49.533000,1.76,2.5,-2.988,1.707
1697474749573,2023-10-16T16:45:49.573000,1.8,2.439,-3.293,1.098
1697474749613,2023-10-16T16:45:49.613000,1.84,2.317,-3.78,1.463
1697474749653,2023-10-16T16:45:49.653000,1.88,1.646,-3.476,1.098
1697474749693,2023-10-16T16:45:49.693000,1.92,2.012,-3.293,0.793
1697474749733,2023-10-16T16:45:49.733000,1.96,4.451,-3.902,0.61
1697474749773,2023-10-16T16:45:49.773000,2.0,5.183,-5.0,0.122
1697474749813,2023-10-16T16:45:49.813000,2.04,0.854,-3.659,0.061
1697474749853,2023-10-16T16:45:49.853000,2.08,-7.866,0.732,-0.427
1697474749893,2023-10-16T16:45:49.893000,2.12,-9.329,1.341,-2.744
1697474749933,2023-10-16T16:45:49.933000,2.16,-5.793,0.244,-1.89
1697474749973,2023-10-16T16:45:49.973000,2.2,2.744,-2.5,-0.671
1697474750013,2023-10-16T16:45:50.013000,2.24,8.902,-3.476,-1.28
1697474750053,2023-10-16T16:45:50.053000,2.28,5.244,-2.317,-1.159
1697474750093,2023-10-16T16:45:50.093000,2.32,-0.122,-1.037,0.854
1697474750133,2023-10-16T16:45:50.133000,2.36,-4.634,1.159,-0.244
1697474750173,2023-10-16T16:45:50.173000,2.4,-1.341,0.549,-2.256
1697474750213,2023-10-16T16:45:50.213000,2.44,-0.183,1.829,-1.402
1697474750253,2023-10-16T16:45:50.253000,2.48,0.183,-1.28,1.402
1697474750293,2023-10-16T16:45:50.293000,2.52,0.427,-2.439,1.341
1697474750333,2023-10-16T16:45:50.333000,2.56,4.512,-2.256,0.793
1697474750373,2023-10-16T16:45:50.373000,2.6,7.073,-4.207,1.098
1697474750413,2023-10-16T16:45:50.413000,2.64,4.451,-2.195,1.463
1697474750453,2023-10-16T16:45:50.453000,2.68,1.159,-2.561,1.159
1697474750493,2023-10-16T16:45:50.493000,2.72,1.89,-1.585,0.976
1697474750533,2023-10-16T16:45:50.533000,2.76,3.354,-2.317,1.463
1697474750573,2023-10-16T16:45:50.573000,2.8,2.5,-3.659,2.256
1697474750613,2023-10-16T16:45:50.613000,2.84,-0.427,-1.524,1.585
