epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697475101446,2023-10-16T16:51:41.446000,0.0,0.113,0.806,0.535
1697475101526,2023-10-16T16:51:41.526000,0.08,0.118,0.813,0.539
1697475101606,2023-10-16T16:51:41.606000,0.16,0.118,0.804,0.531
1697475101686,2023-10-16T16:51:41.686000,0.24,0.119,0.802,0.537
1697475101766,2023-10-16T16:51:41.766000,0.32,0.12,0.807,0.534
1697475101846,2023-10-16T16:51:41.846000,0.4,0.118,0.802,0.535
1697475101926,2023-10-16T16:51:41.926000,0.48,0.119,0.809,0.536
1697475102006,2023-10-16T16:51:42.006000,0.56,0.124,0.823,0.543
1697475102086,2023-10-16T16:51:42.086000,0.64,0.115,0.816,0.541
1697475102166,2023-10-16T16:51:42.166000,0.72,0.107,0.784,0.506
1697475102246,2023-10-16T16:51:42.246000,0.8,0.112,0.803,0.524
1697475102326,2023-10-16T16:51:42.326000,0.88,0.119,0.833,0.548
1697475102406,2023-10-16T16:51:42.406000,0.96,0.118,0.807,0.539
1697475102486,2023-10-16T16:51:42.486000,1.04,0.115,0.799,0.515
1697475102566,2023-10-16T16:51:42.566000,1.12,0.122,0.814,0.531
1697475102646,2023-10-16T16:51:42.646000,1.2,0.128,0.829,0.536
1697475102726,2023-10-16T16:51:42.726000,1.28,0.121,0.815,0.526
1697475102806,2023-10-16T16:51:42.806000,1.36,0.114,0.811,0.512
1697475102886,2023-10-16T16:51:42.886000,1.44,0.114,0.82,0.521
1697475102966,2023-10-16T16:51:42.966000,1.52,0.116,0.822,0.522
1697475103046,2023-10-16T16:51:43.046000,1.6,0.115,0.818,0.507
1697475103126,2023-10-16T16:51:43.126000,1.68,0.114,0.814,0.513
1697475103206,2023-10-16T16:51:43.206000,1.76,0.115,0.829,0.511
1697475103286,2023-10-16T16:51:43.286000,1.84,0.116,0.835,0.512
1697475103366,2023-10-16T16:51:43.366000,1.92,0.111,0.823,0.499
1697475103446,2023-10-16T16:51:43.446000,2.0,0.114,0.817,0.494
1697475103526,2023-10-16T16:51:43.526000,2.08,0.12,0.831,0.498
1697475103606,2023-10-16T16:51:43.606000,2.16,0.124,0.838,0.511
1697475103686,2023-10-16T16:51:43.686000,2.24,0.119,0.831,0.501
1697475103766,2023-10-16T16:51:43.766000,2.32,0.117,0.828,0.494
1697475103846,2023-10-16T16:51:43.846000,2.4,0.123,0.83,0.517
1697475103926,2023-10-16T16:51:43.926000,2.48,0.129,0.838,0.49
1697475104006,2023-10-16T16:51:44.006000,2.56,0.134,0.822,0.506
1697475104086,2023-10-16T16:51:44.086000,2.64,0.131,0.837,0.494
1697475104166,2023-10-16T16:51:44.166000,2.72,0.131,0.827,0.499
1697475104246,2023-10-16T16:51:44.246000,2.8,0.128,0.817,0.452
1697475104326,2023-10-16T16:51:44.326000,2.88,0.128,0.791,0.448
1697475104406,2023-10-16T16:51:44.406000,2.96,0.126,0.761,0.402
1697475104486,2023-10-16T16:51:44.486000,3.04,0.126,0.702,0.397
1697475104566,2023-10-16T16:51:44.566000,3.12,0.11,0.711,0.414
1697475104646,2023-10-16T16:51:44.646000,3.2,0.101,0.755,0.425
1697475104726,2023-10-16T16:51:44.726000,3.28,0.093,0.76,0.492
1697475104806,2023-10-16T16:51:44.806000,3.36,0.091,0.751,0.509
1697475104886,2023-10-16T16:51:44.886000,3.44,0.089,0.754,0.499
1697475104966,2023-10-16T16:51:44.966000,3.52,0.094,0.781,0.554
1697475105046,2023-10-16T16:51:45.046000,3.6,0.097,0.814,0.568
1697475105126,2023-10-16T16:51:45.126000,3.68,0.094,0.821,0.575
1697475105206,2023-10-16T16:51:45.206000,3.76,0.094,0.833,0.616
1697475105286,2023-10-16T16:51:45.286000,3.84,0.087,0.796,0.633
1697475105366,2023-10-16T16:51:45.366000,3.92,0.071,0.779,0.634
1697475105446,2023-10-16T16:51:45.446000,4.0,0.074,0.783,0.666
1697475105526,2023-10-16T16:51:45.526000,4.08,0.08,0.789,0.714
1697475105606,2023-10-16T16:51:45.606000,4.16,0.077,0.842,0.763
1697475105686,2023-10-16T16:51:45.686000,4.24,0.062,0.885,0.806
1697475105766,2023-10-16T16:51:45.766000,4.32,0.06,0.911,0.832
1697475105846,2023-10-16T16:51:45.846000,4.4,0.074,0.912,0.811
1697475105926,2023-10-16T16:51:45.926000,4.48,0.074,0.88,0.801
1697475106006,2023-10-16T16:51:46.006000,4.56,0.07,0.844,0.773
1697475106086,2023-10-16T16:51:46.086000,4.64,0.073,0.819,0.703
1697475106166,2023-10-16T16:51:46.166000,4.72,0.067,0.831,0.699
1697475106246,2023-10-16T16:51:46.246000,4.8,0.067,0.826,0.701
1697475106326,2023-10-16T16:51:46.326000,4.88,0.071,0.816,0.621
1697475106406,2023-10-16T16:51:46.406000,4.96,0.064,0.81,0.556
1697475106486,2023-10-16T16:51:46.486000,5.04,0.066,0.763,0.52
1697475106566,2023-10-16T16:51:46.566000,5.12,0.058,0.706,0.439
1697475106646,2023-10-16T16:51:46.646000,5.2,0.044,0.628,0.333
1697475106726,2023-10-16T16:51:46.726000,5.28,0.022,0.566,0.246
1697475106806,2023-10-16T16:51:46.806000,5.36,0.023,0.557,0.27
1697475106886,2023-10-16T16:51:46.886000,5.44,0.072,0.847,0.365
1697475106966,2023-10-16T16:51:46.966000,5.52,0.09,1.037,0.487
1697475107046,2023-10-16T16:51:47.046000,5.6,0.089,0.858,0.439
1697475107126,2023-10-16T16:51:47.126000,5.68,0.079,0.776,0.383
1697475107206,2023-10-16T16:51:47.206000,5.76,0.089,0.86,0.429
1697475107286,2023-10-16T16:51:47.286000,5.84,0.091,0.846,0.442
