epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697475101104,2023-10-16T16:51:41.104000,0.0,-0.976,-2.256,2.378
1697475101144,2023-10-16T16:51:41.144000,0.04,-0.488,-2.683,2.378
1697475101184,2023-10-16T16:51:41.184000,0.08,1.646,-2.256,0.732
1697475101224,2023-10-16T16:51:41.224000,0.12,1.646,-2.683,1.341
1697475101264,2023-10-16T16:51:41.264000,0.16,0.671,-2.134,1.22
1697475101304,2023-10-16T16:51:41.304000,0.2,-0.671,-1.22,0.61
1697475101344,2023-10-16T16:51:41.344000,0.24,-2.683,-0.122,0.976
1697475101384,2023-10-16T16:51:41.384000,0.28,-2.317,-0.122,0.793
1697475101424,2023-10-16T16:51:41.424000,0.32,-4.451,-0.183,0.427
1697475101464,2023-10-16T16:51:41.464000,0.36,-3.78,0.488,0.732
1697475101504,2023-10-16T16:51:41.504000,0.4,1.098,-0.854,-0.061
1697475101544,2023-10-16T16:51:41.544000,0.44,2.805,-1.524,0.244
1697475101584,2023-10-16T16:51:41.584000,0.48,-0.488,-0.793,1.22
1697475101624,2023-10-16T16:51:41.624000,0.52,-2.195,-1.037,1.707
1697475101664,2023-10-16T16:51:41.664000,0.56,0.427,-1.341,0.366
1697475101704,2023-10-16T16:51:41.704000,0.6,2.256,-2.073,0.366
1697475101744,2023-10-16T16:51:41.744000,0.64,1.585,-0.732,0.305
1697475101784,2023-10-16T16:51:41.784000,0.68,2.134,-1.28,0.244
1697475101824,2023-10-16T16:51:41.824000,0.72,2.805,-0.976,1.22
1697475101864,2023-10-16T16:51:41.864000,0.76,4.268,-1.951,1.768
1697475101904,2023-10-16T16:51:41.904000,0.8,3.476,-1.28,0.549
1697475101944,2023-10-16T16:51:41.944000,0.84,2.5,-1.098,2.195
1697475101984,2023-10-16T16:51:41.984000,0.88,-1.341,-0.854,4.024
1697475102024,2023-10-16T16:51:42.024000,0.92,-5.183,1.341,1.463
1697475102064,2023-10-16T16:51:42.064000,0.96,0.122,0.61,-1.829
1697475102104,2023-10-16T16:51:42.104000,1.0,3.293,-1.159,-1.829
1697475102144,2023-10-16T16:51:42.144000,1.04,2.317,-1.585,1.707
1697475102184,2023-10-16T16:51:42.184000,1.08,2.317,-2.866,2.927
1697475102224,2023-10-16T16:51:42.224000,1.12,3.293,-2.622,1.585
1697475102264,2023-10-16T16:51:42.264000,1.16,3.171,-1.341,-0.488
1697475102304,2023-10-16T16:51:42.304000,1.2,-0.427,-1.707,-0.244
1697475102344,2023-10-16T16:51:42.344000,1.24,-3.659,0.061,0.976
1697475102384,2023-10-16T16:51:42.384000,1.28,-0.732,-0.793,0.793
1697475102424,2023-10-16T16:51:42.424000,1.32,4.268,-2.561,0.61
1697475102464,2023-10-16T16:51:42.464000,1.36,4.817,-2.439,0.244
1697475102504,2023-10-16T16:51:42.504000,1.4,5.305,-2.744,0.793
1697475102544,2023-10-16T16:51:42.544000,1.44,4.634,-2.561,1.463
1697475102584,2023-10-16T16:51:42.584000,1.48,4.817,-2.988,0.366
1697475102624,2023-10-16T16:51:42.624000,1.52,3.537,-2.378,0.122
1697475102664,2023-10-16T16:51:42.664000,1.56,0.366,-1.646,-0.122
1697475102704,2023-10-16T16:51:42.704000,1.6,0.427,-1.707,-1.402
1697475102744,2023-10-16T16:51:42.744000,1.64,0.61,-1.463,-1.037
1697475102784,2023-10-16T16:51:42.784000,1.68,2.561,-2.073,-0.61
1697475102824,2023-10-16T16:51:42.824000,1.72,3.841,-2.683,-0.732
1697475102864,2023-10-16T16:51:42.864000,1.76,1.524,-1.829,-0.427
1697475102904,2023-10-16T16:51:42.904000,1.8,0.427,-1.646,-0.488
1697475102944,2023-10-16T16:51:42.944000,1.84,1.768,-2.561,-0.732
1697475102984,2023-10-16T16:51:42.984000,1.88,4.634,-3.049,-0.976
1697475103024,2023-10-16T16:51:43.024000,1.92,5.732,-3.659,-1.098
1697475103064,2023-10-16T16:51:43.064000,1.96,4.146,-3.171,-0.854
1697475103104,2023-10-16T16:51:43.104000,2.0,3.659,-3.354,0.976
1697475103144,2023-10-16T16:51:43.144000,2.04,5.549,-2.5,0.793
1697475103184,2023-10-16T16:51:43.184000,2.08,5.549,-3.415,-0.061
1697475103224,2023-10-16T16:51:43.224000,2.12,2.378,-2.683,0.183
1697475103264,2023-10-16T16:51:43.264000,2.16,1.707,-3.354,-0.183
1697475103304,2023-10-16T16:51:43.304000,2.2,3.659,-4.329,0.244
1697475103344,2023-10-16T16:51:43.344000,2.24,1.22,-2.744,0.854
1697475103384,2023-10-16T16:51:43.384000,2.28,0.671,-2.866,1.28
1697475103424,2023-10-16T16:51:43.424000,2.32,1.402,-2.439,0.671
1697475103464,2023-10-16T16:51:43.464000,2.36,4.39,-3.598,0.732
1697475103504,2023-10-16T16:51:43.504000,2.4,2.378,-2.622,1.159
1697475103544,2023-10-16T16:51:43.544000,2.44,0.854,-2.866,1.159
